word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
putzen|putzen|A1|6519|to clean; to polish; to brush (teeth)|чистить; мыть; убирать|reinigen; säubern; polieren|Ich muss heute die Fenster putzen.|I have to clean the windows today.|Мне нужно сегодня помыть окна.|Ich muss heute die Fenster reinigen.|die Fenster putzen; sich die Zähne putzen; das Gemüse putzen; die Schuhe putzen|A highly common basic verb. 'Sich die Zähne putzen' is the standard way to say 'to brush one's teeth'. When cleaning vegetables (like mushrooms or salad), it means to trim, wash, or prep them. Often used with the adverb 'sauber'.
putzen|Frühjahrsputz|C1|19577|spring cleaning|весенняя уборка|Generalreinigung; Frühjahrsreinigung|Am Wochenende machen wir endlich den Frühjahrsputz.|On the weekend, we are finally doing the spring cleaning.|В выходные мы наконец-то займемся весенней уборкой.|Am Wochenende machen wir endlich die Generalreinigung.|den Frühjahrsputz machen; zum Frühjahrsputz ansetzen; gründlicher Frühjahrsputz|A compound noun made from 'Frühjahr' (spring) and 'Putz' (cleaning). Frequently used metaphorically to describe a thorough digital cleanup (e.g., PC, files) or a major reorganization of one's life or organization.
putzen|Putze|C1|17600|cleaning lady; charwoman|уборщица|Putzfrau; Reinigungskraft; Raumpflegerin|Unsere Putze kommt jeden Dienstag.|Our cleaning lady comes every Tuesday.|Наша уборщица приходит каждый вторник.|Unsere Reinigungskraft kommt jeden Dienstag.|eine Putze einstellen; als Putze arbeiten|This feminine noun is highly colloquial and often perceived as derogatory, disrespectful, or condescending. In polite or professional contexts, use 'Reinigungskraft' or 'Putzhilfe' instead. Note: 'Putz' (masculine) refers to plaster on a wall.
putzen|Putzeimer|C2|94081|cleaning bucket; mop bucket|ведро для уборки|Wischeimer; Eimer|Fülle bitte heißes Wasser in den Putzeimer.|Please fill hot water into the cleaning bucket.|Налей, пожалуйста, горячую воду в ведро для уборки.|Fülle bitte heißes Wasser in den Wischeimer.|den Putzeimer holen; einen Putzeimer mit Wasser füllen; Putzeimer und Schrubber|A specific compound noun for a bucket used specifically for floor mopping or general household cleaning. Often paired with 'Schrubber' (scrubbing brush) or 'Wischmop' (mop).
putzen|Putzfrau|C1|18104|cleaning lady; charwoman|уборщица|Raumpflegerin; Reinigungskraft; Putzhilfe|Die Putzfrau reinigt das Büro zweimal pro Woche.|The cleaning lady cleans the office twice a week.|Уборщица убирает офис дважды в неделю.|Die Reinigungskraft reinigt das Büro zweimal pro Woche.|eine zuverlässige Putzfrau; als Putzfrau arbeiten; die Putzfrau bezahlen|The traditional term for a female cleaner. While widely used in private household contexts, it is increasingly replaced by politically correct terms like 'Reinigungskraft' in official job postings and professional environments.
putzen|Putzhilfe|C2|75347|domestic cleaner; cleaning assistant|помощница по хозяйству (для уборки)|Reinigungskraft; Haushaltshilfe|Wir suchen eine zuverlässige Putzhilfe für unseren Haushalt.|We are looking for a reliable cleaning helper for our household.|Мы ищем надежную помощницу по хозяйству для уборки дома.|Wir suchen eine zuverlässige Haushaltshilfe für unseren Haushalt.|eine Putzhilfe suchen; eine Putzhilfe einstellen; private Putzhilfe|A polite and common term for someone hired to help clean private homes. It is softer and more respectful than 'Putzfrau' and more specific to cleaning than 'Haushaltshilfe', which could also include cooking or childcare.
putzen|Putzkammer|C2|173202|utility closet; broom closet|чулан для швабр; подсобка для инвентаря|Abstellkammer; Putzraum; Besenkammer|Die Eimer und Besen stehen in der Putzkammer.|The buckets and brooms are in the utility closet.|Ведра и метлы стоят в чулане для инвентаря.|Die Eimer und Besen stehen in der Besenkammer.|in der Putzkammer stehen; die Putzkammer abschließen; eine kleine Putzkammer|A small room or closet where cleaning supplies, vacuums, and tools are kept. 'Besenkammer' is a very close and widely used synonym.
putzen|Putzkolonne|C2|69781|cleaning crew; cleaning squad|бригада уборщиков|Reinigungsteam; Reinigungstrupp|Nachts rückt die Putzkolonne im Bahnhof an.|At night, the cleaning crew arrives at the train station.|Ночью на вокзал прибывает бригада уборщиков.|Nachts rückt das Reinigungsteam im Bahnhof an.|eine Putzkolonne rückt an; die Putzkolonne reinigt; die nächtliche Putzkolonne|A compound of 'putzen' and 'Kolonne' (brigade/gang/crew). Refers to a group of cleaners working systematically together, typically in large public buildings, offices, or transit stations.
putzen|Putzkraft|C2|62745|cleaner; cleaning staff member|уборщик; сотрудник по уборке|Reinigungskraft; Putzhilfe; Raumpfleger|Unsere Firma hat eine neue Putzkraft eingestellt.|Our company has hired a new cleaner.|Наша фирма наняла нового уборщика.|Unsere Firma hat eine neue Reinigungskraft eingestellt.|eine Putzkraft suchen; eine Putzkraft beschäftigen; zuverlässige Putzkraft|A gender-neutral, polite, and standard professional term (grammatically feminine: 'die Putzkraft'). It is widely used in business environments and formal contexts instead of 'Putzfrau'.
putzen|Putzlappen|C2|60455|cleaning rag; cleaning cloth|тряпка для мытья; тряпка для уборки|Putztuch; Wischlappen; Scheuerlappen|Wisch den Tisch bitte mit einem feuchten Putzlappen ab.|Please wipe the table with a damp cleaning rag.|Протри, пожалуйста, стол влажной тряпкой.|Wisch den Tisch bitte mit einem feuchten Putztuch ab.|ein feuchter Putzlappen; den Putzlappen auswringen; mit dem Putzlappen wischen|A compound of 'putzen' and 'Lappen' (rag). Often associated with older, worn-out pieces of fabric used for coarser cleaning jobs. In comparison, 'Putztuch' can sound more modern or specialized.
putzen|Putzmann|C2|90599|male cleaner|уборщик (мужчина)|Reinigungskraft; Raumpfleger|Der Putzmann säubert am Abend die Büroräume.|The male cleaner cleans the offices in the evening.|Уборщик убирает офисные помещения по вечерам.|Der Raumpfleger säubert am Abend die Büroräume.|als Putzmann arbeiten; einen Putzmann einstellen|The male equivalent of 'Putzfrau'. It is much less common due to traditional gender roles. Just like 'Putzfrau', in business environments 'Reinigungskraft' is strongly preferred.
putzen|Putzmittel|C2|43951|cleaning agent; detergent|чистящее средство; моющее средство|Reinigungsmittel; Säuberungsmittel|Verwende nicht zu viel Putzmittel für den Boden.|Do not use too much cleaning agent for the floor.|Не используй слишком много чистящего средства для пола.|Verwende nicht zu viel Reinigungsmittel für den Boden.|biologisches Putzmittel; Putzmittel kaufen; umweltfreundliches Putzmittel|A general term for household chemical cleaning products. 'Reinigungsmittel' is slightly more formal, chemical, or technical, whereas 'Putzmittel' is the everyday household word.
putzen|Putzsucht|C2|165497|cleaning mania; obsessive-compulsive cleaning|мания чистоты; навязчивое стремление к уборке|Reinlichkeitsfimmel; Putzzwang|Seine extreme Putzsucht belastet die ganze Familie.|His extreme cleaning mania is a burden to the whole family.|Его экстремальная мания чистоты обременяет всю семью.|Sein extremer Putzzwang belastet die ganze Familie.|unter Putzsucht leiden; krankhafte Putzsucht; extreme Putzsucht|An informal, everyday term rather than a scientific psychiatric diagnosis. It describes an obsessive behavior pattern focusing on absolute tidiness and sanitizing. 'Reinlichkeitsfimmel' is a milder, more humorous synonym.
putzen|Putzteufel|C2|96855|neat freak; clean freak|фанат чистоты; человек, помешанный на уборке|Putzfanatiker; Reinlichkeitsfanatiker|Meine Mutter ist ein echter Putzteufel, bei ihr glänzt alles.|My mother is a real neat freak, everything sparkles at her place.|Моя мама — настоящий фанат чистоты, у неё всё блестит.|Meine Mutter ist eine echte Putzfanatikerin, bei ihr glänzt alles.|ein echter Putzteufel sein; sich als Putzteufel entpuppen|A colloquial and usually humorous or affectionate term for a person who cleans constantly and thoroughly. It lacks the pathological weight of terms like 'Putzsüchtiger'.
putzen|Putztuch|C2|96356|cleaning cloth; wiping cloth|тряпка для протирки; чистящая салфетка|Putzlappen; Reinigungstuch; Staubtuch|Brillen sollte man nur mit einem weichen Putztuch reinigen.|Glasses should only be cleaned with a soft cleaning cloth.|Очки следует чистить только мягкой салфеткой для протирки.|Brillen sollte man nur mit einem weichen Reinigungstuch reinigen.|ein weiches Putztuch; das Putztuch aus Mikrofaser; mit dem Putztuch abwischen|Refers to high-quality cloths used for wiping surfaces, dust, screens, or eyeglasses. It sounds cleaner and more modern than 'Putzlappen' (which often refers to floor rags).
putzen|Putzwasser|C2|126679|cleaning water; bucket water (for cleaning)|вода для мытья полов|Wischwasser|Schütte das schmutzige Putzwasser in den Abfluss.|Pour the dirty cleaning water down the drain.|Вылей грязную воду для мытья в слив.|Schütte das schmutzige Wischwasser in den Abfluss.|das Putzwasser ausschütten; frisches Putzwasser holen; schmutziges Putzwasser|A simple compound of 'putzen' and 'Wasser' representing the water mixed with cleaning detergent in a bucket. Highly interchangeable with 'Wischwasser'.
