word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
treten|treten|B1|497|to step; to kick; to tread|ступать; наступать; пинать|schreiten; stampfen; kicken; gehen|Bitte treten Sie einen Schritt zurück.|Please step back one step.|Пожалуйста, сделайте шаг назад.|Bitte gehen Sie einen Schritt zurück.|einen Schritt zurücktreten; auf ein Pedal treten; in den Streik treten; in Kontakt treten|An irregular verb (tritt, trat, ist/hat getreten). When used intransitively (to step, move), it takes 'sein' as auxiliary. When used transitively (to kick), it takes 'haben'.
treten|Inkrafttreten|C1|10783|entry into force; coming into effect|вступление в силу|Wirksamwerden; Geltungsbeginn|Das Gesetz gilt ab dem Tag seines Inkrafttretens.|The law applies from the day of its entry into force.|Закон действует со дня его вступления в силу.|Das Gesetz gilt ab dem Tag seines Wirksamwerdens.|das Inkrafttreten eines Gesetzes; vor dem Inkrafttreten; das Datum des Inkrafttretens|Compound noun from the phrase 'in Kraft treten'. Neuter gender (das Inkrafttreten). Typically used in formal, legal, and political contexts.
treten|Tretauto|C2|101807|pedal car; toy pedal car|педальный автомобиль (игрушечный)|Spielzeugauto; Pedalfahrzeug|Das Kind fährt begeistert mit seinem neuen Tretauto.|The child enthusiastically rides their new pedal car.|Ребенок с восторгом катается на своей новой педальной машине.|Das Kind fährt begeistert mit seinem neuen Pedalfahrzeug.|ein rotes Tretauto; mit dem Tretauto fahren; ein Tretauto für Kinder|Compound noun (das Tretauto, die Tretautos). Refers to a toy vehicle propelled by foot pedals, typically for toddlers.
treten|Tretboot|C2|53570|pedalo; pedal boat|катамаран; педальная лодка|Pedalo; Tretwasserfahrzeug|Wir haben uns am See ein Tretboot geliehen.|We rented a pedal boat at the lake.|Мы взяли напрокат педальную лодку на озере.|Wir haben uns am See ein Pedalo geliehen.|ein Tretboot mieten; Tretboot fahren; mit dem Tretboot fahren|Compound noun (das Tretboot, die Tretboote). Used in recreational contexts on lakes or quiet rivers.
treten|Treteimer|C2|163497|pedal bin; step trash can|мусорное ведро с педалью|Tretabfalleimer; Pedal-Mülleimer|Der Treteimer in der Küche ist voll.|The pedal bin in the kitchen is full.|Мусорное ведро с педалью на кухне заполнено.|Der Pedal-Mülleimer in der Küche ist voll.|den Treteimer öffnen; ein Treteimer aus Edelstahl; Treteimer für das Badezimmer|Compound noun (der Treteimer). Refers to a waste bin with a pedal mechanism for touchless opening of the lid. Highly common in kitchens and bathrooms.
treten|Treter|C2|46443|shoe; kicker (aggressive player)|башмак (разг.); бутса; грубый игрок (в футболе)|Schuh; Kickschuh; Brutalo|Wo hast du denn diese alten Treter her?|Where did you get those old shoes from?|Откуда у тебя эти старые башмаки?|Wo hast du denn diese alten Schuhe her?|bequeme Treter; alte Treter; ein übler Treter|Colloquial. Masculine gender (der Treter). Can refer casually to shoes (usually worn-out ones), or pejoratively in sports (like football) to a player who kicks or plays dirty.
treten|Tretkurbel|C2|127716|pedal crank|шатун педали|Fahrradkurbel; Kurbelarm|Die Tretkurbel am Fahrrad muss festgezogen werden.|The pedal crank on the bicycle needs to be tightened.|Шатун педали на велосипеде нужно затянуть.|Die Fahrradkurbel am Fahrrad muss festgezogen werden.|die linke Tretkurbel; Tretkurbel montieren; verbogene Tretkurbel|Technical term, feminine gender (die Tretkurbel). Mostly used in bicycle maintenance and design.
treten|Tretlager|C2|85246|bottom bracket (bicycle)|каретка велосипеда|Innenlager|Das Tretlager quietscht bei jeder Pedalumdrehung.|The bottom bracket squeaks with every pedal turn.|Каретка скрипит при каждом обороте педалей.|Das Innenlager quietscht bei jeder Pedalumdrehung.|das Tretlager wechseln; defektes Tretlager; Tretlager fetten|Bicycle mechanics term. Neuter gender (das Tretlager). Refers to the bearing assembly that connects the crankset to the bicycle frame.
treten|Tretmühle|C2|80364|treadmill; daily grind (metaphorical)|беличье колесо (перен.); рутина|Hamsterrad; Routine; Einerlei|Er möchte endlich aus der täglichen Tretmühle ausbrechen.|He wants to finally escape the daily grind.|Он хочет наконец вырваться из ежедневной рутины.|Er möchte endlich aus dem täglichen Hamsterrad ausbrechen.|aus der Tretmühle entkommen; die tägliche Tretmühle; in der Tretmühle stecken|Feminine noun (die Tretmühle). Historically a physical treadmill machine, but today used almost exclusively as a metaphor for repetitive, exhausting routine work.
treten|Tretrad|C2|154124|treadwheel|ступальное колесо; беговое колесо|Laufrad; Tretmühle (mechanisch)|Das Tretrad wurde im Mittelalter als Kranantrieb genutzt.|The treadwheel was used in the Middle Ages to power cranes.|Ступальное колесо использовалось в Средние века в качестве привода для кранов.|Das Laufrad wurde im Mittelalter als Kranantrieb genutzt.|ein großes Tretrad; das Tretrad betreiben; Tretrad für Gefangene|Neuter noun (das Tretrad). Historically, a large wooden wheel turned by people or animals walking inside it, used for heavy lifting or pumping.
