word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
schicken|schicken|A2|1031|to send, dispatch|посылать, отправлять|senden; absenden; übermitteln|Ich schicke dir morgen ein Paket.|I will send you a package tomorrow.|Я отправлю тебе посылку завтра.|Ich sende dir morgen ein Paket.|ein Paket schicken; eine E-Mail schicken; Geld schicken; jemanden schicken|The most common and neutral verb for sending. Governs a dative object (recipient) and an accusative object (thing sent). Often interchangeable with 'senden', though 'schicken' is more informal and common in spoken German.
schicken|abschicken|C1|21291|to send off, post, dispatch|отправлять, отсылать|absenden; wegschicken; abschicken|Hast du die E-Mail schon abgeschickt?|Have you already sent the email?|Ты уже отправил электронное письмо?|Hast du die E-Mail schon abgesendet?|einen Brief abschicken; eine E-Mail abschicken; ein Paket abschicken; ein Formular abschicken|Focuses on the exact moment or act of dispatching/releasing a physical letter, package, or electronic message. Separable verb.
schicken|anschicken|C2|34567|to prepare to do, get ready to|собираться, готовиться (что-либо сделать)|sich vorbereiten; sich anschicken; Miene machen|Sie schickte sich an, das Haus zu verlassen.|She prepared to leave the house.|Она собралась уходить из дома.|Sie machte Miene, das Haus zu verlassen.|sich anschicken etwas zu tun; sich zum Aufbruch anschicken|An elevated, literary verb. Always reflexive ('sich anschicken') and almost always followed by a 'zu'-infinitive clause. Indicates that someone is just about to start an action.
schicken|ausschicken|C2|79796|to send out, dispatch (scouts, messengers)|высылать, рассылать (на поиски, разведку)|aussenden; entsenden; wegschicken|Der König schickte Späher aus, um das Land zu erkunden.|The king sent out scouts to explore the land.|Король выслал разведчиков, чтобы разведать местность.|Der König sandte Späher aus, um das Land zu erkunden.|Boten ausschicken; Späher ausschicken; Patrouillen ausschicken; Truppen ausschicken|Usually used when sending people (like messengers, scouts, or patrols) out from a central location into the field for a specific mission. Elevated or literary register.
schicken|beschicken|C2|52679|to exhibit at, send representatives to, load/charge (a furnace)|посылать экспонаты или делегатов, загружать (печь)|beliefern; bestücken; teilnehmen an; beladen|Unser Unternehmen wird die Messe in Köln beschicken.|Our company will exhibit at the trade fair in Cologne.|Наша компания примет участие в выставке в Кёльне со своим стендом.|Unser Unternehmen wird an der Messe in Köln teilnehmen.|eine Messe beschicken; eine Ausstellung beschicken; einen Reaktor beschicken; den Ofen beschicken|A highly formal or technical verb. In business, it means to supply an exhibition or fair with representatives and goods. In industry, it means to feed raw materials into a furnace, kiln, or reactor.
schicken|dreinschicken|C2|200143|to resign oneself to, put up with|смириться, покориться (судьбе, обстоятельствам)|sich fügen; sich abfinden; sich ergeben; sich fügen in|Man muss sich in sein Schicksal dreinschicken.|One must resign oneself to one's fate.|Нужно смириться со своей судьбой.|Man muss sich mit seinem Schicksal abfinden.|sich in sein Schicksal dreinschicken; sich dreinschicken müssen|Very formal, traditional, and somewhat archaic. Always reflexive ('sich dreinschicken') and combined with 'in' + accusative. It means to accept an unpleasant but unalterable situation.
schicken|einschicken|C2|25845|to send in, submit (documents, solutions, entries)|присылать, подавать (на рассмотрение, конкурс)|einsenden; einreichen; übermitteln|Bitte schicken Sie die Bewerbungsunterlagen bis Freitag ein.|Please submit the application documents by Friday.|Пожалуйста, пришлите документы для подачи заявки до пятницы.|Bitte reichen Sie die Bewerbungsunterlagen bis Freitag ein.|Unterlagen einschicken; eine Lösung einschicken; Rezepte einschicken; Beiträge einschicken|Mainly used when sending papers, documents, or contest solutions to an official body, publisher, or institution. Implies a formal submission process.
schicken|entgegenschicken|C2|166736|to send to meet (someone)|посылать навстречу|entgengesenden|Sie schickte dem Gast ein Kind entgegen, um ihn zu begrüßen.|She sent a child to meet the guest to welcome him.|Она отправила ребенка навстречу гостю, чтобы поприветствовать его.|Sie sandte dem Gast ein Kind entgegen, um ihn zu begrüßen.|jemandem einen Boten entgegenschicken; jemandem ein Fahrzeug entgegenschicken|Requires a dative object for the person being approached/met, and an accusative object for the person or vehicle being sent. Mostly used in narrative contexts.
schicken|fortschicken|C2|95751|to send away, dismiss|отсылать, прогонять|wegschicken; entlassen; verjagen; fortsenden|Warum hast du den Bettler fortgeschickt?|Why did you send the beggar away?|Почему ты прогнал нищего?|Warum hast du den Bettler weggeschickt?|jemanden nach Hause fortschicken; Kinder ins Bett fortschicken; ungegessen fortschicken|Indicates sending someone away from a location, sometimes with a slightly dismissive or stern tone. Very similar to 'wegschicken' but can carry a stronger sense of permanent dismissal.
schicken|heimschicken|C2|73855|to send home|отправлять домой|nach Hause schicken; entlassen|Der Lehrer hat den kranken Schüler heimgeschickt.|The teacher sent the sick student home.|Учитель отправил больного ученика домой.|Der Lehrer hat den kranken Schüler nach Hause geschickt.|jemanden krank heimschicken; die Arbeiter früher heimschicken|A highly practical compound verb. Can be literal (sending a sick child home) or colloquial in sports, meaning to decisively defeat an opponent so they have to go home.
