word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
richten|richten|B1|988|to direct; to judge; to prepare; to align|направлять; судить; выпрямлять; готовить (еду)|lenken; ausrichten; justieren; urteilen; zubereiten|Sie richtete ihren Blick auf die Straße.|She directed her gaze toward the street.|Она устремила свой взгляд на улицу.|Sie lenkte ihren Blick auf die Straße.|den Blick richten auf; ein Urteil richten; die Antenne richten; das Essen richten; sich richten nach|A highly versatile verb. Often used reflexively as 'sich richten nach' (to conform to / depend on) or with 'auf' (to target/direct at). In Southern Germany and Switzerland, it often colloquially means 'to repair' or 'to prepare/make' (e.g., food).
richten|abrichten|C2|63367|to train (animals); to break in|дрессировать; натаскивать|dressieren; trainieren; zähmen|Der Hund wurde darauf abgerichtet, Diebe aufzuspüren.|The dog was trained to track down thieves.|Собаку выдрессировали выслеживать воров.|Der Hund wurde darauf dressiert, Diebe aufzuspüren.|einen Hund abrichten; für die Jagd abrichten; auf Befehle abrichten|Mainly used for training animals (dogs, hunting birds) to obey commands or perform specific tasks. When applied to humans, it has a highly negative connotation, suggesting conditioning, drilling, or brainwashing.
richten|aufrichten|C1|18215|to sit up; to erect; to encourage|выпрямлять; поднимать; подбадривать|aufstellen; ermutigen; trösten; gerade machen|Er richtete sich im Bett auf, um zu lesen.|He sat up in bed to read.|Он приподнялся в постели, чтобы почитать.|Er setzte sich im Bett aufrecht hin, um zu lesen.|sich im Bett aufrichten; den Oberkörper aufrichten; jemanden seelisch aufrichten; ein Denkmal aufrichten|Can be used physically (to stand something up or to sit/stand upright, usually reflexive) or metaphorically (to emotionally comfort or encourage someone who is downcast).
richten|ausrichten|B2|3111|to pass on (a message); to align; to organize (an event)|передавать (привет, сообщение); выравнивать; организовывать (мероприятие)|bestellen; ausrichten; übermitteln; veranstalten; ausrichten|Bitte richten Sie ihm liebe Grüße von mir aus.|Please pass on my warm regards to him.|Пожалуйста, передайте ему от меня наилучшие пожелания.|Bitte bestellen Sie ihm liebe Grüße von mir.|Grüße ausrichten; eine Nachricht ausrichten; eine Party ausrichten; sich nach dem Markt ausrichten|Has three very distinct meanings: 1) to convey a message (Grüße/Nachricht ausrichten), 2) to host or organize an event (e.g., eine Meisterschaft ausrichten), 3) to align or orient physically or strategically (e.g., sich an den Vorgaben ausrichten).
richten|berichten|B1|294|to report; to state; to narrate|сообщать; докладывать; рассказывать|mitteilen; schildern; erzählen; referieren|Die Journalisten berichten live aus dem Krisengebiet.|The journalists are reporting live from the crisis zone.|Журналисты ведут репортаж в прямом эфире из зоны кризиса.|Die Journalisten erzählen live von den Ereignissen im Krisengebiet.|live berichten; ausführlich berichten; über einen Unfall berichten; an den Vorgesetzten berichten|Used with 'über' (+ Accusative) or 'von' (+ Dative) to indicate the topic. When referring to reporting to a superior or boss, it can be constructed with 'an' (+ Accusative).
richten|einrichten|B2|1768|to set up; to furnish; to establish|обустраивать; обставлять; основывать; настраивать|möblieren; gründen; einstellen; herrichten|Wir müssen die neue Wohnung noch komplett einrichten.|We still have to fully furnish the new apartment.|Нам ещё предстоит полностью обставить новую квартиру.|Wir müssen die neue Wohnung noch komplett möblieren.|ein Zimmer einrichten; ein Konto einrichten; sich auf etwas einrichten; ein Netzwerk einrichten|Highly used in daily life (furnishing rooms) and in digital contexts (setting up software, user accounts, or systems). The reflexive 'sich auf etwas (Akk) einrichten' means to prepare mentally/practically for an upcoming situation.
richten|entrichten|C1|10427|to pay (a fee/tax); to discharge|уплачивать; вносить (плату)|bezahlen; begleichen; entgelten|Die Gebühr für den Ausweis müssen Sie im Voraus entrichten.|You must pay the fee for the ID card in advance.|Пошлину за удостоверение личности необходимо уплатить заранее.|Die Gebühr für den Ausweis müssen Sie im Voraus bezahlen.|eine Gebühr entrichten; Steuern entrichten; den Mitgliedsbeitrag entrichten; Maut entrichten|A highly formal, official, and bureaucratic verb. Typically limited to paying mandatory public fees, taxes, customs, or official dues rather than everyday retail transactions.
richten|errichten|B1|2323|to build; to erect; to establish|строить; возводить; учреждать|bauen; aufbauen; gründen; erstellen|Die Firma will hier ein neues Einkaufszentrum errichten.|The company wants to build a new shopping center here.|Компания хочет построить здесь новый торговый центр.|Die Firma will hier ein neues Einkaufszentrum bauen.|ein Denkmal errichten; ein Gebäude errichten; eine Barriere errichten; ein Testament errichten|More formal than 'bauen'. Refers to physically putting up structures, walls, or monuments. It is also used abstractly, such as to legally draw up a will ('ein Testament errichten') or establish an institution.
richten|unterrichten|B1|3754|to teach; to instruct; to inform|преподавать; обучать; информировать|lehren; beibringen; informieren; in Kenntnis setzen|Sie unterrichtet Deutsch an einer Schule in Berlin.|She teaches German at a school in Berlin.|Она преподает немецкий язык в школе в Берлине.|Sie lehrt Deutsch an einer Schule in Berlin.|Schüler unterrichten; ein Fach unterrichten; jemanden über einen Vorfall unterrichten|Has two main meanings. 1) 'To teach/instruct' (usually in a formal educational setting; requires Accusative for the person being taught). 2) 'To inform' (highly formal: 'jemanden über etwas unterrichten').
richten|verrichten|B2|9342|to perform (a task); to do (work)|выполнять; совершать (работу)|ausführen; tun; erledigen; machen|Nach dem Unfall konnte er seine Arbeit nicht mehr verrichten.|After the accident, he could no longer perform his work.|После аварии он больше не мог выполнять свою работу.|Nach dem Unfall konnte er seine Arbeit nicht mehr ausführen.|seine Arbeit verrichten; eine Pflicht verrichten; seine Notdurft verrichten; Gebete verrichten|A formal verb meaning to perform, execute, or carry out a standard duty, physical task, or function. Note the specific idiomatic euphemism 'seine Notdurft verrichten' (to relieve oneself / go to the toilet).
