word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
sinken|sinken|B1|1369|to sink; to fall; to decrease|опускаться; снижаться; тонуть|fallen; abnehmen; nachgeben; untergehen|Die Preise sinken in diesem Monat leicht.|Prices are falling slightly this month.|Цены немного снижаются в этом месяце.|Die Preise fallen in diesem Monat leicht.|die Preise sinken; das Schiff sinkt; die Temperatur sinkt; zu Boden sinken|sinken is an intransitive verb conjugated with sein. It means to move downwards, either physically (e.g., a ship sinking, temperature dropping) or abstractly (prices, levels decreasing). It contrasts with the transitive verb senken (with haben), which means to lower something.
sinken|untersinken|C2|203180|to sink below the surface; to go under|погружаться под воду; идти ко дну|untergehen; absinken; versinken|Der Rettungsring verhinderte, dass die Person untersank.|The lifebuoy prevented the person from going under.|Спасательный круг не позволил человеку уйти под воду.|Der Rettungsring verhinderte, dass die Person unterging.|im Wasser untersinken; vor dem Ertrinken untersinken|untersinken is a rare, formal intransitive verb (conjugated with sein) meaning to sink beneath the surface of a liquid. It is mostly used in literary or highly specific contexts.
sinken|absinken|C2|30804|to drop; to sink; to decline|понижаться; опускаться; падать (об уровне, качестве)|sinken; abfallen; nachlassen; degradieren|Das Niveau der Sendung ist stark abgesunken.|The quality of the show has dropped significantly.|Уровень передачи сильно снизился.|Das Niveau der Sendung ist stark abgefallen.|das Niveau sinkt ab; die Temperatur sinkt ab; auf ein Minimum absinken|absinken (intransitive, conjugated with sein) emphasizes a downward trend, often indicating a decline in quality, standard, or level. It is frequently used for abstract levels or values.
sinken|einsinken|C2|65414|to sink in; to subside; to cave in|увязать; проваливаться; погружаться (в мягкое)|versinken; einsinken; einbrechen|Wir sinken tief in den frisch gefallenen Schnee ein.|We are sinking deep into the freshly fallen snow.|Мы глубоко увязаем в свежевыпавшем снегу.|Wir versinken tief im frisch gefallenen Schnee.|im Schlamm einsinken; tief in den Schnee einsinken; im Sofa einsinken|einsinken (intransitive, conjugated with sein) means to sink into a soft substance (like mud, snow, or cushions) due to gravity or pressure. It takes the preposition in followed by the dative (location) or accusative (direction).
sinken|niedersinken|C2|113955|to sink down; to collapse; to fall to the ground|опускаться; падать (бессильно); склоняться|sinken; zu Boden fallen; zusammensinken|Vor Erschöpfung ließ er sich auf die Knie niedersinken.|Out of exhaustion, he let himself sink to his knees.|От изнеможения он опустился на колени.|Vor Erschöpfung ließ er sich auf die Knie sinken.|auf die Knie niedersinken; zu Boden niedersinken; entkräftet niedersinken|niedersinken (intransitive, conjugated with sein) is a poetic or elevated literary term. It describes a slow, often powerless or deliberate downward motion of a person (e.g., falling to their knees, collapsing gently).
sinken|umsinken|C2|172441|to fall down; to collapse (from weakness)|валиться с ног; падать (от слабости, лишаясь чувств)|umfallen; zusammensinken; ohnmächtig werden|Der Soldat sank schwer getroffen um.|The soldier collapsed, heavily wounded.|Солдат тяжело раненный повалился на землю.|Der Soldat fiel schwer getroffen um.|tot umsinken; ohnmächtig umsinken; vor Schwäche umsinken|umsinken is a highly literary and dramatic intransitive verb (conjugated with sein). It implies falling over or collapsing, typically due to injury, exhaustion, or death.
sinken|versinken|B2|7530|to sink; to submerge; to be lost (in thoughts)|тонуть; погружаться; уходить с головой (в мысли)|untergehen; versinken; versinken (in Gedanken)|Das Schiff versank langsam im tiefen Meer.|The ship slowly sank into the deep sea.|Корабль медленно погружался в глубокое море.|Das Schiff ging langsam im tiefen Meer unter.|im Meer versinken; in Gedanken versinken; im Erdboden versinken; in Schweigen versinken|versinken (intransitive, conjugated with sein) refers to complete submersion physically (like Atlantis or a ship) or metaphorically (sinking into deep thoughts, silence, or chaos). It is more dramatic than sinken.
sinken|wegsinken|C2|203105|to sink away; to drift off (into sleep/unconsciousness)|погружаться (в сон); угасать; терять сознание|wegdämmern; einschlafen; weggleiten|Er spürte, wie er langsam in den Schlaf wegsank.|He felt himself slowly drifting off into sleep.|Он чувствовал, как медленно погружается в сон.|Er spürte, wie er langsam in den Schlaf wegdämmerte.|in den Schlaf wegsinken; in Ohnmacht wegsinken|wegsinken (intransitive, conjugated with sein) usually describes a gradual loss of consciousness, transitioning into sleep, anesthesia, or a coma. It is a literary and evocative verb.
sinken|zurücksinken|C2|109607|to sink back; to fall back (into cushions/old habits)|откинуться назад; снова впадать (в прежнее состояние)|zurückfallen; sich zurücklehnen|Sie sank erschöpft in die Kissen zurück.|She sank back into the pillows, exhausted.|Она изнуренно откинулась обратно на подушки.|Sie fiel erschöpft in die Kissen zurück.|in die Kissen zurücksinken; auf den Stuhl zurücksinken; in alte Muster zurücksinken|zurücksinken (intransitive, conjugated with sein) is used when someone falls back onto a seat or pillow, or metaphorically when someone relapses into previous states (like behavior patterns or apathy).
sinken|zusammensinken|C2|109179|to collapse; to slump down; to shrink|оседать; обрушиваться; сжиматься; падать духом|kollabieren; zusammenbrechen; in sich zusammenfallen|Der Verletzte sank kraftlos in sich zusammen.|The injured person collapsed powerlessly.|Раненый бессильно осел.|Der Verletzte brach kraftlos zusammen.|in sich zusammensinken; weinend zusammensinken; vor Schmerz zusammensinken|zusammensinken (intransitive, conjugated with sein) refers to a physical posture collapsing inwardly (e.g., slumping in a chair out of grief, shock, or weakness) or structures falling apart. Often used as in sich zusammensinken.
