word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
dauern|dauern|B1|890|to last; to take (time)|длиться; продолжаться; занимать (о времени)|anhalten; währen; fortbestehen; benötigen|Die Besprechung wird voraussichtlich eine Stunde dauern.|The meeting is expected to last one hour.|Ожидается, что встреча продлится один час.|Die Besprechung wird voraussichtlich eine Stunde währen.|lange dauern; ewig dauern; nicht lange dauern; wie lange dauert es?|Used to express duration. Often used with 'lange' or specific time specifications. Avoid confusing it with 'kosten' (to cost), though in German 'Zeit kosten' is also possible as an alternative. It can also be used impersonally, e.g., 'Es dauert, bis...'
dauern|Dauer|B1|1842|duration; term; period|продолжительность; длительность; срок|Zeitraum; Spanne; Laufzeit; Zeitdauer|Die Dauer des Kurses beträgt drei Monate.|The duration of the course is three months.|Продолжительность курса составляет три месяца.|Die Zeitdauer des Kurses beträgt drei Monate.|auf Dauer; von kurzer Dauer; für die Dauer von; zeitliche Dauer|Commonly used in administrative and formal contexts. The prepositional phrase 'auf Dauer' means 'in the long run' or 'permanently', while 'von kurzer Dauer sein' means 'to be short-lived'.
dauern|Dauerausstellung|C1|10729|permanent exhibition|постоянная выставка|ständige Ausstellung|Das Museum präsentiert eine neue Dauerausstellung zur Stadtgeschichte.|The museum presents a new permanent exhibition on the city's history.|Музей представляет новую постоянную выставку по истории города.|Das Museum präsentiert eine neue ständige Ausstellung zur Stadtgeschichte.|eine Dauerausstellung zeigen; eine Dauerausstellung eröffnen; die neue Dauerausstellung besuchen|A compound noun from 'Dauer' (permanent/continuous) and 'Ausstellung' (exhibition). It stands in contrast to 'Sonderausstellung' (special/temporary exhibition) in museums and galleries.
dauern|Dauerbrenner|C1|18890|long-running hit; perennial favorite; constant issue|долгоиграющий хит; вечная тема; бестселлер|Evergreen; Schlager; Kassenschlager; Dauererfolg|Dieses Musical ist seit Jahren ein echter Dauerbrenner in Hamburg.|This musical has been a real long-running hit in Hamburg for years.|Этот мюзикл уже много лет является настоящим хитом в Гамбурге.|Dieses Musical ist seit Jahren ein echter Evergreen in Hamburg.|ein echter Dauerbrenner; sich als Dauerbrenner erweisen; zum Dauerbrenner werden|Originally referring to a slow-burning coal stove, it is now used metaphorically in cultural contexts (musicals, plays, books) and in public debate to describe something that remains popular, successful, or highly discussed over a very long period.
dauern|Dauerclinch|C2|105509|constant dispute; perpetual clash|постоянный конфликт; затяжная схватка|Dauerstreit; Dauerfehde; Dauerkonflikt|Die beiden Koalitionspartner befinden sich im Dauerclinch.|The two coalition partners are in a constant dispute.|Оба партнера по коалиции находятся в постоянном споре.|Die beiden Koalitionspartner befinden sich im Dauerstreit.|im Dauerclinch liegen; im Dauerclinch mit jemandem sein; politischer Dauerclinch|A journalistic term, combining 'Dauer' (constant) and 'Clinch' (from boxing, meaning to hold or lock). It is used informally to describe ongoing political, personal, or corporate rivalries and unresolved arguments.
dauern|Dauerkarte|C1|19246|season ticket; pass|сезонный абонемент; постоянный билет|Saisonkarte; Jahreskarte; Abonnement; Abo-Karte|Er besitzt eine Dauerkarte für alle Heimspiele des Vereins.|He has a season ticket for all the club's home games.|У него есть сезонный абонемент на все домашние матчи клуба.|Er besitzt ein Abonnement für alle Heimspiele des Vereins.|eine Dauerkarte kaufen; eine Dauerkarte besitzen; Dauerkarte für die Bundesliga|Most commonly associated with sporting events (like football/soccer games), public swimming pools, or amusement parks. It grants unlimited entry for a specific season or year.
dauern|Dauerkonflikt|C2|74895|protracted conflict; long-standing conflict|затяжной конфликт; длительный конфликт|Langzeitkonflikt; Dauerstreit; Dauerkrise|Die Region leidet unter einem jahrzehntelangen Dauerkonflikt.|The region suffers from a decades-long protracted conflict.|Регион страдает от многолетнего затяжного конфликта.|Die Region leidet unter einer jahrzehntelangen Dauerkrise.|einen Dauerkonflikt beilegen; ein ungelöster Dauerkonflikt; im Dauerkonflikt stehen|A formal term used mostly in political, social, or historical contexts to describe complex disagreements or tensions that have persisted for a long time without a clear resolution.
dauern|Dauerregen|C1|19935|continuous rain; steady drizzle|затяжной дождь; непрерывный дождь|Dauerniederschlag; Landregen|Der anhaltende Dauerregen führte in vielen Regionen zu Überschwemmungen.|The continuous rain led to flooding in many regions.|Непрекращающийся затяжной дождь привел к наводнениям во многих регионах.|Der anhaltende Landregen führte in vielen Regionen zu Überschwemmungen.|tagelanger Dauerregen; von Dauerregen begleitet; ergiebiger Dauerregen|A meteorological compound noun indicating persistent, uniform rainfall that lasts for many hours or days. It differs from 'Starkregen' (heavy rain, often short-lived) and 'Schauer' (brief showers).
dauern|Dauerthema|C2|34750|permanent topic; constant issue|постоянная тема; вечная тема|Dauerbrenner; Dauerthematik; Dauerproblem|Die Inflation bleibt ein Dauerthema in den Nachrichten.|Inflation remains a constant issue in the news.|Инфляция остается постоянной темой в новостях.|Die Inflation bleibt eine Dauerthematik in den Nachrichten.|zum Dauerthema werden; ein politisches Dauerthema; ein mediales Dauerthema|Widely used in media, politics, and sociology. It refers to a subject or challenge that is regularly discussed and never completely fades from public attention or gets fully resolved.
dauern|Dauerwelle|C2|50422|perm (permanent wave hairstyle)|химическая завивка|Dauerwellenfrisur; Locke|In den 1980er Jahren war die Dauerwelle besonders beliebt.|In the 1980s, the perm was particularly popular.|В 1980-х годах химическая завивка была особенно популярна.|In den 1980er Jahren war diese krause Frisur besonders beliebt.|sich eine Dauerwelle machen lassen; klassische Dauerwelle; die Dauerwelle legen|A specific cosmetic term for chemically curling hair. It is used with the construction 'sich (Dativ) eine Dauerwelle machen lassen' (to get a perm).
