word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
spülen|spülen|B2|9081|to rinse; to wash (dishes)|полоскать; мыть (посуду)|abwaschen; reinigen; waschen|Nach dem Essen muss ich noch das Geschirr spülen.|After eating I still have to wash the dishes.|После еды мне еще нужно помыть посуду.|Nach dem Essen muss ich noch das Geschirr abwaschen.|Geschirr spülen; Gläser spülen; den Mund spülen; an Land spülen|'Spülen' can mean to wash dishes (often 'Geschirr spülen') or to rinse (e.g., 'den Mund spülen'). It can also mean to wash up ashore ('an den Strand spülen'). Contrast with 'waschen' (general washing, e.g., clothes/hands) and 'abwaschen' (specifically washing up dishes).
spülen|spülbohren|C2|230389|to wash-bore; rotary-drill with mud circulation|бурить с промывкой; производить колонковое бурение с промывкой|nassbohren|In dieser Formation müssen wir spülbohren, um den Schutt zu entfernen.|In this formation, we have to use wash-boring to remove the debris.|В этой породе нам нужно бурить с промывкой, чтобы удалить обломки.|In dieser Formation müssen wir nassbohren, um den Schutt zu entfernen.|tief spülbohren; im Fels spülbohren|A highly technical term used in civil engineering, mining, and well drilling. It describes the process of drilling where fluid (drilling mud/water) is pumped down to flush out cut material.
spülen|Spülmaschine|A2|23738|dishwasher|посудомоечная машина|Geschirrspüler; Geschirrspülmaschine|Ich räume das schmutzige Geschirr in die Spülmaschine.|I am putting the dirty dishes into the dishwasher.|Я кладу грязную посуду в посудомоечную машину.|Ich räume das schmutzige Geschirr in den Geschirrspüler.|die Spülmaschine einräumen; die Spülmaschine ausräumen; die Spülmaschine einschalten|A very common everyday term. 'Geschirrspüler' is an exact and common synonym. Often contracted colloquially.
spülen|Spülapparat|C2|220439|rinsing apparatus; flushing device|промывочный аппарат; смывной аппарат|Spülvorrichtung; Spülgerät|Der Spülapparat im Labor muss gereinigt werden.|The rinsing apparatus in the laboratory needs to be cleaned.|Промывочный аппарат в лаборатории необходимо очистить.|Das Spülgerät im Labor muss gereinigt werden.|automatischer Spülapparat; medizinischer Spülapparat|Technical or formal term referring to mechanical devices used for rinsing or flushing in industrial, medical, or laboratory settings.
spülen|Spülautomat|C2|187618|automatic dishwasher; automatic flusher|посудомоечный автомат; автоматическое смывное устройство|Geschirrspülautomat; Spülmaschine|In unserer Kantine haben wir einen großen Spülautomaten.|We have a large automatic dishwasher in our canteen.|В нашей столовой установлен большой посудомоечный автомат.|In unserer Kantine haben wir eine große Spülmaschine.|gewerblicher Spülautomat; den Spülautomaten beladen|Mostly used in commercial or industrial settings (canteens, restaurants, hospitals) to refer to large, automated dishwashing or cleaning devices, rather than typical home appliances.
spülen|Spülbad|C2|187137|rinsing bath; washing bath|ванна для промывки; промывочный раствор|Waschbad; Spülflüssigkeit|Nach der Säurebehandlung kommen die Metallteile in ein Spülbad.|After the acid treatment, the metal parts are placed in a rinsing bath.|После обработки кислотой металлические детали помещают в ванну для промывки.|Nach der Säurebehandlung kommen die Metallteile in eine Spülflüssigkeit.|ein warmes Spülbad; chemisches Spülbad|Technical and chemical term. Refers to a bath or liquid basin used in photography, electroplating, or chemical processes to clean products from previous chemicals.
spülen|Spülbecken|C2|72520|kitchen sink|кухонная раковина; мойка|Abwaschbecken; Spüle; Waschbecken|Das Geschirr stapelt sich bereits im Spülbecken.|The dishes are already piling up in the sink.|Посуда уже горой скапливается в раковине.|Das Geschirr stapelt sich bereits in der Spüle.|im Spülbecken abwaschen; ein verstopftes Spülbecken|Specifically refers to the sink in the kitchen, as opposed to 'Waschbecken' which is typically used for the bathroom sink.
spülen|Spüle|C2|42131|kitchen sink; washing area|кухонная мойка; раковина|Spülbecken; Spültisch|Er stellte die schmutzige Tasse in die Spüle.|He put the dirty cup into the sink.|Он поставил грязную чашку в раковину.|Er stellte die schmutzige Tasse in das Spülbecken.|an der Spüle stehen; die Spüle putzen; Einbauspüle|A very common, shorter alternative to 'Spülbecken'. It can refer to the basin itself or the whole sink area on a kitchen counter.
spülen|Spüleimer|C2|229754|rinse bucket; slop bucket|ведро для полоскания; помойное ведро|Putzeimer; Wascheimer|Trage bitte den Spüleimer hinaus, wenn er voll ist.|Please carry the rinse bucket out when it is full.|Пожалуйста, вынеси ведро для полоскания, когда оно наполнится.|Trage bitte den Putzeimer hinaus, wenn er voll ist.|einen Spüleimer leeren; den Spüleimer füllen|A somewhat old-fashioned or specific agricultural/technical term for a bucket containing water for rinsing, or a bucket used to collect rinse water.
spülen|Spüler|C2|107538|dishwasher (machine or person); glass-washer|посудомойщик; посудомоечная машина|Geschirrspüler; Abwascher; Spülmaschine|Er arbeitet am Wochenende als Spüler in einem Restaurant.|He works as a dishwasher in a restaurant on weekends.|По выходным он работает посудомойщиком в ресторане.|Er arbeitet am Wochenende als Abwascher in einem Restaurant.|Job als Spüler; der automatische Spüler|Can refer both to a person whose job is washing dishes (colloquial/gastronomy context) and colloquially to the dishwasher machine (short for Geschirrspüler).
spülen|Spülerin|C2|188821|female dishwasher (person)|посудомойщица|Abwascherin|Die Spülerin reinigte die Gläser in Rekordzeit.|The female dishwasher cleaned the glasses in record time.|Посудомойщица вымыла стаканы в рекордные сроки.|Die Abwascherin reinigte die Gläser in Rekordzeit.|als Spülerin arbeiten; eine fleißige Spülerin|Female equivalent of 'Spüler'. Specifically refers to a female worker in gastronomy.
