word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
senden|senden|A2|2163|to send; to broadcast|посылать; транслировать|verschicken; abschicken; ausstrahlen; übertragen|Er wollte gestern eine E-Mail senden.|He wanted to send an email yesterday.|Он хотел отправить электронное письмо вчера.|Er wollte gestern eine E-Mail abschicken.|eine Nachricht senden; Grüße senden; live senden; ein Signal senden|Senden is used both for mailing letters/emails (weak conjugation: sendete, gesendet) and radio/TV broadcasting. Historically, for sending messages/people, strong past forms (sandte, gesandt) are also very common.
senden|Sendbote|C2|88296|messenger; emissary|посланник; вестник|Bote; Gesandter; Abgesandter|Der König schickte einen treuen Sendboten mit der Nachricht.|The king sent a loyal messenger with the message.|Король отправил верного посланника с сообщением.|Der König schickte einen treuen Boten mit der Nachricht.|kaiserlicher Sendbote; göttlicher Sendbote|An elevated, poetic, or archaic word for a messenger. In modern daily life, standard words like 'Bote' or 'Gesandter' are used instead.
senden|Sendeanlage|C2|53225|transmitting station; broadcasting facility|передающая установка; передатчик|Sendestation; Funkanlage; Sender|Die alte Sendeanlage auf dem Berg wurde modernisiert.|The old transmitting station on the mountain was modernized.|Старая передающая станция на горе была модернизирована.|Die alte Sendestation auf dem Berg wurde modernisiert.|eine Sendeanlage betreiben; die Leistung der Sendeanlage erhöhen; technische Sendeanlage|A technical term referring to the complex infrastructure, equipment, and antennas used to broadcast radio or TV signals.
senden|Sendeanstalt|C2|92393|broadcasting corporation; broadcaster|вещательная компания; телерадиокомпания|Rundfunkanstalt; Sender; Rundfunksender|Die öffentlich-rechtliche Sendeanstalt produziert hochwertige Dokumentationen.|The public broadcasting corporation produces high-quality documentaries.|Общественно-правовая вещательная компания производит качественные документальные фильмы.|Die öffentlich-rechtliche Rundfunkanstalt produziert hochwertige Dokumentationen.|öffentlich-rechtliche Sendeanstalt; private Sendeanstalt; die regionalen Sendeanstalten|A formal, legal, and political term used to describe broadcasting institutions, such as regional public-service channels (e.g., WDR, NDR).
senden|Sendeantenne|C2|120964|transmitting antenna|передающая антенна|Senderantenne; Abstrahlantenne|Der Blitz traf die Sendeantenne auf dem Dach des Gebäudes.|Lightning struck the transmitting antenna on the roof of the building.|Молния ударила в передающую антенну на крыше здания.|Der Blitz traf die Senderantenne auf dem Dach des Gebäudes.|eine Sendeantenne ausrichten; Sendeantenne für Mobilfunk|A technical term specifically designating antennas meant for emission, as opposed to receiving antennas (Empfangsantennen).
senden|Sendebereich|C2|133470|coverage area; transmission range|зона вещания; радиус действия передатчика|Sendegebiet; Empfangsbereich; Reichweite|Unser Radio hat seinen Sendebereich erweitert.|Our radio station has expanded its coverage area.|Наше радио расширило свою зону вещания.|Unser Radio hat sein Sendegebiet erweitert.|im gesamten Sendebereich; den Sendebereich vergrößern; digitaler Sendebereich|Refers to the geographical region or physical range within which a particular signal can be transmitted and successfully received.
senden|Sendebetrieb|C2|72578|broadcasting operations; transmission|трансляционное вещание; режим передачи|Rundfunkbetrieb; Ausstrahlung|Der Sender hat den Sendebetrieb vorübergehend eingestellt.|The station has temporarily suspended broadcasting operations.|Станция временно прекратила вещание.|Der Sender hat die Ausstrahlung vorübergehend eingestellt.|den Sendebetrieb aufnehmen; den Sendebetrieb einstellen; laufender Sendebetrieb|Refers to the actual status of active broadcasting or the technical operation of sending signals. Commonly used with 'aufnehmen' (start) and 'einstellen' (stop).
senden|Sendeeinrichtung|C2|150434|transmitting equipment; transmitter unit|передающее устройство; передатчик|Sendegerät; Sendeanlage; Transmitter|Die Sendeeinrichtung am Satelliten ist defekt.|The transmitting equipment on the satellite is defective.|Передающее устройство на спутнике неисправно.|Das Sendegerät am Satelliten ist defekt.|eine mobile Sendeeinrichtung; technische Sendeeinrichtung|A formal, technical term describing any device or setup designed to transmit electromagnetic waves or signals.
senden|Sendefolge|C2|141346|broadcast sequence; episode|последовательность передач; выпуск; серия|Programmfolge; Sendereihe; Episode|Die nächste Sendefolge beschäftigt sich mit dem Umweltschutz.|The next episode deals with environmental protection.|Следующий выпуск передачи посвящен охране окружающей среды.|Die nächste Programmfolge beschäftigt sich mit dem Umweltschutz.|eine wöchentliche Sendefolge; die geplante Sendefolge|Can mean either the chronological order of programs or an individual installment/episode of a regular television or radio show.
senden|Sendegebiet|C2|66930|broadcasting area; transmission territory|зона вещания; территория вещания|Sendebereich; Verbreitungsgebiet|Das Sendegebiet erstreckt sich über drei Bundesländer.|The broadcasting area extends over three federal states.|Зона вещания охватывает три федеральные земли.|Der Sendebereich erstreckt sich über drei Bundesländer.|ein großes Sendegebiet; das Sendegebiet des Rundfunks; im gesamten Sendegebiet|Very similar to 'Sendebereich', but usually emphasizes the geographical boundaries or political territory a station is legally licensed to cover.
