word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
raten|ratsam|C1|11581|advisable; recommended|целесообразный; рекомендуемый; благоразумный|empfehlenswert; ratsam; vernünftig; zweckmäßig|Es ist ratsam, einen Regenschirm mitzunehmen.|It is advisable to take an umbrella with you.|Рекомендуется взять с собой зонтик.|Es ist empfehlenswert, einen Regenschirm mitzunehmen.|dringend ratsam; ratsam sein; für ratsam halten|'Ratsam' is an adjective derived from 'Rat'. It is commonly used with dummy 'es' and an infinitive construction ('es ist ratsam, zu...'). It indicates that an action is sensible or prudent under given circumstances.
raten|geraten|B1|978|to get into; to turn out (well/badly)|попасть; оказаться; удаться|gelangen; kommen; glücken; gelingen|Er ist in eine schwierige Situation geraten.|He got into a difficult situation.|Он попал в трудную ситуацию.|Er ist in eine schwierige Lage gekommen.|in Vergessenheit geraten; in Panik geraten; gut geraten; in Gefahr geraten|'Geraten' as a verb is used with the auxiliary 'sein' in perfect tense. Its meaning depends heavily on the prepositional phrase it is paired with (e.g., 'in Panik geraten' - to panic). As an adjective, 'gut geraten' means 'well-bred' or 'successful'. Do not confuse with the past participle of 'raten' (guessed/advised).
raten|Rat|B2|1245|advice; council|совет; совет (орган)|Ratschlag; Empfehlung; Gremium; Ausschuss|Ich brauche dringend deinen Rat in dieser Angelegenheit.|I urgently need your advice on this matter.|Мне срочно нужен твой совет по этому вопросу.|Ich brauche dringend deinen Ratschlag in dieser Angelegenheit.|guten Rat geben; jemanden um Rat fragen; Rat suchen; der Stadtrat|'Der Rat' has two homonyms: 'advice' (uncountable, often replaced by plural 'Ratschläge' when referring to multiple tips) and 'council' (countable, e.g., 'der Stadtrat'). Common phrase: 'mit Rat und Tat zur Seite stehen'.
raten|Rater|C2|111488|guesser; rater|отгадывающий; участник викторины|Ratefuchs; Raterin; Tippgeber|Der Rater wusste die richtige Antwort leider nicht.|The guesser unfortunately did not know the correct answer.|Отгадывающий, к сожалению, не знал правильного ответа.|Der Ratefuchs wusste die richtige Antwort leider nicht.|ein kluger Rater; die Rater in der Show|'Rater' is a rare agent noun from the verb 'raten' (to guess). It is mostly used in game shows, riddles, or trivia contexts to denote the person guessing.
raten|Ratespiel|C2|42795|guessing game; quiz|игра-угадайка; викторина|Quiz; Rätselspiel; Rateshow|Am Abend spielten wir ein lustiges Ratespiel.|In the evening, we played a fun guessing game.|Вечером мы сыграли в забавную игру-угадайку.|Am Abend spielten wir ein lustiges Quiz.|ein Ratespiel veranstalten; ein beliebtes Ratespiel; Ratespiel für Kinder|'Ratespiel' is a compound noun made of 'raten' (to guess) and 'Spiel' (game). It refers to any game where players have to guess something, often used metaphorically for situations with high uncertainty.
raten|Rateteam|C2|99225|guessing panel; team of guessers|команда угадывающих; команда знатоков|Quiz-Team; Rategruppe|Das Rateteam im Fernsehen war diesmal besonders schnell.|The guessing panel on TV was particularly fast this time.|Команда угадывающих на телевидении в этот раз была особенно быстрой.|Die Rategruppe im Fernsehen war diesmal besonders schnell.|das prominente Rateteam; im Rateteam sitzen|'Rateteam' refers specifically to a panel or group of people in a TV or radio show whose job is to guess answers or solve a mystery. It is a colloquial/media-specific compound.
raten|Rätsel|B2|4867|riddle; puzzle; mystery|загадка; головоломка|Mysterium; Geheimnis; Denkaufgabe; Puzzle|Dieses Rätsel ist wirklich schwer zu lösen.|This riddle is really hard to solve.|Эту загадку действительно трудно разгадать.|Dieses Geheimnis ist wirklich schwer zu lösen.|ein Rätsel lösen; vor einem Rätsel stehen; Kreuzworträtsel|'Das Rätsel' is very common. The phrase 'vor einem Rätsel stehen' means to be completely puzzled. It can refer to literal puzzles (like 'Kreuzworträtsel') or metaphorical mysteries (e.g. medical mysteries).
raten|abraten|C1|14296|to advise against; to discourage|отговаривать; не советовать|dehortieren; warnen; widerraten|Ich muss dir dringend von diesem Kauf abraten.|I must urgently advise you against this purchase.|Я должен настоятельно отговорить тебя от этой покупки.|Ich muss dich dringend vor diesem Kauf warnen.|jemandem von etwas abraten; dringend abraten|'Abraten' is the opposite of 'raten' (to advise). It governs the dative of the person and requires the preposition 'von' + dative for the action discouraged: 'jemandem (Dat) von etwas (Dat) abraten'.
raten|anraten|C2|23907|to advise; to recommend|советовать; рекомендовать|empfehlen; raten; nahelegen|Der Arzt hat mir eine Kur angeraten.|The doctor advised me to take a cure.|Врач порекомендовал мне санаторно-курортное лечение.|Der Arzt hat mir eine Kur empfohlen.|dringend angeraten sein; jemandem etwas anraten|'Anraten' is a highly formal, slightly bureaucratic synonym of 'raten' or 'empfehlen'. It often appears in the passive or perfect participle form 'angeraten sein' (e.g., 'Es ist dringend angeraten...').
raten|beraten|B2|1589|to advise; to consult; to deliberate|консультировать; советовать; совещаться|konsultieren; unterstützen; tagen; beratschlagen|Wir müssen uns zuerst beraten, bevor wir eine Entscheidung treffen.|We need to consult/deliberate first before making a decision.|Нам нужно сначала посовещаться, прежде чем принимать решение.|Wir müssen uns zuerst beratschlagen, bevor wir eine Entscheidung treffen.|jemanden ausführlich beraten; sich mit Experten beraten; über ein Gesetz beraten|'Beraten' can be transitive ('jemanden beraten' - to consult/advise someone, requires accusative) or reflexive ('sich beraten' - to deliberate, usually with 'mit' + Dativ). It focuses on professional or formal assistance.
raten|danebenraten|C2|235199|to guess wrong|промахнуться с догадкой; угадать неправильно|vorbeiraten; sich irren; falsch raten|Da hast du leider völlig danebengeraten.|Unfortunately, you guessed completely wrong there.|К сожалению, ты тут совершенно не угадал.|Da hast du leider völlig falsch geraten.|völlig danebenraten; einmal danebenraten|'Danebenraten' is a separable verb ('rate daneben', 'danebengeraten'). It is composed of 'daneben' (beside it/off-target) and 'raten' (to guess). It is informal and means to make a wrong guess.
raten|entraten|C2|124490|to do without; to dispense with|обходиться без (чего-л.); лишаться|entbehren; verzichten; auskommen ohne|Wir können seiner Hilfe nicht entraten.|We cannot dispense with his help.|Мы не можем обойтись без его помощи.|Wir können auf seine Hilfe nicht verzichten.|einer Sache entraten; nicht entraten können|'Entraten' is extremely archaic and high-register. It governs the genitive case ('einer Sache entraten' - to do without something). Today, it is mostly replaced by 'entbehren' or 'verzichten auf'.
raten|erraten|C1|19111|to guess correctly; to divine|отгадать; угадать (правильно)|herausfinden; entschlüsseln; erraten|Du wirst nie erraten, wen ich heute getroffen habe!|You will never guess who I met today!|Ты ни за что не угадаешь, кого я сегодня встретил!|Du wirst nie herausfinden, wen ich heute getroffen habe!|ein Geheimnis erraten; ein Rätsel erraten; die Antwort erraten|Unlike the simple verb 'raten' (which means the process of guessing), 'erraten' represents the successful result (to guess correctly). It takes a direct accusative object.
raten|herumraten|C2|185213|to keep guessing; to guess around|гадать наугад; строить догадки|spekulieren; mutmaßen; herumrätseln|Wir können über die Ursache nur herumraten.|We can only keep guessing about the cause.|Мы можем только строить догадки о причине.|Wir können über die Ursache nur spekulieren.|über die Gründe herumraten; lange herumraten|'Herumraten' is an informal, separable verb ('rate herum', 'herumgeraten'). It emphasizes an ongoing, aimless, or fruitless process of guessing without having solid evidence. Usually used with 'über' + accusative.
raten|missraten|C2|63806|to fail; to turn out badly; spoiled|не удаться; не получиться; неудачный|misslingen; fehlschlagen; scheitern; verunglücken|Der Kuchen ist mir diesmal völlig missraten.|The cake turned out completely ruined for me this time.|Пирог у меня в этот раз совершенно не удался.|Der Kuchen ist mir diesmal völlig misslungen.|ein missratener Kuchen; ein missratener Sohn; völlig missraten|'Missraten' is the antonym of 'geraten' (in the sense of succeeding). It can be used as a verb (with 'sein') or as an adjective. It means that something (a dish, a project) or even someone (e.g., a child behaving badly: 'missratenes Kind') turned out poorly.
raten|verraten|B2|1951|to betray; to reveal; to give away|предавать; раскрывать (секрет)|offenbaren; preisgeben; hintergehen; verraten|Bitte verrate niemandem mein Geheimnis.|Please don't betray/reveal my secret to anyone.|Пожалуйста, никому не раскрывай мой секрет.|Bitte offenbare niemandem mein Geheimnis.|ein Geheimnis verraten; das Vaterland verraten; jemanden an die Polizei verraten|'Verraten' has two main nuances: a negative one ('to betray a friend or country') and a neutral/positive one ('to reveal a secret/tip', e.g., 'Verrätst du mir das Rezept?').
raten|widerraten|C2|184267|to advise against (highly formal/archaic)|отговаривать; советовать вопреки|abraten; dehortieren; warnen|Er hat mir von diesem Schritt widerraten.|He advised me against this step.|Он отговорил меня от этого шага.|Er hat mir von diesem Schritt abgeraten.|someone of something advise against|'Widerraten' is an extremely formal, archaic synonym of 'abraten'. It is non-separable (unlike 'widerspiegeln'). It is rarely used in modern German outside of legal or very old literary texts.
raten|zuraten|C2|115605|to advise in favor; to encourage|советовать согласиться; рекомендовать (сделать что-л.)|empfehlen; befürworten; anraten|Ich kann dir zu dieser Investition nur zuraten.|I can only advise you in favor of this investment.|Я могу только посоветовать тебе пойти на эту инвестицию.|Ich kann dir diese Investition nur empfehlen.|jemandem zu etwas zuraten; dringend zuraten|'Zuraten' is the opposite of 'abraten'. It is a separable verb ('rate zu', 'zugeraten') and requires 'zu' + Dativ ('jemandem zu einer Sache zuraten'). It is formal and means to recommend taking a specific course of action.
