word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
drücken|drücken|B2|156306|to press; to push; to squeeze|нажимать; давить; жать|pressen; quetschen; schieben; betätigen|Bitte drücken Sie den roten Knopf.|Please press the red button.|Пожалуйста, нажмите красную кнопку.|Bitte betätigen Sie den roten Knopf.|die Daumen drücken; den Knopf drücken; die Schulbank drücken; die Preise drücken|A highly versatile verb. In physical contexts, it means to exert pressure (e.g. on a button or lever). It is used in many common idioms: 'jemandem die Daumen drücken' means to cross one's fingers for someone, and 'die Schulbank drücken' colloquially means to go to school.
drücken|Drückeberger|C2|65776|slacker; shirker; draft dodger|сачок; прогульщик; уклонист|Faulpelz; Verweigerer; Drückebergerin|Er ist ein bekannter Drückeberger, wenn es um die Arbeit geht.|He is a known slacker when it comes to work.|Он известный сачок, когда дело доходит до работы.|Er ist ein bekannter Faulpelz, wenn es um die Arbeit geht.|ein fauler Drückeberger; sich als Drückeberger erweisen|A colloquial, slightly derogatory noun for someone who consistently avoids work, duty, or responsibility. It is derived from the reflexive verb 'sich drücken' (to shirk/avoid doing something).
drücken|Drücker|C1|16508|handle; latch; trigger|дверная ручка; курок; кнопка|Klinke; Türdrücker; Auslöser; Taster|Drücke den Drücker an der Tür nach unten.|Press the handle on the door down.|Нажми на дверную ручку вниз.|Drücke die Klinke an der Tür nach unten.|am Drücker sein; den Drücker betätigen; ein Drücker an der Tür|Literally refers to a door handle (usually called 'Türdrücker') or a trigger/push-button. The common idiom 'am Drücker sein' figuratively means to be in a position of power, to have the upper hand, or to be in control.
drücken|andrücken|C2|44745|to press against; to press down slightly|прижимать; слегка прижимать|anpressen; festdrücken; herandrücken|Nach dem Pflanzen musst du die Erde leicht andrücken.|After planting, you must press the soil down gently.|После посадки нужно слегка прижать землю.|Nach dem Pflanzen musst du die Erde leicht anpressen.|die Erde leicht andrücken; das Pflaster fest andrücken|A separable verb ('drückt an'). It means to press something gently but firmly against a surface to make it stick, compact, or sit properly. Commonly used in gardening, baking, or DIY contexts.
drücken|ausdrücken|B2|3968|to express; to squeeze out; to extinguish|выражать; выдавливать; тушить (сигарету)|äußern; formulieren; auspressen; ausquetschen|Es ist schwer, meine Gefühle in Worte auszudrücken.|It is difficult to express my feelings in words.|Трудно выразить мои чувства словами.|Es ist schwer, meine Gefühle in Worte zu fassen.|Gefühle ausdrücken; eine Meinung ausdrücken; eine Zitrone ausdrücken; eine Zigarette ausdrücken|A separable verb ('drückt aus') with two main fields of meaning. Physically, it means to squeeze out (like juice from a lemon) or to stub out a cigarette. Figuratively, 'sich ausdrücken' means to express oneself, or transitively 'etwas ausdrücken' to express ideas, feelings, or opinions.
drücken|bedrücken|C2|61726|to oppress; to depress; to weigh on|угнетать; тяготить; огорчать|belasten; bedrängen; quälen; bekümmern|Die Sorgen wegen der Zukunft bedrücken ihn sehr.|The worries about the future weigh heavily on him.|Заботы о будущем его очень тяготят.|Die Sorgen wegen der Zukunft belasten ihn sehr.|jemanden schwer bedrücken; die Sorge bedrückt mich; bedrückende Stille|An inseparable verb ('bedrückt'). It is primarily used figuratively to describe mental, emotional, or psychological weight and anxiety. The adjective 'bedrückend' (oppressive, distressing) is very frequently used to describe atmosphere or situations.
drücken|festdrücken|C2|84780|to press firmly; to press down tightly|плотно прижимать; прижимать до фиксации|festpressen; anpressen; fixieren|Du musst den Klebestreifen gut festdrücken.|You need to press the adhesive strip firmly down.|Нужно хорошо прижать клейкую ленту.|Du musst den Klebestreifen gut festpressen.|den Deckel festdrücken; das Pflaster festdrücken; den Teig festdrücken|A separable verb ('drückt fest') that emphasizes the firmness and stability achieved by pressing. It is often used in crafting, cooking, or home improvement contexts.
drücken|hochdrücken|C2|91273|to push up; to press upward|подталкивать вверх; выжимать вверх|hochschieben; anheben; emporheben|Er konnte das schwere Gewicht leicht hochdrücken.|He was able to push the heavy weight up easily.|Он мог легко выжать тяжелый вес вверх.|Er konnte das schwere Gewicht leicht hochschieben.|die Preise hochdrücken; den Hebel hochdrücken; das Gewicht hochdrücken|A separable verb ('drückt hoch'). Literally means pushing or pressing something upwards (e.g., in weightlifting). It can also be used figuratively, such as forcing prices up, though 'hochtreiben' is more common for prices.
drücken|unterdrücken|B2|8598|to suppress; to oppress; to stifle|подавлять; угнетать; сдерживать|unterjochen; dämpfen; zurückhalten; ersticken|Sie konnte ein Gähnen kaum unterdrücken.|She could barely suppress a yawn.|Она едва могла сдержать зевок.|Sie konnte ein Gähnen kaum zurückhalten.|Gefühle unterdrücken; die Nummer unterdrücken; das Volk unterdrücken; ein Lachen unterdrücken|An inseparable verb ('unterdrückt'). It has two distinct contexts: social/political oppression of groups of people, and the internal/physiological suppression of urges, feelings, yawns, or tears. In telecommunication, 'die Nummer unterdrücken' means to block caller ID.
drücken|verdrücken|C2|30630|to sneak away; to devour (slang); to squash|незаметно уйти; уплетать (еду); помять|sich davonschleichen; verputzen; aufessen; zerquetschen|Er verdrückte sich heimlich von der Party.|He secretly sneaked away from the party.|Он тайком ускользнул с вечеринки.|Er schlich sich heimlich von der Party davon.|sich klammheimlich verdrücken; eine ganze Portion verdrücken; eine Träne verdrücken|An inseparable verb ('verdrückt') with mostly colloquial uses: 1) reflexively 'sich verdrücken' means to slip away/leave quietly. 2) transitively 'etwas verdrücken' means to eat/devour something up. 3) 'eine Träne verdrücken' means to blink back/hide a tear.
drücken|vorbeidrücken|C2|130257|to squeeze past; to push past|протискиваться мимо; протиснуться мимо|vorbeiquetschen; vorbeizwängen; vorbeischieben|Sie musste sich an der Menschenmenge vorbeidrücken.|She had to squeeze past the crowd.|Ей пришлось протискиваться мимо толпы людей.|Sie musste sich an der Menschenmenge vorbeizwängen.|sich an jemandem vorbeidrücken; sich durch die Menge vorbeidrücken|A separable verb ('drückt vorbei'). Most commonly used as a reflexive verb ('sich vorbeidrücken') indicating physical squeezing or pushing of one's body past someone or through a tight, crowded space.
drücken|wegdrücken|C2|58838|to push away; to decline (a phone call)|отталкивать; отклонять (звонок)|wegschieben; wegschubsen; ablehnen|Warum hast du meinen Anruf weggedrückt?|Why did you decline my phone call?|Почему ты сбросил мой звонок?|Warum hast du meinen Anruf abgelehnt?|einen Anruf wegdrücken; jemanden wegdrücken; Tränen wegdrücken|A separable verb ('drückt weg'). Historically meant to push someone or something aside. In modern digital parlance, it refers almost exclusively to pressing the decline button on a phone when an incoming call arrives.
