word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
halten|halten|B1|148|to hold; to stop; to keep|держать; останавливаться; сохранять|festhalten; stoppen; bewahren|Bitte halte meine Tasche für einen Moment.|Please hold my bag for a moment.|Пожалуйста, подержи мою сумку на секунду.|Bitte nimm meine Tasche für einen Moment.|ein Versprechen halten; Abstand halten; ein Auto hält|Extremely versatile verb. Used as a reflexive verb 'sich halten an (+ Akk)' meaning 'to adhere to'. Often used with 'für (+ Akk)' meaning 'to consider someone/something to be'.
halten|haltbar|B2|9636|durable; shelf-stable; valid|прочный; годный; стойкий|langlebig; konserviert; beständig|Diese Milch ist ungeöffnet lange haltbar.|This milk has a long shelf life when unopened.|Это молоко долго хранится в закрытом виде.|Diese Milch ist ungeöffnet lange frisch.|haltbar sein; unbegrenzt haltbar; haltbares Lebensmittel|Commonly refers to food storage (shelf life) or the durability of arguments, materials, or claims.
halten|haltlos|C1|22045|baseless; unstable; groundless|необоснованный; неустойчивый; беспочвенный|unbegründet; bodenlos; instabil|Seine Anschuldigungen sind völlig haltlos.|His accusations are completely groundless.|Его обвинения совершенно беспочвенны.|Seine Anschuldigungen sind völlig unbegründet.|haltlose Anschuldigungen; haltlose Gerüchte; haltlos weinen|Can describe claims/rumors (baseless) or people/emotions (lacking inner stability, crying uncontrollably).
halten|Halt|B2|1633|hold; stop; support|остановка; опора; поддержка|Stopp; Unterstützung; Griff|Der Bus macht an dieser Station einen kurzen Halt.|The bus makes a short stop at this station.|Автобус делает короткую остановку на этой станции.|Der Bus stoppt an dieser Station kurz.|Halt machen; festen Halt finden; Halt geben|Capitalized noun. 'Halt' can mean a physical stop (der Halt) or abstract support/stability (jemandem Halt geben).
halten|Halter|B2|8339|holder; owner; keeper|держатель; владелец; крепление|Besitzer; Eigentümer; Haltevorrichtung|Wer ist der Halter dieses Fahrzeugs?|Who is the owner of this vehicle?|Кто является владельцем этого транспортного средства?|Wer ist der Besitzer dieses Autos?|Fahrzeughalter; Halter eines Hundes; praktischer Halter|Usually refers to the legal keeper of an animal or vehicle (Fahrzeughalter, Tierhalter) or a physical device/bracket holding something.
halten|Haltung|B2|2480|attitude; posture; stance|осанка; отношение; позиция|Einstellung; Position; Körperhaltung|Sie bewahrte auch in der Krise eine aufrechte Haltung.|She maintained an upright posture and stance even in the crisis.|Она сохраняла стойкую позицию даже во время кризиса.|Sie bewahrte auch in der Krise eine aufrechte Einstellung.|eine Haltung einnehmen; innere Haltung; gesunde Körperhaltung|Refers both to physical posture (Körperhaltung) and psychological attitude/values (innere Haltung, Lebenshaltung).
halten|Gehalt|A2|3729|salary; content; value|зарплата; содержание; доля|Einkommen; Lohn; Anteil; Inhalt|Er verhandelt mit seinem Chef über ein höheres Gehalt.|He is negotiating with his boss for a higher salary.|Он договаривается со своим шефом о более высокой зарплате.|Er verhandelt mit seinem Chef über einen höheren Lohn.|monatliches Gehalt; Gehalt beziehen; Gehalt erhöhen; hoher Gehalt an Vitaminen|Note the gender: 'das Gehalt' (neuter) means salary, while 'der Gehalt' (masculine) means content (e.g., Alkoholgehalt).
halten|Inhalt|B1|737|content; meaning; volume|содержание; смысл; содержимое|Gehalt; Aussage; Substanz|Der Inhalt des Briefes war überraschend positiv.|The content of the letter was surprisingly positive.|Содержимое письма было удивительно позитивным.|Was in dem Brief stand, war überraschend positiv.|Inhaltsverzeichnis; Inhalt einer Packung; den Inhalt wiedergeben|Masculine noun. Refers to both concrete physical contents of a vessel/package and abstract contents of a text, speech, or concept.
halten|Rückhalt|C1|11119|backing; support; security|поддержка; опора; тыл|Unterstützung; Rückendeckung; Beistand|In seiner Familie fand er immer starken Rückhalt.|He always found strong support in his family.|В своей семье он всегда находил сильную поддержку.|In seiner Familie fand er immer starke Unterstützung.|starken Rückhalt haben; politischen Rückhalt finden; Rückhalt bieten|Often used metaphorically for emotional or political backing (Rückendeckung).
halten|Überhälter|C2|196994|old tree left standing; seed tree|перестойное дерево; оставленное на корню дерево|Altbaum; Überhalt|Bei der Abholzung ließen die Waldarbeiter einige Überhälter stehen.|During deforestation, the forest workers left some seed trees standing.|При вырубке лесорубы оставили несколько старых деревьев стоять.|Bei der Abholzung ließen die Waldarbeiter einige alte Bäume stehen.|Überhälter im Wald; Überhälter belassen|Very specific forestry term for older trees left standing to provide seeds or protection for young growth. Extremely rare in modern speech.
halten|Zuhälter|C2|30873|pimp|сутенер|Kuppler; Mädchenhändler|Der Zuhälter wurde gestern Abend von der Polizei verhaftet.|The pimp was arrested by the police yesterday evening.|Сутенер был арестован полицией вчера вечером.|Der Kuppler wurde gestern Abend festgenommen.|gewalttätiger Zuhälter; Milieu; Prostitution|Colloquial and legal term for a pimp, with strongly negative, criminal connotations.
halten|Haltegriff|C2|44501|grab handle; handhold; grip|поручень; рукоятка; ручка|Handgriff; Griff; Haltestange|Passagiere sollten sich am Haltegriff festhalten.|Passengers should hold onto the grab handle.|Пассажирам следует держаться за поручень.|Passagiere sollten sich am Handgriff festhalten.|sich am Haltegriff festhalten; ergonomischer Haltegriff|Physical handle, typically found in public transport (buses, trains) or bathrooms for safety.
halten|Haltestange|C2|87653|grab rail; grab bar; support pole|поручень (в транспорте)|Haltegriff; Griffstange|In der U-Bahn hielt er sich an der Haltestange fest.|He held onto the grab bar in the subway.|В метро он держался за поручень.|In der U-Bahn nutzte er die Griffstange zum Festhalten.|sich an der Haltestange festhalten; vertikale Haltestange|Specific type of metal rod or pole in buses, trains, or trams designed for standing passengers to hold.
halten|Haltebucht|C2|84158|lay-by; bus bay; pull-off|остановочный карман; разъездной карман|Haltestelle; Ausweichbucht; Parkbucht|Der Bus fuhr langsam in die Haltebucht ein.|The bus pulled slowly into the bus bay.|Автобус медленно заехал в остановочный карман.|Der Bus fuhr langsam in die Ausweichbucht ein.|in die Haltebucht einscheren; Haltebucht für Busse|Compound noun. A recessed area on the side of a road specifically for buses to stop or cars to pull over.
halten|Halteverbot|C2|23928|no stopping zone; stopping restriction|остановка запрещена|Parkverbot; Parkeinschränkung|Vor dem Krankenhaus gilt ein absolutes Halteverbot.|An absolute stopping ban applies in front of the hospital.|Перед больницей действует абсолютный запрет на остановку.|Vor dem Krankenhaus darf man absolut nicht anhalten.|absolutes Halteverbot; eingeschränktes Halteverbot; Schild Halteverbot|Legal traffic term. 'Absolutes Halteverbot' means no stopping at all, whereas 'eingeschränktes Halteverbot' allows temporary stopping for loading or boarding, but no parking.
halten|abhalten|B2|4075|to hold (an event); to keep off; to prevent|проводить (мероприятие); удерживать; не допускать|durchführen; hindern; abwehren|Wir wollen morgen eine Besprechung abhalten.|We want to hold a meeting tomorrow.|Мы хотим провести совещание завтра.|Wir wollen morgen eine Besprechung durchführen.|ein Treffen abhalten; jemanden von der Arbeit abhalten; Regen abhalten|Dual meaning: 1. To conduct/host a formal meeting/event. 2. To prevent or deter someone 'von (+ Dat)' doing something.
halten|anhalten|B2|4247|to stop; to last; to urge|останавливать; продолжаться; призывать|stoppen; andauern; auffordern|Der Zug musste unerwartet auf freier Strecke anhalten.|The train had to stop unexpectedly on the open track.|Поезд вынужден был неожиданно остановиться на открытом перегоне.|Der Zug musste unerwartet auf freier Strecke stoppen.|den Atem anhalten; die Polizei hält ein Auto an; das schöne Wetter hält an|Intransitive (to stop walking/driving), transitive (to pull someone over), or used to describe weather/trends lasting ('das gute Wetter hält an'). Also 'jemanden zu etwas anhalten' (urge/teach someone to do sth).
halten|aufhalten|B2|3450|to stop; to delay; to stay (reflexive)|задерживать; останавливать; находиться (refl.)|stoppen; verzögern; verweilen|Bitte halten Sie mich nicht länger auf, ich habe es eilig.|Please don't delay me any longer, I'm in a hurry.|Пожалуйста, не задерживайте меня больше, я спешу.|Bitte verzögern Sie mich nicht länger, ich habe es eilig.|jemanden aufhalten; den Verkehr aufhalten; sich in Paris aufhalten|Very common. 'sich aufhalten' means to reside/be located temporarily. Transitive 'aufhalten' means to hold back/delay. Also 'die Tür aufhalten' (to hold the door open).
halten|auseinanderhalten|C2|39059|to tell apart; to distinguish|различать; отличать друг от друга|unterscheiden; trennen|Die Zwillinge sind so ähnlich, dass man sie kaum auseinanderhalten kann.|The twins are so similar that you can barely tell them apart.|Близнецы так похожи, что их едва можно отличить друг от друга.|Die Zwillinge sind so ähnlich, dass man sie kaum unterscheiden kann.|Zwillinge auseinanderhalten; Begriffe auseinanderhalten|Separable verb. Mostly used for physical or conceptual distinguishing where things look or sound extremely similar.
halten|aushalten|B2|6929|to endure; to bear; to withstand|выдерживать; терпеть; переносить|ertragen; tolerieren; durchstehen|Ich kann diesen Lärm nicht mehr aushalten.|I can't stand this noise anymore.|Я больше не могу выносить этот шум.|Ich kann diesen Lärm nicht mehr ertragen.|Schmerzen aushalten; Hitze aushalten; kaum auszuhalten|Separable verb. Strong emotional or physical endurance. Similar to 'ertragen'.
halten|behalten|B2|1727|to keep; to retain; to remember|сохранять; оставлять себе; запоминать|bewahren; merken; besitzen|Du darfst das Buch als Geschenk behalten.|You may keep the book as a gift.|Ты можешь оставить эту книгу себе в качестве подарка.|Du darfst das Buch als Geschenk für immer besitzen.|Recht behalten; die Nerven behalten; im Kopf behalten|Non-separable verb. 'etwas im Kopf behalten' or 'in Erinnerung behalten' means to remember/memorize.
halten|beieinanderhalten|C2|174120|to keep together|удерживать вместе; не давать разбрестись|beisammenhalten; zusammenhalten|Der Schäfer versuchte, die Schafe beieinanderhalten.|The shepherd tried to keep the sheep together.|Пастух пытался удерживать овец вместе.|Der Schäfer versuchte, die Schafe beisammenzuhalten.|die Herde beieinanderhalten; die Gruppe beieinanderhalten|Separable. Mostly literal physical keeping together of a herd or a group of people/objects in close proximity.
halten|beihalten|C2|146882|to contain|содержать в себе|beinhalten; dabeihalten|Das Paket soll alle nötigen Werkzeuge beihalten.|The package is supposed to contain all the necessary tools.|Посылка должна содержать все необходимые инструменты.|Das Paket soll alle nötigen Werkzeuge beinhalten.|beihaltende Dokumente|Extremely rare and highly regional or obsolete. In modern standard German, 'beinhalten' or 'enthalten' is strongly preferred.
halten|beinhalten|B2|3191|to include; to contain; to imply|содержать в себе; охватывать; влечь за собой|enthalten; umfassen; einschließen|Der Vertrag beinhaltet einige wichtige Klauseln.|The contract contains some important clauses.|Договор содержит несколько важных пунктов.|Der Vertrag umfasst einige wichtige Klauseln.|ein Angebot beinhaltet; eine Klausel beinhaltet; Risiko beinhalten|Non-separable verb. Used for abstract inclusion (contracts, offers, ideas). Avoid using it for simple concrete items (e.g. 'die Kiste beinhaltet Äpfel' is bad style; use 'enthält').
halten|beisammenhalten|C2|130443|to keep together; to stay united|держать вместе; сплачивать; удерживать рядом|zusammenhalten; beieinanderhalten|In schwierigen Zeiten muss man die Familie beisammenhalten.|In difficult times, one must keep the family together.|В трудные времена нужно держать семью вместе.|In schwierigen Zeiten muss man die Familie zusammenhalten.|die Familie beisammenhalten; das Geld beisammenhalten|Separable verb. Often used metaphorically for keeping family, friends, or finances ('das Geld beisammenhalten' = to be thrifty) united.
halten|bereithalten|C1|12387|to hold ready; to keep available|иметь наготове; держать наготове; приготовлять|parat haben; bereitlegen; vorhalten|Bitte halten Sie Ihr Ticket für die Kontrolle bereit.|Please keep your ticket ready for the inspection.|Пожалуйста, приготовьте ваш билет для проверки.|Bitte legen Sie Ihr Ticket für die Kontrolle parat.|Pass bereithalten; Kleingeld bereithalten; Informationen bereithalten|Separable. Commonly used in public transit, airports, or business contexts when preparing documents or items for instant use.
halten|dafürhalten|C2|155880|to think; to deem; opinion|считать; полагать; мнение|meinen; glauben; schätzen|Meinem Dafürhalten nach sollten wir sofort handeln.|In my opinion, we should act immediately.|По моему мнению, мы должны действовать немедленно.|Meiner Meinung nach sollten wir sofort handeln.|nach meinem Dafürhalten; dafürhalten, dass|Highly elevated/literary register. Mostly occurs as a noun in the dative phrase 'nach meinem/seinem Dafürhalten' (in my/his opinion).
halten|dagegenhalten|C2|27980|to counter; to object; to oppose|возражать; противопоставлять; сопротивляться|erwidern; widersprechen; kontern|Sie konnte den Vorwürfen nur wenig dagegenhalten.|She could offer little in response to the accusations.|Она мало что могла возразить на обвинения.|Sie konnte den Vorwürfen nur wenig entgegnen.|Argumente dagegenhalten; mutig dagegenhalten|Separable. Used in discussions, debates, or conflicts when offering counter-arguments or physical resistance.
halten|danebenhalten|C2|194035|to hold next to (for comparison)|держать рядом (для сравнения)|vergleichen; anlegen|Wenn Sie die beiden Stoffe danebenhalten, sehen Sie den Unterschied.|If you hold the two fabrics side by side, you will see the difference.|Если вы подержите обе ткани рядом, вы увидите разницу.|Wenn Sie die beiden Stoffe vergleichen, sehen Sie den Unterschied.|zwei Bilder danebenhalten; den Entwurf danebenhalten|Separable. Literally means holding something next to another object, typically to compare their colors, sizes, or qualities.
halten|dazuhalten|C2|217828|to keep near; to push (someone) to work/hurry|принуждать; торопить; побуждать|antreiben; anhalten; drängen|Man muss die Schüler dazuhalten, fleißig zu lernen.|You have to push the students to study hard.|Нужно побуждать учеников прилежно учиться.|Man muss die Schüler antreiben, fleißig zu lernen.|jemanden zur Arbeit dazuhalten; sich dazuhalten|Separable. Regional (especially Southern German/Austrian) or slightly dated. 'Sich dazuhalten' can also mean to hurry up.
halten|dichthalten|C2|107058|to keep a secret; to keep quiet|держать рот на замке; помалкивать|schweigen; nichts verraten; den Mund halten|Versprich mir, dass du gegenüber der Presse dichthältst.|Promise me that you will keep quiet with the press.|Обещай мне, что ты будешь держать рот на замке перед прессой.|Versprich mir, dass du gegenüber der Presse schweigst.|absolut dichthalten; bei Ermittlungen dichthalten|Colloquial. Used to describe loyalty in keeping information confidential or secret.
halten|dranhalten|C2|141650|to hold close to; to hurry up (reflexive)|прижимать; спешить (refl.)|beeilen; herhalten; anlegen|Wir müssen uns echt dranhalten, wenn wir den Zug schaffen wollen.|We really have to hurry if we want to catch the train.|Нам действительно нужно поторопиться, если мы хотим успеть на поезд.|Wir müssen uns echt beeilen, wenn wir den Zug schaffen wollen.|sich dranhalten müssen; das Ohr dranhalten|Colloquial. 'Sich dranhalten' (contracted from 'sich daranhalten') is very common for 'to hurry up' or 'to make an effort'.
halten|draufhalten|C2|63680|to aim at; to keep pointing (a camera/weapon)|наводить; держать прицел; продолжать съемку|zielen; filmen; richten|Die Kamera lief, und er hielt einfach voll drauf.|The camera was running, and he just kept pointing it straight at the action.|Камера работала, и он просто продолжал снимать прямо туда.|Die Kamera lief, und er filmte einfach direkt weiter.|mit der Kamera draufhalten; voll draufhalten|Colloquial. Contracted from 'daraufhalten'. Typically used for pointing cameras, lights, or weapons directly at something without flinching.
halten|durchhalten|B2|9442|to hold out; to persevere; to endure|продержаться; выстоять; выдержать до конца|ausharren; durchstehen; überstehen|Obwohl er müde war, konnte er das Rennen durchhalten.|Although he was tired, he managed to endure the race.|Хотя он устал, он смог выдержать эту гонку до конца.|Obwohl er müde war, konnte er das Rennen durchstehen.|bis zum Ende durchhalten; eisern durchhalten; psychisch durchhalten|Separable verb. Strong positive connotation of resilience, grit, and staying power in a difficult situation.
halten|einhalten|B2|3073|to comply with; to keep (a promise/deadline); to observe|соблюдать; выдерживать (сроки); придерживаться|befolgen; beachten; wahren|Wir müssen die Frist unbedingt einhalten.|We must absolutely meet the deadline.|Мы обязательно должны соблюсти установленный срок.|Wir müssen die Frist unbedingt beachten.|Regeln einhalten; Verträge einhalten; Termine einhalten|Separable verb. Extremely common in professional, legal, and academic contexts for obeying rules, limits, or temporal deadlines.
halten|emporhalten|C2|169141|to hold up high; to elevate|поднимать вверх; высоко держать|hochheben; herzeigen; aufrichten|Der Sieger durfte den Pokal stolz emporhalten.|The winner was proudly allowed to hold the trophy high.|Победителю разрешили с гордостью высоко поднять кубок.|Der Sieger durfte den Pokal stolz hochheben.|eine Flagge emporhalten; die Hände emporhalten|Separable verb. Literary or dramatic register. Used for physically raising objects or banners in a visible, celebratory, or symbolic manner.
halten|entgegenhalten|C2|22932|to object; to counter; to hold out against|возражать; противопоставлять; протягивать навстречу|einwenden; entgegnen; dagegenhalten|Er konnte den Argumenten des Lehrers nichts entgegenhalten.|He could offer nothing in response to the teacher's arguments.|Он ничего не мог возразить против аргументов учителя.|Er konnte den Argumenten des Lehrers nichts erwidern.|Einwände entgegenhalten; Kritik entgegenhalten|Separable verb. Means putting forward a counterargument (abstract) or holding something physical out to stop/resist someone.
halten|enthalten|B1|817|to contain; to refrain from (reflexive)|содержать; воздерживаться (refl.)|beinhalten; umfassen; verzichten|Diese Flasche enthält reinen Apfelsaft.|This bottle contains pure apple juice.|Эта бутылка содержит чистый яблочный сок.|In dieser Flasche befindet sich reiner Apfelsaft.|Spuren von Nüssen enthalten; sich der Stimme enthalten|Non-separable. Standard verb for physical containment. The reflexive 'sich enthalten (+ Genitiv)' means to abstain (e.g., from voting: 'sich der Stimme enthalten').
halten|erhalten|B2|202|to receive; to preserve; to maintain|получать; сохранять; содержать|bekommen; bewahren; empfangen|Gestern habe ich einen langen Brief erhalten.|Yesterday I received a long letter.|Вчера я получил длинное письмо.|Gestern habe ich einen langen Brief bekommen.|eine Antwort erhalten; Arbeitsplätze erhalten; den Frieden erhalten|Non-separable. Highly versatile. Equivalent to 'bekommen' (receive) but more formal. Also means to preserve/conserve (heritage, nature, structures).
halten|feilhalten|C2|108498|to offer for sale|выставлять на продажу; торговать|anbieten; verkaufen; feilbieten|Die Händler halten ihre Waren auf dem Markt feil.|The merchants offer their goods for sale at the market.|Торговцы выставляют свои товары на продажу на рынке.|Die Händler bieten ihre Waren auf dem Markt zum Verkauf an.|Waren feilhalten; auf dem Markt feilhalten|Separable. Archaic, literary, or highly traditional legal language. Modern German uses 'anbieten' or 'verkaufen'.
halten|fernhalten|C1|13443|to keep away; to stay away (reflexive)|держать вдали; не подпускать; держаться в стороне (refl.)|meiden; fernbleiben; abhalten|Du solltest dich von diesem gefährlichen Ort fernhalten.|You should stay away from this dangerous place.|Тебе следует держаться подальше от этого опасного места.|Du solltest diesen gefährlichen Ort meiden.|sich von Problemen fernhalten; Kinder von Gefahren fernhalten|Separable. Governs 'von (+ Dat)'. 'Sich fernhalten' means staying away from people, places, or issues.
halten|festhalten|B2|2448|to hold tight; to record; to detain|крепко держать; фиксировать; задерживать|halten; dokumentieren; festnehmen|Bitte halten Sie sich während der Fahrt gut fest.|Please hold on tight during the ride.|Пожалуйста, крепко держитесь во время поездки.|Bitte sichern Sie sich während der Fahrt durch Festhalten.|Erinnerungen festhalten; jemanden an der Hand festhalten; Regeln festhalten|Separable. Means physical holding, recording a moment/written rule, or detaining a suspect. Governs 'an (+ Dat)' to mean clinging to/clinging onto ideas/opinions.
halten|freihalten|C1|19264|to keep free; to reserve; to pay for (someone)|держать свободным; резервировать; угощать|reservieren; einladen; freimachen|Können Sie mir bitte einen Sitzplatz freihalten?|Could you please keep a seat free for me?|Не могли бы вы придержать для меня место?|Können Sie mir bitte einen Sitzplatz reservieren?|den Rücken freihalten; jemanden freihalten; Parkplatz freihalten|Separable. Idiom: 'jemandem den Rücken freihalten' (to cover someone's back). 'Jemanden freihalten' means to pay for someone's drinks/food as a treat.
halten|gefangenhalten|C2|72352|to keep prisoner; to hold captive|держать в плену; держать под стражей|gefangen halten; inhaftieren; einsperren|Die Entführer hielten das Opfer im Keller gefangen.|The kidnappers kept the victim captive in the basement.|Похитители держали жертву в плену в подвале.|Die Entführer sperrten das Opfer im Keller ein.|Geiseln gefangenhalten; jemanden unrechtmäßig gefangenhalten|Separable, can also be written as two words (gefangen halten). Literal holding of captives or metaphorical restrictions of freedom.
halten|gegeneinanderhalten|C2|245114|to compare; to hold against each other|сопоставлять; сравнивать друг с другом|vergleichen; gegenüberstellen|Wenn wir die beiden Versionen gegeneinanderhalten, fallen Unterschiede auf.|If we compare the two versions against each other, differences stand out.|Если мы сопоставим обе версии друг с другом, станут заметны различия.|Wenn wir die beiden Versionen vergleichen, fallen Unterschiede auf.|Argumente gegeneinanderhalten; Muster gegeneinanderhalten|Separable. Often physical holding up of two items to compare, or abstractly contrasting ideas or pieces of evidence.
halten|gegenhalten|C2|51341|to resist; to counter; to hold against|оказывать сопротивление; прижимать с обратной стороны; возражать|widerstehen; kontern; dagegenhalten|Bei starkem Wind muss man das Steuer fest gegenhalten.|In strong winds, you have to hold the wheel steady against the draft.|При сильном ветре нужно крепко удерживать руль против потока.|Bei starkem Wind muss man kräftig gegensteuern.|mit Argumenten gegenhalten; physisch gegenhalten|Separable. Can be used for physical pressure/counter-holding (e.g. holding a backing tool against a hammer) or argumentative resistance.
halten|gehalten|C1|7735|required; obliged; moderate (style)|обязанный (офиц.); сдержанный (стиль)|verpflichtet; angehalten; zurückhaltend|Beamte sind gehalten, sich neutral zu verhalten.|Civil servants are obliged to remain neutral.|Чиновники обязаны вести себя нейтрально.|Beamte sind verpflichtet, sich neutral zu verhalten.|gehalten sein zu; farblich dezent gehalten|Past participle of 'halten', but acts as an adjective/construction: 'zu etwas gehalten sein' means to be officially or morally expected to do something.
halten|geheimhalten|C2|48351|to keep secret; to conceal|держать в секрете; умалчивать|verschweigen; verbergen; verheimlichen|Wir müssen diese Pläne vorerst geheimhalten.|We must keep these plans secret for the time being.|Мы должны пока держать эти планы в секрете.|Wir müssen diese Pläne vorerst verschweigen.|eine Nachricht geheimhalten; Entdeckungen geheimhalten|Separable. Can also be written as two words (geheim halten). Governs 'vor (+ Dat)' (keep secret from someone).
halten|haushalten|C2|41310|to budget; to manage resources; to economize|экономно расходовать; вести хозяйство; экономить|wirtschaften; sparen; einteilen|Mit dem knappen Budget müssen wir vorsichtig haushalten.|We must budget carefully with the tight finances.|Мы должны бережно обходиться с ограниченным бюджетом.|Mit dem knappen Budget müssen wir sparsam umgehen.|gut haushalten; mit Kräften haushalten; mit Geld haushalten|Separable. Refers to the careful, economic allocation of financial resources, energy, or supplies.
halten|hältern|C2|152811|to keep fish alive (in a tank/basket)|содержать живую рыбу (в садке)|aufbewahren; am Leben erhalten|Der Angler hältert die gefangenen Fische in einem Netz.|The angler keeps the caught fish alive in a net.|Рыболов держит пойманную рыбу живой в садке.|Der Angler bewahrt die gefangenen Fische im Wasser auf.|Fische hältern; im Setzkescher hältern|Specialized fishing/aquaculture verb. Describes keeping live fish in a container (Hälter) of water before processing.
halten|heraushalten|C1|22535|to keep out of; to stay out (reflexive)|держать в стороне; не вмешиваться (refl.)|heraushalten; raushalten; ignorieren|Bitte halte mich aus euren privaten Konflikten heraus.|Please keep me out of your private conflicts.|Пожалуйста, не вмешивай меня в ваши частные конфликты.|Bitte lass mich bei euren privaten Konflikten im Hintergrund.|sich aus einer Angelegenheit heraushalten; jemanden heraushalten|Separable. Governs 'aus (+ Dat)'. 'Sich heraushalten' is very common for 'mind your own business' or 'stay neutral'.
halten|herhalten|C1|13360|to serve as; to bear the brunt|служить (в качестве замены); отдуваться; подставлять|dienen als; einstehen; hergeben|Er musste wieder einmal als Sündenbock herhalten.|Once again, he had to serve as the scapegoat.|Ему снова пришлось отдуваться в качестве козла отпущения.|Er musste wieder einmal als Sündenbock dienen.|als Ausrede herhalten; herhalten müssen für|Separable. Typically used with 'als' when someone or something has to serve as a sub-optimal solution, excuse, or victim.
halten|hinhalten|C1|21026|to stall (someone); to hold out|протягивать; тянуть время; задерживать (кого-то)|vertrösten; hinziehen; ausstrecken|Er wollte nicht sofort antworten, um den Käufer hinzuhalten.|He didn't want to reply immediately in order to stall the buyer.|Он не хотел отвечать сразу, чтобы потянуть время с покупателем.|Er wollte nicht sofort antworten, um den Käufer zu vertrösten.|jemanden mit Versprechungen hinhalten; die Hand hinhalten|Separable. Dual meaning: 1. physically extending (e.g., holding out your hand). 2. delaying or stalling someone by making vague promises.
halten|hochhalten|C1|16915|to hold high; to cherish; to respect|высоко держать; чтить; бережно хранить|emporheben; ehren; pflegen|Wir müssen unsere alten Traditionen hochhalten.|We must cherish and maintain our old traditions.|Мы должны свято чтить наши старые традиции.|Wir müssen unsere alten Traditionen pflegen.|Werte hochhalten; Traditionen hochhalten; ein Schild hochhalten|Separable. Physical holding high of something, or more frequently, the figurative upholding, respecting, or honoring of values or traditions.
halten|innehalten|C2|24613|to pause; to stop briefly; to halt|делать паузу; приостанавливаться|pausieren; stoppen; einhalten|Mitten im Satz musste der Redner kurz innehalten.|In the middle of the sentence, the speaker had to pause briefly.|Посреди предложения оратору пришлось сделать короткую паузу.|Mitten im Satz musste der Redner kurz pausieren.|kurz innehalten; im Gebet innehalten; bei der Arbeit innehalten|Separable. Sophisticated / literary verb for taking a brief, reflective pause or stopping in the middle of an activity.
halten|mithalten|B2|5987|to keep up; to compete; to keep pace|не отставать; идти в ногу; соперничать|Schritt halten; konkurrieren; folgen|Beim Tempo der Profis konnte er leider nicht mithalten.|Unfortunately, he couldn't keep up with the pace of the pros.|К сожалению, он не мог угнаться за темпом профессионалов.|Beim Tempo der Profis konnte er leider nicht Schritt halten.|im Wettbewerb mithalten; preislich mithalten; nicht mithalten können|Separable. Used with 'mit (+ Dat)' to indicate keeping pace, matching performance, or staying level in competition or speed.
