word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
stecken|stecken|B2|34338|to put, stick, plug; to be located|совать, втыкать, класть; торчать, находиться|hineintun; befinden; steckenlassen|Er steckte den Schlüssel ins Schloss.|He put the key in the lock.|Он вставил ключ в замок.|Er schob den Schlüssel ins Schloss.|den Schlüssel stecken; im Stau stecken; in Schwierigkeiten stecken|Can be used transitively (with Akkusativ, e.g., 'etwas in die Tasche stecken') indicating movement, or intransitively (with Dativ, e.g., 'in der Klemme stecken') indicating location.
stecken|Steckbrief|C1|12732|profile, wanted poster, fact sheet|ориентировка, досье, краткое описание|Profil; Personenbeschreibung; Fahndungsplakat|Die Polizei veröffentlichte einen Steckbrief des Täters.|The police published a wanted poster of the perpetrator.|Полия опубликовала ориентировку на преступника.|Die Polizei veröffentlichte ein Fahndungsplakat des Täters.|einen Steckbrief erstellen; einen Steckbrief veröffentlichen; ein kurzer Steckbrief|Originally a 'wanted poster' used by the police, 'Steckbrief' is now frequently used in schools and media to refer to a concise profile or fact sheet of a person, animal, or object.
stecken|Steckdose|B2|11731|wall socket, power outlet|розетка|Anschlussdose; Dose|Stecke das Ladekabel bitte in die Steckdose.|Please plug the charging cable into the wall socket.|Пожалуйста, вставь кабель зарядки в розетку.|Stecke das Ladekabel bitte in die Anschlussdose.|eine Steckdose installieren; den Stecker aus der Steckdose ziehen; eine dreifache Steckdose|A feminine noun. It refers strictly to the electrical outlet on the wall. The device that goes into it is the 'Stecker'.
stecken|Stecker|C1|13728|plug|штекер, вилка|Netzstecker; Steckerverbindung|Zieh den Stecker aus der Steckdose, wenn du fertig bist.|Pull the plug out of the socket when you are finished.|Вытащи вилку из розетки, когда закончишь.|Zieh den Netzstecker aus der Steckdose, wenn du fertig bist.|den Stecker ziehen; den Stecker einstecken; passender Stecker|Masculine noun. In idiomatic German, 'den Stecker ziehen' also means to pull the plug on a project or to end something.
stecken|Steckkamm|C2|199121|hair slide comb, side comb|гребень для волос|Haarkamm; Einsteckkamm|Sie befestigte ihre Frisur mit einem Steckkamm.|She secured her hairstyle with a side comb.|Она закрепила прическу гребнем.|Sie befestigte ihre Frisur mit einem Haarkamm.|einen Steckkamm benutzen; Steckkamm aus Kunststoff; Steckkamm im Haar|A compound noun from 'stecken' and 'Kamm'. It refers to a small, curved comb used by women to hold hair in place or as an ornament.
stecken|Steckkarte|C2|107756|plug-in card, expansion card|вставная плата, перфокарта|Einsteckkarte; Erweiterungskarte|Die neue Steckkarte wird in den Hauptrechner eingebaut.|The new expansion card is being installed in the main computer.|Новая вставная плата устанавливается в системный блок.|Die neue Einsteckkarte wird in den Hauptrechner eingebaut.|eine Steckkarte installieren; Steckkarte für den Computer; elektronische Steckkarte|Often used in electronics and computer hardware (expansion cards) or historically in sorting and organizing systems (slotted cards).
stecken|Steckkissen|C2|179900|carrying cushion, infant receiving pillow|конверт для младенца, подушка-конверт|Tragekissen; Taufkissen|Das Baby schlief friedlich in seinem warmen Steckkissen.|The baby slept peacefully in its warm carrying cushion.|Младенец мирно спал в своем теплом конверте-подушке.|Das Baby schlief friedlich in seinem warmen Tragekissen.|ein weiches Steckkissen; das Baby ins Steckkissen legen; Steckkissen aus Baumwolle|A traditional, padded, sleeping-bag-like cushion for carrying newborn babies, common in German-speaking countries.
stecken|Steckkontakt|C2|141270|plug connection, plug-in contact|штепсельный контакт, разъем|Steckverbindung; Anschlusskontakt|Überprüfen Sie, ob der Steckkontakt richtig sitzt.|Check if the plug-in contact is properly seated.|Проверьте, правильно ли установлен штепсельный контакт.|Überprüfen Sie, ob die Steckverbindung richtig sitzt.|einen Steckkontakt lösen; loser Steckkontakt; elektrischer Steckkontakt|Used in electrical engineering and electronics to describe the physical connection point between plug components.
stecken|Steckling|C2|50278|cutting, slip (botany)|черенок (растения)|Ableger; Sprössling; Setzling|Aus diesem Steckling wird bald eine schöne Zimmerpflanze wachsen.|A beautiful houseplant will soon grow from this cutting.|Из этого черенка скоро вырастет красивое комнатное растение.|Aus diesem Ableger wird bald eine schöne Zimmerpflanze wachsen.|Stecklinge schneiden; Stecklinge einpflanzen; Stecklinge wurzeln lassen|A botanical term for a vegetative piece of a plant used for propagation. The suffix '-ling' often denotes small things or young living beings.
stecken|Steckmuschel|C2|192761|fan mussel, pen shell|благородная пинна|Pinna; Edle Steckmuschel|Die Steckmuschel ist eine der größten Muschelarten im Mittelmeer.|The fan mussel is one of the largest bivalve species in the Mediterranean.|Благородная пинна — один из крупнейших видов моллюсков в Средиземном море.|Die Pinna ist eine der größten Muschelarten im Mittelmeer.|geschützte Steckmuschel; die Steckmuschel lebt im Sand; riesige Steckmuschel|A large marine bivalve mollusc. It lives anchored vertically in the seabed, hence the name 'stecken' (to stick in) + 'Muschel' (mussel).
