word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
lachen|lachen|A2|4494|to laugh|смеяться|kichern; schmunzeln; grinsen|Wir lachen über den lustigen Witz.|We are laughing at the funny joke.|Мы смеемся над смешной шуткой.|Wir kichern über den lustigen Witz.|laut lachen; herzlich lachen; über jemanden lachen; Tränen lachen|'lachen' is the standard German verb for 'to laugh'. It is used with the preposition 'über' + accusative to specify the object or person being laughed at. Contrast this with 'lächeln' (to smile), which does not make an audible sound.
lachen|Gelächter|C1|14612|laughter; bursts of laughter|хохот; смех|Lachen; Gekicher; Gebrüll|Ein lautes Gelächter erfüllte den ganzen Raum.|Loud laughter filled the entire room.|Громкий хохот наполнил всю комнату.|Ein lautes Lachen erfüllte den ganzen Raum.|lautes Gelächter; in Gelächter ausbrechen; schallendes Gelächter; homerisches Gelächter|'Gelächter' (neutrum, singular only) refers to collective, noisy, or loud laughter. It has a slightly more literary and formal tone than 'Lachen' and can sometimes carry a negative connotation of mockery or derision.
lachen|Lachanfall|C2|62224|fit of laughter; giggling fit|приступ смеха|Lachkrampf; Lachflash|Mitten im Unterricht bekam sie einen plötzlichen Lachanfall.|In the middle of class, she got a sudden fit of laughter.|Посреди урока у неё случился внезапный приступ смеха.|Mitten im Unterricht bekam sie einen plötzlichen Lachkrampf.|einen Lachanfall bekommen; einen Lachanfall unterdrücken; plötzlicher Lachanfall|'der Lachanfall' is a compound noun made of 'lachen' and 'Anfall' (attack/fit). It denotes a sudden and hard-to-control fit of laughing. In modern youth language, the English-influenced term 'Lachflash' is often used synonymously.
lachen|Lache|B1|24988|laugh; manner of laughing|смех; манера смеяться|Lachen; Gelächter|Er hat eine sehr markante und laute Lache.|He has a very distinctive and loud laugh.|У него очень приметный и громкий смех.|Er hat ein sehr markantes und lautes Lachen.|eine laute Lache; eine dreckige Lache; eine schrille Lache|'die Lache' specifically describes a person's individual style, voice, or sound of laughing. It is mostly used colloquially and can imply a distinct or even annoying characteristic of someone's laugh. Do not confuse with the homonym 'die Lache' which means 'puddle'.
lachen|Lacher|C1|12795|laugh; chuckle; audience laughter|смешок; одобрительный смех аудитории|Lacherfolg; Schmunzler|Mit diesem Witz hatte er die Lacher auf seiner Seite.|With this joke, he had the audience laughing with him.|С этой шуткой он завоевал смех и одобрение аудитории.|Mit diesem Witz hatte er das Publikum auf seiner Seite.|die Lacher auf seiner Seite haben; für einen Lacher sorgen; ein kurzer Lacher|'der Lacher' refers to a single reaction of laughter, typically from an audience. The idiomatic expression 'die Lacher auf seiner Seite haben' is widely used to describe someone who wins support or sympathy by making others laugh.
lachen|lächeln|B1|4310|to smile|улыбаться|schmunzeln; grinsen|Sie musste lächeln, als sie das Foto sah.|She had to smile when she saw the photo.|Она улыбнулась, когда увидела фотографию.|Sie musste schmunzeln, als sie das Foto sah.|freundlich lächeln; geheimnisvoll lächeln; gequält lächeln; jemanden anlächeln|'lächeln' is the German equivalent of 'to smile' (making a silent movement of the lips showing pleasure). It can be used transitively in the form 'jemanden anlächeln' (to smile at someone).
lachen|Lacherfolg|C2|98320|comic success; humorous hit|комический успех; успех у публики благодаря юмору|Publikumserfolg; Brüller|Die neue Komödie am Theater war ein großer Lacherfolg.|The new comedy at the theater was a big comic success.|Новая комедия в театре имела огромный комический успех.|Die neue Komödie am Theater war ein großer Publikumserfolg.|ein großer Lacherfolg; einen Lacherfolg erzielen|'Lacherfolg' is a compound of 'Lacher' and 'Erfolg' (success). It is mainly used in cultural contexts (theater, cinema, stand-up comedy) to describe a performance that successfully gains laughs from the audience.
lachen|lächerlich|B2|6651|ridiculous; laughable; absurd|смехотворный; нелепый; смешной|absurd; lachhaft; grotesk; albern|Es ist lächerlich, sich wegen einer Kleinigkeit zu streiten.|It is ridiculous to argue over a trivial matter.|Глупо и смехотворно ссориться из-за пустяка.|Es ist absurd, sich wegen einer Kleinigkeit zu streiten.|sich lächerlich machen; lächerlich gering; lächerlich einfach; vollkommen lächerlich|'lächerlich' can describe something absurdly silly or negligible ('lächerlich gering' = ridiculously small). The reflexive construct 'sich lächerlich machen' means 'to make a fool of oneself'.
lachen|Lachgas|C2|63476|nitrous oxide; laughing gas|закись азота; веселящий газ|Distickstoffmonoxid|Der Zahnarzt benutzt Lachgas zur Betäubung.|The dentist uses laughing gas for anesthesia.|Стоматолог использует веселящий газ для анестезии.|Der Zahnarzt benutzt Distickstoffmonoxid zur Betäubung.|Lachgas einatmen; Lachgas beim Zahnarzt; Wirkung von Lachgas|'Lachgas' is the common term for nitrous oxide used in medical sedation or as a recreational inhalant. The scientific term is 'Distickstoffmonoxid'.
lachen|lachhaft|C2|46890|laughable; ridiculous; ludicrous|смехотворный; курьёзный|lächerlich; absurd; lachwürdig|Das Angebot des Käufers war geradezu lachhaft.|The buyer's offer was downright laughable.|Предложение покупателя было просто смехотворным.|Das Angebot des Käufers war geradezu lächerlich.|ein lachhaftes Angebot; lachhafte Bedingungen; lachhaft gering|'lachhaft' is highly synonymous with 'lächerlich', but is often used in a more emphatic, slightly more elevated or formal register to express extreme outrage, disbelief, or mock-scorn at a proposal or price.
lachen|Lachkrampf|C2|77844|fit of uncontrollable laughter; hysterical laughter|судорожный смех; истерический смех; приступ безудержного смеха|Lachanfall; Lachflash|Die Komödie war so lustig, dass wir alle einen Lachkrampf bekamen.|The comedy was so funny that we all got a fit of uncontrollable laughter.|Комедия была такой смешной, что у нас всех начался приступ безудержного смеха.|Die Komödie war so lustig, dass wir alle einen Lachanfall bekamen.|einen Lachkrampf bekommen; einen Lachkrampf kriegen; einen Lachkrampf auslösen|Combining 'lachen' and 'Krampf' (spasm/cramp), 'Lachkrampf' suggests a physical, spasmodic, or exhausting state of non-stop laughter. It implies an even stronger physical reaction than 'Lachanfall'.
lachen|Lachlust|C2|173649|desire to laugh; inclination to laugh|желание посмеяться; позыв к смеху|Heiterkeit; Lachreiz|Sie versuchte vergeblich, ihre aufkommende Lachlust zu unterdrücken.|She tried in vain to suppress her rising inclination to laugh.|Она тщетно пыталась подавить подступающее желание рассмеяться.|Sie versuchte vergeblich, ihren aufkommenden Lachreiz zu unterdrücken.|die Lachlust unterdrücken; die Lachlust bezwingen; von Lachlust gepackt werden|'Lachlust' is a literary compound describing the internal state of feeling tickled or finding something so amusing that one wants to burst out laughing.
lachen|Lachmuskel|C2|25969|laughing muscle; risorius muscle|мышца смеха|Gesichtsmuskel; Musculus risorius|Diese lustige Show strapaziert die Lachmuskeln der Zuschauer.|This funny show strains the laughing muscles of the audience.|Это забавное шоу напрягает мышцы смеха зрителей.|Diese lustige Show beansprucht die Gesichtsmuskeln der Zuschauer.|die Lachmuskeln strapazieren; die Lachmuskeln trainieren; müde Lachmuskeln|'Lachmuskel' is usually pluralized. The idiom 'die Lachmuskeln strapazieren' is standard phrasing in reviews and theater programs to mean that an event is highly entertaining and funny.
