word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
führen|führen|B1|160|to lead; to guide; to conduct; to run|вести; вести за собой; руководить; управлять|leiten; lenken; steuern; bringen; dirigieren|Sie führt die Touristengruppe durch die Altstadt.|She guides the group of tourists through the old town.|Она ведет группу туристов по старому городу.|Sie leitet die Touristengruppe durch die Altstadt.|ein Gespräch führen; ein Leben führen; eine Ehe führen; zu einem Ergebnis führen|'Führen' is a highly versatile verb. In literal terms, it means to guide physically. Idiomatically, it functions as a functional verb (Funktionsverb) in expressions like 'ein Gespräch führen' (to have a conversation). It takes the accusative object for the entity being led, or 'zu' + dative for 'to lead to/result in'.
führen|abführen|C1|12472|to lead away; to deport; to pay (taxes); to purge|уводить; отводить; выплачивать (налоги); действовать как слабительное|wegführen; abtransportieren; bezahlen; abgeben; reinigen|Der Verdächtige wurde von der Polizei abgeführt.|The suspect was led away by the police.|Подозреваемый был уведен полицией.|Der Verdächtige wurde von der Polizei weggeführt.|Steuern abführen; Abgaben abführen; einen Verdächtigen abführen; Giftstoffe abführen|Separable verb. It has two primary modern uses: 1) police taking someone away in custody, and 2) financial, meaning to transfer or pay taxes/levies to an authority.
führen|anführen|B2|4995|to lead; to head; to cite; to trick|возглавлять; приводить (аргументы); обманывать|leiten; anführen; nennen; zitieren; täuschen; verarschen|Er führt die Liste der Kandidaten an.|He heads the list of candidates.|Он возглавляет список кандидатов.|Er leitet die Liste der Kandidaten.|Argumente anführen; Gründe anführen; eine Tabelle anführen; eine Gruppe anführen|Separable verb. Frequently used in formal contexts to mean 'to cite' (e.g. reasons) or in sports and politics to mean 'to lead' or 'to head' (a list, a table, a group).
führen|aufführen|B2|3638|to perform; to stage; to list; to behave (sich aufführen)|исполнять (на сцене); перечислять; вести себя|spielen; darbieten; auflisten; sich benehmen; betragen|Die Theatergruppe führt heute Abend ein neues Stück auf.|The theater group is performing a new play tonight.|Театральная группа сегодня вечером представляет новую пьесу.|Die Theatergruppe spielt heute Abend ein neues Stück.|ein Theaterstück aufführen; Argumente einzeln aufführen; sich unmöglich aufführen|Separable verb. Staging/performing a play/concert (cultural). Or listing items sequentially (admin). Reflexively ('sich aufführen'), it implies acting in an inappropriate or dramatic way.
führen|ausführen|B2|2525|to export; to execute/perform; to take out; to elaborate|экспортировать; выполнять; выгуливать; подробно излагать|exportieren; erledigen; ausführen; darlegen; spazierentragen|Sie müssen den Befehl sofort ausführen.|You must execute the order immediately.|Вы должны немедленно выполнить приказ.|Sie müssen den Befehl sofort erledigen.|eine Reparatur ausführen; Waren ausführen; den Hund ausführen; einen Plan ausführen|Separable verb. Highly versatile. Covers trade (exporting), physical/technical tasks (carrying out an action), taking a dog or partner out ('ausgehen lassen'), or elaborating on a point in speech/writing.
führen|durchführen|B1|1183|to carry out; to conduct; to execute; to implement|проводить (мероприятие); выполнять; осуществлять|ausführen; realisieren; vollziehen; veranstalten; abhalten|Wir müssen diese Untersuchung gründlich durchführen.|We must conduct this investigation thoroughly.|Мы должны тщательно провести это исследование.|Wir müssen diese Untersuchung gründlich ausführen.|eine Studie durchführen; ein Projekt durchführen; Reparaturen durchführen; Experimente durchführen|Separable verb. Extremely common in academic, business, and technical German. Preferred over 'machen' for planned activities, studies, trials, processes, and structured events.
führen|einführen|B2|2155|to import; to introduce; to insert|импортировать; внедрять; вводить; вставлять|importieren; etablieren; vorstellen; hineintun; anbahnen|Das Unternehmen will ein neues Softwaresystem einführen.|The company wants to introduce a new software system.|Компания хочет внедрить новую программную систему.|Das Unternehmen will ein neues Softwaresystem etablieren.|ein Gesetz einführen; Waren einführen; jemanden in ein Amt einführen; ein neues Produkt einführen|Separable verb. Covers commercial importing (opposite of 'ausführen'), establishing rules/systems, physically inserting something, or onboarding someone into a position.
führen|entführen|B1|5890|to kidnap; to hijack; to abduct|похищать; угонять|kidnappen; verschleppen; wegrauben; rauben|Kriminelle haben das Kind entführt, um Lösegeld zu fordern.|Criminals kidnapped the child to demand ransom.|Преступники похитили ребенка, чтобы потребовать выкуп.|Kriminelle haben das Kind verschleppt, um Lösegeld zu fordern.|ein Flugzeug entführen; ein Kind entführen; entführt werden; Geiseln entführen|Inseparable verb. Specifically refers to kidnapping people or hijacking vehicles (planes, ships). Note the prefix 'ent-', which signifies removal or taking away.
führen|entgegenführen|C2|120310|to lead towards (someone/something oncoming)|вести навстречу|entgegenbringen; entgegenleiten; zubewegen|Der General beschloss, seine Truppen dem Feind entgegenzuführen.|The general decided to lead his troops towards the oncoming enemy.|Генерал решил повести свои войска навстречу врагу.|Der General beschloss, seine Truppen auf den Feind zuzubewegen.|dem Gegner entgegenführen; Truppen entgegenführen|Separable verb. Rare, elevated, or military register. It means to direct or lead someone or something to meet or confront someone else coming from the opposite direction. Requires dative case ('dem Feind entgegenführen').
führen|entlangführen|C2|71475|to lead along; to run along (a path/river)|вести вдоль; проходить вдоль|vorbeiführen; entlanggehen; verlaufen|Ein schmaler Pfad führt am Fluss entlang.|A narrow path leads along the river.|Узкая тропинка ведет вдоль реки.|Ein schmaler Pfad verläuft am Flussufer.|am Fluss entlangführen; an der Küste entlangführen; einen Weg entlangführen|Separable verb. Often used intransitively to describe the course of a path, road, or border. Normally paired with 'an' + dative + 'entlang' or accusative + 'entlang'.
führen|fortführen|B2|7179|to continue; to carry on; to lead away|продолжать; уводить|fortsetzen; weitermachen; weiterführen; aufrechterhalten|Wir werden die Verhandlungen morgen fortführen.|We will continue the negotiations tomorrow.|Мы продолжим переговоры завтра.|Wir werden die Verhandlungen morgen fortsetzen.|eine Tradition fortführen; ein Gespräch fortführen; die Arbeit fortführen|Separable verb. Mainly used in formal and business contexts to mean 'to continue doing something initiated earlier'. Highly synonymous with 'fortsetzen' and 'weiterführen'.
führen|heimführen|C2|120870|to lead home; to bring home (often as a bride)|вести домой; приводить домой (невесту)|nach Hause bringen; heimholen; heiraten; zurückbringen|Der Bräutigam wollte seine Braut stolz heimführen.|The groom wanted to proudly lead his bride home.|Жених хотел с гордостью привести свою невесту домой.|Der Bräutigam wollte seine Braut stolz nach Hause bringen.|die Braut heimführen; jemanden ins Reich heimführen|Separable verb. Extremely archaic, poetic, or historical. Historically meant bringing a bride into the husband's household. In modern contexts, it is rarely used.
führen|heranführen|C1|12039|to introduce to; to guide up to; to bring closer|приводить; знакомить; приобщать; подводить|vertraut machen; heranbringen; nahebringen; heranziehen|Man sollte Kinder frühzeitig an Musik heranführen.|Children should be introduced to music at an early age.|Детей следует знакомить с музыкой в раннем возрасте.|Man sollte Kinder frühzeitig mit Musik vertraut machen.|jemanden an ein Thema heranführen; Jugendliche an die Kunst heranführen; an eine Aufgabe heranführen|Separable verb. Usually constructed as 'jemanden an etwas (Akkusativ) heranführen', meaning to gently expose or guide someone to get to know a field, activity, or topic.
führen|heraufführen|C2|131738|to lead up; to bring up (from below)|вести наверх; поднимать вверх|hinaufführen; nach oben bringen; heraufholen|Die Treppe soll uns direkt in die Wohnung heraufführen.|The stairs should lead us directly up into the apartment.|Лестница должна вести нас прямо наверх в квартиру.|Die Treppe soll uns direkt in die Wohnung hinaufführen.|eine Treppe heraufführen; jemanden heraufführen|Separable verb. Combines 'herauf-' (upwards towards the speaker) and 'führen'. Used for paths, stairs, or physically guiding someone up.
