word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
holen|holen|B1|32135|to fetch; to get; to obtain|приносить; приводить; брать; доставать|bringen; herbeischaffen; besorgen|Ich hole schnell ein Glas Wasser.|I'll quickly get a glass of water.|Я быстро принесу стакан воды.|Ich bringe schnell ein Glas Wasser.|Hilfe holen; Luft holen; sich eine Grippe holen; tief Luft holen|A highly common, neutral to colloquial verb. Means to go somewhere to bring something or someone back. Often used with a dative reflexive pronoun (sich etwas holen) meaning 'to get/buy oneself something' or 'to contract an illness'.
holen|abholen|A2|3486|to pick up; to collect|забирать; встречать (на вокзале и т.п.)|abrufen; mitnehmen; empfangen|Kannst du mich vom Bahnhof abholen?|Can you pick me up from the station?|Ты можешь встретить меня с вокзала?|Kannst du mich am Bahnhof treffen und mitnehmen?|ein Paket abholen; jemanden vom Flughafen abholen; Kinder vom Kindergarten abholen|Separable verb. Implies going to a specific place to get someone or something that is waiting there for you. Highly frequent in everyday communication.
holen|anholen|C2|147896|to haul in; to pull tight (nautical)|натягивать (канат); подтягивать|anziehen; herbeiziehen; straff ziehen|Die Matrosen mussten die Taue anholen.|The sailors had to haul in the ropes.|Матросам пришлось натянуть канаты.|Die Matrosen mussten die Taue straff anziehen.|die Leine anholen; die Taue anholen; das Segel anholen|Separable verb. Primarily used as a technical maritime/nautical term meaning to pull a rope, line, or sail tight.
holen|aufholen|B2|9321|to catch up; to make up for|догонять; наверстывать|einholen; wettmachen; kompensieren|Wir müssen den Rückstand schnell aufholen.|We need to catch up on the backlog quickly.|Нам нужно быстро наверстать упущенное.|Wir müssen den Rückstand schnell wettmachen.|Rückstand aufholen; verlorene Zeit aufholen; Vorsprung aufholen|Separable verb. Figuratively used to make up for a disadvantage, lag, or loss of time. Also used literally in sports (to catch up to competitors).
holen|ausholen|C2|27717|to swing (arm); to reach out; to elaborate|замахиваться; делать широкий жест; пускаться в подробные объяснения|aushauen; weit ausgreifen; abschweifen|Er musste weit ausholen, um die ganze Geschichte zu erklären.|He had to elaborate widely to explain the whole story.|Ему пришлось начать издалека, чтобы объяснить всю историю.|Er musste weit ausgreifen, um die ganze Geschichte zu erklären.|zum Schlag ausholen; weit ausholen; mit dem Arm ausholen|Separable verb. Literally refers to raising or pulling back one's arm to prepare for a hit or throw. Figuratively, 'weit ausholen' means to give a very detailed, back-ground-heavy explanation.
holen|einholen|B2|5088|to catch up with; to obtain; to gather|настигать; запрашивать; собирать (сведения); совершать покупки|erreichen; einholen (Informationen); besorgen|Der Läufer konnte den Führenden einholen.|The runner was able to catch up with the leader.|Бегун смог догнать лидера.|Der Läufer konnte den Führenden erreichen.|Erkundigungen einholen; Meinungen einholen; Erlaubnis einholen; jemanden auf der Straße einholen|Separable verb. Multi-use: 1) physical catch-up to a moving target, 2) formal retrieval of information, permission, or opinions (e.g., Rat einholen). Historically could mean grocery shopping, though 'einkaufen' is used today.
holen|erholen|B2|4624|to recover; to relax; to recuperate|отдыхать; поправляться; восстанавливать силы|ausruhen; regenerieren; genesen|Am Wochenende möchte ich mich im Wald erholen.|At the weekend, I would like to relax in the forest.|В выходные я хочу отдохнуть в лесу.|Am Wochenende möchte ich mich im Wald ausruhen.|sich vom Stress erholen; sich von einer Krankheit erholen; die Wirtschaft erholt sich|Inseparable verb, always reflexive (sich erholen). Used for physical/mental recuperation from exertion or illness, and financially/economically for markets or economies recovering.
holen|fortholen|C2|195099|to fetch away; to take away|уносить; забирать прочь|wegnehmen; wegholen; wegbringen|Sie wollten die Kiste aus dem Keller fortholen.|They wanted to take the box away from the basement.|Они хотели унести коробку из подвала.|Sie wollten die Kiste aus dem Keller wegnehmen.|jemanden fortholen lassen; Sachen fortholen|Separable verb. Rare and somewhat elevated or regional. Means to take or fetch something away from a specific location.
holen|heimholen|C2|70210|to bring home; to repatriate|возвращать домой; репатриировать|nach Hause bringen; heimführen; rückführen|Die Regierung möchte die gestrandeten Touristen heimholen.|The government wants to bring the stranded tourists home.|Правительство хочет вернуть застрявших туристов домой.|Die Regierung möchte die gestrandeten Touristen nach Hause bringen.|Bürger aus dem Ausland heimholen; Flüchtlinge heimholen; den Sieg heimholen|Separable verb. Often used in political/humanitarian contexts regarding repatriation. In sports, it figuratively means bringing home a trophy or victory.
holen|herabholen|C2|162607|to fetch down; to bring down|спускать; снимать (сверху вниз)|heruntermachen; herunternehmen; herunterholen|Kannst du das Buch vom obersten Regal herabholen?|Can you fetch the book down from the top shelf?|Ты можешь достать книгу с самой верхней полки?|Kannst du das Buch vom obersten Regal herunterholen?|Sterne vom Himmel herabholen; Gegenstände herabholen|Separable verb. Indicates bringing something down towards the speaker from an elevated position. More formal than 'herunterholen'.
holen|heranholen|C2|78406|to bring closer; to fetch near|пододвигать; привлекать; приближать|herbeiziehen; näher bringen; heranrücken|Wir müssen einen Stuhl für den Gast heranholen.|We need to pull up a chair for the guest.|Нам нужно пододвинуть стул для гостя.|Wir müssen einen Stuhl für den Gast heranrücken.|Stühle heranholen; Experten heranholen; neue Mitarbeiter heranholen|Separable verb. Means bringing something physically closer to the scene, or figuratively recruiting/summoning external help or personnel.
holen|heraufholen|C2|113916|to bring up; to fetch up|приносить наверх; доставать снизу вверх|heraufbringen; nach oben bringen|Bitte hilf mir, die Kartoffeln aus dem Keller heraufzuholen.|Please help me bring the potatoes up from the cellar.|Пожалуйста, помоги мне поднять картошку из подвала.|Bitte hilf mir, die Kartoffeln aus dem Keller nach oben zu bringen.|Kohlen heraufholen; Sachen aus dem Keller heraufholen|Separable verb. Means fetching something from a lower physical level up to the level where the speaker is located.
holen|herausholen|B2|9651|to take out; to extract; to get the most out of|вынимать; вытаскивать; извлекать пользу|herausnehmen; entnehmen; maximieren|Er konnte das Beste aus der Situation herausholen.|He was able to get the best out of the situation.|Он смог извлечь максимум пользы из этой ситуации.|Er konnte das Beste aus der Situation herausnehmen.|das Maximum herausholen; den Schlüssel aus der Tasche herausholen; alles aus sich herausholen|Separable verb. Literally means taking something out of a container. Figuratively, it is widely used to mean maximizing potential, performance, or value.
holen|herbeiholen|C2|86996|to fetch; to summon; to call in|призывать; вызывать; приносить|herbeirufen; herbeischaffen; herholen|Wir müssen sofort einen Arzt herbeiholen.|We must call a doctor immediately.|Нам нужно немедленно позвать врача.|Wir müssen sofort einen Arzt herbeirufen.|Hilfe herbeiholen; einen Arzt herbeiholen; Zeugen herbeiholen|Separable verb. Implies quickly bringing a person (e.g., an expert or emergency doctor) or a tool to the present location.
holen|hereinholen|C2|43063|to bring in; to recoup (losses)|заносить внутрь; возвращать (расходы)|hereinbringen; reinholen; wiedergutmachen|Wir sollten die Gartenmöbel hereinholen, bevor es regnet.|We should bring the garden furniture inside before it rains.|Нам следует занести садовую мебель в дом, прежде чем пойдет дождь.|Wir sollten die Gartenmöbel hereinbringen, bevor es regnet.|Wäsche hereinholen; Verluste hereinholen; die Ernte hereinholen|Separable verb. Literally means bringing things from the outside inside. Figuratively, it describes recouping financial investments or making up for lost profits.
holen|herholen|C2|37334|to fetch here; to bring here|приносить сюда; приводить сюда|herbeischaffen; herbringen; holen|Wo hast du denn diese alten Bücher hergeholt?|Where did you get these old books from?|Откуда ты притащил эти старые книги?|Wo hast du denn diese alten Bücher hergebracht?|weit hergeholt sein; jemanden herholen|Separable verb. Means bringing something to where the speaker is. The fixed past-participle idiom 'weit hergeholt sein' translates directly to 'to be far-fetched' or 'unbelievable'.
holen|herunterholen|C2|69574|to bring down; to fetch down|спускать; стаскивать вниз; приземлять|herabholen; runterholen; erniedrigen|Er musste die Katze vom Baum herunterholen.|He had to get the cat down from the tree.|Ему пришлось снимать кошку с дерева.|Er musste die Katze vom Baum herabholen.|jemanden auf den Boden der Tatsachen herunterholen; eine Datei herunterholen|Separable verb. Colloquial to neutral register. Indicates bringing down physically. It also has a slang meaning (to masturbate), so use caution based on context. Figuratively: 'auf den Boden der Tatsachen herunterholen' means to bring someone back to reality.
holen|herüberholen|C2|141602|to bring over; to fetch across|перетаскивать; приносить сюда (с той стороны)|rüberholen; herüberbringen; rüberbringen|Kannst du den Stuhl von drüben herüberholen?|Can you bring the chair over from over there?|Ты можешь принести стул оттуда?|Kannst du den Stuhl von drüben herüberbringen?|jemanden auf seine Seite herüberholen; Gegenstände herüberholen|Separable verb. Refers to fetching something across a physical boundary (such as a room, street, or river) to the speaker's side.
holen|hervorholen|C2|29713|to fetch out; to produce; to pull out|доставать; вытаскивать (из кармана/сумки)|herausziehen; zücken; heraustun|Sie holte ein Taschentuch aus ihrer Tasche hervor.|She pulled a handkerchief out of her bag.|Она достала носовой платок из своей сумки.|Sie zog ein Taschentuch aus ihrer Tasche heraus.|ein Buch hervorholen; alte Erinnerungen hervorholen; Argumente hervorholen|Separable verb. Emphasizes pulling something out from a hidden or closed space (like a pocket, drawer, or deep memory) into plain sight.
holen|hochholen|C2|103335|to bring up; to fetch up (colloquial)|поднимать; приносить наверх|heraufholen; hinaufbringen; hochbringen|Ich gehe in den Keller und hole die Getränke hoch.|I'm going to the cellar to bring the drinks up.|Я схожу в подвал и подниму напитки.|Ich gehe in den Keller und bringe die Getränke nach oben.|Erinnerungen hochholen; Dateien hochholen; Sachen aus dem Keller hochholen|Separable verb. Colloquial alternative to 'heraufholen'. Commonly used when getting household items from a basement or lower level.
holen|nachholen|B2|6838|to make up for; to catch up on|наверстывать; компенсировать; сдавать позже|aufholen; nacharbeiten; nachholen|Ich muss den versäumten Schlaf am Wochenende nachholen.|I need to catch up on missed sleep on the weekend.|Мне нужно наверстать упущенный сон в выходные.|Ich muss den versäumten Schlaf am Wochenende aufholen.|eine Prüfung nachholen; Versäumtes nachholen; Schlaf nachholen; Unterricht nachholen|Separable verb. Highly common for taking a missed exam later, completing skipped work, sleeping late to make up for sleeplessness, or celebrating a delayed event.
holen|niederholen|C2|177628|to lower; to haul down (nautical)|спускать (флаг, парус)|herablassen; einholen (Flaggen); herunterlassen|Am Abend müssen wir die Flagge niederholen.|In the evening, we have to lower the flag.|Вечером мы должны спустить флаг.|Am Abend müssen wir die Flagge einholen.|die Flagge niederholen; die Segel niederholen|Separable verb. Primarily used in maritime or official ceremonial contexts for bringing down flags, banners, or sails.
holen|kielholen|C2|163330|to keelhaul|подвергать килеванию|bestrafen; züchtigen; verdammen|Der Kapitän drohte, den meuternden Seemann zu kielholen.|The captain threatened to keelhaul the mutinous sailor.|Капитан угрожал подвергнуть взбунтовавшегося моряка килеванию.|Der Kapitän drohte, den meuternden Seemann schwer zu bestrafen.|einen Seemann kielholen; jemanden virtuell kielholen|Inseparable or occasionally separable (historically, it acts mostly as inseparable, weak verb: gekielholt). Originally a severe naval torture/punishment. Today, it is used only figuratively in colloquial contexts meaning 'to scold severely' or 'to criticize mercilessly'.
holen|rausholen|C1|16708|to get out; to take out; to extract (colloquial)|вытаскивать; вынимать (разг.)|herausholen; herausnehmen; raustun|Kannst du bitte die Wäsche aus der Maschine rausholen?|Can you please take the laundry out of the machine?|Можешь, пожалуйста, вытащить белье из машинки?|Kannst du bitte die Wäsche aus der Maschine herausnehmen?|das Beste rausholen; Geld rausholen; jemanden aus dem Gefängnis rausholen|Separable verb. Spoken/colloquial short form of 'herausholen'. Very frequent in daily conversations.
holen|runterholen|C2|78367|to bring down; to fetch down (colloquial)|стаскивать вниз; спускать (разг.)|herunterholen; herablassen; runterbringen|Hol bitte die Kiste vom Schrank runter.|Please bring the box down from the wardrobe.|Сними, пожалуйста, коробку со шкафа.|Bring bitte die Kiste vom Schrank herunter.|jemanden runterholen; ein Flugzeug runterholen|Separable verb. Colloquial short form of 'herunterholen'. In slang contexts without an object, it can mean 'to masturbate' (usually transitive as 'sich einen runterholen'), so use with caution.
holen|überholen|B2|4950|to overtake; to pass; to overhaul (service)|обгонять; перегонять; ремонтировать; пересматривать|vorbeifahren; überholen (Motor); reformieren; übertreffen|Auf der Autobahn darf man rechts nicht überholen.|You are not allowed to overtake on the right on the highway.|На автомагистрали нельзя обгонять справа.|Auf der Autobahn darf man rechts nicht vorbeifahren.|ein Auto überholen; jemanden links überholen; den Motor überholen|Inseparable verb (überholt, überholte, hat überholt). Usually means to physically overtake/pass a car. Also used for mechanically servicing engines/machinery, or meaning 'outdated' as an adjective (überholt).
holen|verholen|C2|105702|to warp; to shift (nautical)|перетягивать (судно с одного места на другое)|verholen (Schiff); verlegen; verziehen|Das Schiff musste an einen anderen Liegeplatz verholt werden.|The ship had to be warped to another berth.|Судно пришлось перетянуть на другое причальное место.|Das Schiff musste an einen anderen Liegeplatz verlegt werden.|ein Schiff verholen; ein Boot verholen|Inseparable verb (verholt, verholte, hat verholt). Highly specific nautical term meaning to move a vessel from one mooring point to another using cables.
holen|vorholen|C2|125958|to bring forward; to fetch out|вытаскивать вперед; выдвигать|hervorbringen; hervorholen; vorbringen|Er musste die alten Unterlagen wieder vorholen.|He had to bring the old documents out again.|Ему пришлось снова достать старые документы.|Er musste die alten Unterlagen wieder hervorholen.|Sachen vorholen; Dokumente vorholen|Separable verb. Regional or slightly informal. Means to bring something stored in the back to the front or out into view. Very similar to 'hervorholen'.
holen|wegholen|C2|78589|to fetch away; to take away|уносить; забирать; уводить|wegbringen; entfernen; abholen|Sie mussten die Verletzten schnell von dort wegholen.|They had to take the injured away from there quickly.|Им пришлось быстро увести раненых оттуда.|Sie mussten die Verletzten schnell von dort wegbringen.|jemanden von der Straße wegholen; Gegenstände wegholen|Separable verb. Implies retrieving or rescuing someone or something from an undesirable, dangerous, or specific location.
holen|wiederholen|A2|2801|to repeat; to reiterate|повторять|nachsprechen; replizieren; rekapitulieren|Können Sie den Satz bitte noch einmal wiederholen?|Could you please repeat the sentence once more?|Не могли бы вы повторить предложение еще раз?|Können Sie den Satz bitte noch einmal sagen?|Vokabeln wiederholen; eine Klasse wiederholen; sich ständig wiederholen|Inseparable verb (wiederholt, wiederholte, hat wiederholt; stress on 'ho'). Highly frequent. Means to say or do something again, or to revise study material. (Note: there is a very rare separable 'wiederholen' meaning 'to fetch back', e.g., 'holte wieder').
holen|zurückholen|C1|11380|to fetch back; to retrieve; to win back|возвращать; приносить обратно|zurückbringen; wiederbeschaffen; zurückfordern|Wir müssen den entlaufenen Hund zurückholen.|We need to bring the runaway dog back.|Нам нужно вернуть убежавшую собаку.|Wir müssen den entlaufenen Hund zurückbringen.|die Macht zurückholen; Kunden zurückholen; den Ball zurückholen|Separable verb. Used when getting back something or someone that was lost, stolen, or that had run away. Can be used in abstract contexts (e.g. power, customers).
holen|zusammenholen|C2|95987|to gather; to round up; to collect together|собирать вместе; сзывать|versammeln; zusammenbringen; ansammeln|Der Lehrer musste alle Schüler auf dem Hof zusammenholen.|The teacher had to gather all the students in the yard.|Учителю пришлось собрать всех учеников во дворе.|Der Lehrer musste alle Schüler auf dem Hof versammeln.|Menschen zusammenholen; Kraft zusammenholen; Dokumente zusammenholen|Separable verb. Means bringing together various people or objects from different spots into one physical group or place.
holen|Atemholen|C2|75021|breathing; respiration; taking a breath|дыхание; передышка|Atmen; Atmung; Luftholen|Nach dem Sprint hielt er kurz zum Atemholen an.|After the sprint, he stopped briefly to catch his breath.|После спринта он ненадолго остановился, чтобы перевести дух.|Nach dem Sprint hielt er kurz zum Atmen an.|schweres Atemholen; Zeit zum Atemholen; kein Atemholen gönnen|Neuter noun (nominalized infinitive). Used literally as the act of drawing breath, or figuratively as taking a necessary pause from strenuous activity.
holen|Luftholen|C2|59366|taking a breath; gasping for air|вдох; затяжка воздухом; передышка|Einatmen; Atemholen; Pause|Er brauchte nach dem Tauchen erst mal einen Moment zum Luftholen.|He needed a moment to catch his breath after diving.|После ныряния ему сначала понадобился момент, чтобы отдышаться.|Er brauchte nach dem Tauchen erst mal einen Moment zum Atemholen.|tiefes Luftholen; ohne Luftholen sprechen; Zeit zum Luftholen|Neuter noun (nominalized infinitive). Refers physically to inhaling air. Frequently used in colloquial, figurative expressions meaning 'to take a breather' or a short pause during intensive work.
