word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
handeln|handeln|B1|3365|to act; to trade; to deal; to be about|действовать; торговать; вести дела; речь идет о|agieren; tun; vorgehen; feilschen; traden|Wir müssen jetzt schnell handeln.|We must act quickly now.|Мы должны действовать быстро сейчас.|Wir müssen jetzt schnell agieren.|schnell handeln; mit Aktien handeln; von etwas handeln; sich um etwas handeln|'handeln' is a highly versatile verb. It can mean 'to act' (intransitive), 'to trade/deal in' (handeln mit + dative), 'to be about' (handeln von + dative), or in the reflexive impersonal construction 'es handelt sich um + accusative' (it is about / it concerns).
handeln|abhandeln|C2|22881|to treat; to discuss; to deal with a topic|обсуждать; трактовать; подробно разбирать|besprechen; erörtern; behandeln; durchgehen|Der Professor wird dieses Thema in der nächsten Vorlesung abhandeln.|The professor will cover this topic in the next lecture.|Профессор разберет эту тему на следующей лекции.|Der Professor wird dieses Thema in der nächsten Vorlesung besprechen.|ein Thema abhandeln; ein Kapitel abhandeln; ausführlich abhandeln|'abhandeln' is often used in academic, formal, or official contexts to mean discussing or systematically dealing with a topic, text, or issue. It implies covering or finishing a discussion on a subject.
handeln|aushandeln|B2|9546|to negotiate; to work out a deal|выторговывать; договариваться; согласовывать условия|vereinbaren; ausmachen; verhandeln|Die Gewerkschaft konnte einen neuen Tarifvertrag aushandeln.|The trade union was able to negotiate a new collective agreement.|Профсоюз смог согласовать новый коллективный договор.|Die Gewerkschaft konnte einen neuen Tarifvertrag vereinbaren.|einen Kompromiss aushandeln; einen Vertrag aushandeln; Bedingungen aushandeln|'aushandeln' means to reach an agreement or contract through negotiation. It is highly goal-oriented, focusing on the result of the negotiation (unlike 'verhandeln', which emphasizes the process of negotiating itself).
handeln|behandeln|B1|1400|to treat; to handle; to deal with|обращаться; относиться; лечить; рассматривать тему|therapieren; pflegen; umgehen mit; erörtern|Der Arzt behandelt den Patienten mit einem neuen Medikament.|The doctor treats the patient with a new medication.|Врач лечит пациента новым лекарством.|Der Arzt therapiert den Patienten mit einem neuen Medikament.|einen Patienten behandeln; ein Thema behandeln; jemanden gut behandeln; eine Wunde behandeln|'behandeln' has three main meanings: 1) medical treatment of patients or illnesses, 2) social treatment of people (e.g., 'gut/schlecht behandeln'), and 3) covering/discussing a subject or topic academically or literary.
handeln|einhandeln|C2|23528|to bring on oneself; to incur; to catch|навлечь на себя; заработать неприятности; подцепить болезнь|sich zuziehen; einbringen; bekommen; erwerben|Mit dieser unüberlegten Aktion hat er sich viel Ärger eingehandelt.|With this thoughtless action, he brought a lot of trouble on himself.|Этим необдуманным поступком он навлек на себя кучу неприятностей.|Mit dieser unüberlegten Aktion hat er sich viel Ärger zugezogen.|sich Ärger einhandeln; sich Kritik einhandeln; sich eine Erkältung einhandeln; sich Probleme einhandeln|'einhandeln' is almost exclusively used reflexively ('sich etwas einhandeln') and in a negative context. It means to get or earn something undesirable (like trouble, disease, or criticism) due to one's own actions.
handeln|entgegenhandeln|C2|187299|to act contrary to; to counteract|действовать вопреки; противодействовать|zuwiderhandeln; entgegenwirken; opponieren|Er wollte den Anweisungen seines Chefs nicht entgegenhandeln.|He did not want to act contrary to his boss's instructions.|Он не хотел действовать вопреки указаниям своего начальника.|Er wollte den Anweisungen seines Chefs nicht zuwiderhandeln.|den Anweisungen entgegenhandeln; den Prinzipien entgegenhandeln; den Interessen entgegenhandeln|'entgegenhandeln' is a formal, rarely used verb that requires the dative case (jemandem/etwas entgegenhandeln). It means acting in direct opposition to a rule, wish, or interest.
handeln|misshandeln|C1|244134|to mistreat; to abuse; to maltreat|жестоко обращаться; истязать; издеваться|quälen; peinigen; missbrauchen; schlagen|Niemand darf Kinder oder Tiere misshandeln.|Nobody is allowed to mistreat children or animals.|Никому не разрешается жестоко обращаться с детьми или животными.|Niemand darf Kinder oder Tiere quälen.|Gefangene misshandeln; Kinder misshandeln; Tiere misshandeln; körperlich misshandeln|'misshandeln' is an inseparable verb meaning to abuse physically or mentally. It refers to severe, cruel, or unlawful maltreatment.
handeln|unterhandeln|C2|178959|to negotiate; to parley; to mediate|вести переговоры; договариваться; посредничать|verhandeln; paktieren; vermitteln; konferieren|Die beiden Delegationen begannen gestern, über den Frieden zu unterhandeln.|The two delegations began to negotiate for peace yesterday.|Вчера две делегации начали вести переговоры о мире.|Die beiden Delegationen begannen gestern, über den Frieden zu verhandeln.|mit dem Feind unterhandeln; über einen Waffenstillstand unterhandeln; heimlich unterhandeln|'unterhandeln' is highly elevated, literary, or archaic. Today, it has been almost completely replaced by 'verhandeln'. It implies negotiating behind closed doors or acting as an intermediary.
handeln|zuwiderhandeln|C2|71880|to violate; to infringe; to act contrary to|поступать вопреки; нарушать правила или закон|verstoßen; verletzen; brechen; entgegenhandeln|Wer den Vorschriften zuwiderhandelt, muss mit einer Geldstrafe rechnen.|Anyone who violates the regulations must expect a fine.|Любой, кто нарушает правила, должен ожидать штрафа.|Wer gegen die Vorschriften verstößt, muss mit einer Geldstrafe rechnen.|den Gesetzen zuwiderhandeln; den Anweisungen zuwiderhandeln; den Bestimmungen zuwiderhandeln|'zuwiderhandeln' is a formal and administrative verb. It always governs the dative case (etwas/jemandem zuwiderhandeln) and means acting in violation of laws, rules, or instructions.
handeln|erhandeln|C2|127321|to obtain through bargaining; to acquire by trading|выторговать; приобрести путем обмена или торга|erwerben; ertauschen; herausschlagen; aushandeln|Auf dem Flohmarkt konnte sie ein wertvolles Buch erhandeln.|At the flea market, she was able to obtain a valuable book by bargaining.|На блошином рынке ей удалось выторговать ценную книгу.|Auf dem Flohmarkt konnte sie ein wertvolles Buch erwerben.|ein Schnäppchen erhandeln; ein seltenes Stück erhandeln; auf dem Markt erhandeln|'erhandeln' is a somewhat rare prefix verb meaning to successfully acquire something specifically through trading, bargaining, or haggling. It highlights the successful transaction.
