word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
rechnen|rechnen|B1|662|to calculate; to expect (mit)|считать; рассчитывать (на что-то)|kalkulieren; zählen; erwarten|Ich rechne mit deiner Unterstützung.|I am counting on your support.|Я рассчитываю на твою поддержку.|Ich erwarte deine Unterstützung.|mit etwas rechnen; fest rechnen; im Kopf rechnen|'rechnen' can mean to perform mathematical calculations (often 'im Kopf rechnen'). Combined with the preposition 'mit' (dative), it means to expect or count on something.
rechnen|addieren|C1|17440|to add (numbers)|складывать; суммировать|zusammenzählen; hinzurechnen; summieren|Wir müssen diese Zahlen addieren.|We need to add these numbers.|Нам нужно сложить эти числа.|Wir müssen diese Zahlen zusammenzählen.|Zahlen addieren; Posten addieren; im Kopf addieren|'addieren' is the formal mathematical term for addition. It is used primarily in formal, educational, or scientific contexts.
rechnen|dividieren|C2|50318|to divide (math)|делить (математика)|teilen; durcheinander teilen|Man muss zehn durch zwei dividieren.|You have to divide ten by two.|Нужно разделить десять на два.|Man muss zehn durch zwei teilen.|durch eine Zahl dividieren; sauber dividieren|'dividieren' is a formal mathematical term. In everyday speech, 'teilen (durch)' is more common. It is constructed with 'durch' + Accusative.
rechnen|multiplizieren|C2|26182|to multiply|умножать|malnehmen; vervielfachen|Wenn Sie fünf mit drei multiplizieren, erhalten Sie fünfzehn.|If you multiply five by three, you get fifteen.|Если вы умножите пять на три, то получите пятнадцать.|Wenn Sie fünf mit drei malnehmen, erhalten Sie fünfzehn.|miteinander multiplizieren; mit einer Zahl multiplizieren|A formal mathematical term. It is governed by the preposition 'mit' + Dative. In colloquial speech, Germans often use 'malnehmen'.
rechnen|potenzieren|C2|42369|to raise to a power; to multiply exponentially|возводить в степень; многократно усиливать|steigern; verstärken; hochnehmen|Die Risiken potenzieren sich in Krisenzeiten.|The risks multiply exponentially in times of crisis.|Риски многократно возрастают во время кризиса.|Die Risiken verstärken sich in Krisenzeiten erheblich.|sich potenzieren; eine Zahl potenzieren; die Wirkung potenzieren|Can be used in a literal mathematical context (raising a base to an exponent) or, more frequently, in figurative contexts to mean 'to exponentially increase/multiply' (often used reflexively as 'sich potenzieren').
rechnen|quadrieren|C2|146703|to square (a number)|возводить в квадрат|zum Quadrat nehmen; mit sich selbst multiplizieren|Wenn wir drei quadrieren, erhalten wir neun.|If we square three, we get nine.|Если мы возведем три в квадрат, мы получим девять.|Wenn wir drei mit sich selbst multiplizieren, erhalten wir neun.|eine Zahl quadrieren; die Gleichung quadrieren|A strictly mathematical term meaning to multiply a number by itself.
rechnen|subtrahieren|C2|84797|to subtract|вычитать|abziehen; mindern|Man muss die Kosten vom Gewinn subtrahieren.|One must subtract the costs from the profit.|Нужно вычесть расходы из прибыли.|Man muss die Kosten vom Gewinn abziehen.|von einer Summe subtrahieren; Posten subtrahieren|A formal mathematical term. It is governed by 'von' + Dative. In everyday language, the separable verb 'abziehen' is highly preferred.
rechnen|summieren|C1|13468|to sum up; to accumulate (reflexive)|суммировать; накапливаться (с sich)|addieren; zusammenfassen; anhäufen|Die kleinen Ausgaben summieren sich schnell zu einer großen Summe.|The small expenses quickly add up to a large sum.|Мелкие расходы быстро складываются в большую сумму.|Die kleinen Ausgaben addieren sich schnell zu einer großen Summe.|sich summieren; Einzelbeträge summieren; Schäden summieren sich|Frequently used in its reflexive form ('sich summieren') to describe how multiple small items, costs, errors, or problems gradually build up over time to a significant total.
rechnen|abrechnen|B2|8490|to settle an account; to deduct; to get even with someone|производить расчет; списывать (сумму); сводить счеты|bilanzieren; kalkulieren; abrechnen mit|Der Arzt wird direkt mit der Krankenkasse abrechnen.|The doctor will bill the health insurance company directly.|Врач рассчитается напрямую со страховой компанией.|Der Arzt wird direkt mit der Krankenkasse finanzielle Angelegenheiten regeln.|mit der Kasse abrechnen; ein Projekt abrechnen; mit der Vergangenheit abrechnen|Primarily used in accounting or daily commerce for settling invoices or calculating final costs. Figuratively, 'mit jemandem abrechnen' means to settle scores or get even with someone.
rechnen|anrechnen|C1|9935|to credit (e.g., academic credits); to count towards; to highly value|зачислять; засчитывать; ставить в заслугу|gutschreiben; anerkennen; dazurechnen|Man kann diese Studienleistungen für das neue Studium anrechnen.|These academic achievements can be credited toward the new degree program.|Эти учебные достижения можно засчитать в счет новой учебы.|Man kann diese Studienleistungen für das neue Studium anerkennen.|Leistungen anrechnen; Steuern anrechnen; hoch anrechnen|Often used in administrative, financial, or academic contexts (crediting courses or taxes). In a figurative sense, 'jemandem etwas hoch anrechnen' means to respect or highly appreciate someone for a specific action.
