word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
heizen|heizen|B2|8026|to heat; to warm|топить; отапливать; обогревать|erwärmen; wärmen|Im Winter müssen wir das ganze Haus heizen.|In winter we have to heat the whole house.|Зимой нам приходится отапливать весь дом.|Im Winter müssen wir das ganze Haus erwärmen.|mit Holz heizen; die Wohnung heizen; sparsam heizen|'heizen' is both intransitive (e.g., 'wir heizen mit Kohle') and transitive (e.g., 'ein Zimmer heizen'). It specifically refers to using a heating system to warm up living spaces, unlike 'erwärmen' which is more general.
heizen|Heizdecke|C2|75359|electric blanket|электроодеяло|Wärmedecke|Oma schaltet im Winter abends ihre Heizdecke ein.|Grandma turns on her electric blanket in the evening in winter.|Бабушка включает своё электроодеяло по вечерам зимой.|Oma schaltet im Winter abends ihre Wärmedecke ein.|die Heizdecke einschalten; eine elektrische Heizdecke; unter der Heizdecke liegen|Feminine noun (die Heizdecke, plural: Heizdecken). A compound noun from Heiz- (heating) and Decke (blanket). It usually refers to an electrically heated blanket used for keeping warm in bed.
heizen|Heizer|C2|43084|stoker; fireman (on a steam train/ship)|кочегар; истопник|Kesselwärter; Ofenheizer|Der Heizer warf ständig neue Kohle in das Feuer.|The stoker constantly threw new coal into the fire.|Кочегар постоянно бросал новый уголь в огонь.|Der Kesselwärter warf ständig neue Kohle in das Feuer.|als Heizer arbeiten; der Heizer auf der Lokomotive|Masculine noun (der Heizer, plural: Heizer). Historically refers to the person responsible for maintaining the fire in a steam engine or furnace. Can colloquially or regionally refer to a heating device, but 'Heizgerät' is the standard word for devices.
heizen|Heizgerät|C2|68989|heater; heating device|обогреватель; отопительный прибор|Ofen; Heizkörper; Wärmegerät|Wir haben uns ein elektrisches Heizgerät gekauft.|We bought an electric heater.|Мы купили электрический обогреватель.|Wir haben uns einen elektrischen Ofen gekauft.|elektrisches Heizgerät; mobiles Heizgerät; Heizgerät einschalten|Neuter noun (das Heizgerät, plural: Heizgeräte). A generic term for any appliance used to provide warmth, typically electric, gas, or oil-based, and often portable.
heizen|Heizkanal|C2|158519|heating duct; flue|отопительный канал; дымоход|Heizleitung; Rauchkanal|Warme Luft strömt durch den Heizkanal in die Zimmer.|Warm air flows through the heating duct into the rooms.|Теплый воздух поступает в комнаты через отопительный канал.|Warme Luft strömt durch die Heizleitung in die Zimmer.|den Heizkanal reinigen; unterirdischer Heizkanal|Masculine noun (der Heizkanal, plural: Heizkanäle). A technical term for a channel, duct, or pipe network through which heat, steam, or warm air is distributed within a building or facility.
heizen|Heizkissen|C2|96485|heating pad; electric heating cushion|электрогрелка; тепловая подушка|Wärmekissen|Bei Rückenschmerzen hilft ein warmes Heizkissen sehr gut.|A warm heating pad helps very well with back pain.|При болях в спине очень хорошо помогает теплая электрогрелка.|Bei Rückenschmerzen hilft ein warmes Wärmekissen sehr gut.|ein elektrisches Heizkissen; das Heizkissen auflegen; schmerzlinderndes Heizkissen|Neuter noun (das Heizkissen, plural: Heizkissen). A small, flexible electric pad or cushion placed on specific parts of the body to soothe aches and pains with heat.
heizen|Heizkörper|C1|22080|radiator|радиатор отопления; батарея|Radiator; Wärmekörper|Der Heizkörper im Schlafzimmer muss entlüftet werden.|The radiator in the bedroom needs to be bled.|Из радиатора в спальне нужно спустить воздух.|Der Radiator im Schlafzimmer muss entlüftet werden.|den Heizkörper entlüften; Heizkörper aufdrehen; alter Heizkörper; gusseiserner Heizkörper|Masculine noun (der Heizkörper, plural: Heizkörper). Specifically refers to the physical metal radiator unit mounted on a wall through which hot water or steam circulates to heat a room.
heizen|Heizkosten|C1|17610|heating costs; heating expenses|расходы на отопление|Heizungsgebühren; Wärmekosten|Die Heizkosten steigen in diesem Winter stark an.|Heating costs are rising sharply this winter.|Расходы на отопление резко растут этой зимой.|Die Wärmekosten steigen in diesem Winter stark an.|Heizkosten sparen; jährliche Heizkosten; Heizkosten abrechnen|Plural-only noun (die Heizkosten). Refers to the money spent on heating a property. It is a key element of 'Nebenkosten' (additional costs) in German rental agreements.
heizen|Heizlüfter|C2|60439|fan heater|тепловентилятор|Heizgebläse; Thermolüfter|Er wärmt das kleine Badezimmer mit einem Heizlüfter.|He warms the small bathroom with a fan heater.|Он обогревает маленькую ванную комнату тепловентилятором.|Er wärmt das kleine Badezimmer mit einem Heizgebläse.|den Heizlüfter einschalten; tragbarer Heizlüfter; Heizlüfter verbraucht Strom|Masculine noun (der Heizlüfter, plural: Heizlüfter). An electric appliance that heats air and circulates it using a fan. Often used as an auxiliary, temporary, or portable heating source.
heizen|Heizmaterial|C2|77482|heating fuel; heating material|топливо (для отопления)|Brennstoff; Heizstoff|Holz ist ein umweltfreundliches Heizmaterial.|Wood is an environmentally friendly heating fuel.|Дрова — это экологически чистое топливо.|Holz ist ein umweltfreundlicher Brennstoff.|Heizmaterial lagern; trockenes Heizmaterial; Heizmaterial beschaffen|Neuter noun (das Heizmaterial, plural: Heizmaterialien). A collective term for raw materials like wood, coal, briquettes, or pellets used to fuel stoves and boilers.
heizen|Heizofen|C2|103387|heating stove|отопительная печь|Ofen; Zimmerofen|Ein alter Heizofen steht in der Ecke der Berghütte.|An old heating stove stands in the corner of the mountain cabin.|В углу горной хижины стоит старая отопительная печь.|Ein alter Ofen steht in der Ecke der Berghütte.|den Heizofen heizen; gusseiserner Heizofen; historischer Heizofen|Masculine noun (der Heizofen, plural: Heizöfen). A stove designed specifically for room heating, rather than cooking (which would be 'Backofen' or 'Herd').
