word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
schreiben|schreiben|A1|1699|to write|писать|verfassen; notieren; aufschreiben|Ich muss heute einen Brief schreiben.|I have to write a letter today.|Сегодня мне нужно написать письмо.|Ich muss heute einen Brief verfassen.|einen Brief schreiben; ein Buch schreiben; auf Papier schreiben; per Hand schreiben|A fundamental verb. It is used transitively (etwas schreiben) or intransitively. Often governs 'an jmdn. schreiben' (to write to someone) or 'über etwas (Akk) schreiben' (to write about something).
schreiben|beschreibbar|C2|60478|writable; describable|перезаписываемый; поддающийся описанию|beschreibungsfähig; darstellbar; editierbar|Die CD-RW ist mehrfach beschreibbar.|The CD-RW is rewritable multiple times.|CD-RW диск пригоден для многократной записи.|Die CD-RW ist mehrfach editierbar.|leicht beschreibbar; ein beschreibbares Medium; mehrfach beschreibbar|Formed from 'beschreiben' (to describe or to write on) + suffix '-bar'. It can mean either 'capable of being written on' (computing/stationery) or 'capable of being described'.
schreiben|schreibfaul|C2|101414|lazy about writing; disinclined to write|ленивый на письмо; неохотно пишущий|schreibunlustig; schreibträge|Mein Bruder ist sehr schreibfaul und antwortet selten auf Briefe.|My brother is very lazy about writing and rarely answers letters.|Мой брат очень ленив на переписку и редко отвечает на письма.|Mein Bruder ist sehr schreibunlustig und antwortet selten auf Briefe.|extrem schreibfaul sein; schreibfaul werden|Colloquial adjective. Describes someone who dislikes writing letters, emails, or text messages.
schreiben|Fernschreiben|C2|243723|telex; telegram|телеграмма; телекс|Telex; Telegramm; Depesche|Sie erhielt ein dringendes Fernschreiben aus Berlin.|She received an urgent telex from Berlin.|Она получила срочную телеграмму из Берлина.|Sie erhielt ein dringendes Telegramm aus Berlin.|ein Fernschreiben senden; ein Fernschreiben empfangen; offizielles Fernschreiben|Historical term (das Fernschreiben). Refers to teleprinter messages (telex), largely obsolete but found in historical, administrative, or legal contexts.
schreiben|Fernschreiber|C2|74655|teleprinter; teletypewriter|телетайп; телеграфный аппарат|Telexgerät; Fernschreibmaschine|Im Büro stand ein alter, ratternder Fernschreiber.|In the office stood an old, rattling teleprinter.|В офисе стоял старый, тарахтящий телетайп.|Im Büro stand eine alte, ratternde Fernschreibmaschine.|den Fernschreiber bedienen; das Rattern des Fernschreibers|Masculine noun (der Fernschreiber). Refers to the physical machine used to send and receive telexes. Obsolete in modern offices but historical.
schreiben|Geschreibe|C2|106346|endless writing; scribbling|писанина; марание бумаги|Geschreibsel; Gekritzel; Schreiberei|Ich kann dieses sinnlose Geschreibe nicht mehr ertragen.|I cannot bear this senseless scribbling anymore.|Я больше не могу выносить эту бессмысленную писанину.|Ich kann dieses sinnlose Geschreibsel nicht mehr ertragen.|sinnloses Geschreibe; endloses Geschreibe; das ganze Geschreibe|Neutrum noun (das Geschreibe). Built with the Ge-...-e prefix/suffix pattern, which often expresses annoyance, contempt, or continuous action. Colloquial and usually pejorative.
schreiben|Geschreibsel|C2|64117|scribble; poor writing; draft|писанина; каракули; плохой слог|Gekritzel; Geschreibe; Schmiererei|Sein Brief war ein unleserliches Geschreibsel.|His letter was an illegible scribble.|Его письмо было неразборчивой писаниной.|Sein Brief war ein unleserliches Gekritzel.|unleserliches Geschreibsel; wirres Geschreibsel; wertloses Geschreibsel|Neutrum noun (das Geschreibsel). Diminutive/pejorative suffix '-el'. Denotes messy, illegible handwriting or worthless text. Strongly colloquial and derogatory.
schreiben|Rechtschreibfehler|C2|31051|spelling mistake; orthographic error|орфографическая ошибка|Orthographiefehler; Schreibfehler|Der Aufsatz wimmelte von Rechtschreibfehlern.|The essay was riddled with spelling mistakes.|Сочинение кишело орфографическими ошибками.|Der Aufsatz wimmelte von Orthographiefehlern.|einen Rechtschreibfehler korrigieren; voller Rechtschreibfehler sein; grober Rechtschreibfehler|Masculine noun (der Rechtschreibfehler). Refers specifically to errors against the official spelling rules (Rechtschreibung) in writing.
schreiben|Rechtschreibung|C1|15396|spelling; orthography|правописание; орфография|Orthographie; Schreibweise|Die deutsche Rechtschreibung wurde reformiert.|German spelling was reformed.|Немецкое правописание было реформировано.|Die deutsche Orthographie wurde reformiert.|neue Rechtschreibung; Regeln der Rechtschreibung; die deutsche Rechtschreibung beherrschen|Feminine noun (die Rechtschreibung). Derived from 'recht' (correct) + 'schreiben' (write). Refers to the standard spelling system of a language.
schreiben|Schreibarbeit|C2|50504|paperwork; clerical work; writing task|канцелярская работа; бумажная работа; писанина|Büroarbeit; Schreibkram; Papierkram|Vor dem Urlaub muss ich noch viel Schreibarbeit erledigen.|Before the vacation, I still have to get a lot of paperwork done.|Перед отпуском мне нужно сделать ещё много бумажной работы.|Vor dem Urlaub muss ich noch viel Büroarbeit erledigen.|viel Schreibarbeit haben; lästige Schreibarbeit; administrative Schreibarbeit|Feminine noun (die Schreibarbeit). Refers to the physical, repetitive, or administrative act of writing, typing, or doing office paperwork.
