word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
streichen|streichen|B2|99803|to paint; to cross out; to cancel; to stroke|красить; вычеркивать; отменять; гладить|anstreichen; malen; annullieren; streicheln|Sie will die Wände in ihrer Wohnung blau streichen.|She wants to paint the walls in her apartment blue.|Она хочет покрасить стены в своей квартире в синий цвет.|Sie will die Wände in ihrer Wohnung blau anstreichen.|Wände streichen; Flüge streichen; Gelder streichen; durchs Haar streichen|Streichen is a highly versatile verb. In the context of painting, it refers to applying a coat of paint. In administration or finance, it means to cancel or cut (e.g., budgets, flights). It also means to gently stroke (e.g., hair, hand).
streichen|abstreichen|C2|80592|to scrape off; to wipe; to cross off (a list)|соскабливать; вытирать; вычеркивать (из списка)|abwischen; abstreifen; abhaken|Er strich den überschüssigen Schaum vom Glas ab.|He wiped the excess foam off the glass.|Он вытер лишнюю пену со стакана.|Er wischte den überschüssigen Schaum vom Glas ab.|Schaum abstreichen; den Pinsel abstreichen; die Schuhe auf dem Abstreicher abstreichen|Abstreichen typically means to scrape or wipe off excess substance from an edge (e.g., excess paint from a brush). It can also mean to check off items from a list (similar to 'abhaken').
streichen|anstreichen|C2|32537|to paint (walls/objects); to highlight (text)|красить (стены, забор); подчеркивать, выделять маркером|bemalen; streichen; markieren; hervorheben|Wir müssen den alten Holzzaun im Garten neu anstreichen.|We need to repaint the old wooden fence in the garden.|Нам нужно заново покрасить старый деревянный забор в саду.|Wir müssen den alten Holzzaun im Garten neu streichen.|einen Zaun anstreichen; Wände anstreichen; im Text anstreichen|Anstreichen is commonly used for applying paint to structures, fences, or walls (very close to 'streichen'). In reading, it means to mark or highlight words or sentences with a pen or marker.
streichen|aufstreichen|C2|104197|to spread (butter, cream); to apply|намазывать (масло, крем); наносить|schmieren; auftragen; verstreichen|Sie strich eine dicke Schicht Butter auf das Brot auf.|She spread a thick layer of butter on the bread.|Она намазала толстый слой масла на хлеб.|Sie trug eine dicke Schicht Butter auf das Brot auf.|Butter aufstreichen; Marmelade aufstreichen; Salbe aufstreichen|Aufstreichen is used for spreading a soft substance (like butter, jam, or ointment) onto a surface. It is separable ('streicht auf', 'aufgestrichen').
streichen|ausstreichen|C2|76381|to cross out; to smooth out; to squeeze out (e.g. milk, cream)|зачеркивать; разглаживать; выдавливать (напр., остатки крема, молоко)|durchstreichen; glätten; ausstreicheln|Sie strich die Falten aus der Tischdecke aus.|She smoothed the wrinkles out of the tablecloth.|Она разгладила складки на скатерти.|Sie glättete die Falten auf der Tischdecke.|Falten ausstreichen; ein Wort ausstreichen; eine Tube ausstreichen|Ausstreichen means to smooth out folds or wrinkles using one's hand, or to squeeze or stroke out the last bits from a tube or container. Historically, it could also mean to cross out written text.
streichen|bestreichen|C1|19566|to coat; to spread on; to brush with|намазывать; покрывать слоем; смазывать|beschmieren; einstreichen; bedecken|Der Bäcker bestreicht die Brötchen mit Eigelb.|The baker brushes the rolls with egg yolk.|Пекарь смазывает булочки яичным желтком.|Der Bäcker streicht Eigelb auf die Brötchen.|mit Butter bestreichen; mit Farbe bestreichen; eine Wunde bestreichen|Unlike 'aufstreichen' (where the object is the substance being spread), 'bestreichen' takes the surface or object as the direct accusative object (e.g., 'das Brot bestreichen' vs 'Butter aufstreichen').
streichen|durchstreichen|C2|49899|to cross out; to strike through; to wander through|зачеркивать; вычеркивать; прочесывать (лес, местность)|streichen; tilgen; ungültig machen|Bitte durchstreichen Sie den falschen Namen auf der Liste.|Please cross out the incorrect name on the list.|Пожалуйста, вычеркните неправильное имя в списке.|Bitte streichen Sie den falschen Namen auf der Liste durch.|ein Wort durchstreichen; einen Fehler durchstreichen; den Text durchstreichen|Durchstreichen is a separable verb when meaning to draw a line through writing ('strich durch', 'durchgestrichen'). It is used specifically to invalidate or correct text.
streichen|einstreichen|C2|23073|to pocket (money/winnings); to coat/grease (a baking tin)|загребать (деньги, выигрыш); смазывать (форму для выпечки)|einstecken; kassieren; einfetten|Der Händler konnte einen satten Gewinn einstreichen.|The merchant was able to pocket a handsome profit.|Торговец смог присвоить себе солидную прибыль.|Der Händler konnte einen satten Gewinn einstecken.|Gewinne einstreichen; Geld einstreichen; eine Backform einstreichen|In a figurative sense, 'einstreichen' means to collect or pocket money, profits, or awards, often implying ease or selfishness. Literally, it can also mean to coat the inside of something (like a baking pan) with fat/oil.
streichen|fortstreichen|C2|233092|to delete; to brush away; to stroke away|удалять; смахивать; отмахивать; убирать движением руки|wegstreichen; entfernen; fortwischen|Sie strich die Tränen aus ihrem Gesicht fort.|She wiped the tears away from her face.|Она смахнула слезы со своего лица.|Sie wischte die Tränen aus ihrem Gesicht weg.|Tränen fortstreichen; Haare fortstreichen|Fortstreichen is a literary or less common verb meaning to brush or stroke away (e.g., hair from the face, tears). It can also mean to cross out, similar to 'wegstreichen'.
streichen|glattstreichen|C2|94876|to smooth out; to flatten|разглаживать; выравнивать|glätten; bügeln; ausstreichen|Sie strich ihr Kleid vor dem Auftritt glatt.|She smoothed her dress before the performance.|Она разгладила свое платье перед выступлением.|Sie glättete ihr Kleid vor dem Auftritt.|die Haare glattstreichen; das Tischtuch glattstreichen; ein Kleid glattstreichen|Glattstreichen is a separable verb meaning to make something flat and smooth using the hand or a tool. It is often used for clothing, tablecloths, or hair.
