word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
liefern|liefern|A2|899|to deliver, to provide, to supply|доставлять, поставлять, приносить|zustellen; bringen; bereitstellen; verschaffen|Die Firma liefert die Waren direkt ins Haus.|The company delivers the goods directly to the house.|Компания доставляет товары прямо на дом.|Die Firma bringt die Waren direkt ins Haus.|Waren liefern; pünktlich liefern; frei Haus liefern; Beweise liefern|liefern is a versatile verb used for physical delivery of goods (Waren liefern) or abstract provisioning of things like evidence or results (Beweise liefern). It generally takes a direct object (accusative) and can take a dative object indicating the recipient.
liefern|lieferbar|C1|10175|deliverable, available, in stock|имеющийся в наличии (для доставки), поставляемый|erhältlich; verfügbar; bestellbar|Der neue Roman ist ab nächster Woche lieferbar.|The new novel will be available starting next week.|Новый роман будет доступен для заказа со следующей недели.|Der neue Roman ist ab nächster Woche erhältlich.|sofort lieferbar; nicht mehr lieferbar; ab Lager lieferbar|lieferbar is an adjective used mostly in commerce to indicate that an item is ready to be shipped or is in stock. Often contrasted with vergriffen (out of print/sold out).
liefern|Lieferant|B2|7026|supplier, vendor, delivery person|поставщик, доставщик|Zulieferer; Anbieter; Versorger|Wir müssen einen zuverlässigen Lieferanten für diese Bauteile finden.|We need to find a reliable supplier for these components.|Нам нужно найти надежного поставщика для этих деталей.|Wir müssen einen zuverlässigen Zulieferer für diese Bauteile finden.|zuverlässiger Lieferant; externer Lieferant; Lieferant für Rohstoffe|Lieferant (masculine, weak N-declension: den Lieferanten, dem Lieferanten) refers to a person or business that supplies goods. It is commonly used in commercial and logistical contexts.
liefern|Lieferdrohne|C2|136957|delivery drone|дрон-доставщик, беспилотник для доставки|Transportdrohne; Paketdrohne|In Zukunft könnten Lieferdrohnen Pakete direkt in den Garten bringen.|In the future, delivery drones could bring packages directly into the garden.|В будущем дроны-доставщики смогут приносить посылки прямо в сад.|In Zukunft könnten Transportdrohnen Pakete direkt in den Garten bringen.|Einsatz von Lieferdrohnen; Lieferdrohnen testen; autonome Lieferdrohne|A modern compound noun (die Lieferdrohne). Primarily used in futuristic, technological, or e-commerce delivery contexts.
liefern|Lieferengpass|C1|221931|supply bottleneck, supply shortage|дефицит поставок, задержка в поставках|Versorgungsengpass; Lieferverzögerung; Nachschubmangel|Wegen der Krise gibt es einen Lieferengpass bei Mikrochips.|Due to the crisis, there is a supply shortage of microchips.|Из-за кризиса возник дефицит поставок микросхем.|Wegen der Krise gibt es einen Nachschubmangel bei Mikrochips.|Lieferengpass droht; Lieferengpässe überwinden; akuter Lieferengpass|der Lieferengpass (plural: Lieferengpässe) is a common economic and news term. It describes a temporary difficulty, shortage, or delay in supplying critical goods.
liefern|Lieferer|C2|95640|supplier, deliverer|поставщик, доставщик|Lieferant; Zulieferer; Geber|Der Lieferer haftet für Schäden während des Transports.|The supplier is liable for damage during transport.|Поставщик несет ответственность за повреждения при транспортировке.|Der Lieferant haftet für Schäden während des Transports.|vertraglicher Lieferer; Lieferer und Empfänger|der Lieferer is largely synonymous with Lieferant, but is much less common in everyday German. It is primarily found in formal legal or accounting texts (e.g., Verbindlichkeiten aus Lieferungen und Leistungen).
liefern|Liefermenge|C2|65951|delivery quantity, supply volume|объем поставки, поставляемое количество|Liefervolumen; Liefermenge; Bestellmenge|Die vertraglich vereinbarte Liefermenge muss eingehalten werden.|The contractually agreed delivery quantity must be observed.|Договорный объем поставки должен соблюдаться.|Das vertraglich vereinbarte Liefervolumen muss eingehalten werden.|die Liefermenge erhöhen; vereinbarte Liefermenge; Liefermenge reduzieren|die Liefermenge is a compound noun used in logistics, manufacturing, and commercial contracts to specify the exact quantity of goods being shipped.
liefern|Lieferschein|C2|47304|delivery note, delivery slip, packing slip|товарная накладная, накладная на доставку|Begleitschein; Packzettel; Frachtbrief|Bitte unterschreiben Sie den Lieferschein bei Erhalt der Ware.|Please sign the delivery note upon receipt of the goods.|Пожалуйста, подпишите накладную при получении товара.|Bitte unterschreiben Sie den Begleitschein bei Erhalt der Ware.|Lieferschein unterschreiben; Lieferschein prüfen; beiliegender Lieferschein|der Lieferschein is a official/commercial document accompanying a shipment that lists description and quantity of goods delivered, to be verified and signed by the receiver.
liefern|Liefertermin|C2|31904|delivery date, delivery deadline|срок поставки, дата доставки|Lieferfrist; Zustellungsdatum; Lieferdatum|Können Sie den vereinbarten Liefertermin einhalten?|Can you meet the agreed delivery date?|Сможете ли вы уложиться в согласованный срок поставки?|Können Sie die vereinbarte Lieferfrist einhalten?|Liefertermin einhalten; Liefertermin verschieben; voraussichtlicher Liefertermin|der Liefertermin is the specific date or time window set for a delivery. It is very frequently paired with verbs like einhalten (to meet/observe) and verschieben (to postpone).
liefern|Lieferumfang|C1|9956|scope of delivery, package contents|комплект поставки, комплектация|Packungsinhalt; Ausstattung; Lieferausstattung|Ein Ladegerät gehört nicht zum Lieferumfang des Smartphones.|A charger is not included in the scope of delivery of the smartphone.|Зарядное устройство не входит в комплект поставки смартфона.|Ein Ladegerät gehört nicht zum Packungsinhalt des Smartphones.|zum Lieferumfang gehören; im Lieferumfang enthalten; Lieferumfang prüfen|der Lieferumfang is a very common consumer term. It describes everything that is shipped inside the box when you purchase an item.
