word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
lehnen|lehnen|B2|2094|to lean|прислонять; прислоняться; опираться|stützen; neigen; anlehnen|Er lehnte das Fahrrad an die Wand.|He leaned the bicycle against the wall.|Он прислонил велосипед к стене.|Er stellte das Fahrrad an die Wand.|sich an die Wand lehnen; den Kopf an jemandes Schulter lehnen; an einen Baum lehnen|Can be used transitively (to lean something against a support) or reflexively with 'sich' (to lean oneself). It always requires a prepositional object indicating direction or location (e.g., 'an', 'gegen').
lehnen|Lehne|C2|23915|backrest; armrest; support|спинка; подлокотник; перила|Rückenlehne; Armlehne; Stütze|Die Lehne des Stuhls ist kaputt.|The back of the chair is broken.|Спинка стула сломана.|Die Rückenlehne des Stuhls ist kaputt.|eine bequeme Lehne; die Lehne verstellen; sich an die Lehne lehnen|A general noun denoting a part of a piece of furniture that supports the back (Rückenlehne) or arms (Armlehne). In compound words, it is highly specific.
lehnen|Lehnsessel|C2|139183|armchair|кресло|Sessel; Polstersessel; Lehnstuhl|Großvater schläft oft im Lehnsessel ein.|Grandfather often falls asleep in the armchair.|Дедушка часто засыпает в кресле.|Großvater schläft oft im Sessel ein.|ein bequemer Lehnsessel; im Lehnsessel sitzen; sich in den Lehnsessel setzen|A comfortable, upholstered armchair. In modern German, simply 'Sessel' is more frequently used, but 'Lehnsessel' evokes a feeling of coziness and traditional furniture.
lehnen|Lehnstuhl|C2|79459|armchair; easy chair|кресло; стул со спинкой и подлокотниками|Sessel; Lehnsessel; Armsessel|Er las ein Buch im gemütlichen Lehnstuhl.|He read a book in the cozy armchair.|Он читал книгу в уютном кресле.|Er las ein Buch im gemütlichen Sessel.|im Lehnstuhl sitzen; ein hölzerner Lehnstuhl; sich in den Lehnstuhl zurücklehnen|Similar to 'Lehnsessel', but 'Lehnstuhl' historically refers to a chair that emphasizes a solid wooden or structural frame with armrests, rather than being purely upholstered.
lehnen|ablehnen|B2|1876|to reject; to decline; to refuse|отклонять; отвергать; отказываться|zurückweisen; verweigern; ausschlagen; abweisen|Sie musste das Angebot leider ablehnen.|Unfortunately, she had to reject the offer.|К сожалению, ей пришлось отклонить предложение.|Sie musste das Angebot leider zurückweisen.|ein Angebot ablehnen; einen Vorschlag ablehnen; ein Gesetz ablehnen; eine Einladung ablehnen|A highly common transitive verb meaning to decline or veto. It is the antonym of 'annehmen' (to accept). Used for formal offers, proposals, political laws, and invitations.
lehnen|anlehnen|C1|13990|to lean against; to leave ajar|прислонять; приоткрывать|anstellen; ankippen; heranschieben|Er hat die Tür nur angelehnt.|He only left the door ajar.|Он только приоткрыл дверь.|Er hat die Tür nur einen Spalt offen gelassen.|sich an jemanden anlehnen; die Leiter an die Wand anlehnen; die Tür angelehnt lassen|Can mean placing something so it rests against a support, or leaving a door slightly open (ajar). The reflexive 'sich anlehnen an (+ accusative)' can also mean to rely emotionally on someone or to base one's style/ideas on something else.
lehnen|auflehnen|C2|38916|to rebel; to revolt|бунтовать; восставать; противиться|rebellieren; protestieren; sich widersetzen; empören|Die Bürger lehnten sich gegen das neue Gesetz auf.|The citizens rebelled against the new law.|Граждане взбунтовались против нового закона.|Die Bürger rebellierten gegen das neue Gesetz.|sich gegen die Diktatur auflehnen; sich gegen Ungerechtigkeit auflehnen; sich gegen die Eltern auflehnen|Always reflexive: 'sich auflehnen gegen + accusative'. Expresses defiance or strong, active opposition to authorities, restrictions, or societal norms.
lehnen|hinauslehnen|C2|128950|to lean out|высовываться|herausbeugen; rauslehnen|Man darf sich nicht aus dem Fenster hinauslehnen.|One must not lean out of the window.|Нельзя высовываться из окна.|Man darf sich nicht aus dem Fenster herausbeugen.|sich aus dem Fenster hinauslehnen; sich weit aus dem Fenster lehnen|Usually reflexive: 'sich hinauslehnen aus (+ dative)'. The common idiom 'sich weit aus dem Fenster lehnen' figuratively means to make a risky claim or go out on a limb.
lehnen|vorlehnen|C2|179546|to lean forward|наклоняться вперед|nach vorn beugen; vorbeugen|Er musste sich vorlehnen, um sie besser zu verstehen.|He had to lean forward to understand her better.|Ему пришлось наклониться вперед, чтобы лучше расслышать ее.|Er musste sich nach vorn beugen, um sie besser zu verstehen.|sich im Sitz vorlehnen; sich neugierig vorlehnen; den Oberkörper vorlehnen|Usually reflexive: 'sich vorlehnen'. It describes shifting one's upper body forward, typically while seated or looking closely at something.
lehnen|zurücklehnen|C1|18879|to lean back; to relax|откинуться назад; расслабиться|entspannen; zurückbeugen; ausruhen|Sie lehnte sich im Sessel zurück und schloss die Augen.|She leaned back in the armchair and closed her eyes.|Она откинулась на спинку кресла и закрыла глаза.|Sie entspannte sich im Sessel und schloss die Augen.|sich gemütlich zurücklehnen; sich entspannt zurücklehnen; sich zurücklehnen und abwarten|Typically reflexive: 'sich zurücklehnen'. It can be used literally (leaning back in a seat) or figuratively, meaning to relax and watch things play out without taking action ('sich entspannt zurücklehnen').
