word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
kennen|kennen|A1|359|to know (a person, place, or thing), to be familiar with|знать, быть знакомым|vertraut sein mit|Ich kenne dieses Restaurant sehr gut.|I know this restaurant very well.|Я очень хорошо знаю этот ресторан.|Ich bin mit diesem Restaurant sehr gut vertraut.|jemanden gut kennen; eine Stadt kennen; den Weg kennen|'Kennen' requires a direct object (accusative) and refers to familiarity with people, places, things, or concepts. Contrast with 'wissen', which refers to facts or information, usually followed by a clause or pronoun.
kennen|kennbar|C2|179643|recognizable, distinguishable|узнаваемый, различимый|erkennbar; wahrnehmbar; kenntlich|Der Unterschied war auf den ersten Blick kaum kennbar.|The difference was barely recognizable at first glance.|Разница была едва заметна с первого взгляда.|Der Unterschied war auf den ersten Blick kaum erkennbar.|kaum kennbar sein; leicht kennbar sein; deutlich kennbar sein|'Kennbar' is a formal, slightly literary synonym of 'erkennbar'. It indicates that something can be identified or recognized. It is rarely used in modern colloquial German.
kennen|kenntlich|C2|28121|recognizable, marked, identifiable|опознаваемый, заметный, обозначенный|erkennbar; markiert; sichtbar|Der Ausgang ist durch ein grünes Schild kenntlich gemacht.|The exit is marked by a green sign.|Выход обозначен зеленым указателем.|Der Ausgang ist durch ein grünes Schild markiert.|kenntlich machen; leicht kenntlich sein; farblich kenntlich machen|Mostly used in the passive-like construction 'kenntlich machen' (to mark / make identifiable). It indicates that some visual marker has been applied so that something can be easily recognized.
kennen|Kennbuchstabe|C2|139689|code letter, identification letter|опознавательная буква, буквенный код|Kodierungsbuchstabe; Identifikationsbuchstabe|Jeder Motor hat einen spezifischen Kennbuchstaben.|Every engine has a specific code letter.|Каждому двигателю соответствует определенная буквенная маркировка.|Jeder Motor hat einen spezifischen Identifikationsbuchstaben.|einen Kennbuchstaben tragen; Kennbuchstaben vergeben|Used in technical, administrative, or official contexts to describe a letter that serves as an identifier (e.g., on components, documents, or models).
kennen|Kenndaten|C2|106749|characteristics, key data, specifications|технические характеристики, ключевые данные, параметры|Spezifikationen; Kennzahlen; Basisdaten|Die Kenndaten des neuen Modells wurden im Internet veröffentlicht.|The specifications of the new model were published on the internet.|Характеристики новой модели были опубликованы в интернете.|Die Spezifikationen des neuen Modells wurden im Internet veröffentlicht.|technische Kenndaten; Kenndaten erfassen; die Kenndaten des Geräts|Plural noun. Refers to technical or statistical specifications that describe a device, system, or project. Often used in engineering, IT, and finance.
kennen|Kenner|B2|9209|connoisseur, expert, insider|знаток, ценитель, эксперт|Experte; Fachmann; Connaisseur|Er ist ein Kenner der italienischen Weine.|He is a connoisseur of Italian wines.|Он знаток итальянских вин.|Er ist ein Experte für italienische Weine.|ein Kenner der Szene; für Kenner; ein echter Kenner|Refers to a person with deep knowledge or refined taste in a specific area, especially in arts, gastronomy, or culture. Feminine form is 'Kennerin'.
kennen|Kennfaden|C2|202418|tracer thread, identification thread|отличительная нить, маркировочная нить|Markierungsfaden; Kennzeichnungsfaden|Ein roter Kennfaden läuft durch das gesamte Seil.|A red tracer thread runs through the entire rope.|Красная маркировочная нить тянется через весь трос.|Ein roter Markierungsfaden läuft durch das gesamte Seil.|einfarbiger Kennfaden; Kennfaden einweben|A highly specialized technical term. Refers to a colored thread woven into ropes, cables, or textiles to identify the manufacturer, standard, or type.
kennen|Kennfeuer|C2|247372|identification light, beacon|опознавательный огонь, маячный огонь|Signalfeuer; Leuchtfeuer; Orientierungsfeuer|Das Kennfeuer des Leuchtturms blinkte in der Dunkelheit.|The beacon light of the lighthouse flashed in the darkness.|Опознавательный огонь маяка мигал в темноте.|Das Leuchtfeuer des Leuchtturms blinkte in der Dunkelheit.|ein Kennfeuer wahrnehmen; blinkendes Kennfeuer|Mainly used in maritime or aviation terminology. It refers to a light with a specific pattern of flashes that allows sailors or pilots to identify a specific location or beacon.
kennen|Kennkarte|C2|127577|identity card (historical)|удоверение личности (историческое)|Personalausweis; Identitätskarte; Ausweis|Während des Krieges musste jeder Bürger eine Kennkarte besitzen.|During the war, every citizen had to possess an identity card.|Во время войны каждый гражданин обязан был иметь удостоверение личности.|Während des Krieges musste jeder Bürger einen Personalausweis besitzen.|eine Kennkarte ausstellen; Kennkarte vorzeigen|Historically associated with Nazi Germany, where it was the basic ID card. In modern times, the word is almost exclusively used in historical contexts; the modern term is 'Personalausweis'.
kennen|Kennleuchte|C2|180484|beacon, identification light (on vehicles)|проблесковый маячок, сигнальный фонарь|Rundumleuchte; Signalleuchte; Warnleuchte|Die Polizei schaltete die blaue Kennleuchte ein.|The police turned on the blue beacon.|Полиция включила синий проблесковый маячок.|Die Polizei schaltete die blaue Rundumleuchte ein.|blaue Kennleuchte; gelbe Kennleuchte; Kennleuchte einschalten|A formal and regulatory term for warning beacons or emergency lights on vehicles (like police, ambulance, or construction vehicles). Colloquially often called 'Blaulicht' or 'Rundumleuchte'.
