word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
zählen|zählen|A2|653|to count; to value|считать, подсчитывать; иметь значение|rechnen; nummerieren; gelten; wichtig sein|Das Kind lernt bereits bis zehn zu zählen.|The child is already learning to count to ten.|Ребёнок уже учится считать до десяти.|Das Kind lernt bereits bis zehn zu rechnen.|bis zehn zählen; auf jemanden zählen; zu den Besten zählen|Used for counting numbers or counting on someone ('auf jemanden zählen' + accusative). It can also mean 'to be of significance' (e.g., 'jede Stimme zählt').
zählen|Zählappell|C2|122166|roll call|перекличка|Appell; Anwesenheitskontrolle|Die Gefangenen mussten morgens zum Zählappell antreten.|The prisoners had to line up for the roll call in the morning.|Заключенные должны были утром явиться на перекличку.|Die Gefangenen mussten morgens zur Anwesenheitskontrolle antreten.|zum Zählappell antreten; stundenlanger Zählappell|Primarily used in historical contexts, specifically referring to the daily headcounts of prisoners in concentration camps during the Nazi regime.
zählen|zählbar|C1|16575|countable; quantifiable|исчисляемый; поддающийся подсчету|messbar; quantifizierbar; berechenbar|In der Grammatik sind manche Substantive nicht zählbar.|In grammar, some nouns are uncountable.|В грамматике некоторые существительные являются неисчисляемыми.|In der Grammatik sind manche Substantive nicht quantifizierbar.|zählbare Substantive; ein zählbarer Erfolg; kaum zählbar|Commonly used in linguistics to refer to countable nouns (zählbare Substantive) versus uncountable ones. Also used in sports or business to denote tangible, measurable results (zählbare Erfolge).
zählen|Zählbrett|C2|194359|counting board; coin tray|счётная доска; лоток для монет|Münzbrett; Zahlteller|Der Kassierer ordnete die Münzen auf dem Zählbrett.|The cashier arranged the coins on the counting board.|Кассир разложил монеты на счётной доске.|Der Kassierer ordnete die Münzen auf dem Münzbrett.|Münzen auf dem Zählbrett sortieren; ein hölzernes Zählbrett|A noun describing a physical tray or board used to sort and count coins. Used mostly in banking, retail, or historical contexts.
zählen|Zähler|B2|3201|meter; counter; numerator|счетчик; числитель|Messgerät; Zählwerk; Nenner-Gegenpart|Der Techniker liest heute den Zähler für den Strom ab.|The technician is reading the electricity meter today.|Техник сегодня считывает показания счетчика электроэнергии.|Der Techniker liest heute das Messgerät für den Strom ab.|den Zähler ablesen; Gas und Stromzähler; Zähler und Nenner|Highly versatile noun. It can mean a physical utility meter (Stromzähler, Wasserzähler) or the numerator of a fraction in mathematics (contrasting with Nenner, the denominator).
zählen|Zählerei|C2|143433|tedious counting; constant counting|надоедливый подсчет; постоянное высчитывание|Gezähle; Rechnerei|Diese ständige Zählerei der Kalorien macht mich müde.|This constant counting of calories is making me tired.|Это постоянное высчитывание калорий утомляет меня.|Diese ständige Rechnerei der Kalorien macht mich müde.|die lästige Zählerei; mit der Zählerei aufhören|The suffix '-erei' gives this word a derogatory or pejorative tone, implying annoying, tedious, or obsessive counting (e.g., counting calories or money obsessively).
zählen|Zählgerät|C2|133412|counting device; counter|счетное устройство; счетчик|Zähler; Zählwerk; Messgerät|Das elektronische Zählgerät erfasst die Besucherströme automatisch.|The electronic counting device records the visitor flows automatically.|Электронное счетное устройство автоматически фиксирует потоки посетителей.|Das elektronische Messgerät erfasst die Besucherströme automatisch.|elektronisches Zählgerät; ein automatisches Zählgerät installieren|A formal and technical term for any instrument or device designed to count items, occurrences, or particles automatically.
zählen|Zählkammer|C2|219075|counting chamber|счетная камера|Neubauer-Kammer; Hämozytometer|Der Laborant zählt die Zellen unter dem Mikroskop mithilfe einer Zählkammer.|The lab technician counts the cells under the microscope using a counting chamber.|Лаборант считает клетки под микроскопом с помощью счетной камеры.|Der Laborant zählt die Zellen unter dem Mikroskop mithilfe einer Neubauer-Kammer.|Zählkammer nach Neubauer; Zellen in der Zählkammer bestimmen|A specialized medical and scientific term, referring to a counting chamber (like a hemocytometer) used under a microscope to measure cell concentration in a liquid.
zählen|Zählkandidat|C2|116173|token candidate; nominal candidate|номинальный кандидат|Alibikandidat; Schein-Kandidat|Bei dieser Wahl war er nur ein Zählkandidat ohne echte Chancen.|In this election, he was only a token candidate with no real chance.|На этих выборах он был лишь номинальным кандидатом без реальных шансов.|Bei dieser Wahl war er nur ein Alibikandidat ohne echte Chancen.|als Zählkandidat antreten; reiner Zählkandidat sein|A political term for a candidate who runs in an election without any realistic chance of winning, usually to represent a minor party or fill a list requirement.
zählen|Zählkarte|C2|130865|counting card; census form|учетная карточка|Meldezettel; Erhebungsbogen|Für die Volkszählung musste jeder Haushalt eine Zählkarte ausfüllen.|For the census, every household had to fill out a tally card.|Для переписи населения каждая семья должна была заполнить учетную карточку.|Für die Volkszählung musste jeder Haushalt einen Erhebungsbogen ausfüllen.|eine Zählkarte ausfüllen; statistische Zählkarte|An administrative or statistical term for a form or card used during manual data collections, such as traffic counts or population censuses.
