word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
gehen|gehen|A1|7646|to go; to walk|идти; ходить|laufen; wandern; marschieren|Wir gehen heute Abend ins Kino.|We are going to the cinema tonight.|Мы идем сегодня вечером в кино.|Wir laufen heute Abend ins Kino.|zu Fuß gehen; schlafen gehen; verloren gehen|Universal verb of movement. Always forms its perfect tense with 'sein'. Highly versatile in both physical and abstract meanings.
gehen|abgehen|C1|11236|to leave; to depart; to stand out|уходить; отклоняться; отправляться|weggehen; abreisen; abweichen|Die Postkarte ist bereits abgegangen.|The postcard has already been sent off.|Открытка уже отправлена.|Die Postkarte ist bereits weggeschickt worden.|von der Schule abgehen; vom Weg abgehen|Separable. Often used in administrative contexts (leaving school) or colloquial situations ('was geht ab?' meaning 'what is happening?').
gehen|abwärts gehen|C2|132088|to go downhill; to decline|идти на спад; ухудшаться|bergab gehen; sinken; nachlassen|Mit der Wirtschaft geht es abwärts.|The economy is going downhill.|Экономика идет на спад.|Mit der Wirtschaft geht es bergab.|wirtschaftlich abwärts gehen; stetig abwärts gehen|Typically used as an impersonal construction ('es geht abwärts mit...') to denote a negative trend or decline.
gehen|angehen|B2|2073|to concern; to tackle; to start (of light/machine)|касаться; приниматься за; зажигаться|betreffen; anpacken; starten|Das geht dich überhaupt nichts an.|That is absolutely none of your business.|Это тебя совершенно не касается.|Das betrifft dich überhaupt nicht.|ein Problem angehen; das Licht geht an|Separable. Highly multi-functional. In the sense of 'to concern', it takes the accusative case ('das geht mich an').
gehen|aufgehen|B2|6051|to rise (sun); to open; to add up (math)|восходить (о солнце); открываться; сходиться (о расчетах)|aufblühen; sich öffnen; klappen|Die Sonne geht im Osten auf.|The sun rises in the east.|Солнце встает на востоке.|Die Sonne erscheint am östlichen Himmel.|die Rechnung geht auf; die Sonne geht auf; die Tür geht auf|Separable. Commonly used figuratively in 'die Rechnung geht auf' (the plan works out / the math adds up).
gehen|aufwärts gehen|C2|72311|to go uphill; to improve; to look up|идти в гору; улучшаться|bergauf gehen; sich verbessern; florieren|Es geht wieder aufwärts mit dem Geschäft.|Business is looking up again.|Дела в бизнесе снова идут в гору.|Es verbessert sich wieder die geschäftliche Lage.|wirtschaftlich aufwärts gehen; spürbar aufwärts gehen|Usually an impersonal phrase ('es geht aufwärts mit...') representing positive growth, recovery, or recovery from illness.
gehen|ausgehen|C1|1410|to go out (socially); to run out; to assume|выходить (в свет); кончаться; исходить (из чего-либо)|ausgehen (feiern); leer werden; annehmen|Wir wollen heute Abend schick ausgehen.|We want to go out tonight in style.|Мы хотим сегодня вечером шикарно выбраться куда-нибудь.|Wir wollen heute Abend schick feiern gehen.|von einer Annahme ausgehen; das Licht geht aus; die Geduld geht aus|Separable. 'Ausgehen von' (+ Dative) means to assume or originate from. When used for light or fire, it means to go out.
gehen|auseinandergehen|C2|39555|to part; to diverge; to break up|расходиться; разводиться; распадаться|sich trennen; auseinanderlaufen; abweichen|Die Meinungen gehen hier weit auseinander.|Opinions differ widely here.|Мнения здесь сильно расходятся.|Die Meinungen weichen hier weit voneinander ab.|im Guten auseinandergehen; weit auseinandergehen|Separable. Used physically for crowds or couples breaking up, and abstractly for opinions and paths.
gehen|auswärtsgehen|C2|246134|to go out (especially to eat)|выходить в свет; идти ужинать вне дома|ausgehen; auswärts essen|Wir gehen heute Abend auswärtsgehen.|We are going out for dinner tonight.|Мы сегодня ужинаем вне дома.|Wir essen heute Abend in einem Restaurant.|selten auswärtsgehen; gerne auswärtsgehen|Separable. Primarily used to denote eating at a restaurant or traveling outside one's hometown for leisure.
gehen|bankrott gehen|C2|193305|to go bankrupt; to go bust|обанкротиться; разориться|pleitegehen; insolvent werden; scheitern|Die Firma ist im letzten Jahr bankrott gegangen.|The company went bankrupt last year.|Фирма в прошлом году обанкротилась.|Die Firma ist im letzten Jahr insolvent geworden.|völlig bankrott gehen; drohen bankrott zu gehen|Can be written as two words or single word. Strongly related to economic insolvency.
