word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
dringen|dringen|B2|4587|to penetrate; to urge; to insist|проникать; настаивать; требовать|durchdringen; dringen auf; insistieren; drängen|Die Sonnenstrahlen dringen durch die dichten Wolken.|The sun's rays penetrate through the dense clouds.|Солнечные лучи проникают сквозь густые облака.|Die Sonnenstrahlen brechen durch die dichten Wolken.|auf eine Entscheidung dringen; ans Licht dringen; durch eine Wand dringen|Can mean 'to penetrate' (used with local prepositions like durch/in and takes 'sein' as auxiliary) or 'to insist/urge' (used with 'auf' + accusative and takes 'haben' as auxiliary). Strong verb: dringen - drang - gedrungen.
dringen|abdringen|C2|228263|to extort; to force out of (someone)|вымогать; вынуждать (у кого-либо)|abnötigen; abpressen; erzwingen|Sie konnte ihm schließlich ein Geständnis abdringen.|She finally managed to force a confession out of him.|Ей наконец удалось вырвать у него признание.|Sie konnte ihm schließlich ein Geständnis abnötigen.|jemandem ein Versprechen abdringen; jemandem ein Geständnis abdringen; ein Zugeständnis abdringen|An elevated, transitive verb. Usually takes a dative object (the person forced) and an accusative object (the confession, promise, etc.). Strong verb: drang ab - abgedrungen.
dringen|andringen|C2|211093|to press forward; to advance; to rush against|наступать; нажимать; устремляться против|anstürmen; anrücken; herannahen|Die feindlichen Truppen drangen unaufhaltsam an.|The enemy troops advanced relentlessly.|Вражеские войска неудержимо наступали.|Die feindlichen Truppen rückten unaufhaltsam an.|gegen die Verteidigung andringen; die Wassermassen dringen an|Used mainly in literary contexts or military descriptions to describe a physical mass or army pressing or rushing against something. Takes 'sein' as auxiliary. Separable: drang an - angedrungen.
dringen|aufdringen|C2|149343|to force upon; to obtrude (oneself)|навязывать; навязываться|aufdrängen; aufzwingen; aufnötigen|Ich möchte mich dir mit meinen Ratschlägen nicht aufdringen.|I don't want to force my advice upon you.|Я не хочу навязываться тебе со своими советами.|Ich möchte mich dir mit meinen Ratschlägen nicht aufdrängen.|sich jemandem aufdringen; jemandem seine Meinung aufdringen|Most commonly used as a reflexive verb ('sich aufdringen') or transitively with dative ('jemandem etwas aufdringen'). The variant 'aufdrängen' is far more common in modern German, but 'aufdringen' (strong verb: drang auf - aufgedrungen) is a valid high-register synonym.
dringen|aufdringlich|C1|16766|intrusive; pushy; obtrusive|навязчивый; назойливый|penetrant; lästig; zudringlich; zudringend|Der Verkäufer war extrem aufdringlich und ließ uns nicht in Ruhe.|The salesman was extremely pushy and wouldn't leave us alone.|Продавец был крайне навязчивым и не оставлял нас в покое.|Der Verkäufer war extrem penetrant und ließ uns nicht in Ruhe.|ein aufdringlicher Geruch; aufdringliche Werbung; aufdringlicher Mensch|An adjective used negatively to describe people who violate personal boundaries, or sensory experiences (smells, colors, advertising) that are too loud, sharp, or unavoidable.
dringen|Drang|B1|12251|urge; drive; impulse|стремление; позыв; тяга|Trieb; Verlangen; Impuls; Bedürfnis|Sie verspürte einen starken Drang, die Wahrheit zu sagen.|She felt a strong urge to tell the truth.|Она почувствовала сильное стремление сказать правду.|Sie verspürte ein starkes Bedürfnis, die Wahrheit zu sagen.|den Drang verspüren; ein innerer Drang; Drang nach Freiheit; Tatendrang|Masculine noun (der Drang, genitive: Dranges). Often followed by 'nach' + dative (e.g., Drang nach Freiheit) or an infinitive clause with 'zu' (e.g., Drang zu lernen).
dringen|dringend|B1|1609|urgent; pressing; desperately|срочный; неотложный; настоятельно|dringlich; akut; eilig; inständig|Wir müssen dringend eine Lösung für dieses Problem finden.|We urgently need to find a solution to this problem.|Нам нужно срочно найти решение этой проблемы.|Wir müssen unverzüglich eine Lösung für dieses Problem finden.|dringend tatverdächtig; dringend hilfebedürftig; dringend abraten|Very versatile. Can function as an adjective ('urgent matter' = dringende Angelegenheit) or as an adverb ('urgently' or 'desperately', especially with verbs like benötigen, brauchen, or abraten).
dringen|dringlich|C1|12401|urgent; pressing|настоятельный; спешный; неотложный|dringend; akut; prioritär; eilig|Diese Angelegenheit ist äußerst dringlich und duldet keinen Aufschub.|This matter is extremely urgent and brooks no delay.|Это дело чрезвычайно неотложное и не терпит отлагательств.|Diese Angelegenheit ist äußerst eilig und duldet keinen Aufschub.|eine dringliche Angelegenheit; eine dringliche Frage; dringliche Hilfe|Very close in meaning to 'dringend', but 'dringlich' is primarily used as an adjective for abstract subjects (requests, inquiries, tasks) requiring swift action, and is rarely used as an adverb.
dringen|durchdringen|C1|12454|to penetrate; to permeate; to soak through|проникать; пронизывать; пропитывать|penetrieren; durchdringen; durchnässen; durchfluten|Der Regen durchdrang seine Kleidung komplett.|The rain completely soaked through his clothes.|Дождь полностью промочил его одежду.|Der Regen durchnässte seine Kleidung komplett.|von einer Idee durchdrungen sein; den Markt durchdringen; die Dunkelheit durchdringen|Can be inseparable (takes 'haben' as auxiliary, meaning 'to permeate/soak through', e.g., 'der Regen durchdrang uns') or separable (takes 'sein' as auxiliary, meaning 'to get through an obstacle', e.g., 'wir sind endlich durchgedrungen').
dringen|empordringen|C2|207493|to force one's way up; to rise; to surge upwards|пробиваться вверх; подниматься|aufsteigen; emporsteigen; hinaufdringen|Heiße Quellen drangen aus dem Boden empor.|Hot springs surged up from the ground.|Горячие источники пробивались вверх из земли.|Heiße Quellen stiegen aus dem Boden empor.|aus der Tiefe empordringen; Rauch dringt empor; Dampf dringt empor|A separable, intransitive verb (drang empor - emporgedrungen) taking 'sein' as auxiliary. Expresses upward motion of elements like liquids, gas, or smoke from a deep source.
