word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
feilen|feilen|C1|13143|to file; to polish (refine)|подпиливать; оттачивать (стиль, доклад)|glätten; verfeinern; schleifen|Er muss noch an seinem Vortrag feilen.|He still needs to polish his presentation.|Ему еще нужно поработать над своим докладом.|Er muss seinen Vortrag noch verfeinern.|an einem Text feilen; an den Details feilen; Fingernägel feilen|Often used with 'an' + dative when meaning 'to refine' or 'to polish' (e.g., an einem Plan feilen). When referring to physical filing of objects, it is used as a transitive verb with an accusative object.
feilen|abfeilen|C2|129195|to file down; to file off|спиливать; стачивать (напильником)|wegfeilen; abschleifen; abraspeln|Er musste die scharfe Kante des Metallstücks abfeilen.|He had to file down the sharp edge of the piece of metal.|Ему пришлось спилить острый край куска металла.|Er musste die scharfe Kante des Metallstücks abschleifen.|eine Kante abfeilen; die Fingernägel abfeilen; Unebenheiten abfeilen|Separable verb (feilt ab, feilte ab, abgefeilt). Refers to removing material by filing to make it smooth, safe, or even.
feilen|auffeilen|C2|214220|to file open; to file wider|распиливать (отверстие); взламывать напильником|aufbrechen; erweitern; aufmachen|Der Schlosser musste das Schloss mühsam auffeilen.|The locksmith had to painstakingly file open the lock.|Слесарю пришлось с трудом распиливать замок напильником.|Der Schlosser musste das Schloss mühsam mit einer Feile aufbrechen.|ein Schloss auffeilen; ein Loch auffeilen|Separable verb (feilt auf, feilte auf, aufgefeilt). Used either to open something locked by filing it, or to enlarge a hole using a file.
feilen|ausfeilen|C2|51285|to elaborate; to fully develop; to file out|тщательно разрабатывать; отделывать; выпиливать изнутри|ausarbeiten; verfeinern; vervollkommnen|Wir müssen diesen Plan noch genauer ausfeilen.|We still need to elaborate on this plan in more detail.|Нам нужно еще более детально проработать этот план.|Wir müssen diesen Plan noch genauer ausarbeiten.|ein Konzept ausfeilen; eine Methode ausfeilen; Pläne ausfeilen|Separable verb (feilt aus, feilte aus, ausgefeilt). While it can physically mean to file out an inner part, it is overwhelmingly used metaphorically to mean refining or perfecting concepts, strategies, or plans.
feilen|durchfeilen|C2|187883|to file through|перепиливать (напильником)|durchtrennen; durchsägen|Der Gefangene versuchte, das Gitter durchzufeilen.|The prisoner tried to file through the bars.|Заключенный пытался перепилить решетку напильником.|Der Gefangene versuchte, das Gitter durchzutrennen.|Gitterstäbe durchfeilen; eine Kette durchfeilen; einen Bolzen durchfeilen|Separable verb (feilt durch, feilte durch, durchgefeilt). Used specifically for cutting through metal bars, locks, or chains using a file.
feilen|herausfeilen|C2|193618|to shape by filing; to work out (details)|выпиливать напильником; тщательно выделять|herausarbeiten; herausformen|Er konnte die feine Form aus dem Holzblock herausfeilen.|He was able to shape the fine form out of the block of wood by filing.|Он смог выпилить изящную форму из деревянного бруска.|Er konnte die feine Form aus dem Holzblock herausarbeiten.|Details herausfeilen; eine Form herausfeilen|Separable verb (feilt heraus, feilte heraus, herausgefeilt). Refers physically to shaping an object with a file, but can metaphorically mean to carve out precise details.
feilen|nachfeilen|C2|174313|to touch up with a file; to file again|подпиливать (дополнительно); дорабатывать напильником|nachbessern; nacharbeiten; korrigieren|Das Werkstück passt noch nicht ganz, ich muss es nachfeilen.|The workpiece doesn't fit quite right yet, I need to touch it up with a file.|Деталь еще не совсем подходит, мне нужно подпилить ее еще раз.|Das Werkstück passt noch nicht ganz, ich muss es nacharbeiten.|ein Werkstück nachfeilen; Kanten nachfeilen; einen Schlüssel nachfeilen|Separable verb (feilt nach, feilte nach, nachgefeilt). Implies making final minor adjustments or corrections to an object by filing.
feilen|wegfeilen|C2|172835|to file away; to file off|спиливать; стачивать полностью|abfeilen; entfernen; abschleifen|Du solltest den überstehenden Grat wegfeilen.|You should file away the protruding burr.|Тебе стоит спилить выступающий заусенец.|Du solltest den überstehenden Grat entfernen.|einen Grat wegfeilen; Unebenheiten wegfeilen; Kanten wegfeilen|Separable verb (feilt weg, feilte weg, weggefeilt). Focuses on the complete removal of small, unwanted parts, bumps, or rough edges with a file.
feilen|zufeilen|C2|208877|to file to shape; to file to fit|выпиливать до нужного размера; подгонять напильником|anpassen; passend machen; zurechtschneiden|Er musste das Metallstück passgenau zufeilen.|He had to file the piece of metal to fit precisely.|Ему пришлось подогнать деталь из металла напильником точно по размеру.|Er musste das Metallstück passgenau anpassen.|passgenau zufeilen; ein Metallstück zufeilen|Separable verb (feilt zu, feilte zu, zugefeilt). Means to file a workpiece until it reaches the correct, required dimensions or fit.
feilen|Feilarbeit|C2|253401|filing work; meticulous fine-tuning|опиловочные работы; кропотливая доработка (деталей)|Feinarbeit; Detailarbeit; Präzisionsarbeit|Nach der groben Planung beginnt nun die eigentliche Feilarbeit.|After the rough planning, the actual fine-tuning begins.|После грубого планирования начинается настоящая детальная доработка.|Nach der groben Planung beginnt nun die eigentliche Detailarbeit.|mühsame Feilarbeit; handwerkliche Feilarbeit; gedankliche Feilarbeit|Noun, feminine (die Feilarbeit). Refers literally to manual filing, but is highly common in abstract contexts denoting detailed, meticulous editing or polishing of a project.
