word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
segeln|segeln|C1|10685|to sail|плыть под парусом|bootfahren; schippern; kreuzen|Wir segeln am Wochenende auf dem See.|We are sailing on the lake this weekend.|В выходные мы будем ходить под парусом на озере.|Wir fahren am Wochenende mit dem Boot auf dem See.|im Wind segeln; auf dem Meer segeln; leidenschaftlich segeln|segeln is a versatile verb. It takes 'sein' as an auxiliary verb when indicating a change of location (e.g., 'wir sind nach England gesegelt'), but can take 'haben' in some contexts when the action itself is stressed without a destination, though 'sein' is far more common.
segeln|absegeln|C2|152236|to set sail; to sail away|отплывать (под парусами)|ablegen; losfahren; fortsegeln|Die Jacht wird morgen früh im Hafen absegeln.|The yacht will set sail from the harbor tomorrow morning.|Яхта отплывет из гавани завтра утром.|Die Jacht wird morgen früh im Hafen ablegen.|aus dem Hafen absegeln; pünktlich absegeln|absegeln means to depart or set sail, usually taking 'sein'. In German yacht club terminology, 'das Absegeln' (as a noun) also refers to the final regatta or sailing event marking the end of the sailing season.
segeln|besegeln|C2|148391|to navigate; to sail on|плавать (по какому-либо морю)|befahren; bekreuzen|Nur wenige Abenteurer besegeln diese gefährlichen Gewässer.|Only a few adventurers navigate these dangerous waters.|Лишь немногие искатели приключений плавают по этим опасным водам.|Nur wenige Abenteurer befahren diese gefährlichen Gewässer.|Meere besegeln; Ozeane besegeln; Gewässer besegeln|besegeln is transitive and requires an accusative object representing the body of water. It is elevated/literary in style and takes 'haben' as an auxiliary verb (e.g., 'sie haben den Ozean besegelt').
segeln|dahinsegeln|C2|173106|to glide along; to sail along smoothly|плавно скользить; проноситься под парусами|dahingleiten; dahinfahren|Die Wolken segeln am blauen Himmel dahin.|The clouds glide along in the blue sky.|Облака плывут по синему небу.|Die Wolken gleiten am blauen Himmel dahin.|ruhig dahinsegeln; elegant dahinsegeln; am Himmel dahinsegeln|A separable verb, dahinsegeln is often used metaphorically for clouds, birds, or boats moving gracefully and effortlessly. It takes 'sein' as an auxiliary.
segeln|durchsegeln|C2|139073|to sail through; to cross by sailing|проплывать насквозь (под парусом)|durchqueren; durchfahren|Wir durchsegeln den Sturm mitten in der Nacht.|We sail through the storm in the middle of the night.|Мы проплываем сквозь шторм посреди ночи.|Wir durchfahren den Sturm mitten in der Nacht.|ein Gebiet durchsegeln; einen Sturm durchsegeln; die Nacht durchsegeln|Can be separable (focus on moving through from one side to the other, auxiliary 'sein') or inseparable (focus on navigating or covering an entire area, auxiliary 'haben'). The inseparable form is used in the example.
segeln|ersegeln|C2|113017|to win by sailing; to achieve through sailing|выиграть в парусной регате|erringen; gewinnen; erzielen|Das Team konnte sich den ersten Platz bei der Regatta ersegeln.|The team managed to win first place in the regatta.|Команде удалось завоевать первое место на регате.|Das Team konnte sich den ersten Platz bei der Regatta erringen.|einen Titel ersegeln; den Sieg ersegeln; eine Medaille ersegeln|A transitive verb, ersegeln uses the prefix 'er-' to indicate achieving a specific positive outcome (like a prize, rank, or distance) as a direct result of sailing. Takes 'haben'.
segeln|fortsegeln|C2|220133|to sail away; to depart|уплывать (под парусами)|wegsegeln; davonsegeln; abreisen|Sie machten die Leinen los und segelten schnell fort.|They cast off the lines and quickly sailed away.|Они отдали концы и быстро уплыли.|Sie machten die Leinen los und segelten schnell weg.|schnell fortsegeln; in die Ferne fortsegeln|Separable verb. It expresses the act of leaving a place by boat. The auxiliary verb is 'sein'.
segeln|hinsegeln|C2|183472|to sail there; to sail towards a place|направляться под парусами к чему-то|hinfahren; ansegeln|Wenn der Wind günstig ist, wollen wir morgen hinsegeln.|If the wind is favorable, we want to sail there tomorrow.|Если ветер будет благоприятным, мы хотим поплыть туда завтра.|Wenn der Wind günstig ist, wollen wir morgen hinfahren.|dorthin hinsegeln; zu der Insel hinsegeln|Separable verb. The prefix 'hin-' indicates direction towards a specified point away from the speaker. It takes 'sein'.
segeln|lossegeln|C2|138079|to set sail; to start sailing|отправляться в плавание под парусами|abfahren; aufbrechen; losfahren|Sobald der Sturm nachlässt, werden wir lossegeln.|As soon as the storm subsides, we will set sail.|Как только шторм утихнет, мы отправимся в плавание.|Sobald der Sturm nachlässt, werden wir aufbrechen.|sofort lossegeln; mutig lossegeln; am Morgen lossegeln|Separable verb emphasizing the initiation of a sailing journey. Very common in spoken and narrative German. It takes 'sein'.
segeln|reinsegeln|C2|200846|to sail into; to get into a mess|заплывать внутрь под парусом; вляпаться (разг.)|hineinsegeln; hineingeraten|Wir sind direkt in ein heftiges Gewitter reingesegelt.|We sailed right into a severe thunderstorm.|Мы влетели прямо в сильную грозу.|Wir sind direkt in ein heftiges Gewitter hineingeraten.|in ein Problem reinsegeln; in den Hafen reinsegeln|reinsegeln (colloquial contraction of 'hineinsegeln') is often used metaphorically to mean running blindly or unpreparedly into a bad situation (like an argument, crisis, or trap). Takes 'sein'.
segeln|umsegeln|C2|83925|to circumnavigate; to sail around|совершать кругосветное плавание; огибать под парусом|umfahren; umrunden|Die Entdecker wollten die ganze Welt umsegeln.|The explorers wanted to circumnavigate the entire world.|Исследователи хотели совершить кругосветное путешествие под парусом.|Die Entdecker wollten die ganze Welt umrunden.|das Kap umsegeln; die Welt umsegeln; eine Insel umsegeln|Mostly used as an inseparable verb ('umsegeln', past participle 'umsegelt', takes 'haben') meaning to circumnavigate. Can theoretically be separable ('umsegeln', meaning to knock down while sailing, e.g. a buoy, takes 'sein'), but the inseparable meaning is far more common.
segeln|weitersegeln|C2|137525|to continue sailing|продолжать плавание под парусом|weiterfahren; weiterreisen|Nach einer kurzen Pause am Steg wollten sie weitersegeln.|After a short break at the pier, they wanted to continue sailing.|После короткого перерыва у причала они хотели продолжить плавание.|Nach einer kurzen Pause am Steg wollten sie weiterfahren.|ohne Pause weitersegeln; am nächsten Tag weitersegeln|Separable verb. It combines the action of sailing with the aspect of continuation ('weiter-'). It takes 'sein'.
segeln|zusegeln|C2|181497|to sail towards; to head for|направляться под парусами к чему-либо|steuern auf; zufahren; zusteuern|Das Schiff begann, direkt auf den Hafen zuzusegeln.|The ship began to sail directly towards the harbor.|Корабль начал направляться прямо к порту.|Das Schiff begann, direkt auf den Hafen zuzusteuern.|auf die Küste zusegeln; direkt auf jemanden zusegeln|Separable verb, always paired with the preposition 'auf' + accusative. It indicates heading directly toward a target. It takes 'sein' as an auxiliary.
segeln|Segelboot|B2|26429|sailboat; sailing boat|парусная лодка; парусник|Segelschiff; Jolle; Yacht|Er besitzt ein kleines Segelboot auf dem Bodensee.|He owns a small sailboat on Lake Constance.|У него есть маленькая парусная лодка на Боденском озере.|Er besitzt ein kleines Segelschiff auf dem Bodensee.|ein Segelboot mieten; mit dem Segelboot fahren; ein zweimastiges Segelboot|Neuter noun (das Segelboot, Genitiv: -[e]s, Plural: -e). It typically refers to smaller leisure boats powered by sails, as opposed to large, professional 'Segelschiffe'.
segeln|Segelflug|C2|64727|gliding; soaring flight|планерный полет|Gleitflug; Segeln|Der Segelflug über die Alpen war ein unvergessliches Erlebnis.|The gliding flight over the Alps was an unforgettable experience.|Полет на планере над Альпами был незабываемым опытом.|Der Gleitflug über die Alpen war ein unvergessliches Erlebnis.|einen Segelflug machen; lautloser Segelflug; Faszination Segelflug|Masculine noun (der Segelflug, Genitiv: -[e]s, Plural: Segelflüge). Refers to the act of flying without engine power, utilizing thermal updrafts.
segeln|Segelflugzeug|C2|39121|glider; sailplane|планер (безмоторный летательный аппарат)|Gleiter; Segler|Das Segelflugzeug gleitet völlig geräuschlos durch die Luft.|The glider glides completely silently through the air.|Планер летит совершенно бесшумно по воздуху.|Der Gleiter gleitet völlig geräuschlos durch die Luft.|ein Segelflugzeug fliegen; ein einsitziges Segelflugzeug; Start eines Segelflugzeugs|Neuter noun (das Segelflugzeug, Plural: -e). It specifically refers to the physical non-motorized aircraft used in gliding.
segeln|Segelregatta|C2|75521|sailing regatta; yacht race|парусная регата|Bootsrennen; Wettsegeln|Jedes Jahr findet im Sommer eine große Segelregatta statt.|Every year in summer, a big sailing regatta takes place.|Каждое лето проводится крупная парусная регата.|Jedes Jahr findet im Sommer ein großes Wettsegeln statt.|an einer Segelregatta teilnehmen; internationale Segelregatta; Segelregatta gewinnen|Feminine noun (die Segelregatta, Plural: -regatten). Represents a structured race or sporting competition of sailing vessels.
segeln|Segelschiff|C2|31012|sailing ship|парусное судно; парусник|Segler; Windjammer|Das historische Segelschiff lag ruhig im Hafen.|The historical sailing ship lay quietly in the harbor.|Историческое парусное судно спокойно стояло в гавани.|Der historische Segler lag ruhig im Hafen.|historisches Segelschiff; dreimastiges Segelschiff; mit dem Segelschiff reisen|Neuter noun (das Segelschiff, Plural: -e). Usually refers to larger, ocean-going, historically styled vessels rather than modern leisure 'Segelboote'.
segeln|Segelschule|C2|70940|sailing school|школа парусного спорта|Ausbildungsstätte für Segler|Sie hat sich für einen Grundkurs an der Segelschule angemeldet.|She signed up for a basic course at the sailing school.|Она записалась на базовый курс в парусную школу.|Sie hat sich für einen Grundkurs an der Ausbildungsstätte für Segler angemeldet.|eine anerkannte Segelschule; die Segelschule besuchen; Leiter einer Segelschule|Feminine noun (die Segelschule, Plural: -n). A commercial or non-profit establishment teaching the practical and theoretical methods of handling sailing boats.
segeln|Segeltörn|C2|48550|sailing trip; cruise|парусное путешествие|Segelausflug; Segelreise|Wir planen einen einwöchigen Segeltörn im Mittelmeer.|We are planning a week-long sailing trip in the Mediterranean.|Мы планируем недельное парусное путешествие по Средиземному морю.|Wir planen eine einwöchige Segelreise im Mittelmeer.|einen Segeltörn buchen; gemütlicher Segeltörn; einwöchiger Segeltörn|Masculine noun (der Segeltörn, Plural: -s). Borrowed from Low German and combined with English 'turn'. It specifically describes a planned leisure cruise on a sailboat, often lasting several days.
segeln|Segeltuch|C2|80692|canvas; sailcloth|парусина; брезент|Canvas; Segelleinen|Die Segel bestehen aus einem besonders strapazierfähigen Segeltuch.|The sails are made of a particularly durable canvas.|Паруса сделаны из особенно прочной парусины.|Die Segel bestehen aus einem besonders strapazierfähigen Segelleinen.|festes Segeltuch; Segeltuch für Kleidung; wasserdichtes Segeltuch|Neuter noun (das Segeltuch, Plural: -tücher). Refers to the thick, robust, tightly woven material historically made of linen/hemp and now synthetic fibers, used for sails, tents, and sturdy bags.
segeln|Segelyacht|C2|52980|sailing yacht|парусная яхта|Segelboot; Kielkreuzer|Sie kauften sich eine luxuriöse Segelyacht für lange Seereisen.|They bought a luxurious sailing yacht for long sea voyages.|Они купили роскошную парусную яхту для длительных морских путешествий.|Sie kauften sich ein luxuriöses Segelboot für lange Seereisen.|luxuriöse Segelyacht; Segelyacht chartern; moderne Segelyacht|Feminine noun (die Segelyacht, also spelled 'Segeljacht', Plural: -en). Implies a larger, well-equipped sailing vessel designed for private luxury or offshore cruising, as opposed to a simple dinghy ('Jolle').
