word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
sorgen|sorgen|B1|308|to worry, to care, to look after, to ensure|заботиться, беспокоиться, обеспечивать|kümmern; besorgen; gewährleisten; sich ängstigen|Ich sorge für das Abendessen.|I will take care of the dinner.|Я позабочусь об ужине.|Ich kümmere mich um das Abendessen.|für jemanden sorgen; sich Sorgen machen; für Ruhe sorgen|Often used with the preposition 'für' (+ accusative) meaning 'to take care of' or 'to ensure'. When used as a reflexive verb ('sich sorgen um' + accusative), it means 'to worry about'. Do not confuse with 'sich kümmern um', which is very close but 'sorgen für' can also mean providing financial support or ensuring a state (e.g., 'für Ordnung sorgen').
sorgen|besorgen|B2|4263|to get, to obtain, to purchase, to take care of|доставать, приобретать, улаживать, заботиться (о чём-то)|holen; beschaffen; einkaufen; erledigen|Kannst du bitte die Kinokarten besorgen?|Can you please get the cinema tickets?|Ты не мог бы достать билеты в кино?|Kannst du bitte die Kinokarten beschaffen?|Fahrkarten besorgen; Einkäufe besorgen; ein Geschenk besorgen|Commonly used in everyday language for getting or buying something. It can also mean to take care of a task (e.g., 'etwas besorgen'). In passive or adjective forms like 'besorgt', it means 'worried'.
sorgen|entsorgen|B2|6038|to dispose of, to throw away, to waste-manage|утилизировать, выбрасывать отходы|wegwerfen; beseitigen; wegschmeißen; deponieren|Wir müssen den alten Kühlschrank umweltgerecht entsorgen.|We must dispose of the old refrigerator in an environmentally friendly way.|Мы должны утилизировать старый холодильник экологически безопасным способом.|Wir müssen den alten Kühlschrank umweltgerecht beseitigen.|Müll entsorgen; Abfälle entsorgen; fachgerecht entsorgen|Specifically used for waste, garbage, toxic materials, or large items. It implies proper, legal, and often ecological disposal, unlike the simple 'wegwerfen' (to throw away).
sorgen|Sorge|A2|1299|worry, concern, care|забота, беспокойство, тревога|Kummer; Besorgnis; Angst; Fürsorge|Mach dir keine Sorgen um mich.|Do not worry about me.|Не беспокойся обо мне.|Mach dir keinen Kummer wegen mir.|sich Sorgen machen; in Sorge sein; finanzielle Sorgen|Noun, feminine. Usually used in the plural 'Sorgen' for troubles or worries. The singular 'Fürsorge' means care or welfare. Note the common idiom 'sich (dative) Sorgen machen um (accusative)'.
sorgen|sorgsam|C1|12691|careful, diligent, cautious|тщательный, бережный, заботливый|vorsichtig; sorgfältig; behutsam; gewissenhaft|Sie bewahrt die alten Briefe in einer sorgsamen Weise auf.|She keeps the old letters in a careful manner.|Она бережно хранит старые письма.|Sie bewahrt die alten Briefe in einer behutsamen Weise auf.|sorgsamer Umgang; sorgsam auswählen; sorgsam umgehen mit|An adjective describing a gentle, protective, and attentive way of handling things or people. Similar to 'sorgfältig' (which is more about precision and accuracy, e.g., work/homework) and 'behutsam' (gentle physical touch).
sorgen|umsorgen|C2|27494|to care for, to look after attentively, to nurse|окружать заботой, заботиться со всех сторон|pflegen; betreuen; verwöhnen; behüten|Die Großmutter wurde von ihrer Familie liebevoll umsorgt.|The grandmother was lovingly cared for by her family.|Семья с любовью заботилась о бабушке.|Die Großmutter wurde von ihrer Familie liebevoll gepflegt.|liebevoll umsorgt; rührend umsorgen; jemanden pflegen und umsorgen|A highly caring verb, often used in the passive. It implies extensive, affectionate attention, ensuring someone has everything they need. It has a more emotional and nurturing connotation than 'pflegen' or 'betreuen'.
sorgen|versorgen|B2|2184|to supply, to provide, to cater to, to treat (medical)|снабжать, обеспечивать, ухаживать, обрабатывать (рану)|beliefern; ausstatten; verpflegen; verarzten|Das Krankenhaus versorgt die Verletzten.|The hospital treats the injured people.|Больница оказывает помощь пострадавшим.|Das Krankenhaus verarztet die Verletzten.|mit Strom versorgen; eine Wunde versorgen; die Familie versorgen|Governs the preposition 'mit' (+ dative) for the supplied goods: 'jemanden mit etwas versorgen' (to supply someone with something). Can also mean caring for a medical wound or providing livelihood for a family.
sorgen|Versorger|C1|13641|provider, supplier, breadwinner|поставщик, кормилец|Lieferant; Anbieter; Ernährer|Der Vater sah sich lange Zeit als der alleinige Versorger der Familie.|For a long time, the father saw himself as the sole breadwinner of the family.|Отец долгое время считал себя единственным кормильцем семьи.|Der Vater sah sich lange Zeit als der alleinige Ernährer der Familie.|medizinischer Versorger; lokaler Energieversorger; alleiniger Versorger|Noun, masculine. Can refer to utility companies (e.g., 'Energieversorger' - energy provider) or to a person who provides financial support for others ('Ernährer').
sorgen|Versorgung|B2|2692|supply, provision, medical care, maintenance|снабжение, обеспечение, медицинское обслуживание|Bereitstellung; Belieferung; Verpflegung; Betreuung|Die medizinische Versorgung im Land ist hervorragend.|Medical care in the country is excellent.|Медицинское обслуживание в стране великолепное.|Die medizinische Betreuung im Land ist hervorragend.|ärztliche Versorgung; Versorgung mit Wasser; staatliche Versorgung|Noun, feminine. Abstract noun of 'versorgen'. Used frequently in compounds like 'Energieversorgung', 'Wasserversorgung', 'Wundversorgung'.
sorgen|vorsorgen|C1|15991|to make provisions, to take precautions, to plan ahead|принимать меры предосторожности, запасаться заранее, заботиться о будущем|vorkehren; vorbeugen; planen; Vorsorge treffen|Man sollte für das Alter vorsorgen.|One should make provisions for old age.|Следует позаботиться о старости заранее.|Man sollte für das Alter Vorsorge treffen.|für schlechte Zeiten vorsorgen; fürs Alter vorsorgen; finanziell vorsorgen|Separable verb ('sorgt vor'). Usually implies taking financial, health, or logistical steps now to prevent problems or secure wellbeing in the future. Often used with the preposition 'für' (+ accusative).
