word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
brechen|brechen|B1|173298|to break; to vomit|ломать; рвать (тошнить)|kaputtmachen; zerbrechen; erbrechen; speien|Er musste den Ast brechen, um durchzukommen.|He had to break the branch to get through.|Ему пришлось сломать ветку, чтобы пройти.|Er musste den Ast zerbrechen, um durchzukommen.|das Schweigen brechen; das Versprechen brechen; sich das Bein brechen|Can be used transitively (to break something) with 'haben' or intransitively (to fracture, break) with 'sein'. Also used reflexively or intransitively to mean 'to vomit'.
brechen|bahnbrechend|C1|16676|groundbreaking; pioneering|новаторский; революционный|revolutionär; wegweisend; epochal; innovativ|Seine Erfindung war eine bahnbrechende Entdeckung.|His invention was a groundbreaking discovery.|Его изобретение было революционным открытием.|Seine Erfindung war eine revolutionäre Entdeckung.|eine bahnbrechende Erfindung; ein bahnbrechender Erfolg; bahnbrechende Arbeit|Adjective describing pioneering or revolutionary ideas, inventions, or research. Literally means 'clearing/breaking a path'.
brechen|brechbar|C2|166355|fragile; breakable; refractive (light)|ломкий; преломляемый|zerbrechlich; fragil; refraktär|Dieses Material ist unter Druck leicht brechbar.|This material is easily breakable under pressure.|Этот материал легко ломается под давлением.|Dieses Material ist unter Druck leicht zerbrechlich.|leicht brechbar; physikalisch brechbar|Rather technical or rare adjective. In materials science, it means fragile or breakable. In physics, it refers to the refractability of light rays.
brechen|gebrochen|C1|225569|broken; fractured; broken (language)|сломанный; ломаный (язык); разбитый (о сердце)|beschädigt; frakturiert; unvollkommen|Er spricht nur ein gebrochenes Deutsch.|He only speaks a broken German.|Он говорит только на ломаном немецком.|Er spricht nur ein mangelhaftes Deutsch.|gebrochenes Deutsch; ein gebrochenes Herz; mit gebrochener Stimme|Past participle of 'brechen' used as an adjective. Very common when talking about speaking foreign languages poorly, or to describe deep sadness ('heartbroken') and fractures.
brechen|herzbrechend|C2|180723|heartbreaking|душераздирающий; душещипательный|herzzerreißend; traurig; herzergreifend|Sie erzählte eine herzbrechende Geschichte über ihren Verlust.|She told a heartbreaking story about her loss.|Она рассказала душераздирающую историю о своей утрате.|Sie erzählte eine herzzerreißende Geschichte über ihren Verlust.|eine herzbrechende Tragödie; herzbrechender Anblick; herzbrechende Worte|Poetic and slightly less common in everyday spoken German than 'herzzerreißend'. Used for highly emotional, sad situations.
brechen|lichtbrechend|C2|161937|refractive; light-refracting|светопреломляющий|refraktär; ablenkend|Die Linse des Auges ist ein lichtbrechendes Medium.|The lens of the eye is a light-refracting medium.|Хрусталик глаза — это светопреломляющая среда.|Die Linse des Auges lenkt das Licht ab.|lichtbrechendes Medium; lichtbrechende Eigenschaften; lichtbrechende Oberfläche|Scientific term used in optics, physics, and ophthalmology.
brechen|panzerbrechend|C2|101437|armor-piercing|бронебойный|panzerbrechend|Die Soldaten verwendeten panzerbrechende Munition.|The soldiers used armor-piercing ammunition.|Солдаты использовали бронебойные боеприпасы.|Die Soldaten verwendeten Munition, die Panzer durchschlagen kann.|panzerbrechende Munition; panzerbrechende Waffen; panzerbrechendes Geschoss|Military terminology describing ammunition or weapons designed to penetrate military armor.
brechen|zungenbrechend|C2|183607|tongue-twisting; hard to pronounce|труднопроизносимый; зубодробительный|schwer auszusprechen; zungenbrecherisch|Der Name des Ortes war für Touristen geradezu zungenbrechend.|The name of the town was virtually tongue-twisting for tourists.|Название города было для туристов прямо-таки труднопроизносимым.|Der Name des Ortes war für Touristen schwer auszusprechen.|ein zungenbrechendes Wort; zungenbrechende Namen; zungenbrechende Wendung|Colloquial and descriptive adjective derived from the noun 'Zungenbrecher' (tongue twister).
brechen|Brache|C2|29968|fallow land; wasteland|пар (земля под паром); пустырь|Brachland; Ödland; ungenutztes Land|Die alte Fabrikfläche liegt seit Jahren als Brache da.|The old factory site has been lying fallow for years.|Территория старой фабрики уже много лет пустует.|Die alte Fabrikfläche liegt seit Jahren als Brachland da.|eine industrielle Brache; als Brache liegen; Kulturbrache|Feminine noun (die Brache). Originally from agriculture (leaving fields unsown to regenerate). Now frequently used for unused or abandoned urban/industrial land (Industriebrache).
brechen|Brechbohne|C2|138581|green bean; snap bean|стручковая фасоль; зеленая фасоль|grüne Bohne; Gartenbohne; Fisole|Zum Abendessen gab es frische Brechbohnen als Beilage.|There were fresh green beans as a side dish for dinner.|На ужин в качестве гарнира была свежая стручковая фасоль.|Zum Abendessen gab es frische grüne Bohnen als Beilage.|grüne Brechbohnen; Brechbohnen kochen; Brechbohnen mit Speck|Feminine noun (die Brechbohne). Named because the pod snaps ('bricht') easily when bent.
