word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
frieren|frieren|C1|12110|to freeze; to feel cold|мёрзнуть; замерзать|frösteln; kalt haben; bibbern|Im Winter friere ich sehr schnell an den Händen.|In winter, my hands freeze very quickly.|Зимой у меня очень быстро мерзнут руки.|Im Winter habe ich sehr schnell kalte Hände.|erbärmlich frieren; leicht frieren; an den Füßen frieren|Used intransitively ('ich friere' - I am cold) or impersonally ('es friert mich'). Grammatically, it uses 'haben' as an auxiliary verb, unlike 'gefrieren' which uses 'sein'.
frieren|abfrieren|C2|79949|to freeze off; to get frostbite|отмораживать; отмерзать|erfrieren; absterben (durch Frost)|Ohne Handschuhe frieren dir bei dieser Kälte die Finger ab.|Without gloves, your fingers will freeze off in this cold.|Без перчаток на таком морозе у тебя отмерзнут пальцы.|Ohne Handschuhe sterben deine Finger bei dieser Kälte durch Frost ab.|sich die Zehen abfrieren; die Nase friert ab; Blüten frieren ab|Often used colloquially in the reflexive construction 'sich (dative) etwas abfrieren'. In agriculture or botany, it refers to plants or buds dying due to frost.
frieren|anfrieren|C2|100405|to freeze on; to stick by freezing|примерзать; пристывать|festfrieren; anhaften|Die feuchten Tücher sind am Wäscheständer angefroren.|The damp cloths have frozen onto the drying rack.|Влажные полотенца примерзли к сушилке для белья.|Die feuchten Tücher sind am Wäscheständer festgefroren.|am Boden anfrieren; an der Scheibe anfrieren; leicht anfrieren|Describes the process of an object sticking to a surface because the moisture between them freezes. Usually paired with 'an' + dative. Uses 'sein' as auxiliary verb.
frieren|auffrieren|C2|171619|to crack open due to frost; to thaw|растрескиваться от мороза; взламываться (о льде)|aufplatzen; aufbrechen (durch Frost)|Die Straße ist durch den starken Frost aufgefroren.|The road cracked open due to the severe frost.|Дорога потрескалась из-за сильного мороза.|Die Straße ist durch den starken Frost aufgeplatzt.|der Boden friert auf; die Fahrbahn friert auf; Knospen frieren auf|A geological or construction term where water expands during freezing and causes the soil or pavement to burst or crack open. Conjugated with 'sein'.
frieren|ausfrieren|C2|166268|to freeze out; to purge by freezing; to freeze thoroughly|вымораживать; промерзать до конца|durchfrieren; auskühlen lassen|Wir müssen den Keller im Winter einmal richtig ausfrieren lassen, um Schimmel zu bekämpfen.|We need to let the cellar freeze out thoroughly once in winter to combat mold.|Зимой нам нужно один раз хорошенько выморозить подвал, чтобы побороть плесень.|Wir müssen den Keller im Winter einmal richtig auskühlen lassen, um Schimmel zu bekämpfen.|ein Zimmer ausfrieren lassen; den Boden ausfrieren lassen; Schädlinge ausfrieren|Can be used transitively (to subject a room, soil, or substance to freezing to clean it or kill pests) or intransitively (to become fully frozen).
frieren|blau frieren|C2|261921|to freeze until blue; to freeze intensely|замерзнуть до посинения|erbärmlich frieren; zittern vor Kälte|Die Kinder spielten so lange im Schnee, bis sie sich blau froren.|The children played in the snow so long that they froze until they turned blue.|Дети так долго играли в снегу, что замерзли до посинения.|Die Kinder spielten so lange im Schnee, bis sie erbärmlich froren.|sich blau frieren; völlig blau gefroren sein|An idiomatic, colloquial phrase. Usually used reflexively ('sich blau frieren') to describe freezing extremely, causing the skin to turn blue.
frieren|durchfrieren|C2|65023|to freeze thoroughly; to be chilled to the bone|промерзать насквозь|durchkühlen; durchfrösteln|Nach dem langen Spaziergang im Schneesturm war ich völlig durchgefroren.|After the long walk in the blizzard, I was completely frozen to the bone.|После долгой прогулки в метель я совершенно промерз насквозь.|Nach dem langen Spaziergang im Schneesturm war ich völlig durchkühlt.|völlig durchfrieren; bis auf die Knochen durchfrieren; die Erde friert durch|Describes cold completely penetrating a body, soil, or object. It is conjugated with 'sein' when intransitive, denoting the completed state of being frozen.
frieren|einfrieren|C1|18373|to freeze (food); to freeze (assets); to suspend|замораживать (еду, счета, цены)|tiefkühlen; blockieren; aussetzen|Du kannst das restliche Gemüse problemlos einfrieren.|You can easily freeze the remaining vegetables.|Ты можешь без проблем заморозить оставшиеся овощи.|Du kannst das restliche Gemüse problemlos tiefkühlen.|Lebensmittel einfrieren; Konten einfrieren; Konflikte einfrieren; Löhne einfrieren|Widely used literally for freezing food (using 'haben' as auxiliary: 'ich habe es eingefroren') and metaphorically for stopping or suspending processes, accounts, prices, or military conflicts.
frieren|erfrieren|C2|23227|to freeze to death; to die of cold|замёрзнуть насмерть; погибать от холода|den Kältetod sterben; durch Frost eingehen|Im harten Winter sind viele Vögel draußen erfroren.|In the harsh winter, many birds froze to death outside.|Суровой зимой на улице насмерть замёрзло много птиц.|Im harten Winter sind viele Vögel draußen den Kältetod gestorben.|jämmerlich erfrieren; fast erfrieren; Ernten erfrieren|An intransitive verb conjugated with 'sein' indicating death or total destruction due to extreme cold. Used for humans, animals, and plants. Do not confuse with 'frieren' (just to feel cold).
frieren|festfrieren|C2|66673|to freeze solid; to freeze onto something|примерзать; пристывать намертво|anfrieren; anhaften (durch Kälte)|Der Scheibenwischer ist am Auto festgefroren.|The windshield wiper has frozen solid to the car.|Дворник намертво примерз к машине.|Der Scheibenwischer ist am Auto angefroren.|am Eis festfrieren; am Boden festfrieren; festgefroren sein|Similar to 'anfrieren' but stronger, emphasizing that the object is stuck fast and cannot be easily moved. Conjugated with 'sein'.
frieren|gefrieren|C1|11427|to freeze (turn into ice); to congeal|замерзать; превращаться в лёд|erstarren; zu Eis werden|Das Wasser im Teich ist über Nacht gefroren.|The water in the pond froze overnight.|Вода в пруду замерзла за ночь.|Das Wasser im Teich ist über Nacht zu Eis geworden.|zu Eis gefrieren; gefrierender Regen; Gefrierpunkt erreichen|Refers strictly to the change of state from liquid to solid. Always intransitive and conjugated with 'sein' (e.g., 'das Wasser ist gefroren'). Contrast with 'frieren' (to feel cold, uses 'haben').
frieren|überfrieren|C2|95871|to freeze over; to become covered with ice|покрываться льдом; обледеневать|vereisen; mit Eis bedecken|Die Straßen können heute Abend stellenweise überfrieren.|The roads can freeze over in places this evening.|Сегодня вечером дороги местами могут покрыться льдом.|Die Straßen können heute Abend stellenweise vereisen.|die Fahrbahn friert über; überfrierende Nässe; plötzlich überfrieren|Primarily used to describe roads or ground surfaces becoming covered in a thin sheet of ice. 'Überfrierende Nässe' is a very common weather term warning of black ice. Conjugated with 'sein'.
frieren|zufrieren|C2|42130|to freeze over; to close up by freezing|замерзать; покрываться льдом (о водоеме)|zuwachsen (mit Eis); völlig gefrieren|Der See ist komplett zugefroren, sodass man darauf Schlittschuh laufen kann.|The lake is completely frozen over, so you can ice-skate on it.|Озеро полностью замерзло, так что на нем можно кататься на коньках.|Der See ist komplett vereist, sodass man darauf Schlittschuh laufen kann.|der See friert zu; der Fluss friert zu; komplett zufrieren|Specifically used for bodies of water (lakes, rivers) or paths that close up / seal over because of ice. Conjugated with 'sein'.
