word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
backen|backen|A2|89576|to bake|печь, выпекать|im Ofen zubereiten; brutzeln|Meine Oma backt jeden Sonntag einen leckeren Apfelkuchen.|My grandmother bakes a delicious apple pie every Sunday.|Моя бабушка печет вкусный яблочный пирог каждое воскресенье.|Meine Oma bereitet jeden Sonntag einen leckeren Apfelkuchen im Ofen zu.|Brot backen; Kuchen backen; im Ofen backen|Strong verb (backen, backte/buk, hat gebacken). Used primarily for making bread, cakes, and pastries in an oven.
backen|Backaroma|C2|171670|baking flavoring|пищевой ароматизатор для выпечки|Backkonzentrat; Aromastoff|Für den Kuchen benötigt man ein paar Tropfen Backaroma.|You need a few drops of baking flavoring for the cake.|Для пирога требуется несколько капель ароматизатора для выпечки.|Für den Kuchen benötigt man ein paar Tropfen Aromastoff.|flüssiges Backaroma; Backaroma hinzufügen; Vanille-Backaroma|Neuter noun (das). Refers to concentrated flavorings (like vanilla, rum, almond) sold in small vials for baking.
backen|Backblech|C1|21186|baking sheet, baking tray|противень|Backplatte; Ofenblech|Er legte die Kekse auf das Backblech und schob es in den Ofen.|He placed the cookies on the baking sheet and slid it into the oven.|Он выложил печенье на противень и отправил его в духовку.|Er legte die Kekse auf das Ofenblech und schob es in den Ofen.|das Backblech einfetten; Backpapier auf das Backblech legen|Neuter noun (das). A flat metal tray used for baking in an oven.
backen|Backbuch|C2|53828|baking book, cookbook for baking|книга рецептов выпечки|Rezeptbuch für Backwaren; Kochbuch|Ich habe ein neues Backbuch mit vielen Rezepten gekauft.|I bought a new baking book with many recipes.|Я купил новую книгу с рецептами выпечки.|Ich habe ein neues Rezeptbuch für Backwaren mit vielen Rezepten gekauft.|ein Backbuch durchblättern; Rezepte aus dem Backbuch ausprobieren|Neuter noun (das). Specifically a cookbook dedicated to baking breads, cakes, and pastries.
backen|Bäcker|B1|7470|baker|пекарь|Brotbacker; Backmeister|Der Bäcker bringt morgens um fährte frische Brötchen.|The baker brings fresh rolls at five o'clock in the morning.|Пекарь приносит свежие булочки в пять часов утра.|Der Backmeister bringt morgens um fünf Uhr frische Brötchen.|zum Bäcker gehen; der Bäcker backt Brot; Bäcker von Beruf sein|Masculine noun (der). Female equivalent is die Bäckerin. Can refer to both the person and colloquially to the bakery shop (Ich gehe zum Bäcker).
backen|Backerbse|C2|144620|soup pearl, batter pearl|суповые шарики из теста|Suppenperle|Wir essen die Hühnersuppe am liebsten mit Backerbsen.|We prefer to eat the chicken soup with soup pearls.|Нам больше всего нравится есть куриный суп с суповыми шариками.|Wir essen die Hühnersuppe am liebsten mit Suppenperlen.|knusprige Backerbsen; Backerbsen in die Suppe geben|Feminine noun (die). Usually used in the plural (Backerbsen). A traditional Austrian/Southern German soup garnish made of small deep-fried batter pearls.
backen|Backerei|C2|121405|bakery|пекарня, булочная|Bäckereigeschäft; Backstube|In dieser Backerei duftet es immer nach frischem Brot.|In this bakery, it always smells of fresh bread.|В этой пекарне всегда пахнет свежим хлебом.|In diesem Bäckereigeschäft duftet es immer nach frischem Brot.|eine kleine Backerei; frische Brötchen in der Backerei kaufen|Feminine noun (die). Represents the shop where baked goods are sold and produced. Usually written with an umlaut as Bäckerei.
backen|backfertig|C2|161189|ready-to-bake, ready for baking|готовый к выпеканию|ofenfertig; backbereit|Die Tiefkühlpizza ist bereits backfertig zubereitet.|The frozen pizza is already prepared ready to bake.|Замороженная пицца уже подготовлена и готова к выпеканию.|Die Tiefkühlpizza ist bereits ofenfertig zubereitet.|backfertiger Teig; backfertige Gerichte|Adjective. Used for pre-packaged foods that only need to be placed in the oven to cook.
backen|Backfisch|C2|53175|fried fish; teenage girl (dated)|жареная рыба; девочка-подросток (устар.)|gebackener Fisch; Teenager-Mädchen|Am Hafen haben wir leckeren Backfisch gegessen.|We ate delicious fried fish at the harbor.|В порту мы поели вкусную жареную рыбу.|Am Hafen haben wir leckeren gebackenen Fisch gegessen.|Backfisch mit Pommes; frischer Backfisch|Masculine noun (der). Double meaning: literally deep-fried/baked fish, or historically and humorously, a teenage girl (13-17 years old, mostly obsolete in this sense).
backen|Backform|C2|43204|baking tin, baking pan|форма для выпечки|Kuchenform; Backblechform|Vergiss nicht, die Backform vor dem Einfüllen des Teigs einzufetten.|Do not forget to grease the baking pan before pouring in the batter.|Не забудь смазать форму для выпечки перед тем, как выливать тесто.|Vergiss nicht, die Kuchenform vor dem Einfüllen des Teigs einzufetten.|eine runde Backform; die Backform einfetten; Backform aus Silikon|Feminine noun (die). Any pan or mold used for baking cakes, bread, or casseroles.
