word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
kehren|kehren|C1|2198|to sweep; to turn|подметать; поворачивать|fegen; wenden; drehen|Sie muss jeden Samstag den Hof kehren.|She has to sweep the yard every Saturday.|Ей приходится подметать двор каждую субботу.|Sie muss jeden Samstag den Hof fegen.|den Hof kehren; die Straße kehren; jemandem den Rücken kehren; sich an etwas kehren|In the sense of 'to sweep', it is a regional synonym of 'fegen' (more common in Southern Germany, Austria, and Switzerland). In the sense of 'to turn', it is highly formal and mostly survives in fixed idioms like 'jemandem den Rücken kehren' (to turn one's back on someone).
kehren|Einkehr|C1|10495|contemplation; stopover (at an inn)|самопознание; остановка (в пути в трактире)|Besinnung; Rast; Einkehrschwung|Nach einem langen Spaziergang machten wir Einkehr in einer kleinen Hütte.|After a long walk, we stopped for refreshments in a small hut.|После долгой прогулки мы зашли перекусить в маленькую хижину.|Nach einem langen Spaziergang machten wir Rast in einer kleinen Hütte.|Einkehr halten; zur inneren Einkehr finden; eine gemütliche Einkehr|Has two main meanings. Literally, stopping at a restaurant or tavern during a hike ('Einkehr halten'). Figuratively, searching for inner peace, reflection, or contemplation ('innere Einkehr').
kehren|Heimkehrer|C2|28282|returning POW; homecomer|возвращенец; вернувшийся на родину (особенно военнопленный)|Rückkehrer|Die Heimkehrer wurden am Bahnhof mit Tränen empfangen.|The returning POWs were received at the station with tears.|Вернувшихся на родину встречали на вокзале со слезами.|Die Rückkehrer wurden am Bahnhof mit Tränen empfangen.|Heimkehrer aus der Kriegsgefangenschaft; späte Heimkehrer; ein Lager für Heimkehrer|Historically heavily loaded, referring specifically to soldiers returning from World War II captivity. For general returnees today, the neutral term 'Rückkehrer' is preferred.
kehren|Kaminkehrer|C2|76792|chimney sweep|трубочист|Schornsteinfeger; Rauchfangkehrer|Der Kaminkehrer bringt laut Aberglauben Glück.|According to superstition, the chimney sweep brings good luck.|По поверью, трубочист приносит удачу.|Der Schornsteinfeger bringt laut Aberglauben Glück.|den Kaminkehrer rufen; der Kaminkehrer reinigt den Kamin|This term is predominantly used in Southern Germany. In Northern and Central Germany, 'Schornsteinfeger' is standard, while 'Rauchfangkehrer' is the official Austrian term.
kehren|Kehraus|C2|44427|last dance; end of a party; cleanup|последний танец; финал праздника|Abschluss; Finale; Ende|Nach dem Kehraus war der Festsaal leer.|After the final dance, the banquet hall was empty.|После последнего танца праздничный зал опустел.|Nach dem Ende der Feier war der Festsaal leer.|den Kehraus tanzen; politischer Kehraus|Originally refers to the final dance of a ball or the wrap-up of carnival celebrations (Fasching). Figuratively used to describe the cleanup or concluding action of any major event.
kehren|Kehrbesen|C2|112475|broom; hand broom|веник; щетка для подметания|Besen; Handfeger|Sie fegte den Staub mit einem kleinen Kehrbesen auf.|She swept up the dust with a small broom.|Она смела пыль маленьким веником.|Sie fegte den Staub mit einem kleinen Besen auf.|den Kehrbesen benutzen; ein neuer Kehrbesen|A slightly redundant but common word for a broom, often referring specifically to a hand brush ('Handfeger'). 'Besen' is the more generic and widely used term.
kehren|Kehrblech|C2|125427|dustpan|совок для мусора|Kehrschaufel; Handschaufel|Wo hast du das Kehrblech hingelegt?|Where did you put the dustpan?|Куда ты положил совок для мусора?|Wo hast du die Kehrschaufel hingelegt?|Handfeger und Kehrblech; den Dreck auf das Kehrblech fegen|'Kehrblech' is highly common in Middle and Northern Germany. Historically made of sheet metal ('Blech'), modern ones are usually plastic. It is interchangeable with 'Kehrschaufel'.
kehren|Kehre|B1|32152|hairpin bend; turn|крутой поворот; вираж|Kurve; Serpentine; Wendung|Das Auto fuhr langsam durch die enge Kehre.|The car drove slowly through the tight hairpin bend.|Автомобиль медленно проехал по крутому повороту.|Das Auto fuhr langsam durch die enge Kurve.|eine enge Kehre; eine scharfe Kehre; die Kehre kratzen|Mainly used for sharp 180-degree curves on mountain roads (serpentines) or in skiing (Spitzkehre). Not used for regular soft road curves, where 'Kurve' is preferred.
kehren|Kehreule|C2|262382|hand brush; hearth brush (usually with a rounded head)|щетка-сметка (округлая)|Handfeger; Kehrwisch|Mit der Kehreule fegte sie die Asche aus dem Kamin.|She swept the ashes out of the fireplace with the hand brush.|Округлой щеткой она вымела золу из камина.|Mit dem Handfeger fegte sie die Asche aus dem Kamin.|eine Kehreule benutzen; Asche mit der Kehreule wegfegen|A rare, regional, or traditional term for a round-headed hand brush (the shape historically resembled an owl, hence 'Eule'). 'Handfeger' is the standard modern term.
kehren|Kehricht|C2|63414|sweepings; rubbish; trash|мусор; сор (после подметания)|Müll; Abfall; Dreck|Er warf den Kehricht in die Mülltonne.|He threw the sweepings into the trash can.|Он выбросил сор в мусорный бак.|Er warf den Dreck in die Mülltonne.|Kehricht verbrennen; Kehricht einsammeln; Kehrichtsack|In standard Swiss German, 'Kehricht' is the official word for household trash/garbage ('Kehrichtsack' = garbage bag). In other German-speaking areas, it refers literary to dust and dirt swept up with a broom.
kehren|Kehrmaschine|C2|37611|street sweeper (machine)|подметально-уборочная машина|Straßenkehrmaschine|Frühmorgens fährt die Kehrmaschine durch die Straßen.|Early in the morning, the street sweeper drives through the streets.|Рано утром по улицам проезжает подметально-уборочная машина.|Frühmorgens fährt die Straßenkehrmaschine durch die Straßen.|die städtische Kehrmaschine; eine mechanische Kehrmaschine|Refers to both the large motorized municipal vehicles cleaning city roads and smaller pushed mechanical sweepers used for warehouses or yards.
kehren|Kehrreim|C2|131777|refrain; chorus|припев; рефрен|Refrain; Kehrvers|Alle sangen den eingängigen Kehrreim mit.|Everyone sang along with the catchy refrain.|Все подпевали легко запоминающийся припев.|Alle sangen den eingängigen Refrain mit.|einen Kehrreim singen; ein einprägsamer Kehrreim|A formal, literary term for 'Refrain'. While 'Refrain' is the standard word in modern music and everyday speech, 'Kehrreim' is used in traditional poetry, folk songs, or literature.
kehren|Kehrschaufel|C2|124534|dustpan|совок для мусора|Kehrblech; Handschaufel|Er fegte die Scherben auf die Kehrschaufel.|He swept the shards onto the dustpan.|Он смет осколки на совок.|Er fegte die Scherben auf das Kehrblech.|Kehrschaufel und Handfeger; eine Plastik-Kehrschaufel|Standard High German term. Widely used and interchangeable with 'Kehrblech', though 'Kehrschaufel' is more prevalent in Southern Germany.
kehren|Kehrseite|C1|20564|downside; reverse side|обратная сторона; изнанка|Schattenseite; Rückseite; Nachteil|Der Erfolg hat auch eine Kehrseite.|Success also has a downside.|У успеха есть и обратная сторона.|Der Erfolg hat auch eine Schattenseite.|die Kehrseite der Medaille; die Kehrseite des Erfolgs; eine unangenehme Kehrseite|Usually used figuratively, especially in the idiom 'die Kehrseite der Medaille' (the other side of the coin). Rare in literal physical contexts, where 'Rückseite' is preferred.
