word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
bilden|bilden|B1|819|to form, to build, to educate|образовывать, составлять, развивать, обучать|formen; erschaffen; gründen; erziehen|Wir bilden einen Kreis, um das Spiel zu beginnen.|We form a circle to start the game.|Мы образуем круг, чтобы начать игру.|Wir formen einen Kreis, um das Spiel zu beginnen.|einen Kreis bilden; eine Regierung bilden; sich weiter bilden; eine Meinung bilden|bilden has two main meanings: physical or abstract shaping (to form/constitute, e.g., 'eine Regierung bilden' - to form a government) and education/intellectual development (to educate/cultivate, e.g., 'sich bilden' - to educate oneself).
bilden|abbilden|B2|6861|to depict, to portray, to map|изображать, отображать, копировать|darstellen; zeigen; illustrieren; portraitieren|Das Foto bildet die Landschaft sehr realistisch ab.|The photo depicts the landscape very realistically.|Фотография очень реалистично отображает этот пейзаж.|Das Foto stellt die Landschaft sehr realistisch dar.|die Realität abbilden; eine Funktion abbilden; grafisch abbilden|abbilden means to represent visually (like in photos, paintings, or models) or abstractly (mapping in mathematics/databases). It combines the prefix 'ab-' (down from/copying) with 'bilden'.
bilden|herausbilden|C2|23875|to develop, to crystallize, to take shape|развиваться, складываться, сформировываться|entwickeln; entstehen; formen; herauskristallisieren|Mit der Zeit bildete sich eine enge Freundschaft heraus.|Over time, a close friendship developed.|Со временем сложилась тесная дружба.|Mit der Zeit entstand eine enge Freundschaft.|sich herausbilden; Traditionen bilden sich heraus; ein neuer Trend bildet sich heraus|Often used reflexively ('sich herausbilden') to describe a gradual, organic process of emergence or development (e.g., habits, structures, traits, or dialects).
bilden|nachbilden|C2|29095|to replicate, to copy, to reproduce|копировать, воспроизводить, воссоздавать|kopieren; imitieren; reproduzieren; nachempfinden|Der Künstler versuchte, die antike Statue detailgetreu nachzubilden.|The artist tried to replicate the ancient statue in detail.|Художник попытался детально воссоздать античную статую.|Der Künstler versuchte, die antike Statue detailgetreu zu kopieren.|ein Modell nachbilden; die Natur nachbilden; historische Funde nachbilden|nachbilden means to copy or recreate something existing. It focuses on physical replication (like scale models, replicas) or simulating historical styles.
bilden|umbilden|C2|65107|to reorganize, to reform, to reshape|реорганизовать, преобразовывать, перестраивать|umgestalten; reformieren; reorganisieren; umstrukturieren|Der Kanzler musste das Kabinett komplett umbilden.|The chancellor had to completely reorganize the cabinet.|Канцлеру пришлось полностью реорганизовать кабинет министров.|Der Kanzler musste das Kabinett komplett umgestalten.|die Regierung umbilden; das Kabinett umbilden; Zellen bilden sich um|umbilden means to transform or restructure an existing organization or system. It is very commonly used in political contexts (e.g., reforming a government/cabinet) or biology (cell modification).
bilden|zurückbilden|C2|54925|to regress, to atrophy, to recede|развиваться в обратном направлении, атрофироваться, рассасываться|schrumpfen; atrophieren; zurückgehen; verkümmern|Die Schwellung an seinem Fuß bildete sich nach wenigen Tagen zurück.|The swelling on his foot subsided after a few days.|Отек на его ноге спал через несколько дней.|Die Schwellung an seinem Fuß ging nach wenigen Tagen zurück.|sich zurückbilden; Muskeln bilden sich zurück; Tumore bilden sich zurück|Typically used reflexively ('sich zurückbilden') in medical, biological, or geological contexts to describe regression, degeneration, or shrinking of tissue, organs, or swelling.
bilden|heranbilden|C2|59919|to train, to educate, to nurture|обучать, подготавливать, растить (кадры)|ausbilden; erziehen; qualifizieren; anlernen|Die Universität möchte qualifizierte Nachwuchskräfte heranbilden.|The university aims to train qualified young professionals.|Университет стремится подготовить квалифицированных молодых специалистов.|Die Universität möchte qualifizierte Nachwuchskräfte ausbilden.|Nachwuchs heranbilden; Fachkräfte heranbilden; eine neue Generation heranbilden|heranbilden emphasizes the long-term upbringing, mentoring, or training of a younger generation or new talent to step into professional or societal roles.
bilden|ausbilden|B2|3837|to train, to educate, to develop|обучать, подготавливать, развивать (навыки)|lehren; unterrichten; schulen; ausformen|Die Firma bildet jedes Jahr neue Lehrlinge aus.|The company trains new apprentices every year.|Компания ежегодно обучает новых стажеров.|Die Firma schult jedes Jahr neue Lehrlinge.|Lehrlinge ausbilden; Fähigkeiten ausbilden; eine Meinung ausbilden|ausbilden refers to vocational training, formal education for a job (e.g., in a company or trade school), or physical development of specific traits/skills/symptoms.
bilden|einbilden|C2|26600|to imagine, to fancy, to be conceited about|воображать, мнить о себе, внушать себе|vorstellen; phantasieren; sich rühmen; sich brüsten|Er bildet sich ein, der beste Spieler der Mannschaft zu sein.|He imagines himself to be the best player on the team.|Он воображает, что он лучший игрок в команде.|Er stellt sich vor, der beste Spieler der Mannschaft zu sein.|sich etwas einbilden; sich viel einbilden auf; Geister einbilden|Always reflexive. 'sich (Dativ) etwas einbilden' means to imagine something that is not true. 'sich (Akkusativ) auf etwas einbilden' means to be proud or conceited about something.
bilden|weiterbilden|C1|15967|to continue education, to undergo further training|повышать квалификацию, продолжать обучение|fortbilden; hinzulernen; qualifizieren|Angestellte sollten sich regelmäßig weiterbilden, um wettbewerbsfähig zu bleiben.|Employees should regularly undergo further training to remain competitive.|Сотрудникам следует регулярно повышать квалификацию, чтобы оставаться конкурентоспособными.|Angestellte sollten sich regelmäßig fortbilden, um wettbewerbsfähig zu bleiben.|sich beruflich weiterbilden; Seminare zur Weiterbildung; sich fortlaufend weiterbilden|Usually reflexive ('sich weiterbilden'). It means pursuing advanced training or continuing education after completing initial education (school, university, or apprenticeship).
