word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
tauchen|tauchfähig|C2|167938|submersible; capable of diving|способный к погружению|unterseebootfähig; sinkfähig|Das neue U-Boot ist voll tauchfähig.|The new submarine is fully submersible.|Новая подводная лодка полностью способна к погружению.|Das neue Unterseeboot kann komplett unter Wasser fahren.|voll tauchfähig; ein tauchfähiges Boot; tauchfähiges Gerät|Technical adjective, mostly used in naval, engineering, or marine biology contexts to describe vessels, equipment, or occasionally marine organisms that can submerge.
tauchen|tauchklar|C2|230616|ready for diving; ready to submerge|готовый к погружению|startbereit; einsatzbereit|Die Besatzung meldete das U-Boot tauchklar.|The crew reported the submarine ready to submerge.|Экипаж доложил о готовности подводной лодки к погружению.|Die Mannschaft meldete das U-Boot bereit zum Abtauchen.|sich tauchklar machen; ein U-Boot tauchklar machen; tauchklar sein|Primarily military or nautical jargon. Used to describe a submarine or a diver's equipment that is fully prepared for submerging.
tauchen|Tauchboot|C2|89798|submersible; diving boat|подводный аппарат; батискаф; подводная лодка|Unterseeboot; U-Boot; Tiefseeboot|Das wissenschaftliche Tauchboot erforscht den Meeresgrund.|The scientific submersible explores the seabed.|Научный подводный аппарат исследует морское дно.|Das wissenschaftliche U-Boot erforscht den Meeresboden.|bemanntes Tauchboot; unbemanntes Tauchboot; ein Tauchboot steuern|'Tauchboot' usually refers to small research, commercial, or tourist submersibles that need a support vessel, unlike a full-scale submarine ('U-Boot') which can operate independently for long periods.
tauchen|Tauchente|C2|162625|diving duck|нырковая утка; нырок|Tauchvogel; Ente|Die Tauchente sucht am Seeboden nach Nahrung.|The diving duck searches for food on the lake bed.|Нырковая утка ищет пищу на дне озера.|Dieser Tauchvogel sucht am Seeboden nach Futter.|einheimische Tauchente; die Tauchente beobachtet|Ornithological term for ducks that feed by diving beneath the water's surface, contrasted with dabbling ducks ('Schwimmenten').
tauchen|Taucher|B1|12557|diver|водолаз; дайвер; ныряльщик|Sporttaucher; Froschmann; Berufstaucher|Der Taucher entdeckte ein altes Schiffswrack.|The diver discovered an old shipwreck.|Водолаз обнаружил обломки старого корабля.|Der Sporttaucher entdeckte ein altes Schiffswrack.|erfahrener Taucher; professioneller Taucher; Taucher mit Sauerstoffflasche|Applies broadly to recreational scuba divers, professional deep-sea commercial divers, and search-and-rescue personnel. The feminine form is 'Taucherin'.
tauchen|Tauchfahrt|C2|96192|underwater cruise; submerged run; diving voyage|подводное плавание; погружение (судна)|Unterwasserfahrt; Tauchgang|Das U-Boot ging auf eine mehrtägige Tauchfahrt.|The submarine went on a multi-day submerged run.|Подводная лодка отправилась в многодневное подводное плавание.|Das U-Boot ging auf eine mehrtägige Unterwasserfahrt.|auf Tauchfahrt gehen; eine Tauchfahrt simulieren; atomare Tauchfahrt|Primarily used for military submarines, representing a voyage or mission conducted entirely or mostly underwater.
tauchen|Tauchgang|C2|26846|dive; dive descent|погружение; дайв|Tauchfahrt; Abstieg|Unser erster Tauchgang im Roten Meer war unvergesslich.|Our first dive in the Red Sea was unforgettable.|Наше первое погружение в Красном море было незабываемым.|Unser erstes Tauchen im Roten Meer war unvergesslich.|einen Tauchgang machen; den Tauchgang abbrechen; tiefer Tauchgang|Standard term used by recreational and commercial divers to describe a single, specific diving excursion from start to finish.
tauchen|Tauchgerät|C2|116154|diving apparatus; scuba gear|водолазное снаряжение; акваланг; дыхательный аппарат|Atemgerät; Tauchausrüstung; Aqualunge|Vor jedem Abstieg muss das Tauchgerät gründlich überprüft werden.|Before every descent, the diving apparatus must be thoroughly checked.|Перед каждым погружением водолазное снаряжение должно быть тщательно проверено.|Vor jedem Abstieg muss die Tauchausrüstung gründlich überprüft werden.|autonomes Tauchgerät; das Tauchgerät anlegen; Defekt am Tauchgerät|Usually refers to the self-contained underwater breathing apparatus (SCUBA) or professional diving machinery used by technical divers.
tauchen|Tauchkolben|C2|183075|trunk piston|тронковый поршень|Kolben; Scheibenkolben|Der Tauchkolben wird hauptsächlich in Viertaktmotoren eingesetzt.|The trunk piston is mainly used in four-stroke engines.|Тронковый поршень в основном используется в четырехтактных двигателях.|Dieser spezielle Kolben wird hauptsächlich in Viertaktmotoren eingesetzt.|Tauchkolben im Motor; Funktion des Tauchkolbens; verschlissener Tauchkolben|Mechanical engineering term for a type of piston that directly transmits force to a connecting rod. Not used in daily conversational language.
tauchen|Tauchkugel|C2|186731|bathysphere|батисфера|Bathysphäre; Tiefseekugel|William Beebe erforschte die Tiefsee mit einer Tauchkugel.|William Beebe explored the deep sea with a bathysphere.|Уильям Биб исследовал глубоководье с помощью батисферы.|William Beebe erforschte die Tiefsee mit einer Bathysphäre.|historische Tauchkugel; Abstieg in der Tauchkugel|Historical and scientific term referring to a spherical deep-sea submersible lowered on a cable, used for early deep-water observation.
tauchen|Tauchlackieren|C2|230618|dip coating; dip painting|окраска окунанием; лакирование погружением|Tauchlackierung; Tauchbeschichten|Das Tauchlackieren schützt Autoteile gleichmäßig vor Rost.|Dip painting protects car parts evenly from rust.|Окраска окунанием равномерно защищает автомобильные детали от ржавчины.|Das Tauchbeschichten schützt Autoteile gleichmäßig vor Rost.|industrielles Tauchlackieren; Verfahren zum Tauchlackieren|Industrial production and chemistry term. Nominalized verb denoting the process of coating or painting parts by submerging them directly into a liquid bath.
tauchen|Tauchmanöver|C2|181489|diving maneuver|маневр погружения|Abtauchmanöver; Tauchvorgang|Das U-Boot leitete ein schnelles Tauchmanöver ein.|The submarine initiated a rapid diving maneuver.|Подводная лодка начала быстрое маневрирование на погружение.|Das U-Boot leitete einen schnellen Tauchvorgang ein.|ein Tauchmanöver einleiten; gefährliches Tauchmanöver; simuliertes Tauchmanöver|Used primarily in naval and military contexts regarding submarines executing diving sequences, especially under emergency conditions.
tauchen|Tauchmaske|C2|95043|diving mask; scuba mask|маска для плавания; водолазная маска|Taucherbrille; Schwimmbrille|Durch die Tauchmaske konnte er die bunten Fische gut sehen.|Through the diving mask, he could see the colorful fish clearly.|Сквозь маску для плавания он мог отчетливо видеть разноцветных рыб.|Durch die Taucherbrille konnte er die bunten Fische gut sehen.|die Tauchmaske aufsetzen; beschlagene Tauchmaske; Tauchmaske mit Schnorchel|Specifically denotes masks covering both the eyes and nose (essential for equalizing pressure underwater), distinguishing it from simple swimming goggles ('Schwimmbrille').
tauchen|Tauchpanzer|C2|228916|submersible tank; diving tank|танк-амфибия; танк подводного вождения|Schwimmpanzer; Unterwasserpanzer|Der Tauchpanzer sollte Flüsse auf dem Grund überqueren.|The submersible tank was designed to cross rivers on the bottom.|Танк подводного вождения должен был пересекать реки по дну.|Der Unterwasserpanzer sollte Flüsse auf dem Grund überqueren.|historischer Tauchpanzer; Einsatz von Tauchpanzern|Historical military term, most famous during WWII (e.g., German plans for Operation Sea Lion) for tanks sealed and adapted to drive completely underwater along riverbeds.
tauchen|Tauchrekord|C2|186418|diving record|рекорд по погружению|Rekordtiefe; Bestzeit|Sie stellte einen neuen Tauchrekord ohne Sauerstoffgerät auf.|She set a new diving record without oxygen equipment.|Она установила новый рекорд по погружению без кислородного оборудования.|Sie erreichte eine neue Rekordtiefe ohne Sauerstoffgerät.|einen Tauchrekord aufstellen; den alten Tauchrekord brechen; neuer Tauchrekord|Used in free-diving (apnea) or deep-sea diving contexts to denote depth or duration records.
tauchen|Tauchretter|C2|197074|escape apparatus; submarine escape lung; rescue rebreather|аварийно-спасательный дыхательный аппарат; подводный спасатель|Rettungsgerät; Sauerstoffretter|Die Besatzung rettete sich mithilfe der Tauchretter aus dem U-Boot.|The crew saved themselves from the submarine using the escape rebreathers.|Экипаж спасся из подводной лодки с помощью аварийных дыхательных аппаратов.|Die Besatzung rettete sich mithilfe der Rettungsgeräte aus dem U-Boot.|den Tauchretter anlegen; Funktion des Tauchretters|A specialized historical naval term, particularly associated with German submarine crews (such as Dräger escape apparatus) used to escape a sunken submarine.
tauchen|Tauchsieder|C2|107233|immersion heater|кипятильник|Wassererhitzer; Heizstab|Unterwegs erhitzt er Wasser oft mit einem kleinen Tauchsieder.|On the road, he often heats water with a small immersion heater.|В дороге он часто греет воду маленьким кипятильником.|Unterwegs erhitzt er Wasser oft mit einem kleinen Heizstab.|elektrischer Tauchsieder; Tauchsieder benutzen; Kaffee mit dem Tauchsieder kochen|A portable household electrical heating device. There is also a common figurative idiom: 'seinen Tauchsieder in alles reinhängen' (to stick one's nose into everything / meddle).
tauchen|Tauchstation|C2|58474|diving station; going underground (figurative)|положение погружения; уход на дно (переносное значение)|Versteck; Untertauchen; Rückzugsort|Nach dem Skandal ging der Politiker erst einmal auf Tauchstation.|After the scandal, the politician went underground for a while.|После скандала политик первым делом «залег на дно».|Nach dem Skandal zog sich der Politiker erst einmal zurück.|auf Tauchstation gehen; auf Tauchstation bleiben|Extremely common in German as a figurative idiom: 'auf Tauchstation gehen' means to lie low, avoid the public eye, or avoid being reached. Literally, it refers to a submarine's submerged state.
tauchen|Tauchtank|C2|178993|ballast tank; diving tank|балластная цистерна; балластный танк|Ballasttank; Fluttank|Durch das Fluten der Tauchtanks sinkt das U-Boot ab.|By flooding the ballast tanks, the submarine submerges.|За счет заполнения балластных цистерн подводная лодка погружается.|Durch das Fluten der Ballasttanks sinkt das U-Boot ab.|Tauchtank fluten; Tauchtank ausblasen|Submarine engineering term. Tanks that are flooded with water to submerge the vessel or blown with compressed air to bring it back to the surface.
tauchen|Tauchtiefe|C2|92970|diving depth|глубина погружения|maximale Tiefe; Absinktiefe|Die maximale Tauchtiefe dieses U-Boots beträgt vierhundert Meter.|The maximum diving depth of this submarine is four hundred meters.|Максимальная глубина погружения этой подводной лодки составляет четыреста метров.|Die maximale Tiefe dieses U-Boots beträgt vierhundert Meter.|maximale Tauchtiefe; zugelassene Tauchtiefe; große Tauchtiefe erreichen|Used both for submarines and in diving sports to indicate the physical depth underwater. Often combined with adjectives like 'maximal' or 'zulässig'.
tauchen|Tauchverfahren|C2|178992|dipping process; immersion method|метод погружения; метод окунания|Tauchmethode; Immersionsmethode|Die Metallteile wurden im Tauchverfahren beschichtet.|The metal parts were coated using the dipping process.|Металлические детали были покрыты методом окунания.|Die Metallteile wurden im Immersionsverfahren beschichtet.|industrielles Tauchverfahren; im Tauchverfahren herstellen; Tauchverfahren anwenden|Technical term used in manufacturing, painting, chemistry, and food production (e.g., dipping candles or glazing) to describe treating an object by dipping it into liquid.
