word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
leuchten|leuchten|B2|4723|to shine; to gleam; to glow|светить; сиять; светиться|strahlen; glänzen; glimmen|Die Sterne leuchten heute besonders hell.|The stars are shining particularly brightly today.|Звезды сегодня светят особенно ярко.|Die Sterne strahlen heute besonders hell.|hell leuchten; in der Dunkelheit leuchten; vor Freude leuchten|The verb 'leuchten' is used for active light emission (e.g., stars, lamps) or figurative glowing (e.g., eyes glowing with joy: 'ihre Augen leuchteten'). It differs from 'scheinen', which can mean to seem or describe general sunlight, and 'glänzen', which is to reflect light like polished metal.
leuchten|Leuchtboje|C2|169706|light buoy; lighted buoy|светящийся буй; световой буй|Lichtboje; Signalboje|Die Leuchtboje markiert den sicheren Weg in den Hafen.|The light buoy marks the safe way into the harbor.|Светящийся буй отмечает безопасный путь в гавань.|Die Signalboje markiert den sicheren Weg in den Hafen.|eine schwimmende Leuchtboje; die Leuchtboje blinkt; eine Leuchtboje verankern|A feminine noun ('die Leuchtboje', plural: 'Leuchtbojen') used in maritime contexts. It refers to a floating buoy equipped with a light source to guide ships at night or in bad weather.
leuchten|Leuchte|B2|8911|lamp; light; luminaire|светильник; лампа; источник света|Lampe; Lichtquelle; Beleuchtungskörper|Sie stellte eine moderne Leuchte auf den Schreibtisch.|She put a modern lamp on the desk.|Она поставила на письменный стол современный светильник.|Sie stellte eine moderne Lampe auf den Schreibtisch.|eine eingebaute Leuchte; die Leuchte einschalten; eine helle Leuchte|The feminine noun 'die Leuchte' (plural: 'Leuchten') is more formal or technical than 'Lampe'. Colloquially, the expression 'keine große Leuchte sein' is used to say someone is not very bright or smart.
leuchten|Leuchter|C2|32523|candlestick; candelabra; chandelier|подсвечник; канделябр; люстра|Kerzenständer; Kandelaber; Kronleuchter|Auf dem festlich gedeckten Tisch stand ein silberner Leuchter.|On the festively set table stood a silver candlestick.|На празднично накрытом столе стоял серебряный подсвечник.|Auf dem festlich gedeckten Tisch stand ein silberner Kerzenständer.|mehrarmiger Leuchter; silberner Leuchter; Kerzen in den Leuchter stecken|The masculine noun 'der Leuchter' (plural: 'Leuchter') historically refers to a stand holding candles or lamps. In modern German, it is often found in compound words like 'Kronleuchter' (chandelier) or 'Kerzenleuchter' (candelabra).
leuchten|Leuchterscheinung|C2|126871|luminous phenomenon; glow|световое явление; свечение|Lichtphänomen; Lichterscheinung; Leuchten|Am Nachthimmel war eine seltsame Leuchterscheinung zu sehen.|A strange luminous phenomenon could be seen in the night sky.|В ночном небе было видно странное световое явление.|Am Nachthimmel war ein seltsames Lichtphänomen zu sehen.|atmosphärische Leuchterscheinung; eine kurzzeitige Leuchterscheinung; Leuchterscheinungen beobachten|The feminine noun 'die Leuchterscheinung' (plural: 'Leuchterscheinungen') is a formal or scientific term used to describe physical or astronomical occurrences that emit light, such as auroras or meteors.
leuchten|Leuchtfeuer|C2|47204|beacon; beacon light|сигнальный огонь; маяк|Signalfeuer; Leuchtzeichen; Befeuerung|Das Leuchtfeuer des Leuchtturms wies den Schiffen den Weg.|The lighthouse beacon guided the ships.|Сигнальный огонь маяка указывал кораблям путь.|Das Signalfeuer des Leuchtturms wies den Schiffen den Weg.|ein weithin sichtbares Leuchtfeuer; das Leuchtfeuer entzünden; maritimes Leuchtfeuer|The neuter noun 'das Leuchtfeuer' (plural: 'Leuchtfeuer') is a maritime signal light, typically associated with lighthouses or optical navigation markers. Historically, it referred to a literal bonfire lit for guidance.
leuchten|Leuchtkörper|C2|74168|illuminant; luminous element; light source|осветительный прибор; светящееся тело; источник света|Lichtquelle; Leuchtmittel; Beleuchtungskörper|Moderne Lampen nutzen oft energiesparende Leuchtkörper.|Modern lamps often use energy-saving luminous elements.|В современных лампах часто используются энергосберегающие источники света.|Moderne Lampen nutzen oft energiesparende Leuchtmittel.|hocheffiziente Leuchtkörper; ein defekter Leuchtkörper; Leuchtkörper austauschen|The masculine noun 'der Leuchtkörper' (plural: 'Leuchtkörper') is a technical term for the physical element that produces light within a lighting fixture, similar to 'Leuchtmittel'.
leuchten|Leuchtkugel|C2|90529|flare; fireball; luminous ball|осветитьная ракета; светящийся шар|Leuchtpatrone; Signalpatrone; Lichtkugel|Eine rote Leuchtkugel stieg als Notsignal in den Nachthimmel auf.|A red flare rose into the night sky as a distress signal.|Красная осветительная ракета взмыла в ночное небо в качестве сигнала бедствия.|Eine rote Leuchtpatrone stieg als Notsignal in den Nachthimmel auf.|eine rote Leuchtkugel; eine Leuchtkugel abfeuern; Leuchtkugeln am Himmel|The feminine noun 'die Leuchtkugel' (plural: 'Leuchtkugeln') refers to a pyrotechnic projectile emitting intense light, commonly fired to illuminate terrain or signal distress in military and emergency operations.
leuchten|Leuchtkraft|C2|32454|luminosity; brilliance; glowing power|сила света; светимость; яркость|Helligkeit; Leuchtstärke; Strahlkraft|Die Farben des Gemäldes haben nach der Restaurierung ihre Leuchtkraft zurückerhalten.|After the restoration, the colors of the painting regained their brilliance.|После реставрации цвета картины вновь обрели свою яркость.|Die Farben des Gemäldes haben nach der Restaurierung ihre Strahlkraft zurückerhalten.|enorme Leuchtkraft; die Leuchtkraft der Sterne; Leuchtkraft verlieren|The feminine noun 'die Leuchtkraft' (plural: 'Leuchtkräfte', mainly in astronomy) defines the radiant power or aesthetic intensity of light and color. It is highly common in talking about art, makeup, and astronomy.
leuchten|Leuchtmunition|C2|138017|tracer ammunition; illuminating ammunition|трассирующие боеприпасы; осветительные боеприпасы|Leuchtspurmunition; Signalmunition|Bei der Nachtübung wurde ausschließlich Leuchtmunition verwendet.|Only tracer ammunition was used during the night exercise.|На ночных учениях использовались исключительно осветительные боеприпасы.|Bei der Nachtübung wurde ausschließlich Leuchtspurmunition verwendet.|Leuchtmunition abfeuern; Einsatz von Leuchtmunition; militärische Leuchtmunition|The feminine collective noun 'die Leuchtmunition' (usually singular) is a military term describing bullets or projectiles designed to illuminate areas or leave visible, glowing paths when fired.
leuchten|Leuchtpilz|C2|193166|bioluminescent mushroom; glowing fungus|биолюминесцентный гриб; светящийся гриб|Biolumineszenzpilz|Im feuchten Wald entdeckten wir einen seltenen Leuchtpilz.|We discovered a rare bioluminescent mushroom in the damp forest.|В сыром лесу мы обнаружили редкий светящийся гриб.|Im feuchten Wald entdeckten wir einen seltenen Biolumineszenzpilz.|einen Leuchtpilz finden; biolumineszente Leuchtpilze; im Dunkeln schimmernde Leuchtpilze|The masculine noun 'der Leuchtpilz' (plural: 'Leuchtpilze') is a specialized term combining 'leuchten' and 'Pilz' to describe mushrooms that display bioluminescence in the dark, usually found in moist forest environments.
leuchten|Leuchtrakete|C2|69764|flare; signal rocket; distress rocket|сигнальная ракета; осветительная ракета|Signalrakete; Notrakete; Leuchtkugel|Die Besatzung der Yacht schoss eine Leuchtrakete ab.|The yacht's crew fired a distress rocket.|Экипаж яхты запустил сигнальную ракету.|Die Besatzung der Yacht schoss eine Signalrakete ab.|eine rote Leuchtrakete; eine Leuchtrakete abfeuern; Leuchtraketen steigen auf|The feminine noun 'die Leuchtrakete' (plural: 'Leuchtraketen') is most often associated with emergency distress signals at sea (SOS signals) or illuminating tactical areas in defense situations.
leuchten|Leuchtreklame|C2|51978|neon sign; illuminated advertising; illuminated sign|световая реклама; неоновая вывеска|Neonreklame; Lichtwerbung; Leuchtschrift|Die bunte Leuchtreklame erhellte die nächtliche Straße.|The colorful neon sign lit up the street at night.|Разноцветная световая реклама освещала ночную улицу.|Die bunte Neonreklame erhellte die nächtliche Straße.|auffällige Leuchtreklame; blinkende Leuchtreklame; Leuchtreklame an der Fassade|The feminine noun 'die Leuchtreklame' (plural: 'Leuchtreklamen') is commonly used to describe illuminated commercial signage (LED, neon, etc.) on buildings, particularly prominent in urban nightlife and retail environments.
leuchten|Leuchtspurmunition|C2|130774|tracer ammunition|трассирующие боеприпасы|Leuchtmunition; Spurmunition|Am Nachthimmel konnte man die Bahnen der Leuchtspurmunition erkennen.|In the night sky, one could see the paths of the tracer ammunition.|В ночном небе можно было различить траектории трассирующих боеприпасов.|Am Nachthimmel konnte man die Bahnen der Leuchtmunition erkennen.|Einsatz von Leuchtspurmunition; Leuchtspurmunition schießen; Spuren von Leuchtspurmunition|The feminine collective noun 'die Leuchtspurmunition' is a military term. It differs slightly from generic 'Leuchtmunition' because it specifically features a chemical pyrotechnic charge that leaves a very bright trace to assist shooters in aiming.
leuchten|Leuchtturm|B2|12333|lighthouse|маяк|Seezeichen; Signalturm|Der alte Leuchtturm steht direkt an der Steilküste.|The old lighthouse stands right on the cliff.|Старый маяк стоит прямо на обрывистом берегу.|Der alte Signalturm steht direkt an der Steilküste.|ein einsamer Leuchtturm; der Leuchtturm weist den Weg; einen Leuchtturm besichtigen; Leuchtturm-Projekt|The masculine noun 'der Leuchtturm' (plural: 'Leuchttürme') is widely used both literally (coastal navigation) and metaphorically. In business and government, a 'Leuchtturmprojekt' (lighthouse project) refers to a highly visible flagship project that serves as a model for others.
