word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
gewinnen|gewinnen|B1|247|to win; to gain|выигрывать; побеждать; приобретать|siegen; erringen; herausholen|Unsere Mannschaft will das heutige Spiel gewinnen.|Our team wants to win today's game.|Наша команда хочет выиграть сегодняшнюю игру.|Unsere Mannschaft will im heutigen Spiel siegen.|ein Spiel gewinnen; an Boden gewinnen; Erkenntnisse gewinnen; die Oberhand gewinnen|A highly versatile verb. Used for winning competitions (games, elections, prizes) or acquiring abstract qualities (time, confidence, terrain). Unlike 'siegen' (to triumph, intransitive), 'gewinnen' can be transitive and take an object.
gewinnen|erkämpfen|B2|6769|to fight for; to win through struggle|завоевать; отвоевать; добиться с трудом|erstreiten; erringen; durchsetzen|Sie mussten sich ihr Recht auf Bildung mühsam erkämpfen.|They had to fight hard to win their right to education.|Им пришлось с трудом отвоевывать свое право на образование.|Sie mussten sich ihr Recht auf Bildung mühsam erstreiten.|die Freiheit erkämpfen; den Sieg erkämpfen; ein Unentschieden erkämpfen|Implies achieving a goal, right, or victory through hard struggle, work, or conflict. The reflexive construction 'sich (Dativ) etwas erkämpfen' is highly common.
gewinnen|erringen|B2|4835|to achieve; to win (with effort)|завоевывать; добиваться; одерживать (победу)|erlangen; erzielen; gewinnen|Der Athlet konnte schließlich die Goldmedaille erringen.|The athlete was finally able to win the gold medal.|Спортсмен наконец-то смог завоевать золотую медаль.|Der Athlet konnte schließlich die Goldmedaille gewinnen.|einen Sieg erringen; die Meisterschaft erringen; Ansehen erringen; Achtung erringen|Often used in more formal context or elevated style (Gehobenes Deutsch). It usually collocates with abstract positive nouns like victory (Sieg), respect (Achtung), or achievements like a championship (Meisterschaft) obtained through substantial effort.
gewinnen|erobern|B2|4203|to conquer; to capture; to win over|завоевывать; покорять; брать боем|einnehmen; bezwingen; gewinnen|Die Truppen konnten die feindliche Festung erobern.|The troops managed to conquer the enemy fortress.|Войска смогли завоевать вражескую крепость.|Die Truppen konnten die feindliche Festung einnehmen.|ein Land erobern; Herzen erobern; den Markt erobern; eine Stadt erobern|Literally refers to military conquest (conquering territory, cities). Figuratively, it is widely used in business (conquering a market) and emotional contexts (winning someone's heart).
gewinnen|schlagen|B1|585|to beat; to defeat; to hit|побеждать; наносить поражение; бить|besiegen; bezwingen; übertreffen|Der Weltmeister war an diesem Tag nicht zu schlagen.|The world champion was unbeatable on that day.|Чемпиона мира в тот день было не победить.|Der Weltmeister war an diesem Tag nicht zu besiegen.|den Gegner schlagen; Rekorde schlagen; Schaum schlagen|"While its primary physical meaning is ""to hit/strike"", in sports or competitive contexts it means ""to defeat/beat an opponent"". It takes an accusative object representing the defeated party."
gewinnen|abhängen|B2|6235|to shake off; to leave behind; to depend (on)|оторваться от; опередить; зависеть (от)|abschütteln; überholen; hinter sich lassen|Der Läufer konnte seine Verfolger kurz vor dem Ziel abhängen.|The runner managed to shake off his pursuers just before the finish line.|Бегун сумел оторваться от своих преследователей прямо перед финишем.|Der Läufer konnte seine Verfolger kurz vor dem Ziel hinter sich lassen.|die Konkurrenz abhängen; Verfolger abhängen; von jemandem abhängen|In competitive contexts, 'abhängen' means to outrun, outdistance, or leave rivals behind. Do not confuse it with its other major meaning 'to depend on' which requires the preposition 'von' + Dativ.
gewinnen|auftrumpfen|C2|27206|to play a winning card; to show off; to act assertively|козырять; важничать; показать класс; выступить триумфально|glänzen; sich hervortun; angeben|Im Finale konnte der junge Spieler noch einmal richtig auftrumpfen.|In the final, the young player was able to show his class once again.|В финале молодой игрок снова смог по-настоящему показать класс.|Im Finale konnte der junge Spieler noch einmal richtig glänzen.|groß auftrumpfen; selbstbewusst auftrumpfen; mit Argumenten auftrumpfen|Derived from card games (playing a trump card). Colloquially, it means to perform with great confidence, show off one's advantages, or assert oneself strongly against others.
gewinnen|ausstechen|C2|24581|to outdo; to supplant; to push out|превзойти; вытеснить; обставить (соперника)|übertreffen; verdrängen; ausbooten|Mit seinem besseren Angebot konnte er die Konkurrenz ausstechen.|With his better offer, he was able to outdo the competition.|Своим более выгодным предложением он смог обойти конкурентов.|Mit seinem besseren Angebot konnte er die Konkurrenz verdrängen.|einen Rivalen ausstechen; die Konkurrenz ausstechen; Mitbewerber ausstechen|Informal/colloquial. It means to eliminate or outmaneuver a competitor/rival to win a prize, contract, or a person's affection.
gewinnen|bezwingen|B2|4889|to conquer; to defeat; to overcome|одолеть; победить; покорить|besiegen; überwinden; unterwerfen|Nach einem langen Kampf konnte er den Gegner bezwingen.|After a long struggle, he managed to defeat his opponent.|После долгой борьбы он смог одолеть соперника.|Nach einem langen Kampf konnte er den Gegner besiegen.|den Berg bezwingen; die Angst bezwingen; einen Gegner bezwingen|Implies overcoming a strong force, resistance, or opponent after a grueling effort. It can be used physically (opponents, mountains) or internally (fears, desires).
gewinnen|durchsetzen|B2|1839|to enforce; to push through; to assert oneself|пробиться; настоять на своем; осуществить|erzwingen; behaupten; realisieren|Der Politiker konnte seine Reformen schließlich durchsetzen.|The politician was finally able to push his reforms through.|Политик наконец смог провести свои реформы.|Der Politiker konnte seine Reformen schließlich erzwingen.|sich durchsetzen; eigene Interessen durchsetzen; ein Gesetz durchsetzen|Typically used transitively (to implement/force something against resistance) or reflexively ('sich durchsetzen' - to assert oneself, to succeed, to become accepted).
