word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
fangen|fangen|A2|24199|to catch; to capture|ловить; поймать|ergreifen; schnappen; erwischen|Der Hund versucht, den Ball zu fangen.|The dog is trying to catch the ball.|Собака пытается поймать мяч.|Der Hund versucht, den Ball zu schnappen.|einen Ball fangen; Fische fangen; Diebe fangen; sich fangen|Irregular verb (fangen, fing, gefangen). The reflexive 'sich fangen' means to compose oneself or recover balance.
fangen|fangfrisch|C2|66296|freshly caught|свежевыловленный|frisch gefangen; schlachtfrisch|Im Restaurant gibt es heute fangfrischen Fisch.|There is freshly caught fish in the restaurant today.|Сегодня в ресторане есть свежевыловленная рыба.|Im Restaurant gibt es heute frisch gefangenen Fisch.|fangfrischer Fisch; fangfrische Krabben; fangfrisch zubereiten|Typically used in culinary contexts, especially regarding fish and seafood.
fangen|fängisch|C2|201489|trap-ready; effective at catching|уловистый; хорошо ловящий|fängig; ergiebig; wirksam|Diese Falle ist besonders fängisch für Marder.|This trap is particularly effective for catching martens.|Эта ловушка особенно уловиста для куниц.|Diese Falle ist besonders wirksam für Marder.|eine fängische Falle; fängische Netze|Specialized hunting and fishing terminology. Refers to a trap or lure that successfully attracts and catches animals.
fangen|fangsicher|C2|151596|sure-catching; reliable in catching|надежный при ловле; цепкий|griffsicher; treffsicher|Der Torwart zeigte sich heute äußerst fangsicher.|The goalkeeper showed himself to be extremely sure-handed today.|Вратарь сегодня показал себя крайне надежным при ловле мяча.|Der Torwart zeigte sich heute äußerst griffsicher.|ein fangsicherer Torhüter; fangsichere Hände|Mostly used in sports journalism to describe a goalkeeper's reliability in catching balls.
fangen|fangunsicher|C2|260470|insecure in catching; error-prone at catching|ненадежный при ловле|unsicher beim Fangen|Der gegnerische Torwart wirkte heute sehr fangunsicher.|The opposing goalkeeper seemed very shaky at catching today.|Вратарь соперника сегодня выглядел очень ненадежным при ловле мяча.|Der gegnerische Torwart wirkte heute sehr unsicher beim Fangen.|ein fangunsicherer Keeper; fangunsichere Performance|Directly opposes 'fangsicher'; primarily used in sports contexts.
fangen|Fang|A2|12892|catch; haul; prey|улов; добыча; поимка|Beute; Ertrag; Fangmenge|Die Fischer machten gestern einen großen Fang.|The fishermen made a big catch yesterday.|Рыболовы вчера сделали большой улов.|Die Fischer machten gestern eine große Beute.|einen guten Fang machen; der Fang des Tages; reicher Fang|'Einen guten Fang machen' is a common idiom meaning to find a highly desirable partner or a great bargain.
fangen|Fangarm|C2|166634|tentacle; prehensile arm|щупальце; хватательная конечность|Tentakel; Greifarm|Die Krake streckte ihre Fangarme nach der Beute aus.|The octopus stretched its tentacles out toward the prey.|Осьминог протянул свои щупальца к добыче.|Die Krake streckte ihre Tentakel nach der Beute aus.|die Fangarme einer Krake; lange Fangarme|Used biologically for predatory animals or carnivorous plants, and metaphorically for organizations that exert tight, far-reaching control.
fangen|Fangball|C2|191491|catch ball (game)|игра в мяч; ловилки мячом|Wurfspiel; Fangspiel|Die Kinder spielen im Garten gern Fangball.|The children like playing catch in the garden.|Дети любят играть в мяч в саду.|Die Kinder spielen im Garten gern ein Wurfspiel.|Fangball spielen|Refers either to the recreational game of throwing and catching a ball, or the ball itself.
fangen|Fangbaum|C2|177241|trap tree|ловчее дерево|Köderbaum|Der Förster stellte einen Fangbaum auf, um Borkenkäfer anzulocken.|The forester set up a trap tree to attract bark beetles.|Лесник установил ловчее дерево, чтобы привлечь короедов.|Der Förster stellte einen Köderbaum auf, um Borkenkäfer anzulocken.|einen Fangbaum fällen; Fangbäume gegen Borkenkäfer|Forestry term. Healthy or slightly weakened trees are prepared to attract bark beetles, allowing for controlled pest disposal.
fangen|Fangboot|C2|160755|catcher boat; small fishing vessel|рыболовная лодка; промысловый бот|Fischerboot; Fangschiff|Das kleine Fangboot kehrte im Morgengrauen in den Hafen zurück.|The small fishing boat returned to the harbor at dawn.|Маленькое рыболовное судно вернулось в гавань на рассвете.|Das kleine Fischerboot kehrte im Morgengrauen in den Hafen zurück.|ein hölzernes Fangboot; Fangboote der Walfänger|Often refers to smaller vessels that catch the prey and bring it to a larger processing mother ship.
fangen|Fangeinrichtung|C2|163677|safety gear; catching device; safety brake|улавливающее устройство; ловитель|Auffangvorrichtung; Sperrvorrichtung|Der Aufzug ist mit einer automatischen Fangeinrichtung gesichert.|The elevator is secured with an automatic safety gear device.|Лифт защищен автоматическим улавливающим устройством.|Der Aufzug ist mit einer automatischen Auffangvorrichtung gesichert.|Fangeinrichtung für Aufzüge; mechanische Fangeinrichtung|Technical and safety engineering term, most commonly used in elevator construction to stop the elevator cabin if it drops.
fangen|Fangeisen|C2|143652|leg-hold trap; steel trap|железный капкан|Tellereisen; Falle|Der Wilderer legte ein illegales Fangeisen aus.|The poacher laid out an illegal iron trap.|Браконьер установил незаконный капкан.|Der Wilderer legte eine illegale Falle aus.|ein Fangeisen aufstellen; verbotene Fangeisen|A mechanical steel trap. Their use is strictly prohibited or regulated under modern animal welfare laws in Germany.
fangen|Fänger|C2|58525|catcher; hunter|ловец; охотник|Jäger; Fängertyp|Er ist ein geschickter Fänger von Krebsen.|He is a skilled catcher of crayfish.|Он искусный ловец раков.|Er ist ein geschickter Jäger von Krebsen.|Rattenfänger; Traumfänger; Ballfänger|Mostly used in compounds like 'Rattenfänger' (rat catcher) or 'Traumfänger' (dreamcatcher). On its own, it denotes a person or thing that catches.
fangen|Fangfaden|C2|179478|capture thread; sticky thread|ловчая нить|Spinnfaden; Klebefaden|Die Spinne webt elastische Fangfäden in ihr Netz.|The spider weaves elastic capture threads into its web.|Паук вплетает эластичные ловчие нити в свою паутину.|Die Spinne webt elastische Klebefäden in ihr Netz.|klebrige Fangfäden; Fangfäden der Spinne|Biological term referring specifically to the sticky silk threads spiders use to secure prey.
fangen|Fangfehler|C2|109823|catching error; fielding error|ошибка при ловле|Abspielfehler; Fangpatzer|Ein schwerer Fangfehler des Torwarts führte zum Gegentor.|A major catching error by the goalkeeper led to the conceded goal.|Грубая ошибка вратаря при ловле мяча привела к пропущенному голу.|Ein schwerer Fangpatzer des Torwarts führte zum Gegentor.|einen Fangfehler begehen; folgenschwerer Fangfehler|Sports term used in ball sports (soccer, baseball, handball) when a player fails to hold onto a ball.
fangen|Fangflotte|C2|104480|fishing fleet|рыболовный флот|Fischereiflotte|Die Fangflotte stach trotz des Sturms in See.|The fishing fleet set sail despite the storm.|Рыболовный флот вышел в море вопреки шторму.|Die Fischereiflotte stach trotz des Sturms in See.|die heimische Fangflotte; Fangflotte auf Walfang|Collective term for a group of commercial fishing vessels.
fangen|Fangfrage|C2|86799|trick question|вопрос с подвохом; каверзный вопрос|Suggestivfrage; Trickfrage|Der Prüfer stellte eine unerwartete Fangfrage.|The examiner asked an unexpected trick question.|Экзаменатор задал неожиданный вопрос с подвохом.|Der Prüfer stellte eine unerwartete Suggestivfrage.|eine Fangfrage stellen; eine geschickte Fangfrage; auf eine Fangfrage hereinfallen|Highly common in everyday language. It refers to a question phrased to entrap or elicit an embarrassing admission.
fangen|Fanggebiet|C2|105866|fishing ground; catching area|район лова; промысловый район|Fanggrund; Fischereigebiet|Die Fischer fuhren weit in das nördliche Fanggebiet hinaus.|The fishermen sailed far out into the northern fishing ground.|Рыбаки ушли далеко в северный район лова.|Die Fischer fuhren weit in den nördlichen Fanggrund hinaus.|internationales Fanggebiet; Fanggebiete für Heringe|Official geographic and legal term used in global commercial fishing and shipping.
fangen|Fanggerät|C2|114187|catching gear; fishing tackle; trapping equipment|орудие лова; рыболовная снасть|Fangwerkzeug; Fischereigerät|Die Fischer überprüften ihr Fanggerät vor der Abfahrt.|The fishermen checked their catching gear before departure.|Рыбаки проверили свои орудия лова перед отплытием.|Die Fischer überprüften ihr Fischereigerät vor der Abfahrt.|verbotenes Fanggerät; Fanggerät reinigen|Broad term covering nets, traps, rods, and any mechanical tackle used to capture wildlife.
fangen|Fanggrube|C2|207502|pitfall; trapping pit|ловчая яма|Fallgrube|Früher hoben Jäger Fanggruben für Großwild aus.|In the past, hunters dug out pitfalls for big game.|Раньше охотники выкапывали ловчие ямы для крупного зверя.|Früher hoben Jäger Fallgruben für Großwild aus.|eine Fanggrube graben; Fanggrube für Tiere|Historically used for hunting. Today often used metaphorically for a trap or snare.
fangen|Fanggrund|C2|111118|fishing ground|промысловое угодье; место лова|Fanggebiet; Fischgrund|Die isländischen Fanggründe sind sehr fischreich.|The Icelandic fishing grounds are very rich in fish.|Исландские рыболовные угодья очень богаты рыбой.|Die isländischen Fischgründe sind sehr fischreich.|ertragreiche Fanggründe; Schutz der Fanggründe|Primarily used in plural ('Fanggründe') in maritime or regulatory contexts.
