word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
blasen|blasen|B1|7037|to blow|дуть, выдувать|wehen; pusten; winden|Der Wind bläst heute sehr stark von Osten.|The wind is blowing very strongly from the east today.|Сегодня ветер дует очень сильно с востока.|Der Wind weht heute sehr stark aus östlicher Richtung.|den Wind blasen; Trübsal blasen; Suppe kalt blasen|Blasen is a strong verb (bläst, blies, hat geblasen). It can be used intransitively (the wind blows) or transitively (to blow an instrument or bubbles). The idiom 'Trübsal blasen' means to be in low spirits.
blasen|abblasen|C2|33241|to cancel, to call off|отменять|absagen; stornieren; ausfallen lassen|Wegen des Regens mussten sie das Konzert abblasen.|Because of the rain, they had to call off the concert.|Из-за дождя им пришлось отменить концерт.|Wegen des Regens mussten sie das Konzert absagen.|ein Konzert abblasen; die Suche abblasen; ein Vorhaben abblasen|Abblasen is a separable verb. In everyday German, it is colloquially used to mean 'to cancel' an event, a plan, or an search. Its literal meaning is to blow dust/particles off a surface.
blasen|anblasen|C2|96070|to blow on, to start (a fire, a hunt)|раздувать, запевать, начинать|anfachen; anzünden; starten|Der Jäger ließ das Jagdhorn zum Aufbruch anblasen.|The hunter had the horn sounded for the departure.|Охотник приказал затрубить в рог к началу похода.|Der Jäger ließ das Signal zum Aufbruch ertönen.|das Feuer anblasen; zur Jagd anblasen; einen Hochofen anblasen|Separable verb. It means to blow air onto a fire to ignite it, or to blow a wind instrument to signal the start of an activity, such as a traditional hunt (zur Jagd anblasen).
blasen|aufblasen|C2|29148|to inflate, to blow up|надувать|aufpumpen; aufblähen; vergrößern|Er musste vor der Party viele Luftballons aufblasen.|He had to inflate many balloons before the party.|Ему пришлось надуть много воздушных шаров перед вечеринкой.|Er musste vor der Party viele Luftballons aufpumpen.|Luftballons aufblasen; eine Geschichte aufblasen; Backen aufblasen|Separable verb. Can be used literally (inflating balloons) or figuratively, meaning to exaggerate a story ('eine Sache künstlich aufblasen') or to behave arrogantly ('sich aufblasen').
blasen|ausblasen|C2|62060|to blow out, to extinguish|задувать, гасить (ветерком), выдувать|auslöschen; auspusten; leeren|Puste bitte die Kerzen auf der Torte aus.|Please blow out the candles on the cake.|Пожалуйста, задуй свечи на торте.|Lösche bitte die Kerzen auf der Torte aus.|eine Kerze ausblasen; Eier ausblasen; das Licht ausblasen|Separable verb. It is commonly used for putting out flames like candles with a breath of air. It also refers to blowing out the contents of eggs for Easter crafts (Ostereier ausblasen).
blasen|durchblasen|C2|138682|to blow through, to ventilate|продувать, вентилировать|durchlüften; reinigen; freiblasen|Wir sollten das Zimmer einmal kräftig durchblasen lassen.|We should let the room air out thoroughly.|Нам стоит хорошенько проветрить комнату.|Wir sollten das Zimmer einmal kräftig durchlüften.|Rohre durchblasen; den Wind durchblasen lassen; den Kopf durchblasen lassen|This separable verb is used literally for clearing pipes or tubes with air, or figuratively for getting fresh air to clear one's head ('den Kopf durchblasen lassen').
blasen|einblasen|C2|91984|to blow in, to inject (air/gas)|вдувать, нагнетать, нашептывать|hineinblasen; einflößen; einflüstern|CO2 wird in das Wasser eingeblasen, um Kohlensäure zu erzeugen.|CO2 is blown into the water to produce carbonation.|Углекислый газ вдувают в воду для создания углекислоты.|CO2 wird in das Wasser hineingeblasen, um Kohlensäure zu erzeugen.|Luft einblasen; Sauerstoff einblasen; jemandem Gedanken einblasen|Separable verb. Often used in technical and chemical contexts for blowing gases into a liquid or container. Figuratively, it means to whisper thoughts or ideas to someone.
blasen|fortblasen|C2|149531|to blow away|сдувать, уносить ветром|wegblasen; wegpusten; wegwehen|Ein starker Windstoss hat die trockenen Blätter fortgeblasen.|A strong gust of wind blew the dry leaves away.|Сильный порыв ветра сдул сухие листья.|Ein starker Windstoss hat die trockenen Blätter weggeblasen.|den Staub fortblasen; Blätter fortblasen; Sorgen fortblasen|Separable verb. Means to carry away by blowing or wind. Highly interchangeable with 'wegblasen'.
blasen|hinausblasen|C2|147530|to blow out, to release into the atmosphere|выдувать наружу, выбрасывать (газы)|ausstoßen; freisetzen; hinausbringen|Die Fabrik darf keine ungereinigten Abgase in die Luft hinausblasen.|The factory is not allowed to release untreated exhaust gases into the air.|Заводу запрещено выбрасывать неочищенные выхлопные газы в воздух.|Die Fabrik darf keine ungereinigten Abgase in die Luft ausstoßen.|Rauch hinausblasen; Abgase hinausblasen; Ton hinausblasen|Separable verb. Primarily used in industrial, mechanical, or physics contexts to describe exhaust gases or smoke being blown out into the open air.
blasen|hineinblasen|C2|124341|to blow into, to inject air inside|вдувать внутрь|einblasen; hineinpusten; hineinwehen|Man muss kräftig in das Röhrchen hineinblasen, um das Gerät zu aktivieren.|You have to blow hard into the tube to activate the device.|Нужно сильно дунуть внутрь трубочки, чтобы активировать устройство.|Man muss kräftig in das Röhrchen hineinpusten, um das Gerät zu aktivieren.|Luft hineinblasen; Atem hineinblasen; in die Hände hineinblasen|Separable verb. Refers to the physical action of blowing air into a space, object, or instrument. Frequently takes the preposition 'in' + accusative.
blasen|mundgeblasen|C2|71857|hand-blown, mouth-blown (glass)|выдутый вручную, ручной работы (о стекле)|handgefertigt; manuell hergestellt; handgeblasen|Diese edlen Weingläser sind alle mundgeblasen.|These fine wine glasses are all hand-blown.|Эти изысканные бокалы для вина все выдуты вручную.|Diese edlen Weingläser sind alle handgefertigt.|mundgeblasenes Glas; mundgeblasene Christbaumkugeln; mundgeblasene Vasen|Adjective (derived from the participle of a verb that is barely used). It is exclusively used to describe fine glassware crafted manually by a glassblower rather than mass-produced by machines.
blasen|überblasen|C2|174524|to overblow (music), to blow over|передувать (в музыке)|übertönen; überspielen|Der Flötist lernte, wie man die Töne sauber überbläst.|The flutist learned how to overblow the notes cleanly.|Флейтист научился чисто передувать ноты.|Der Flötist lernte, wie man die Töne durch stärkeren Luftstrom höher spielt.|ein Instrument überblasen; Töne überblasen; die Flöte überblasen|A highly specific musical term. In wind instrument playing, 'überblasen' means to increase air speed to produce a higher overtone. In this context, it is usually used as an inseparable verb (überbläst, überblies, überblasen).
blasen|umblasen|C2|128488|to blow over, to blow down|опрокинуть ветром, сдуть|umwerfen; umwehen; umstürzen|Der Orkan drohte, die alten Bäume im Park umzublasen.|The hurricane threatened to blow down the old trees in the park.|Ураган грозил повалить старые деревья в парке.|Der Orkan drohte, die alten Bäume im Park umzuwehen.|Schilder umblasen; Bäume umblasen; Zäune umblasen|Separable verb. Used when winds, gusts, or storms knock over upright physical structures like signs, trees, or fences.
blasen|verblasen|C2|79357|to blow away, to fade, to blend (paint)|развеять, рассеять, растушевать|zerstreuen; vertreiben; verwehen|Der Wind hat die dichten Wolken am Nachmittag verblasen.|The wind blew away the thick clouds in the afternoon.|Ветер развеял густые тучи во второй половине дня.|Der Wind hat die dichten Wolken am Nachmittag zerstreut.|Wolken verblasen; Nebel verblasen; Farben verblasen|Inseparable verb. It can mean to scatter or disperse naturally by wind (clouds, fog) or, in fine arts, to blend and soften paint colors on a canvas.
blasen|vorblasen|C2|196058|to demonstrate playing a wind instrument, to play for someone|играть перед кем-то (на духовом инструменте), демонстрировать игру|vorspielen; demonstrieren; vortragen|Sie musste dem Prüfer ein kurzes Stück auf der Trompete vorblasen.|She had to play a short piece on the trumpet for the examiner.|Ей пришлось сыграть экзаменатору короткую пьесу на трубе.|Sie musste dem Prüfer ein kurzes Stück auf der Trompete vorspielen.|ein Stück vorblasen; dem Lehrer vorblasen; zur Prüfung vorblasen|Separable verb. Specifically refers to performing or demonstrating a musical piece on a wind instrument (Blasinstrument) in front of an evaluator, teacher, or audience.
blasen|wegblasen|C2|43529|to blow away, to blow off|сдувать, уносить ветром|fortblasen; wegwehen; wegpusten|Puste kräftig, um den Staub von der Oberfläche wegzublasen.|Blow hard to blow the dust off the surface.|Дунь сильнее, чтобы сдуть пыль с поверхности.|Puste kräftig, um den Staub von der Oberfläche wegzupusten.|Staub wegblasen; Blätter wegblasen; Hüte wegblasen|A very common separable verb. Literally means to displace dust, leaves, or objects with a stream of air. Can also mean to blow away feelings or doubts figuratively.
blasen|Glasbläser|C2|46843|glassblower|стеклодув|Glasmacher; Glaskünstler|Der Glasbläser formte eine filigrane Vase aus heißem Glas.|The glassblower shaped a delicate vase from hot glass.|Стеклодув сформировал изящную вазу из горячего стекла.|Der Glasmacher formte eine filigrane Vase aus heißem Glas.|ein erfahrener Glasbläser; die Kunst des Glasbläsers; eine Glasbläser-Werkstatt|Noun, masculine (der Glasbläser, plural: die Glasbläser). Refers to a traditional craftsman who blows into molten glass using a tube to shape decorative or functional objects.
blasen|Holzbläser|C2|43137|woodwind player, woodwind instrument|исполнитель на деревянных духовых инструментах, деревянный духовой инструмент|Holzblasinstrument; Holzbläsergruppe|Die Holzbläser üben die schwierige Passage vor dem Konzert separat.|The woodwinds are practicing the difficult passage separately before the concert.|Деревянные духовые репетируют сложный пассаж отдельно перед концертом.|Die Holzblasinstrumente üben die schwierige Passage vor dem Konzert separat.|die Holzbläser des Orchesters; hohe Holzbläser; Holzbläser und Blechbläser|Noun, masculine (der Holzbläser, plural: die Holzbläser). It can refer to the musician playing a woodwind instrument (oboe, flute, clarinet, bassoon) or collectively to the woodwind section of an orchestra.
blasen|Laubbläser|C2|65673|leaf blower|воздуходувка для листьев|Laubpuster; Motorbläser|Der Gärtner benutzt einen lauten Laubbläser, um den Gehweg zu reinigen.|The gardener uses a loud leaf blower to clean the sidewalk.|Садовник использует шумную воздуходувку, чтобы очистить тротуар.|Der Gärtner benutzt einen lauten Laubpuster, um den Gehweg zu reinigen.|ein lauter Laubbläser; Laubbläser verbieten; den Laubbläser einschalten|Noun, masculine (der Laubbläser, plural: die Laubbläser). Refers to the mechanical outdoor tool used to blow dry leaves. It is often a topic of public debate in Germany due to noise pollution.
