word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
singen|singen|A2|1205|to sing|петь|trällern; zwitschern; intonieren|Sie singt ein schönes Lied.|She is singing a beautiful song.|Она поет красивую песню.|Sie trällert eine schöne Melodie.|ein Lied singen; im Chor singen; falsch singen; laut singen|Standard verb for singing. Can be transitive (ein Lied singen) or intransitive (sie singt gut). It takes 'von' + dative when it means 'to sing of/about'.
singen|Gesang|B2|3310|singing; song; vocals|пение; вокал|Singen; Vokalmusik; Chorgesang|Ihr Gesang war im ganzen Haus zu hören.|Her singing could be heard throughout the house.|Ее пение было слышно во всем доме.|Ihr Singen war im ganzen Haus zu hören.|mehrstimmiger Gesang; klassischer Gesang; Gesang und Tanz; den Gesang anstimmen|'Gesang' is more formal or artistic than 'Singen'. 'Singen' refers to the activity itself, while 'Gesang' refers to the sound, style, or performance of singing.
singen|Gesinge|C2|127732|continuous annoying singing; bad singing|непрерывное надоедливое пение; завывание|Singerei; Gejaule; Geträller|Das ewige Gesinge der Nachbarn geht mir auf die Nerven.|The constant singing of the neighbors is getting on my nerves.|Вечное завывание соседей действует мне на нервы.|Die ewige Singerei der Nachbarn nervt mich sehr.|nerviges Gesinge; lautes Gesinge; ewiges Gesinge|A colloquial, pejorative noun constructed with Ge-...-e, indicating annoying, low-quality, or relentless singing.
singen|Sang|A2|44053|singing; song|пение; песнь|Gesang; Lied|Mit Sang und Klang zogen sie durch die Straßen.|With song and music they marched through the streets.|С песнями и музыкой они шествовали по улицам.|Mit Gesang und Musik zogen sie durch die Straßen.|mit Sang und Klang; sang- und klanglos untergehen|Highly poetic or archaic. In modern German, it is virtually exclusively used in fixed idioms like 'sang- und klanglos' (quietly, without a fuss) or 'mit Sang und Klang' (with celebration and music).
singen|sangbar|C2|152360|singable; melodic|легкий для пения; мелодичный|singbar; melodisch; eingängig|Die Melodie dieses Liedes ist sehr sangbar.|The melody of this song is very easy to sing.|Мелодия этой песни очень легка для пения.|Die Melodie dieses Liedes ist sehr melodisch.|gut sangbar; leicht sangbar; eine sangbare Melodie|Often used in classical music contexts to describe a melody or piece that is highly suited to the human voice. It is a synonym of 'singbar' but is slightly more elevated.
singen|Sänger|B1|2003|singer (male)|певец|Vokalist; Solist; Interpret|Der Sänger gab nach dem Konzert ein Autogramm.|The singer gave an autograph after the concert.|Певец дал автограф после концерта.|Der Vokalist gab nach dem Konzert ein Autogramm.|bekannter Sänger; begabter Sänger; Opernsänger; Leadsänger|Standard masculine noun for a singer. The feminine equivalent is 'Sängerin'.
singen|Singakademie|C2|52546|singing academy; choral society|певческая академия; хоровое общество|Chorvereinigung; Gesangsverein|Sie probt zweimal pro Woche in der Singakademie.|She rehearses twice a week at the singing academy.|Она репетирует дважды в неделю в певческой академии.|Sie probt zweimal pro Woche im Gesangsverein.|Berliner Singakademie; der Singakademie beitreten|Refers to historic choral institutions in German-speaking countries, often associated with high-level classical choir performances (e.g., the Berliner Singakademie).
singen|singbar|C2|115862|singable|удобопеваемый; легкий для пения|sangbar; melodisch|Der Text ist leider überhaupt nicht singbar.|Unfortunately, the text is not singable at all.|К сожалению, этот текст совершенно не подходит для пения.|Der Text ist leider überhaupt nicht sangbar.|schwer singbar; leicht singbar; ein singbarer Text|Colloquial and technical synonym for 'sangbar'. Describes how easily words or musical lines can be performed by the voice.
singen|Singdrossel|C2|98233|song thrush|певчий дрозд|Drossel|Im Garten singt eine Singdrossel ihr Lied.|A song thrush is singing its song in the garden.|В саду поет свою песню певчий дрозд.|Im Garten singt ein kleiner Vogel sein Lied.|eine singende Singdrossel; der Ruf der Singdrossel|A biological term for the song thrush (Turdus philomelos). It is a feminine noun.
singen|Singer|C1|11524|singer (archaic/regional)|певец (устаревшее/региональное)|Sänger; Interpret|Der alte Singer trug ein langes Epos vor.|The old singer recited a long epic.|Старый певец исполнил длинную эпическую песню.|Der alte Sänger trug ein langes Epos vor.|ein fahrender Singer|An archaic or dialectal alternative to 'Sänger'. In modern German, it is rarely used as a common noun except in historic/poetic contexts or as a proper surname.
