word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
sehen|sehen|A1|11343|to see, to look, to watch|видеть, смотреть|blicken; schauen; gucken; betrachten|Ich kann die Sterne am Himmel sehen.|I can see the stars in the sky.|Я вижу звезды на небе.|Ich kann die Sterne am Himmel erblicken.|fernsehen; gut sehen; schlecht sehen; sich sehen lassen|General verb for vision or looking. Often used with the modal verb 'können' to describe the physical ability to perceive visually. For focused or intentional looking, 'schauen', 'gucken', or 'betrachten' are preferred depending on region and register.
sehen|absehen|B2|63803|to foresee, to target, to disregard (with 'von')|предвидеть, воздерживаться (с 'von'), нацеливаться (с 'auf')|prognostizieren; verzichten; abkommen|Wir müssen von weiteren Schritten absehen.|We must refrain from further steps.|Мы должны воздержаться от дальнейших шагов.|Wir müssen auf weitere Schritte verzichten.|von etwas absehen; ein Ende ist nicht abzusehen; es auf jemanden abgesehen haben|A highly versatile verb. 'Absehen von' governs the dative and means to refrain from or disregard. 'Es abgesehen haben auf' governs the accusative and means to target someone or something, often with negative intent. The phrase 'nicht abzusehen' means unpredictable or unforeseeable.
sehen|aufsehen|B2|69101|to look up, to respect/look up to (with 'zu')|смотреть вверх, уважать (с 'zu')|hochblicken; heraufschauen; bewundern; respektieren|Kinder sehen oft zu ihren Eltern auf.|Children often look up to their parents.|Дети часто смотрят снизу вверх на своих родителей (уважают их).|Kinder bewundern oft ihre Eltern.|zu jemandem aufsehen; vom Buch aufsehen; überrascht aufsehen|Separable verb. Literally, it means to look up physically from an activity or position. Figuratively, 'aufsehen zu + dative' means to look up to someone with respect and admiration.
sehen|aussehen|B2|6457|to look like, to appear|выглядеть, казаться|wirken; scheinen; erscheinen|Du siehst heute sehr müde aus.|You look very tired today.|Ты выглядишь сегодня очень усталым.|Du wirkst heute sehr müde.|gut aussehen; müde aussehen; wie neu aussehen; danach aussehen, als ob|Separable verb. Essential for describing appearance. Often followed by an adjective or by 'wie' (like/as if) with a clause. 'Es sieht danach aus' is a common construction meaning 'it looks as if'.
sehen|durchsehen|C2|37112|to look through, to review, to check|просматривать, проверять, видеть насквозь|überprüfen; durchlesen; durchblättern; korrigieren|Ich muss die Unterlagen noch einmal durchsehen.|I have to review the documents once more.|Мне нужно еще раз просмотреть документы.|Ich muss die Unterlagen noch einmal überprüfen.|Unterlagen durchsehen; Arbeiten durchsehen; einen Fehler durchsehen|Separable verb. Used when quickly reading through, examining, or correcting texts, files, or tasks. Note that 'durchschauen' is used instead for the figurative meaning of 'seeing through' someone's lies.
sehen|emporsehen|C2|198493|to look up, to look upwards|смотреть вверх, устремлять взор вверх|aufsehen; hochblicken; hinaufschauen|Er blieb stehen, um zum Berggipfel emporzusehen.|He stopped to look up at the mountain peak.|Он остановился, чтобы посмотреть вверх на вершину горы.|Er blieb stehen, um zum Berggipfel hochzublicken.|zum Himmel emporsehen; ehrfürchtig emporsehen|A highly formal or literary separable verb indicating a physical upward gaze. Similar in meaning to 'aufsehen' or 'hinaufsehen', but conveys a more dramatic or respectful tone.
sehen|fernsehen|B1|21017|to watch television|смотреть телевизор|fernschauen; glotzen|Die Kinder dürfen heute Abend fernsehen.|The children are allowed to watch TV tonight.|Детям разрешено сегодня вечером смотреть телевизор.|Die Kinder dürfen heute Abend fernschauen.|jeden Abend fernsehen; stundenlang fernsehen|Separable verb. Note that 'fern' splits in simple tenses (e.g., 'ich sehe fern'). The noun 'das Fernsehen' refers to the television medium or system.
sehen|gegenübersehen|C2|53353|to face, to be confronted with (reflexive with 'sich' + dative)|сталкиваться лицом к лицу, стоять перед лицом (проблем)|konfrontiert sein mit; gegenüberstehen; begegnen|Wir sehen uns einer großen Herausforderung gegenüber.|We are facing a major challenge.|Мы стоим перед лицом серьезного вызова.|Wir sind mit einer großen Herausforderung konfrontiert.|sich Problemen gegenübersehen; sich einer Krise gegenübersehen|Separable verb, used almost exclusively as a reflexive construction: 'sich (dative) einer Sache (dative) gegenübersehen'. Represents a formal register commonly found in politics, economics, and academic writing.
sehen|herabsehen|C2|98765|to look down, to look down on (with 'auf' + accusative)|смотреть вниз, смотреть свысока (на кого-то)|herunterschauen; herabblicken; verachten|Man sollte niemals auf andere Menschen herabsehen.|One should never look down on other people.|Никогда не следует смотреть свысока на других людей.|Man sollte niemals andere Menschen verachten.|auf jemanden herabsehen; vom Balkon herabsehen|Separable verb. Can be literal (looking down from a height) or figurative. In figurative use, 'herabsehen auf + accusative' indicates arrogance or a feeling of superiority over others.
sehen|heraufsehen|C2|215796|to look up (towards the speaker)|смотреть вверх (в направлении говорящего)|heraufschauen; hochblicken; aufsehen|Sie stand unten auf der Straße und sah zu mir herauf.|She stood down on the street and looked up at me.|Она стояла внизу на улице и смотрела вверх на меня.|Sie stand unten auf der Straße und blickte zu mir hoch.|zu jemandem heraufsehen; aus dem Keller heraufsehen|Separable verb. The prefix 'herauf-' indicates looking up from a lower position towards the perspective or physical location of the speaker.
