word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
reinigen|reinigen|B2|4856|to clean, to purify, to wash|чистить, очищать|säubern; putzen; rein machen|Er muss den Anzug reinigen lassen.|He has to have the suit cleaned.|Ему нужно отдать костюм в чистку.|Er muss den Anzug säubern lassen.|die Kleidung reinigen; die Luft reinigen; eine Wunde reinigen|Standard, formal verb that covers both physical cleaning (clothes, rooms) and abstract or chemical purification (air, liquids, soul). It is frequently used with the auxiliary verb 'lassen' to indicate having something cleaned professionally.
reinigen|abbeizen|C2|144887|to strip (paint/rust), to pickle (metal)|удалять старую краску, травить металл|abziehen; ablaugen; entfernen|Vor dem Streichen muss man die alte Farbe abbeizen.|Before painting, you must strip the old paint.|Перед покраской нужно удалить старую краску.|Vor dem Streichen muss man die alte Farbe abziehen.|Holz abbeizen; alte Farbe abbeizen; Möbel abbeizen|Highly specific technical or DIY term. It refers to removing layers of paint, varnish, or oxide from surfaces, especially wood or metal, using corrosive chemical agents (called Beize).
reinigen|abbrausen|C2|82863|to shower, to rinse off|обдать душем, ополоснуть из душа|abduschen; abspülen; abspritzen|Er brauste sich nach dem Sport kurz ab.|He quickly showered off after sports.|Он быстро ополоснулся под душем после тренировки.|Er duschte sich nach dem Sport kurz ab.|sich kalt abbrausen; das Gemüse abbrausen; den Hund abbrausen|Implies using a spray or shower head to quickly rinse off dirt or soap from a body, vegetable, or object. It is less formal than 'duschen' and focuses on the action of rinsing.
reinigen|abbürsten|C2|80500|to brush off, to brush clean|очистить щёткой, смахнуть щёткой|abkehren; bürsten; säubern|Du solltest den Dreck von deinen Schuhen abbürsten.|You should brush the dirt off your shoes.|Тебе следует счистить грязь со своих туфель щёткой.|Du solltest den Dreck von deinen Schuhen bürsten.|den Mantel abbürsten; Schmutz abbürsten; die Pferde abbürsten|Specific to using a brush (Bürste) to remove dry dirt, hair, or dust from surfaces like clothing, shoes, or animal coats.
reinigen|abfegen|C2|144794|to sweep off, to sweep clean|обметать, сметать веником|abkehren; fegen; wegfegen|Er muss die Krümel vom Tisch abfegen.|He has to sweep the crumbs off the table.|Ему нужно смести крошки со стола.|Er muss die Krümel vom Tisch abkehren.|die Terrasse abfegen; Krümel abfegen; Staub abfegen|Refers to sweeping dry dirt, leaves, or crumbs off a flat surface using a broom, brush, or one's hand. Often used interchangeably with 'abkehren', though 'fegen' has more usage in Northern Germany.
reinigen|abkehren|C2|79305|to sweep off, to sweep clean|обметать, сметать веником|abfegen; fegen; säubern|Sie kehre den Staub von der Treppe ab.|She swept the dust off the stairs.|Она смела пыль с лестницы.|Sie fegte den Staub von der Treppe ab.|den Gehweg abkehren; Ruß abkehren; den Tisch abkehren|More common in Southern Germany, Austria, and Switzerland. Refers to sweeping with a broom or brush. It also has a figurative, non-cleaning meaning 'sich abkehren' (to turn away from someone/something).
reinigen|abklopfen|C2|33187|to tap off, to beat (dust) out of, to knock off|выбивать пыль, обивать, простукивать|ausklopfen; abstreifen; reinigen|Vor dem Eintreten sollte man den Schnee von den Schuhen abklopfen.|Before entering, you should knock the snow off your shoes.|Перед тем как войти, следует обить снег с обуви.|Vor dem Eintreten sollte man den Schnee von den Schuhen abstreifen.|Staub abklopfen; Fleisch abklopfen; den Mantel abklopfen|Refers to physical hitting or tapping of an object (like clothes, shoes, carpets) to shake loose dust, snow, or dirt. In medical contexts, it means to percuss.
reinigen|abkratzen|C2|62178|to scrape off, to scratch off|соскабливать, отскабливать|abschaben; wegkratzen; entfernen|Ich muss das Eis von der Windschutzscheibe abkratzen.|I have to scrape the ice off the windshield.|Мне нужно соскоблить лёд с лобового стекла.|Ich muss das Eis von der Windschutzscheibe abschaben.|Tapeten abkratzen; Schmutz abkratzen; Eis abkratzen|Physical scraping with a tool (like a spatula or ice scraper) or fingernails to remove stuck-on substances. In colloquial speech, 'abkratzen' is also a vulgar slang term for 'to die' ('kick the bucket').
reinigen|abledern|C2|139365|to chamois, to wipe dry with a leather cloth|протирать замшей досуха|trockenreiben; abwischen; polieren|Nach dem Waschen muss man das Auto abledern.|After washing, you have to chamois the car dry.|После мойки нужно протереть машину замшей досуха.|Nach dem Waschen muss man das Auto trockenreiben.|das Auto abledern; die Fensterscheiben abledern|A highly specific verb meaning to dry a freshly washed, smooth surface (like a car chassis or window glass) using a chamois leather cloth (Leder) to prevent water spots. Colloquially, it can also mean to harshly criticize someone.
reinigen|abputzen|C2|69736|to wipe off, to clean off, to wipe clean|вытирать, очищать|abwischen; reinigen; säubern|Bitte putz dir die Schuhe vor der Tür ab.|Please wipe your shoes before entering.|Пожалуйста, вытри обувь перед дверью.|Bitte wisch dir die Schuhe vor der Tür ab.|die Hände abputzen; den Mund abputzen; die Schuhe abputzen|A very common colloquial word for wiping away dirt, food residue, or moisture from clothes, hands, shoes, or tables. Often used with a reflexive pronoun ('sich Dativ etwas abputzen').
