word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
melden|melden|B1|630|to report; to register; to announce; to get in touch|сообщать; регистрировать; заявлять; давать о себе знать|berichten; mitteilen; registrieren; sich melden|Bitte melden Sie sich am Empfang.|Please report to the reception.|Пожалуйста, зарегистрируйтесь на стойке регистрации.|Bitte tragen Sie sich am Empfang ein.|sich freiwillig melden; sich zu Wort melden; einen Unfall melden; sich bei jemandem melden|Highly versatile verb. Reflexively ('sich melden'), it can mean to answer the phone, to raise one's hand in class, or to get in touch with someone. Transitively, it means to report an event, make a declaration, or register information.
melden|Meldeamt|C2|59807|registration office; registry office|паспортный стол; отдел регистрации граждан|Meldebehörde; Bürgeramt; Einwohnermeldeamt|Er muss seine neue Adresse beim Meldeamt registrieren lassen.|He has to register his new address at the registration office.|Он должен зарегистрировать свой новый адрес в паспортном столе.|Er muss seine neue Adresse bei der Meldebehörde registrieren lassen.|zum Meldeamt gehen; das zuständige Meldeamt; eine Bescheinigung vom Meldeamt|'Meldeamt' (or 'Einwohnermeldeamt') is the municipal office in Germany, Austria, and Switzerland where residents must register their place of residence. In modern German administrative speech, it is often integrated into the 'Bürgeramt' (citizen service center).
melden|Meldeauflage|C2|85193|reporting requirement; reporting condition (legal/police)|обязанность регулярно являться в полицию (или органы надзора)|Meldepflicht; Auflage zur Berichterstattung|Der Hooligan erhielt für das Wochenende eine Meldeauflage bei der Polizei.|The hooligan was ordered to report to the police over the weekend.|Хулиган получил предписание явиться в полицию на выходных.|Der Hooligan erhielt für das Wochenende eine Pflicht, sich bei der Polizei zu melden.|eine Meldeauflage erteilen; gegen die Meldeauflage verstoßen; strenge Meldeauflage|A formal legal and policing term. It forces a suspect, conditional parolee, or known troublemaker (such as soccer hooligans during high-risk matches) to report to a designated police station at specific times to prevent crime or flight.
melden|Meldebehörde|C2|60996|registration authority|орган регистрации граждан; регистрационный орган|Meldeamt; Einwohnermeldeamt|Die Meldebehörde stellt Meldebestätigungen aus.|The registration authority issues registration confirmations.|Орган регистрации выдает подтверждения о регистрации.|Das Meldeamt stellt Meldebestätigungen aus.|die zuständige Meldebehörde; Daten an die Meldebehörde übermitteln; Auskunft der Meldebehörde|A formal and bureaucratic term encompassing all municipal bodies responsible for registering and tracking the population. 'Meldeamt' is the physical office, whereas 'Meldebehörde' is the institution as a legal entity.
melden|Meldebogen|C2|80826|registration form; reporting form|регистрационный бланк; формуляр заявления|Meldeformular; Anmeldeformular|Bitte füllen Sie den Meldebogen vollständig aus.|Please fill out the registration form completely.|Пожалуйста, заполните регистрационный бланк полностью.|Bitte füllen Sie das Meldeformular vollständig aus.|den Meldebogen ausfüllen; den Meldebogen abschicken; handschriftlicher Meldebogen|A compound of 'melden' and 'Bogen' (sheet of paper). Refers to a questionnaire or form used to gather and register data, often used in medical studies, local administrations, school enrollment, or sports event registration.
melden|Meldefahrer|C2|199811|dispatch rider; military motorcycle messenger|связной (на мотоцикле/велосипеде); вестовой|Kradmelder; Meldeläufer; Kurier|Im Ersten Weltkrieg spielten Meldefahrer eine wichtige Rolle bei der Übermittlung von Befehlen.|In the First World War, dispatch riders played an important role in transmitting orders.|В Первую мировую войну связные на мотоциклах играли важную роль в передаче приказов.|Im Ersten Weltkrieg spielten Kradmelder eine wichtige Rolle bei der Übermittlung von Befehlen.|als Meldefahrer dienen; militärischer Meldefahrer; Meldefahrer auf dem Motorrad|A historical and military term for a messenger who rides a vehicle (like a motorcycle, bicycle, or horse) to transport tactical reports and instructions in areas where electronic communication is unavailable or unsafe.
melden|Meldefrist|C2|62094|registration deadline; reporting deadline|срок регистрации; срок подачи заявления|Anmeldefrist; Abgabefrist; Einsendeschluss|Die Meldefrist für das Turnier läuft morgen ab.|The registration deadline for the tournament expires tomorrow.|Срок регистрации на турнир истекает завтра.|Die Anmeldefrist für das Turnier läuft morgen ab.|eine Meldefrist einhalten; die Meldefrist läuft ab; die Meldefrist verlängern|Commonly used in sports (registering athletes/teams), academic contexts (submitting exam entries), and administration (like notifying unemployment status to the Jobcenter). Missing a 'Meldefrist' typically results in exclusion or penalties.
melden|Meldegänger|C2|159497|runner; messenger (on foot)|посыльный; пеший связной|Meldeläufer; Ordonnanz; Bote|Der Meldegänger brachte die Nachricht trotz des heftigen Feuers zum Hauptquartier.|The runner brought the message to headquarters despite the heavy fire.|Посыльный доставил донесение в штаб, несмотря на сильный огонь.|Der Meldeläufer brachte die Nachricht trotz des heftigen Feuers zum Hauptquartier.|als Meldegänger eingesetzt werden; ein mutiger Meldegänger; die Nachrichten des Meldegängers|A highly specific historical or military term. It refers to a messenger who moves on foot (or runs), especially during trench warfare (e.g., WWI) where other communication lines were broken or unusable.
melden|Meldehund|C2|199110|messenger dog|связная собака; военная собака-связной|Sanitätshund; Militärhund|Im Krieg wurden Meldehunde eingesetzt, um Nachrichten durch unwegsames Gelände zu tragen.|In war, messenger dogs were used to carry messages through rough terrain.|На войне использовались связные собаки для переноски сообщений по труднопроходимой местности.|Im Krieg wurden Militärhunde eingesetzt, um Nachrichten durch unwegsames Gelände zu tragen.|Ausbildung zum Meldehund; Einsatz als Meldehund; ein treuer Meldehund|A historical term from military history. These dogs were specifically trained to carry notes in a small capsule attached to their collar, running swiftly back and forth between two handlers.
melden|Meldepflicht|C2|23747|compulsory registration; obligation to report (e.g., diseases, residents)|обязанность регистрации; обязательное уведомление; обязанность сообщать (о болезнях и т.д.)|Registrierungspflicht; Anmeldepflicht; Anzeigepflicht|Für bestimmte Infektionskrankheiten besteht in Deutschland eine gesetzliche Meldepflicht.|In Germany, there is a statutory obligation to report certain infectious diseases.|В Германии существует установленная законом обязанность сообщать об определенных инфекционных заболеваниях.|Für bestimmte Infektionskrankheiten besteht in Deutschland eine gesetzliche Anzeigepflicht.|gesetzliche Meldepflicht; der Meldepflicht unterliegen; die Meldepflicht verletzen|A fundamental term in German administration and public health. It specifies that certain events (moving to a new address, births/deaths, infectious outbreaks, or large financial transfers) must legally be declared to public bodies.
