word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
bohren|bohren|C1|10428|to drill; to bore; to dig|бурить; сверлить; ковырять|löchern; durchbohren; herumbohren|Wir müssen ein Loch in die Wand bohren.|We need to drill a hole in the wall.|Нам нужно просверлить отверстие в стене.|Wir müssen eine Wand durchlöchern.|ein Loch bohren; nach Öl bohren; tief bohren; im Zahn bohren|The verb 'bohren' is used for creating a hole using a drill (e.g., in a wall or tooth) or searching for oil or water (nach Öl bohren). Metaphorically, it can mean asking persistent questions ('nachbohren').
bohren|Bohrer|C1|21174|drill; drill bit|дрель; сверло; бур|Bohrmaschine; Bohrwerkzeug|Der Zahnarzt benutzt einen leisen Bohrer.|The dentist uses a quiet drill.|Стоматолог использует тихую бормашину.|Der Zahnarzt benutzt ein leises Bohrwerkzeug.|der elektrische Bohrer; den Bohrer ansetzen; ein stumpfer Bohrer|'Der Bohrer' can refer to both the drill bit itself (the metal part inserted into a tool) and sometimes the drill machine, particularly in dentist contexts.
bohren|Bohrfutter|C2|133038|drill chuck|сверлильный патрон|Spannfutter; Werkzeugaufnahme|Du musst das Bohrfutter fest anziehen, damit der Bohrer nicht rutscht.|You need to tighten the drill chuck firmly so that the drill bit does not slip.|Нужно плотно затянуть сверлильный патрон, чтобы сверло не скользило.|Du musst das Spannfutter fest anziehen, damit der Bohrer nicht rutscht.|das Bohrfutter öffnen; das Bohrfutter schließen; ein schlüsselloses Bohrfutter|'Das Bohrfutter' is a technical term referring to the specialized clamp (chuck) on a drill that holds the drill bit. It is usually found in DIY and construction contexts.
bohren|Bohrgerät|C2|73346|drilling rig; drilling equipment; drill|буровая установка; бурильный прибор|Bohrmaschine; Bohrvorrichtung|Das schwere Bohrgerät wird für das Fundament benötigt.|The heavy drilling equipment is needed for the foundation.|Тяжелая буровая установка необходима для фундамента.|Die schwere Bohrvorrichtung wird für das Fundament benötigt.|ein mobiles Bohrgerät; das Bohrgerät aufstellen; Bohrgerät für Brunnenbau|'Das Bohrgerät' refers to professional, industrial, or heavy-duty drilling machinery, larger than a hand-held drill, often used in construction or geology.
bohren|Bohrhammer|C2|69905|rotary hammer; hammer drill|перфоратор|Schlagbohrmaschine; Schlagbohrer|Um Beton zu durchdringen, eignet sich ein Bohrhammer am besten.|To penetrate concrete, a rotary hammer is best suited.|Для сверления бетона лучше всего подходит перфоратор.|Um Beton zu durchdringen, eignet sich eine Schlagbohrmaschine am besten.|mit dem Bohrhammer arbeiten; ein kraftvoller Bohrhammer; Beton mit dem Bohrhammer bohren|'Der Bohrhammer' combines rotation with a hammering action (usually pneumatic) to drill into extremely hard materials like concrete or stone. It is more powerful than a standard 'Schlagbohrmaschine'.
bohren|Bohrinsel|C2|48165|oil rig; offshore drilling platform|буровая платформа; нефтяная вышка в море|Ölplattform; Bohrplattform|Die Arbeiter leben wochenlang auf der Bohrinsel im Meer.|The workers live for weeks on the drilling platform in the ocean.|Рабочие неделями живут на буровой платформе в море.|Die Arbeiter leben wochenlang auf der Ölplattform im Meer.|auf einer Bohrinsel arbeiten; eine Bohrinsel im Nordmeer; die Bohrinsel evakuieren|'Die Bohrinsel' is an offshore platform used for drilling oil or gas. It is a compound of 'bohren' and 'Insel' (island).
bohren|Bohrkäfer|C2|224845|wood-boring beetle; powderpost beetle|жук-точильщик; сверлильщик|Nagekäfer; Holzwurm; Klopfkäfer|Der Bohrkäfer hat die alten Holzmöbel beschädigt.|The wood-boring beetle has damaged the old wooden furniture.|Точильщик повредил старую деревянную мебель.|Der Holzwurm hat die alten Holzmöbel beschädigt.|Befall durch Bohrkäfer; Larven des Bohrkäfers; Bohrkäfer im Holz|'Der Bohrkäfer' refers to insects whose larvae bore into wood, causing structural damage. Often colloquially conflated with 'Holzwurm'.
bohren|Bohrkern|C2|66546|drill core; core sample|керн; буровой керн|Kernprobe; Bohrprobe|Geologen untersuchen den Bohrkern, um das Gesteinsalter zu bestimmen.|Geologists examine the drill core to determine the age of the rock.|Геологи исследуют керн, чтобы определить возраст породы.|Geologen untersuchen die Bohrprobe, um das Gesteinsalter zu bestimmen.|einen Bohrkern entnehmen; Analyse des Bohrkerns; ein tiefer Bohrkern|'Der Bohrkern' is a cylindrical sample of rock, ice, or concrete obtained by core drilling. It is primarily used in geology, construction, and climate research.
bohren|Bohrloch|C1|22066|borehole; drill hole|буровая скважина; отверстие|Bohrung; Loch|Staub muss vor dem Dübeln aus dem Bohrloch entfernt werden.|Dust must be removed from the borehole before inserting wall plugs.|Пыль необходимо удалить из отверстия перед установкой дюбеля.|Staub muss vor dem Dübeln aus dem Loch entfernt werden.|ein tiefes Bohrloch; ein Bohrloch reinigen; Bohrloch für Öl|'Das Bohrloch' refers to any hole made by drilling, ranging from small DIY holes in wall masonry to massive deep wells in mining or oil exploration.
bohren|Bohrmaschine|C2|29988|drilling machine; power drill|дрель; сверлильный станок|Bohrer; Handbohrmaschine|Kannst du mir deine Bohrmaschine leihen?|Can you lend me your power drill?|Можешь одолжить мне свою дрель?|Kannst du mir deinen Bohrer leihen?|eine elektrische Bohrmaschine; die Bohrmaschine einschalten; eine Schlagbohrmaschine kaufen|'Die Bohrmaschine' is the formal and precise word for a power drill. In everyday speech, people often just say 'der Bohrer' as a shorthand.
