word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
schleichen|schleichen|B2|8160|to sneak; to creep; to crawl|красться; подкрадываться; ползти|leise gehen; pirschen; huschen|Die Katze schleicht leise durch den Garten.|The cat sneaks quietly through the garden.|Кошка тихо крадется по саду.|Die Katze geht leise durch den Garten.|auf Zehenspitzen schleichen; leise schleichen; durch das Haus schleichen|A strong verb (schleicht, schlich, ist geschlichen). It refers to moving very quietly and slowly to avoid detection. Typically conjugated with 'sein' as an auxiliary verb of movement.
schleichen|anschleichen|C2|73282|to sneak up; to creep up|подкрадываться; подойти незаметно|sich heranschleichen; sich annähern; herannahen|Er schlich sich von hinten an das Reh an.|He sneaked up on the deer from behind.|Он подкрался к оленю сзади.|Er näherte sich leise von hinten dem Reh.|sich leise anschleichen; sich von hinten anschleichen; sich an jemanden anschleichen|Mainly used as a reflexive verb: 'sich anschleichen'. It is paired with the preposition 'an' followed by the accusative case to indicate the target.
schleichen|dahinschleichen|C2|168375|to drag on; to creep along (of time)|медленно тянуться; уплывать (о времени)|vergehen; dahinfließen; sich hinziehen|Die Stunden schleichen im Wartezimmer dahin.|The hours drag on in the waiting room.|Часы в приемной тянутся невероятно медленно.|Die Stunden vergehen im Wartezimmer sehr langsam.|die Zeit schleicht dahin; die Tage schleichen dahin; träge dahinschleichen|Primarily used metaphorically in reference to time passing very slowly or tedious periods dragging on.
schleichen|davonschleichen|C2|103961|to sneak away; to slip away|улизнуть; незаметно уйти|sich wegstehlen; sich verdrücken; heimlich gehen|Sie schlich sich heimlich aus der langweiligen Party davon.|She secretly sneaked away from the boring party.|Она тайком улизнула с нудной вечеринки.|Sie stahl sich heimlich aus der langweiligen Party weg.|sich heimlich davonschleichen; sich leise davonschleichen; unbemerkt davonschleichen|A reflexive verb ('sich davonschleichen'). It implies leaving a place quietly and unnoticed, often out of embarrassment, guilt, or boredom.
schleichen|durchschleichen|C2|168487|to sneak through; to slip through|прокрасться сквозь; проскользнуть|sich durchwinden; durchschlüpfen; sich durchzwängen|Er schlich sich unbemerkt durch die Absperrung durch.|He sneaked unnoticed through the barrier.|Он незаметно прокрался сквозь заграждение.|Er schlüpfte unbemerkt durch die Absperrung.|sich unbemerkt durchschleichen; durch die feindlichen Linien durchschleichen; durch das Tor durchschleichen|Can be used as a reflexive verb ('sich durchschleichen') or intransitively. It means passing through a barrier, border, or crowd without being noticed.
schleichen|einherschleichen|C2|222446|to creep along; to wander slowly and sadly|плестись; уныло бродить|dahinschleichen; einhergehen; langsam gehen|Er sah den alten Mann traurig die Straße einherschleichen.|He saw the old man creeping sadly down the street.|Он видел, как старик уныло плёлся по улице.|Er sah den alten Mann traurig die Straße entlanggehen.|traurig einherschleichen; müde einherschleichen; gedankenvoll einherschleichen|A formal and literary verb. It depicts someone walking slowly and quietly, often showing signs of fatigue, sorrow, or deep contemplation.
schleichen|emporschleichen|C2|228288|to creep up; to sneak upwards|незаметно подниматься; прокрадываться вверх|hinaufschleichen; hochschleichen; nach oben steigen|Die Katze schlich die Treppe empor.|The cat sneaked up the stairs.|Кошка тихонько поднялась вверх по лестнице.|Die Katze schlich die Treppe hinauf.|die Treppe emporschleichen; den Hang emporschleichen; leise emporschleichen|Elevated or literary register. Describes sneaking upwards. Can be used intransitively (with 'sein') or reflexively ('sich emporschleichen').
schleichen|fortschleichen|C2|180766|to sneak away; to steal away|тихо уйти; незаметно удалиться|sich davonschleichen; sich wegschleichen; heimlich weggehen|Als niemand hinsah, schlich er sich fort.|When nobody was looking, he sneaked away.|Когда никто не смотрел, он тихонько ушел.|Als niemand hinsah, stahl er sich davon.|sich heimlich fortschleichen; sich unbemerkt fortschleichen; sich leise fortschleichen|Reflexive verb ('sich fortschleichen'). Similar to 'davonschleichen' and 'wegschleichen', denoting a stealthy departure to avoid attention.
schleichen|heranschleichen|C2|94178|to sneak up; to creep close|подкрадываться; подбираться поближе|sich anschleichen; sich herantasten; herankommen|Die Katze schlich sich leise an den Vogel heran.|The cat sneaked up quietly to the bird.|Кошка тихо подобралась к птице.|Die Katze näherte sich leise dem Vogel.|sich an das Opfer heranschleichen; sich leise heranschleichen; von hinten heranschleichen|Reflexive verb ('sich heranschleichen'). The prefix 'heran-' emphasizes approaching the speaker or a designated target (using 'an' + accusative).
schleichen|herausschleichen|C2|164996|to sneak out; to slip out|тайком выйти; выскользнуть наружу|hinausgehen; sich rausschleichen; entkommen|Wir schlichen uns mitten in der Nacht aus dem Haus heraus.|We sneaked out of the house in the middle of the night.|Мы тайком вышли из дома посреди ночи.|Wir stahlen uns mitten in der Nacht aus dem Haus.|sich aus dem Zimmer herausschleichen; sich unbemerkt herausschleichen; mitten in der Nacht herausschleichen|Reflexive verb ('sich herausschleichen'). Indicates escaping or exiting an enclosed space towards the perspective of the speaker (often shortened to 'rausschleichen' in speech).
schleichen|hereinschleichen|C2|163582|to sneak in; to creep in|прокрасться внутрь; тайком войти|hineinschleichen; reinschleichen; eindringen|Ein kleiner Hund schlich sich durch die offene Tür herein.|A small dog sneaked in through the open door.|Маленькая собака прокралась внутрь через открытую дверь.|Ein kleiner Hund schlich sich durch die open Tür hinein.|sich heimlich hereinschleichen; durch das Fenster hereinschleichen; unbemerkt hereinschleichen|Reflexive verb ('sich hereinschleichen'). Focuses on sneaking into a space where the speaker already is located.
schleichen|herschleichen|C2|165683|to sneak over here; to crawl over here|тащиться сюда; плестись сюда|herkommen; herbeischleichen; herantreten|Warum schleichst du so müde zu uns her?|Why are you crawling over here to us so tiredly?|Почему ты так устало плетешься к нам?|Warum kommst du so langsam zu uns herüber?|langsam herschleichen; müde herschleichen; leise herschleichen|Combines 'her-' (towards the speaker) and 'schleichen'. Less common, mostly expressing weary or stealthy movement towards the speaker's location.
schleichen|herüberschleichen|C2|224607|to sneak over; to creep across|перебраться тайком; подкрасться с той стороны|rüberschleichen; rüberkommen; herüberwechseln|Er schlich sich über die Straße zu uns herüber.|He sneaked across the street over to us.|Он тайком перебрался через улицу к нам.|Er kam leise über die Straße zu uns herüber.|sich heimlich herüberschleichen; über die Grenze herüberschleichen; leise herüberschleichen|Reflexive verb ('sich herüberschleichen'). It indicates crossing a boundary, room, or street towards the speaker's side.
schleichen|herumschleichen|C2|80537|to sneak around; to prowl|бродить вокруг; красться вокруг; слоняться|umherschleichen; herumlungern; schleichen|Ein Unbekannter schlich um das Haus herum.|A stranger was sneaking around the house.|Какой-то незнакомец бродил вокруг дома.|Ein Unbekannter strich um das Haus herum.|um das Haus herumschleichen; nachts herumschleichen; verdächtig herumschleichen|Can be used with 'um' + accusative or as a standalone verb. Often implies suspicious behavior or searching for something clandestinely.
schleichen|herunterschleichen|C2|209310|to sneak down; to creep down|тихо спуститься; прокрасться вниз|hinunterschleichen; runterschleichen; hinabgehen|Das Kind schlich sich leise die Treppe zu uns herunter.|The child sneaked quietly down the stairs to us.|Ребенок тихо спустился по лестнице к нам.|Das Kind kam leise die Treppe zu uns hinunter.|die Treppe herunterschleichen; leise herunterschleichen; mitten in der Nacht herunterschleichen|Reflexive verb ('sich herunterschleichen'). Implies creeping downwards towards the perspective of the speaker.
schleichen|hinaufschleichen|C2|190470|to sneak up; to creep upstairs|тихо подняться; прокрасться наверх|emporschleichen; hochschleichen; nach oben steigen|Sie schlich sich heimlich die Kellertreppe hinauf.|She secretly sneaked up the basement stairs.|Она тайком поднялась по лестнице из подвала.|Sie ging leise die Kellertreppe nach oben.|die Treppe hinaufschleichen; heimlich hinaufschleichen; ins Obergeschoss hinaufschleichen|Reflexive verb ('sich hinaufschleichen'). Denotes sneaking upstairs or upwards, moving away from the speaker.
schleichen|hinausschleichen|C2|173119|to sneak out; to slip out|незаметно выйти; выскользнуть наружу|herausschleichen; rausschleichen; hinausgehen|Er schlich sich unbemerkt aus dem Sitzungssaal hinaus.|He sneaked out of the meeting room unnoticed.|Он незаметно выскользнул из зала заседаний.|Er verließ unbemerkt den Sitzungssaal.|sich unbemerkt hinausschleichen; aus dem Haus hinausschleichen; heimlich hinausschleichen|Reflexive verb ('sich hinausschleichen'). Signifies leaving a building or room quietly, moving away from where the speaker is located.
schleichen|hineinschleichen|C2|136324|to sneak in; to creep into|прокрасться внутрь; тайком проникнуть|hereinschleichen; reinschleichen; eindringen|Der Dieb schlich sich heimlich in das Gebäude hinein.|The thief secretly sneaked into the building.|Вор тайком прокрался внутрь здания.|Der Dieb drang heimlich in das Gebäude ein.|sich in das Haus hineinschleichen; sich unbemerkt hineinschleichen; Fehler schleichen sich hinein|Mainly reflexive ('sich hineinschleichen'). Used physically for unauthorized entry, or figuratively, e.g., 'Fehler schleichen sich in ein Dokument hinein' (errors creep in).
schleichen|hinschleichen|C2|176891|to sneak over; to drag on (of time)|прокрасться туда; тянуться (о времени)|hingehen; sich hinziehen; dahinschleichen|Wir mussten uns vorsichtig zu der Ruine hinschleichen.|We had to sneak carefully over to the ruin.|Нам пришлось осторожно прокрадываться к руинам.|Wir mussten uns vorsichtig der Ruine nähern.|sich leise hinschleichen; zu einem Ort hinschleichen; die Zeit schleicht hin|Reflexive verb ('sich hinschleichen'). Focuses on sneaking towards a distant destination away from the speaker. Can also refer metaphorically to time passing slowly.
schleichen|hinüberschleichen|C2|219627|to sneak over; to creep across|прокрасться на ту сторону; незаметно перебраться|rüberschleichen; hinüberwechseln; hinübergehen|Sie schlich sich heimlich in das Nachbarhaus hinüber.|She secretly sneaked over to the neighbor's house.|Она тайком прокралась в соседний дом.|Sie ging heimlich in das Nachbarhaus hinüber.|sich unbemerkt hinüberschleichen; zum Nachbarn hinüberschleichen; über die Brücke hinüberschleichen|Reflexive verb ('sich hinüberschleichen'). Implies crossing a street, yard, or border stealthily, moving away from the speaker's side.
schleichen|hinunterschleichen|C2|208414|to sneak down; to creep downwards|тихо спуститься; прокрасться вниз|herunterschleichen; runterschleichen; hinabsteigen|Nachts schlich er sich heimlich die Treppe hinunter.|At night he secretly sneaked down the stairs.|Ночью он тайком спустился по лестнице.|Nachts ging er leise die Treppe hinab.|die Treppe hinunterschleichen; im Dunkeln hinunterschleichen; leise hinunterschleichen|Reflexive verb ('sich hinunterschleichen'). Used when creeping downstairs, away from the point of origin or narrator.
schleichen|hochschleichen|C2|189907|to sneak up; to creep upstairs|крадучись подниматься наверх|hinaufschleichen; emporschleichen; raufgehen|Die Kinder schlichen sich nach dem Schlafengehen wieder hoch.|The children sneaked back upstairs after bedtime.|Дети тайком снова поднялись наверх после того, как их уложили спать.|Die Kinder gingen leise nach dem Schlafengehen wieder nach oben.|sich die Treppe hochschleichen; heimlich hochschleichen; leise hochschleichen|A colloquial alternative to 'hinaufschleichen' or 'emporschleichen', commonly used in everyday spoken German.
schleichen|nachschleichen|C2|156768|to sneak after someone; to shadow; to stalk|красться следом; преследовать тайком|hinterhergehen; folgen; beschatten|Er schlich dem Verdächtigen unbemerkt nach.|He sneaked after the suspect unnoticed.|Он незаметно крался за подозреваемым.|Er folgte dem Verdächtigen unbemerkt auf leisen Sohlen.|jemandem nachschleichen; heimlich nachschleichen; auf Zehenspitzen nachschleichen|Requires the dative case (jemandem nachschleichen). It means to follow someone very closely and quietly, often to observe or stalk them.
schleichen|rumschleichen|C2|126000|to sneak around; to prowl|ошиваться; бродить вокруг; шнырять|herumschleichen; umherschleichen; herumlungern|Du sollst hier nicht so verdächtig rumschleichen!|You shouldn't sneak around here so suspiciously!|Тебе не стоит здесь так подозрительно ошиваться!|Du sollst hier nicht so verdächtig herumschleichen!|nachts rumschleichen; unbemerkt rumschleichen; um das Haus rumschleichen|Colloquial shortening of 'herumschleichen'. It is used primarily in spoken German and has an informal, sometimes accusatory tone.
schleichen|umherschleichen|C2|150877|to sneak around; to wander around stealthily|бродить вокруг; красться повсюду|herumschleichen; herumstreunen; umhergehen|Nachts hörte ich jemanden im Flur umherschleichen.|At night I heard someone creeping around in the hallway.|Ночью я слышал, как кто-то бродил по коридору.|Nachts hörte ich jemanden im Flur herumschleichen.|im Dunkeln umherschleichen; ziellos umherschleichen; unruhig umherschleichen|Similar to 'herumschleichen' but emphasizes directionless or aimless stealthy wandering throughout an area. Slightly more literary.
schleichen|umschleichen|C2|114488|to creep around; to prowl around something|обходить стороной; красться вокруг|belagern; umgehen; umkreisen|Der Fuchs umschlich den Hühnerstall.|The fox prowled around the chicken coop.|Лиса кралась вокруг курятника.|Der Fuchs schlich um den Hühnerstall herum.|den Hühnerstall umschleichen; das Lager umschleichen; lautlos umschleichen|An inseparable, transitive verb taking a direct accusative object (e.g., 'etwas umschleichen'). Sounds formal or poetic compared to 'herumschleichen um'.
schleichen|vorbeischleichen|C2|109990|to sneak past; to slip by|прокрасться мимо|vorübergehen; vorbeigehen; passieren|Wir konnten uns an den Wachen vorbeischleichen.|We were able to sneak past the guards.|Мы смогли прокрасться мимо охранников.|Wir konnten uns an den Wachen vorbeistehlen.|sich an den Wachen vorbeischleichen; leise vorbeischleichen; unbemerkt vorbeischleichen|Reflexive verb ('sich vorbeischleichen'). It is used with 'an' + dative to express sneaking past a guard, checkpoint, or hurdle undetected.
schleichen|vorüberschleichen|C2|213435|to sneak past; to slip by; to glide past|прокрасться мимо; тихо пройти мимо|vorbeischleichen; vorübergehen; vorbeigleiten|Die Schatten schlichen leise an uns vorüber.|The shadows glided silently past us.|Тени безмолвно скользили мимо нас.|Die Schatten gingen leise an uns vorbei.|an jemandem vorüberschleichen; die Jahre schleichen vorüber; lautlos vorüberschleichen|A literary and poetic verb, often used intransitively with 'an' + dative. Can describe physical figures or abstract concepts like time passing silently.
