word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
springen|springen|B1|95347|to jump, leap|прыгать, скакать|hüpfen; satzen; springen|Die Kinder springen vor Freude in die Luft.|The children jump into the air with joy.|Дети прыгают в воздух от радости.|Die Kinder hüpfen vor Freude in die Luft.|hoch springen; ins Wasser springen; vor Freude springen; über einen Graben springen|Standard German verb for jumping. It is used with 'sein' in the perfect tense when indicating direction/movement (e.g., 'ich bin gesprungen'). It can also mean to crack or burst under stress.
springen|herumspringen|C2|72090|to jump around, bound about|прыгать вокруг, резвиться|umherspringen; herumtollen; hüpfen|Die Hunde springen wild im Garten herum.|The dogs are jumping around wildly in the garden.|Собаки дико прыгают по саду.|Die Hunde tollen wild im Garten herum.|wild herumspringen; aufgeregt herumspringen; im Zimmer herumspringen|Separable verb. Describes playful, energetic, or restless jumping around in various directions. Usually has an informal or playful connotation.
springen|hinaufspringen|C2|174030|to jump up, leap up|запрыгивать наверх, прыгать вверх|hochspringen; hinaufhüpfen|Die Katze springt flink die Stufen hinauf.|The cat nimbly jumps up the steps.|Кошка ловко запрыгивает вверх по ступеням.|Die Katze springt flink die Stufen hoch.|die Treppe hinaufspringen; auf den Tisch hinaufspringen|Separable verb. The prefix 'hinauf-' indicates movement upwards and away from the speaker. Contrast this with 'heraufspringen', which implies movement upwards towards the speaker.
springen|hochspringen|C2|75727|to jump high, jump up|подпрыгивать, прыгать вверх|aufspringen; emporspringen|Der Basketballspieler kann sehr hochspringen.|The basketball player can jump very high.|Баскетболист может очень высоко прыгать.|Der Basketballspieler kann sehr weit emporspringen.|hochspringen vor Schreck; hochspringen und den Ball fangen|Separable verb. It focuses purely on vertical height of the jump or starting a sudden jump upwards from a stationary state.
springen|seilspringen|C2|166934|to jump rope, skip rope|прыгать на скакалке|Seil hüpfen; Seilchen springen|In der Pause wollen die Kinder im Schulhof seilspringen.|During the break, the children want to jump rope in the schoolyard.|На перемене дети хотят прыгать на скакалке на школьном дворе.|In der Pause wollen die Kinder im Schulhof Seil hüpfen.|täglich seilspringen; gerne seilspringen|Often written as two words ('Seil springen'). When conjugated in a sentence, it behaves like 'ich springe Seil', placing the noun part at the end.
springen|vorbeispringen|C2|143261|to jump past, drop by quickly|проноситься прыжками мимо, заскочить на минутку|vorbeischauen; kurz vorbeikommen|Ich springe heute Abend kurz bei dir vorbei.|I'll pop by your place quickly this evening.|Я забегу к тебе ненадолго сегодня вечером.|Ich komme heute Abend kurz bei dir vorbei.|kurz vorbeispringen; auf ein Wort vorbeispringen|Separable verb. Although it can literally mean jumping past an object, it is highly common in colloquial German to mean 'dropping by' or 'visiting briefly'.
springen|vorspringen|C2|109950|to jump forward, protrude, jut out|выступать вперед, выдаваться, выпрыгивать вперед|herausragen; hervorstehen; nach vorne springen|Die Felswand springt an dieser Stelle weit vor.|The rock face juts out far at this point.|Скалистая стена сильно выступает вперед в этом месте.|Die Felswand ragt an dieser Stelle weit hervor.|weit vorspringen; ein vorspringendes Dach; aus der Reihe vorspringen|Separable verb. It has both a physical movement meaning (jumping forward) and a common spatial meaning describing architectural or geographical features that protrude.
springen|wegspringen|C2|110591|to jump away, leap aside|отпрыгивать, прыгать в сторону|zur Seite springen; abspringen; entkommen|Das Kaninchen sah den Hund und sprang schnell weg.|The rabbit saw the dog and quickly jumped away.|Кролик увидел собаку и быстро отпрыгнул.|Das Kaninchen sah den Hund und sprang schnell zur Seite.|rechtzeitig wegspringen; zur Seite wegspringen|Separable verb. Frequently used to describe escaping danger or dodging an oncoming object by jumping away.
springen|zurückspringen|C2|76617|to jump back, rebound|отпрыгивать назад, возвращаться назад|zurückweichen; abprallen|Vor Schreck sprang der Mann sofort zurück.|Out of fright, the man immediately jumped back.|От испуга мужчина тут же отпрыгнул назад.|Vor Schreck wich der Mann sofort zurück.|erschrocken zurückspringen; in die Ausgangsposition zurückspringen|Separable verb. Refers to physical jumping backwards or a mechanism resetting/springing back to its original state (e.g., UI elements, spring mechanisms).
springen|zuspringen|C2|127939|to leap at, rush towards|подбегать прыжками, устремляться к|herbeieilen; lossprinten; zulaufen|Der Hund sprang auf den Fremden zu.|The dog lunged at the stranger.|Собака прыгнула на незнакомца.|Der Hund stürzte sich auf den Fremden.|auf jemanden zuspringen; mit großen Sätzen zuspringen|Separable verb. Requires 'auf' + accusative case. It indicates sudden, often aggressive or enthusiastic movement towards a target.
springen|einspringen|C1|12141|to step in, fill in, substitute|подменять, заменять, выручать|aushelfen; vertreten; einwechseln|Kannst du morgen für den kranken Kollegen einspringen?|Can you fill in tomorrow for the sick colleague?|Можешь подменить завтра заболевшего коллегу?|Kannst du morgen den kranken Kollegen vertreten?|für jemanden einspringen; kurzfristig einspringen; als Ersatz einspringen|Separable verb. Commonly used in workplace or team environments. Constructed with 'für' + accusative to designate the person being substituted.
springen|hervorspringen|C2|118140|to jump out, spring forth, leap forward|выпрыгивать, внезапно появляться|hervorschießen; heraustreten; auftauchen|Plötzlich sprang ein Räuber hinter dem Baum hervor.|Suddenly a robber jumped out from behind the tree.|Внезапно из-за дерева выскочил разбойник.|Plötzlich schoss ein Räuber hinter dem Baum hervor.|hinter einer Ecke hervorspringen; plötzlich hervorspringen|Separable verb. Often used to describe a sudden, surprising appearance from a hidden location.
springen|abspringen|C1|21886|to jump off, parachute, pull out (cancel)|спрыгивать, совершать прыжок с парашютом, сорваться (отказаться)|herunterspringen; absagen; zurücktreten|Der Sportler ist mit dem Fallschirm abgesprungen.|The athlete jumped with a parachute.|Спортсмен прыгнул с парашютом.|Der Sportler ist mit dem Fallschirm gesprungen.|mit dem Fallschirm abspringen; im letzten Moment abspringen; vom Vertrag abspringen|Separable verb. Can mean literal jumping down, parachuting, or figuratively pulling out of a deal/contract/project ('vom Vertrag abspringen').
springen|davonspringen|C2|153068|to bound away, escape|убегать прыжками, спасаться бегством|entkommen; weglaufen; entfliehen|Das erschreckte Reh konnte im Wald davonspringen.|The startled deer was able to bound away into the forest.|Испуганный олень смог убежать прыжками в лес.|Das erschreckte Reh konnte im Wald entkommen.|unverletzt davonspringen; schnell davonspringen|Separable verb. Emphasizes escaping or sprinting away by jumping, commonly used in the context of wild animals.
springen|hechten|C2|49032|to dive, plunge (like a pike)|бросаться рыбкой, нырять, совершать бросок|springen; stürzen; hechtspringen|Der Torwart hechtete nach dem Ball, konnte ihn aber nicht erreichen.|The goalkeeper dived for the ball but couldn't reach it.|Вратарь бросился за мячом, но не смог до него дотянуться.|Der Torwart sprang nach dem Ball, konnte ihn aber nicht erreichen.|nach dem Ball hechten; ins Wasser hechten; eine Hechtrolle machen|Weak verb (hechtete, gehechtet). Derived from 'Hecht' (pike fish), indicating a long head-first leap, typical in sports like football (soccer) or volleyball.
springen|herunterspringen|C2|127048|to jump down (towards the speaker)|спрыгивать вниз|hinabspringen; herabspringen|Spring nicht von der hohen Mauer herunter!|Don't jump down from that high wall!|Не спрыгивай с этой высокой стены!|Spring nicht von der hohen Mauer hinab!|von der Mauer herunterspringen; vom Dach herunterspringen|Separable verb. 'herunter-' specifies downward motion towards the speaker. Colloquially, it is often simplified to 'runterspringen'.
springen|hinabspringen|C2|177266|to jump down (away from the speaker)|спрыгивать вниз, бросаться вниз|hinunterspringen; hinabstürzen|Er zögerte kurz, bevor er in die Schlucht hinabsprang.|He hesitated briefly before jumping down into the gorge.|Он немного помедлил, прежде чем спрыгнуть вниз в ущелье.|Er zögerte kurz, bevor er in die Schlucht hinabstürzte.|in die Tiefe hinabspringen; von der Brücke hinabspringen|Separable verb. Elevated register. 'hinab-' specifies downward motion away from the speaker's current location.
springen|hinausspringen|C2|154300|to jump out (away from the speaker)|выпрыгивать вон, выскакивать|herausspringen; hinausstürzen|Die Katze sah ein Vögelchen und wollte aus dem Fenster hinausspringen.|The cat saw a little bird and wanted to jump out of the window.|Кошка увидела птичку и хотела выпрыгнуть из окна.|Die Katze sah ein Vögelchen und wollte aus dem Fenster herausspringen.|aus dem Fenster hinausspringen; ins Freie hinausspringen|Separable verb. The prefix 'hinaus-' indicates moving from inside to outside, away from the observer's location.
springen|köpfen|C1|9900|to head (a ball), decapitate|бить головой (мяч), обезглавливать|den Ball mit dem Kopf spielen; enthaupten|Der Stürmer konnte den Ball ins Tor köpfen.|The striker was able to head the ball into the goal.|Нападающий смог забить мяч головой в ворота.|Der Stürmer konnte den Ball mit dem Kopf ins Tor spielen.|ins Tor köpfen; den Ball ins Aus köpfen; eine Flanke köpfen|Weak verb (köpfte, geköpft). In sports, it means striking the ball with the head. In historical/legal contexts, it means to execute by beheading.
springen|entspringen|C1|10603|to originate, spring from, escape|брать начало, вытекать, совершить побег|stammen; entspringen (Fluss); entfliehen|Der Rhein entspringt in den Schweizer Alpen.|The Rhine originates in the Swiss Alps.|Рейн берет начало в швейцарских Альпах.|Der Rhein nimmt seinen Anfang in den Schweizer Alpen.|einem Fluss entspringen; der Fantasie entspringen; aus dem Gefängnis entspringen|Inseparable verb (entspringt, entsprang, ist entsprungen). Used for water sources originating somewhere, abstract ideas coming from an imagination, or prisoners escaping.
springen|zerspringen|C2|45455|to shatter, burst into pieces|разбиться вдребезги, лопнуть|zerbrechen; zersplittern; platzen|Die Fensterscheibe ist durch den Stein in tausend Teile zerspringen.|The window pane shattered into a thousand pieces from the stone.|Оконное стекло разбилось вдребезги на тысячу осколков из-за камня.|Die Fensterscheibe ist durch den Stein in tausend Teile zersplittert.|in tausend Stücke zerspringen; vor Neid zerspringen; das Glas zerspringt|Inseparable verb. Describes brittle materials shattering under impact or temperature. Used figuratively for bad headaches ('der Kopf zerspringt') or intensive jealousy.
springen|anspringen|C2|23881|to start (of an engine), jump at/upon|заводиться (о моторе), набрасываться на|starten; anspringen (Motor); anfallen|Bei dieser Kälte will das Auto einfach nicht anspringen.|In this cold, the car just won't start.|На таком морозе машина просто не хочет заводиться.|Bei dieser Kälte will das Auto einfach nicht starten.|der Motor springt an; auf eine Idee anspringen; jemanden anspringen|Separable verb. Highly common for mechanical starters/engines. Figuratively used when someone reacts eagerly to a hint or offer ('auf ein Angebot anspringen').
springen|aufspringen|C1|18082|to jump up, spring open|вскакивать, распахиваться|aufstehen; aufplatzen; sich öffnen|Die Tür sprang plötzlich durch den Wind auf.|The door suddenly flew open due to the wind.|Дверь внезапно распахнулась от ветра.|Die Tür öffnete sich plötzlich durch den Wind.|vom Stuhl aufspringen; die Knospen springen auf; das Tor springt auf|Separable verb. Dual meanings: (1) jumping up quickly from a seated position, (2) doors, windows, locks, or buds bursting open suddenly.
springen|auseinanderspritzen|C2|206755|to scatter, splash apart, disperse|брызнуть в разные стороны, разлетаться, разбегаться в рассыпную|auseinanderstieben; herumspritzen; sich zerstreuen|Bei dem Regen spritzte der Schlamm nach allen Seiten auseinander.|During the rain, the mud splashed apart in all directions.|Во время дождя грязь разлеталась брызгами во все стороны.|Bei dem Regen stob der Schlamm nach allen Seiten auseinander.|das Wasser spritzt auseinander; die Funken spritzen auseinander; die Menge spritzt auseinander|Separable verb derived from 'spritzen' (not 'springen'). Refers to liquids or groups of people scattering or splashing in all directions.
springen|beispringen|C2|70503|to rush to someone's aid, assist|прийти на помощь, выручить|beistehen; helfen; assistieren|In der Not sprang er seinem Freund mutig bei.|In times of need, he courageously rushed to his friend's aid.|В беде он мужественно пришел на помощь своему другу.|In der Not stand er seinem Freund mutig bei.|jemandem in der Not beispringen; helfend beispringen|Separable verb. Requires the dative case (jemandem beispringen). Elevated or literary tone, conveying quick, sudden assistance in an emergency.
springen|bespringen|C2|112636|to mount, cover (of male animals mating)|покрывать (о животных), прыгать сверху|decken; begatten; aufreiten|Der Zuchthengst sollte die Stute bespringen.|The breeding stallion was supposed to mount the mare.|Жеребец-производитель должен был покрыть кобылу.|Der Zuchthengst sollte die Stute decken.|weibliche Tiere bespringen; den Hund bespringen|Inseparable verb. A biological or breeding term specifically used for male animals mounting females to mate.
springen|heraufspringen|C2|221336|to jump up (towards the speaker)|запрыгивать наверх|heraufhüpfen; hochspringen|Komm herauf! Die Katze kann auch heraufspringen.|Come up! The cat can jump up here too.|Поднимайся! Кошка тоже может запрыгнуть сюда наверх.|Komm herauf! Die Katze kann auch hochspringen.|auf das Sofa heraufspringen; die Stufen heraufspringen|Separable verb. The prefix 'herauf-' indicates jumping upwards toward the speaker who is already at a higher location.
