word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
kochen|kochen|A1|2754|to cook, to boil|варить, готовить, кипеть|garen; zubereiten; sieden|Ich koche heute Abend eine leckere Suppe.|I am cooking a delicious soup tonight.|Я сегодня вечером сварю вкусный суп.|Ich bereite heute Abend eine leckere Suppe zu.|Suppe kochen; Kaffee kochen; weich kochen; vor Wut kochen|Primarily means to cook food or boil water. In culinary contexts, it contrasts with 'braten' (to fry/roast) and 'backen' (to bake). It can also be used figuratively to describe boiling with anger (vor Wut kochen).
kochen|abkochen|C2|51528|to boil, to sterilize by boiling|кипятить, стерилизовать кипячением, отваривать|sterilisieren; abbrühen; auskochen|Man sollte das Leitungswasser vor dem Trinken abkochen.|One should boil tap water before drinking it.|Водопроводную воду перед питьем следует прокипятить.|Man sollte das Leitungswasser vor dem Trinken sterilisieren.|Wasser abkochen; Milch abkochen; Instrumente abkochen|Typically refers to boiling liquids like water or milk to kill pathogens (sterilization), or briefly parboiling ingredients to clean them.
kochen|ankochen|C2|150081|to parboil, to bring to a boil briefly|слегка отварить, довести до начала кипения|anbrühen; kurz aufkochen|Das Gemüse nur kurz ankochen, damit es knackig bleibt.|Just parboil the vegetables briefly so they stay crunchy.|Слегка отварите овощи, чтобы они остались хрустящими.|Das Gemüse nur kurz anbrühen, damit es knackig bleibt.|Gemüse ankochen; Fleisch kurz ankochen|A specific culinary term meaning to start the boiling process or cook briefly before further preparation. Less common in everyday language.
kochen|aufkochen|C1|17737|to bring to a boil, to flare up|доводить до кипения, закипать, вспыхнуть|zum Kochen bringen; sieden lassen; aufwallen|Lassen Sie die Sauce einmal kurz aufkochen.|Let the sauce come to a brief boil.|Доведите соус один раз до быстрого кипения.|Bringen Sie die Sauce einmal kurz zum Kochen.|kurz aufkochen lassen; Wasser aufkochen; Gefühle kochen auf|Very common in recipes to indicate bringing a liquid to a rolling boil. Figuratively, it refers to emotions or disputes flaring up ('die Stimmung kocht auf').
kochen|auskochen|C2|101408|to boil out, to sterilize, to hatch (a plan)|вываривать, стерилизовать кипятком, замышлять|sterilisieren; reinigen; ausbrühen; austüfteln|Wir müssen die Babyflaschen gründlich auskochen.|We need to thoroughly sterilize the baby bottles by boiling.|Нам нужно тщательно простерилизовать детские бутылочки в кипятке.|Wir müssen die Babyflaschen gründlich sterilisieren.|Flaschen auskochen; Wäsche auskochen; einen Plan auskochen|Literally means to clean or sterilize thoroughly via boiling water (e.g., medical instruments, baby bottles). Colloquially, 'etwas auskochen' means to scheme or hatch a clever plan.
kochen|bekochen|C2|37276|to cook for someone, to cater to|готовить для кого-то, обхаживать|bewirten; beköstigen; Essen zubereiten für|Er liebt es, seine Gäste am Wochenende zu bekochen.|He loves to cook for his guests on the weekend.|Он любит готовить для своих гостей по выходным.|Er liebt es, seine Gäste am Wochenende zu bewirten.|Gäste bekochen; jemanden fürstlich bekochen; sich bekochen lassen|A transitive verb that requires an accusative object (the person or group being cooked for). It implies cooking a complete meal to host or pamper someone.
kochen|durchkochen|C2|112433|to cook thoroughly|хорошо проваривать, полностью сварить|gar kochen; fertig garen|Geflügelfleisch muss man immer gut durchkochen.|Poultry meat must always be cooked thoroughly.|Мясо птицы всегда нужно хорошо проваривать.|Geflügelfleisch muss man immer gut gar kochen.|Fleisch gut durchkochen; Gemüse gründlich durchkochen|Used mostly in safety or hygiene contexts to emphasize that food must be cooked completely through to kill pathogens.
kochen|einkochen|C2|31459|to preserve by boiling, to boil down, to reduce|консервировать варкой, уваривать, делать заготовки|einwecken; einmachen; reduzieren|Meine Oma pflegte im Spätsommer Pflaumen einzukochen.|My grandmother used to preserve plums in late summer.|Моя бабушка обычно консервировала сливы в конце лета.|Meine Oma pflegte im Spätsommer Pflaumen einzuwecken.|Marmelade einkochen; Obst einkochen; eine Sauce einkochen lassen|Two main uses: 1) canning/preserving fruits and vegetables in jars (synonymous with 'einwecken' or 'einmachen'); 2) simmering a liquid or sauce to reduce and thicken it ('reduzieren').
kochen|hochkochen|C2|44265|to boil up, to flare up, to escalate|закипать, разгораться (о споре, эмоциях)|aufwallen; eskalieren; hochkochen lassen|Die Emotionen kochten während der Debatte hoch.|Emotions flared up during the debate.|Эмоции разгорелись во время дебатов.|Die Emotionen wallten während der Debatte auf.|Emotionen kochen hoch; ein Streit kocht hoch; ein Thema kocht hoch|While it can mean to physically boil up, it is predominantly used figuratively in the media and daily language for arguments, scandals, or emotions rising rapidly.
kochen|köcheln|C1|17565|to simmer, to bubble gently|варить на медленном огне, томиться|leise kochen; simmern; sieden|Lass die Suppe bei schwacher Hitze eine Stunde köcheln.|Let the soup simmer on low heat for an hour.|Дайте супу покипеть на слабом огне в течение часа.|Lass die Suppe bei schwacher Hitze eine Stunde leise kochen.|vor sich hin köcheln; bei schwacher Hitze köcheln|Describes cooking food just below the boiling point with minor bubble formation. Often found in the idiomatic 'vor sich hin köcheln' (simmering away quietly).
kochen|mitkochen|C2|68556|to cook along with, to boil together|варить вместе с чем-то, готовить за компанию|mitgaren; mitzubereiten|Du kannst die Gewürze einfach in der Suppe mitkochen.|You can simply cook the spices along in the soup.|Вы можете просто сварить специи вместе с супом.|Du kannst die Gewürze einfach in der Suppe mitgaren.|Gewürze mitkochen; Gemüse mitkochen; für jemanden mitkochen|Used either for cooking ingredients together in the same pot or cooking extra portions for another person ('Ich koche für dich mit' - I will cook enough for you too).
kochen|überkochen|C2|78042|to boil over, to spill over|убегать (при кипении), переливаться через край|überlaufen; übersieden|Pass auf, sonst wird die Milch gleich überkochen!|Watch out, otherwise the milk is going to boil over!|Осторожно, а то молоко сейчас убежит!|Pass auf, sonst wird die Milch gleich überlaufen!|die Milch kocht über; das Nudelwasser kocht über; vor Emotionen überkochen|Refers to hot liquids expanding and spilling out of a pot. Can also be applied to people overflowing with feelings or excitement.
kochen|verkochen|C2|57580|to boil away, to reduce, to overcook|выкипать, увариваться, переваривать|einkochen; zerkochen; verdampfen|Der Wein muss in der Sauce fast vollständig verkochen.|The wine must boil away almost completely in the sauce.|Вино в соусе должно почти полностью выкипеть.|Der Wein muss in der Sauce fast vollständig verdampfen.|Flüssigkeit verkochen lassen; Wein verkochen; Gemüse verkochen|Intransitive/transitive. It means either: 1) to evaporate/reduce liquid intentionally; or 2) to overcook food (like pasta or vegetables) until it loses its structure.
