word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
zeichnen|zeichnen|A2|14840|to draw; to sign|рисовать; подписывать|malen; skizzieren; unterschreiben|Sie kann sehr gut Gesichter zeichnen.|She can draw faces very well.|Она очень хорошо умеет рисовать лица.|Sie kann sehr gut Gesichter skizzieren.|mit Bleistift zeichnen; ein Portrait zeichnen; Verträge zeichnen|zeichnen usually means to draw (with lines, pencil, pen, etc.), whereas malen implies painting with brushes and color. Historically, it can also mean to sign (e.g., einen Vertrag zeichnen), though unterzeichnen is more common today.
zeichnen|feingezeichnet|C2|175508|delicately drawn; finely detailed|тонко прорисованный; изящный|filigran; detailliert; fein skizziert|Das Porträt besticht durch feingezeichnete Linien.|The portrait impresses with delicately drawn lines.|Портрет подкупает тонкими, детально прорисованными линиями.|Das Porträt besticht durch filigrane Linien.|feingezeichnete Gesichtszüge; feingezeichnete Details|An adjective/adverbial participle used in art and literature to describe highly detailed, delicate, or fine-drawn features, structures, or character traits.
zeichnen|Freihandzeichnen|C2|136937|freehand drawing|рисование от руки; рисование от свободной руки|Freihandskizzieren|Im Studium lernten wir zuerst das Freihandzeichnen.|During our studies, we first learned freehand drawing.|Во время учебы мы сначала изучали рисование от руки.|Im Studium lernten wir zuerst das Freihandskizzieren.|Kurs für Freihandzeichnen; Freihandzeichnen üben|A compound noun denoting the act of drawing without technical aids like rulers or compasses. Primarily used in art, architecture, and engineering curricula.
zeichnen|Zeichenatelier|C2|184512|drawing studio; artist's studio|художественная мастерская; студия рисования|Zeichenstudio; Malatelier; Künstlerwerkstatt|Der Künstler verbringt jeden Tag in seinem Zeichenatelier.|The artist spends every day in his drawing studio.|Художник каждый день проводит в своей художественной мастерской.|Der Künstler verbringt jeden Tag in seinem Zeichenstudio.|im Zeichenatelier arbeiten; ein helles Zeichenatelier|A compound noun combining Zeichen (drawing) and Atelier (studio, atelier). It denotes a specialized workspace for graphic artists or draftsmen.
zeichnen|Zeichenblatt|C2|133698|drawing sheet; sheet of drawing paper|лист для рисования; чертежный лист|Zeichenpapier; Malblatt|Er legte ein leeres Zeichenblatt auf den Tisch.|He laid a blank drawing sheet on the table.|Он положил на стол чистый лист для рисования.|Er legte ein leeres Zeichenpapier auf den Tisch.|ein weißes Zeichenblatt; Zeichenblatt im DIN-A4-Format|Refers to a single piece of thick, high-quality paper designed specifically for sketching, drawing, or design work.
zeichnen|Zeichenblock|C2|75527|drawing pad; sketchbook|альбом для рисования; блокнот для набросков|Skizzenblock; Malblock|Für die Schule benötigt das Kind einen neuen Zeichenblock.|The child needs a new drawing pad for school.|Ребенку в школу нужен новый альбом для рисования.|Für die Schule benötigt das Kind einen neuen Skizzenblock.|einen Zeichenblock kaufen; Zeichenblock DIN A3|A bound pad of drawing paper. It is a very common standard school supply in Germany, usually sold in sizes A4 or A3.
zeichnen|Zeichenbrett|C2|94836|drawing board; drafting board|чертежная доска; кульман|Reißbrett|Der Architekt entwirft seine Pläne noch am Zeichenbrett.|The architect still designs his plans at the drawing board.|Архитектор до сих пор проектирует свои планы за чертежной доской.|Der Architekt entwirft seine Pläne noch am Reißbrett.|am Zeichenbrett stehen; Entwürfe auf dem Zeichenbrett|Historically a physical board used by architects and draftsmen. Often used metaphorically in German, similar to the English phrase 'back to the drawing board' (zurück ans Zeichenbrett/Reißbrett).
zeichnen|Zeichendreieck|C2|197931|set square; drawing triangle|чертежный треугольник; угольник|Geodreieck|Benutze das Zeichendreieck, um einen rechten Winkel zu zeichnen.|Use the set square to draw a right angle.|Используй угольник, чтобы нарисовать прямой угол.|Benutze das Geodreieck, um einen rechten Winkel zu zeichnen.|ein transparentes Zeichendreieck; Lineal und Zeichendreieck|A triangular ruler used in geometry and technical drawing. In modern schools, the synonym Geodreieck (incorporating protractor markings) is much more common.
zeichnen|Zeichenfeder|C2|136160|drawing pen; nib|чертежное перо; перо для рисования|Reißfeder; Zeichenstift|Mit einer feinen Zeichenfeder zog er die Konturen nach.|He traced the outlines with a fine drawing pen.|Он обвел контуры тонким чертежным пером.|Mit einer feinen Reißfeder zog er die Konturen nach.|Federhalter und Zeichenfeder; feine Zeichenfeder|Refers specifically to a metal dip pen nib or drafting pen used with ink for precise illustration, drafting, or calligraphy.
zeichnen|Zeichenfilm|C2|165229|animated film; cartoon|мультипликационный фильм; мультфильм|Zeichentrickfilm; Animationsfilm|Dieser Zeichenfilm wurde komplett von Hand gezeichnet.|This animated film was drawn entirely by hand.|Этот мультфильм был полностью нарисован от руки.|Dieser Zeichentrickfilm wurde komplett von Hand gezeichnet.|ein beliebter Zeichenfilm; Zeichenfilm für Kinder|A slightly older or alternative term for Zeichentrickfilm or Animationsfilm, emphasizing the hand-drawn nature of the production.
zeichnen|Zeichenheft|C2|187728|drawing notebook; sketch booklet|тетрадь для рисования|Skizzenheft; Malbuch|Sie trägt immer ein kleines Zeichenheft in ihrer Tasche.|She always carries a small drawing notebook in her bag.|Она всегда носит в сумке маленькую тетрадь для рисования.|Sie trägt immer ein kleines Skizzenheft in ihrer Tasche.|leeres Zeichenheft; Zeichenheft mit weißem Papier|A small notebook containing unlined, thicker white paper, designed specifically for drawing or drafting on the go.
zeichnen|Zeichenkohle|C2|143377|charcoal; drawing charcoal|уголь для рисования; древесный уголь|Reißkohle; Malerkohle|Die Künstlerin schattierte das Gesicht mit Zeichenkohle.|The artist shaded the face with drawing charcoal.|Художница затенила лицо углем для рисования.|Die Künstlerin schattierte das Gesicht mit Reißkohle.|mit Zeichenkohle zeichnen; ein Stück Zeichenkohle|Natural or compressed charcoal sticks used as drawing tools. Known for producing deep, rich black strokes that are highly smudgeable.
zeichnen|Zeichenkunst|C2|82096|art of drawing; graphic art|искусство рисунка; графика|Zeichenfertigkeit; Grafik|Seine Zeichenkunst erstaunte das gesamte Publikum.|His art of drawing amazed the entire audience.|Его искусство рисунка поразило всю публику.|Seine Zeichenfertigkeit erstaunte das gesamte Publikum.|die akademische Zeichenkunst; Meister der Zeichenkunst|Refers either to the general mastery of drawing skills or to drawing as an independent genre of visual arts (often contrasted with painting).
zeichnen|Zeichenlehrer|C2|92034|drawing teacher; art teacher|учитель рисования; преподаватель черчения|Kunstlehrer; Mallehrer|Unser Zeichenlehrer zeigte uns, wie man Perspektive darstellt.|Our drawing teacher showed us how to depict perspective.|Наш учитель рисования показал нам, как изображать перспективу.|Unser Kunstlehrer zeigte uns, wie man Perspektive darstellt.|der strenge Zeichenlehrer; als Zeichenlehrer arbeiten|A term historically used for art or technical drawing teachers in schools. In modern German schools, Kunstlehrer is the standard term.
zeichnen|Zeichenmaschine|C2|144714|drafting machine; pantograph|чертежный прибор; пантограф|Storchschnabel; Zeichengerät|Früher hatte jeder Ingenieur eine mechanische Zeichenmaschine.|In the past, every engineer had a mechanical drafting machine.|Раньше у каждого инженера был механический чертежный прибор.|Früher hatte jeder Ingenieur ein mechanisches Zeichengerät.|computergestützte Zeichenmaschine; mechanische Zeichenmaschine|A professional drafting tool formerly mounted on drawing boards to maintain parallel lines. It has been almost entirely replaced by CAD software.
zeichnen|Zeichenmaterial|C2|130667|drawing materials; drawing supplies|принадлежности для рисования; художественные материалы|Zeichenutensilien; Malutensilien|Vergessen Sie nicht, Ihr eigenes Zeichenmaterial mitzubringen.|Do not forget to bring your own drawing materials.|Не забудьте взять с собой собственные принадлежности для рисования.|Vergessen Sie nicht, Ihre eigenen Zeichenutensilien mitzubringen.|hochwertiges Zeichenmaterial; Zeichenmaterial einkaufen|A collective term for paper, pencils, charcoals, ink, erasers, and other objects used specifically to create drawings.
zeichnen|Zeichenpapier|C2|111091|drawing paper|бумага для рисования; ватман|Zeichenkarton; Malpapier|Für Aquarellfarben braucht man dickeres Zeichenpapier.|You need thicker drawing paper for watercolors.|Для акварельных красок нужна более плотная бумага для рисования.|Für Aquarellfarben braucht man dickeren Zeichenkarton.|strukturiertes Zeichenpapier; Zeichenpapier auf der Rolle|Paper specially manufactured for artistic or technical drawing, having specific weight, texture, and absorption qualities.
zeichnen|Zeichensaal|C2|106949|drawing room; drafting room; art classroom|класс рисования; чертежный зал; аудитория для рисования|Zeichensalon; Kunstraum; Atelier|Die Architekturstudenten arbeiten bis spät in die Nacht im Zeichensaal.|The architecture students work late into the night in the drafting room.|Студенты-архитекторы работают допоздна в чертежном зале.|Die Architekturstudenten arbeiten bis spät in die Nacht im Kunstraum.|im Zeichensaal sitzen; der große Zeichensaal der Universität|A large classroom or hall equipped with specialized drawing boards or easels, typically found in art schools, academies, or architecture departments.
zeichnen|Zeichenschiefer|C2|256179|drawing slate; black chalk (geology)|рисовальный сланец; черный мел|Schreibschiefer; schwarze Kreide|In der Geologie wird dieses Gestein oft als Zeichenschiefer bezeichnet.|In geology, this rock is often referred to as drawing slate.|В геологии эту породу часто называют рисовальным сланцем.|In der Geologie wird dieses Gestein oft als schwarze Kreide bezeichnet.|Vorkommen von Zeichenschiefer; Zeichenschiefer abbauen|A scientific/geological term for a type of dark carbonaceous slate historically used as a writing or drawing medium. Rarely used in modern daily speech.
zeichnen|Zeichenstift|C2|61064|drawing pencil; stylus|карандаш для рисования; графический карандаш|Bleistift; Malstift|Sie spitzte ihren Zeichenstift vor Arbeitsbeginn sorgfältig an.|She carefully sharpened her drawing pencil before starting work.|Она тщательно заточила свой карандаш перед началом работы.|Sie spitzte ihren Bleistift vor Arbeitsbeginn sorgfältig an.|ein weicher Zeichenstift; digitaler Zeichenstift|Can refer to traditional drawing pencils (graphite, charcoal, colored) or modern digital styluses used with graphic tablets.
zeichnen|Zeichenstunde|C2|152728|drawing lesson; drawing class|урок рисования; урок черчения|Kunstunterricht; Zeichenunterricht|Als Kind freute er sich immer am meisten auf die Zeichenstunde.|As a child, he always looked forward most to the drawing lesson.|В детстве он больше всего радовался уроку рисования.|Als Kind freute er sich immer am meisten auf den Kunstunterricht.|in der Zeichenstunde; eine wöchentliche Zeichenstunde|Refers to a single period of instruction in drawing, mostly used in historical, academic, or private tutoring contexts.
zeichnen|Zeichentalent|C2|121241|talent for drawing; artistic talent|талант к рисованию; художественный талант|Begabung fürs Zeichnen; Zeichentalentiertheit|Schon in jungen Jahren zeigte sich sein großes Zeichentalent.|His great talent for drawing showed at an early age.|Уже в раннем возрасте проявился его большой талант к рисованию.|Schon in jungen Jahren zeigte sich seine große Begabung fürs Zeichnen.|außergewöhnliches Zeichentalent; ein Zeichentalent besitzen|A compound noun denoting natural aptitude or exceptional capability in drawing or sketching.
zeichnen|Zeichentest|C2|210154|drawing test|тест на рисование; графический тест|grafischer Test; Zeichenprüfung|Der Psychologe verwendete einen Zeichentest zur Diagnose.|The psychologist used a drawing test for the diagnosis.|Психолог использовал графический тест для диагностики.|Der Psychologe verwendete eine Zeichenprüfung zur Diagnose.|psychologischer Zeichentest; den Zeichentest auswerten|A psychological, developmental, or clinical test in which a patient is asked to draw certain objects (like a person or a clock) to evaluate cognitive function.
zeichnen|Zeichentisch|C2|96180|drawing table; drafting table|чертежный стол|Reißtisch; Architektentisch|Er verbrachte Stunden am Zeichentisch, um den Entwurf fertigzustellen.|He spent hours at the drafting table to complete the design.|Он провел часы за чертежным столом, чтобы закончить проект.|Er verbrachte Stunden am Reißtisch, um den Entwurf fertigzustellen.|am Zeichentisch arbeiten; verstellbarer Zeichentisch|A specialized desk with an adjustable, sloping top, used primarily by draftsmen, architects, and designers.
zeichnen|Zeichentrickfilm|C2|32995|cartoon; animated cartoon|мультипликационный фильм; мультфильм|Cartoon; Animationsfilm|Walt Disney ist berühmt für seine Zeichentrickfilme.|Walt Disney is famous for his cartoons.|Уолт Дисней знаменит своими мультипликационными фильмами.|Walt Disney ist berühmt für seine Animationsfilme.|Zeichentrickfilm für Kinder; klassischer Zeichentrickfilm|The standard German word for traditional hand-drawn animations. Formed from Zeichen + Trick (trick/technique) + Film.
zeichnen|Zeichentusche|C2|191267|drawing ink; India ink|тушь для рисования; чернила|Zeichentinte; Ausziehtusche|Für Kalligrafie verwendet man oft schwarze Zeichentusche.|Black drawing ink is often used for calligraphy.|Для каллиграфии часто используют черную тушь для рисования.|Für Kalligrafie verwendet man oft schwarze Ausziehtusche.|wasserfeste Zeichentusche; Zeichentusche auf Papier|Highly pigmented liquid ink (frequently carbon-based black) used with steel nibs or technical drawing pens for rich, indelible lines.
zeichnen|Zeichenunterricht|C2|101875|drawing lessons; art class|уроки рисования; уроки черчения|Kunstunterricht; Mallektionen|Der Zeichenunterricht fand im hellen Dachgeschoss statt.|The drawing lesson took place in the bright attic.|Уроки рисования проходили на светлой мансарде.|Der Kunstunterricht fand im hellen Dachgeschoss statt.|am Zeichenunterricht teilnehmen; privater Zeichenunterricht|The institutional subject or curriculum for drawing, commonly found in historical 19th and early 20th-century school reports.
zeichnen|Zeichenvorlage|C2|175436|drawing template; master drawing; stencil|образец для рисования; трафарет; шаблон|Malvorlage; Musterzeichnung; Schablone|Das Kind nutzte eine Zeichenvorlage, um das Pferd zu malen.|The child used a drawing template to paint the horse.|Ребенок использовал шаблон для рисования, чтобы нарисовать лошадь.|Das Kind nutzte eine Malvorlage, um das Pferd zu malen.|eine einfache Zeichenvorlage; Zeichenvorlage ausdrucken|A reference image or stencil that serves as a guide for copying, sketching, or practicing drawing skills.
zeichnen|Zeichenwettbewerb|C2|90608|drawing competition; art contest|конкурс рисунков; конкурс художников|Kunstwettbewerb; Malwettbewerb|Sie hat den ersten Preis beim regionalen Zeichenwettbewerb gewonnen.|She won first prize in the regional drawing competition.|Она выиграла первый приз в региональном конкурсе рисунков.|Sie hat den ersten Preis beim regionalen Malwettbewerb gewonnen.|am Zeichenwettbewerb teilnehmen; internationaler Zeichenwettbewerb|A contest specifically designed for submitting drawings or graphic art, often organized for children, schools, or amateur artists.
zeichnen|Zeichenwinkel|C2|232772|drawing square; T-square|чертежный угольник; рейсшина|Anschlagwinkel; Reißwinkel|Mit dem Zeichenwinkel lassen sich parallele Linien ziehen.|With the T-square, parallel lines can be drawn.|С помощью чертежного угольника можно проводить параллельные линии.|Mit dem Reißwinkel lassen sich parallele Linien ziehen.|hölzerner Zeichenwinkel; Zeichenwinkel benutzen|A physical tool used on a drafting board to guide drawing tools at right angles or parallel offsets.
zeichnen|Zeichner|C1|12306|draftsman; illustrator; drawer; designer|рисовальщик; чертежник; художник-иллюстратор|Illustrator; Grafiker; Kartograf|Der Zeichner skizzierte die Szene in wenigen Sekunden.|The illustrator sketched the scene in a few seconds.|Художник-иллюстратор набросал сцену за несколько секунд.|Der Illustrator skizzierte die Szene in wenigen Sekunden.|technischer Zeichner; freiberuflicher Zeichner; begabter Zeichner|Can refer to an artistic illustrator (comic artist, caricaturist) or a professional draftsman in technical fields ('technischer Zeichner').
zeichnen|Zeichnerin|C2|42802|female draftsman; female illustrator|рисовальщица; чертежница; художница-иллюстратор|Illustratorin; Grafikerin|Sie arbeitet als erfolgreiche Zeichnerin für einen Comicverlag.|She works as a successful illustrator for a comic publisher.|Она работает успешной художницей-иллюстратором в издательстве комиксов.|Sie arbeitet als erfolgreiche Illustratorin für einen Comicverlag.|freie Zeichnerin; Ausbildung zur Zeichnerin|The feminine equivalent of Zeichner. Refers to a female artist or professional draftsman.
zeichnen|zeichnerisch|C2|30149|graphic; illustrative; in terms of drawing|графический; художественный; в плане рисунка|grafisch; gestalterisch|Ihre zeichnerischen Fähigkeiten sind außergewöhnlich.|Her drawing skills are exceptional.|Ее художественные навыки в рисовании необычайны.|Ihre grafischen Fähigkeiten sind außergewöhnlich.|zeichnerische Darstellung; zeichnerisches Talent; zeichnerisch umsetzen|An adjective describing qualities pertaining strictly to the act or style of drawing (contrast with malerisch, which relates to painting/color).
zeichnen|Zeichnung|B2|3645|drawing; sketch; draft|рисунок; чертеж; набросок|Skizze; Entwurf; Abbildung|Die archäologische Zeichnung zeigt die genaue Fundstelle.|The archaeological drawing shows the exact location of the find.|Археологический рисунок показывает точное место находки.|Die archäologische Skizze zeigt die genaue Fundstelle.|eine technische Zeichnung; detaillierte Zeichnung; Zeichnungen anfertigen|The primary noun meaning 'drawing' or 'sketch'. It is also used in banking and financial contexts to mean the subscription of stocks or bonds (Aktienzeichnung).
zeichnen|abzeichnen|C1|11045|to copy (a drawing); to loom; to emerge; to sign off|срисовывать; намечаться; выделяться; визировать|kopieren; sich abheben; sich andeuten; gegenzeichnen|Eine Lösung der Krise beginnt sich abzuzeichnen.|A solution to the crisis is beginning to emerge.|Начинает намечаться решение кризиса.|Eine Lösung der Krise beginnt sich anzudeuten.|eine Tendenz zeichnet sich ab; ein Bild abzeichnen; Akten abzeichnen|A highly versatile prefix verb. Most common reflexively (sich abzeichnen) meaning to emerge or stand out in silhouette. Transitively it means to copy a drawing or to sign/initial a document.
zeichnen|anzeichnen|C2|95916|to mark; to outline|размечать; помечать; намечать|markieren; kennzeichnen; anreißen|Der Zimmermann muss die Schnittlinie auf dem Holz anzeichnen.|The carpenter has to mark the cutting line on the wood.|Плотнику нужно разметить линию среза на дереве.|Der Zimmermann muss die Schnittlinie auf dem Holz markieren.|Holz anzeichnen; Bohrungen anzeichnen; Maße anzeichnen|Primarily used in crafts, tailoring, and carpentry, meaning to physically mark dimensions or outlines on a surface before processing or cutting.
zeichnen|aufzeichnen|B2|8721|to record; to register; to sketch down|записывать; регистрировать; зарисовывать|registrieren; aufnehmen; mitschreiben; skizzieren|Die Kamera zeichnet jede Bewegung auf.|The camera records every movement.|Камера записывает каждое движение.|Die Kamera registriert jede Bewegung.|ein Gespräch aufzeichnen; Daten aufzeichnen; ein Video aufzeichnen|Most commonly used today in technology contexts to mean recording audio, video, or data (often synonymous with aufnehmen). It can also mean to sketch or draft quickly.
zeichnen|auszeichnen|B2|1855|to award; to distinguish; to price tag|награждать; выделять; отличаться; снабжать ценником|ehren; prämieren; kennzeichnen; sich hervortun|Die Stadt zeichnete den mutigen Retter aus.|The city honored the brave rescuer.|Город наградил отважного спасателя.|Die Stadt ehrte den mutigen Retter.|mit einem Preis auszeichnen; sich durch Fleiß auszeichnen; Waren auszeichnen|1) Transitively: to award or honor somebody. 2) Reflexively (sich auszeichnen durch): to distinguish oneself by a certain trait. 3) Retail: to label goods with price tags.
zeichnen|bezeichnen|B2|936|to designate; to denote; to describe; to refer to|обозначать; называть; характеризовать|benennen; charakterisieren; hindeuten|Wie bezeichnet man dieses Werkzeug auf Deutsch?|How do you call this tool in German?|Как называется этот инструмент по-немецки?|Wie benennt man dieses Werkzeug auf Deutsch?|etwas als Erfolg bezeichnen; jemanden treffend bezeichnen; Symbole bezeichnen|A highly frequent verb. Means to denote or describe. Often takes a double accusative with als: jemanden/etwas bezeichnen als + Accusative.
zeichnen|durchzeichnen|C2|141357|to trace; to show through; to draw thoroughly|калькировать; прорисовывать полностью; проступать|abpausen; durchscheinen|Du kannst das Bild durchzeichnen, indem du Transparentpapier benutzt.|You can trace the image by using tracing paper.|Ты можешь скопировать рисунок, используя кальку.|Du kannst das Bild abpausen, indem du Transparentpapier benutzt.|ein Motiv durchzeichnen; Linien zeichnen sich durch|Can mean to copy/trace a drawing using transparent paper (mostly synonymous with abpausen), or intransitively to indicate that lines are visible through a layer of paper or fabric.
