word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
wenden|wenden|C1|1436|to turn; to contact (reflexive)|поворачивать; обращаться (к кому-либо)|umdrehen; kehren; sich richten an|Bitte wenden Sie das Fleisch in der Pfanne.|Please turn the meat in the pan.|Пожалуйста, переверните мясо на сковороде.|Bitte drehen Sie das Fleisch in der Pfanne um.|das Blatt wenden; sich an jemanden wenden; den Spieß wenden; ein Fahrzeug wenden|Can be transitive (to flip/turn something) or reflexive ('sich wenden an' + accusative, meaning to contact or appeal to someone). In driving, it means to make a U-turn.
wenden|auswendig|C1|13773|by heart; from memory|наизусть|memorisiert; aus dem Kopf; im Kopf|Er kann das Gedicht auswendig lernen.|He can learn the poem by heart.|Он может выучить это стихотворение наизусть.|Er kann das Gedicht im Kopf behalten.|auswendig lernen; auswendig wissen; auswendig aufsagen; auswendig können|Commonly used as an adverb. It is almost always paired with verbs of learning or knowing, such as 'lernen', 'können', or 'wissen'.
wenden|gewandt|C2|237766|skillful; agile; eloquent|ловкий; искусный; красноречивый|geschickt; flink; gewitzt; artikuliert; ausdrucksstark|Sie hielt eine sehr gewandte Rede.|She gave a very eloquent speech.|Она произнесла очень красноречивую речь.|Sie hielt eine sehr ausdrucksstarke Rede.|sprachlich gewandt; sich gewandt ausdrücken; eine gewandte Formulierung; gewandt agieren|Historically derived from the past participle of 'wenden'. It describes physical agility, social grace, or high linguistic competence.
wenden|inwendig|C2|82364|inside; internal; on the inside|внутри; внутренний; изнутри|innerlich; von innen; im Inneren|Er spürte eine inwendige Ruhe.|He felt an internal calmness.|Он чувствовал внутреннее спокойствие.|Er spürte eine innerliche Ruhe.|inwendig glühen; inwendig spüren; von inwendig|Slightly poetic or archaic compared to 'innerlich' or 'von innen'. It describes internal feelings, states of mind, or physical interiors.
wenden|postwendend|C1|19262|by return of post; immediate; prompt|обратной почтой; незамедлительно|sofort; umgehend; unverzüglich; augenblicklich|Auf seine E-Mail erhielt er postwendend eine Antwort.|He received a reply to his email by return of post.|Он получил ответ на свое электронное письмо незамедлительно.|Auf seine E-Mail erhielt er sofort eine Antwort.|postwendend antworten; postwendend zurückschicken; postwendend reagieren|Originally referred to mail returning with the same postal carriage. Now used figuratively for any immediate and direct reaction or response.
wenden|verwandt|B2|12696|related; akin|родственный; близкий; похожий|verschwägert; ähnlich; gleichartig; liiert|Sind Sie mit dem Chef verwandt?|Are you related to the boss?|Вы родственник начальника?|Haben Sie eine familiäre Beziehung zum Chef?|miteinander verwandt sein; eng verwandt; weitläufig verwandt; verwandte Themen; verwandte Sprachen|Used for familial relations (requires the preposition 'mit') as well as abstract associations like similar languages or themes.
wenden|wendig|C1|20881|maneuverable; agile; versatile|маневренный; юркий; гибкий|agil; beweglich; flexibel; anpassungsfähig|Das kleine Auto ist in der Stadt sehr wendig.|The small car is very maneuverable in the city.|Маленькая машина очень маневренна в городе.|Das kleine Auto ist in der Stadt sehr beweglich.|ein wendiges Auto; ein wendiger Spieler; geistig wendig|Refers to physical maneuverability (especially of vehicles or athletes) or mental agility ('geistig wendig').
wenden|wendisch|C2|92254|Wendish; Sorbian|лужицкий; вендский|sorbisch|In der Lausitz gibt es wendische Traditionen.|There are Wendish traditions in Lusatia.|В Лужице есть лужицкие традиции.|In der Lausitz gibt es sorbische Traditionen.|die wendische Sprache; wendische Dörfer; wendische Bräuche|A historical and regional term referring to the Sorbs, a Slavic minority in eastern Germany. 'Sorbisch' is more commonly used in official modern contexts.
wenden|Gewende|C2|214002|headland (agriculture); turning area|разворотная полоса (на поле); край поля|Vorgewende; Wendestelle|Der Traktor wendete am Gewende des Ackers.|The tractor turned at the headland of the field.|Трактор развернулся на краю поля.|Der Traktor wendete an der Wendestelle des Ackers.|auf dem Gewende wenden; das Gewende pflügen|An agricultural term (das Gewende) for the strip of land at the edge of a field where tractors and plows turn around.
wenden|Wende|B2|3284|turn; change; German reunification (historic)|поворот; перемены; объединение Германии (ист.)|Wendepunkt; Umbruch; Umschwung; Wiedervereinigung|Das Jahr 1989 markiert die Wende in Deutschland.|The year 1989 marks the transition ('Die Wende') in Germany.|1989 год знаменует собой переломный момент в истории Германии.|Das Jahr 1989 markiert den historischen Umbruch in Deutschland.|die Wende herbeiführen; eine Wende zum Besseren; nach der Wende; friedliche Wende|Feminine noun (die Wende). Used generally for any major turn or shift, but specifically capitalized and used to denote the historical events of 1989/1990 in East Germany.
wenden|Wendegetriebe|C2|139774|reversing gear; marine reversing gear|реверс-редуктор; реверсивная передача|Wendegetriebeeinheit; Reversiergetriebe|Das Boot ist mit einem robusten Wendegetriebe ausgestattet.|The boat is equipped with a robust reversing gear.|Лодка оснащена надежным реверсивным редуктором.|Das Boot ist mit einer robusten Reversiergetriebe-Einheit ausgestattet.|mechanisches Wendegetriebe; hydraulisches Wendegetriebe; Wendegetriebe für Schiffe|Neuter noun (das Wendegetriebe) used in mechanical engineering, particularly for marine vessels, locomotives, or machinery requiring fast direction changes.
wenden|Wendehals|C2|52673|wryneck (bird); political turncoat; opportunist|вертишейка (птица); политический перевертыш; приспособленец|Opportunist; Mitläufer; Anpasser|Nach dem Regierungswechsel zeigte sich, wer ein Wendehals war.|After the change of government, it became clear who was a turncoat.|После смены власти стало ясно, кто был приспособленцем.|Nach dem Regierungswechsel zeigte sich, wer ein Opportunist war.|ein politischer Wendehals; als Wendehals beschimpft werden|Masculine noun (der Wendehals). Named after a bird that can turn its head 180 degrees. Used pejoratively for opportunists who change political allegiance to match the current regime.
wenden|Wendehammer|C2|44358|hammerhead turn; cul-de-sac turning area|тупик с разворотной площадкой; Т-образная разворотная площадка|Wendeplatz; Sackgassenende|Die Sackgasse endet in einem großen Wendehammer.|The dead-end street ends in a large turning bay.|Тупик заканчивается большой разворотной площадкой.|Die Sackgasse endet in einem großen Wendeplatz.|am Wendehammer parken; im Wendehammer wenden; den Wendehammer freihalten|Masculine noun (der Wendehammer). A design feature of cul-de-sacs that resembles a hammerhead, allowing trucks and cars to easily turn around.
wenden|Wendejacke|C2|141996|reversible jacket|двусторонняя куртка|Wendemantel; Wendeanorak|Diese Wendejacke ist auf der einen Seite blau, auf der anderen rot.|This reversible jacket is blue on one side and red on the other.|Эта двусторонняя куртка синяя с одной стороны и красная с другой.|Diese reversible Jacke ist auf der einen Seite blau, auf der anderen rot.|praktische Wendejacke; warme Wendejacke; sportliche Wendejacke|Feminine noun (die Wendejacke). Describes a jacket made such that it can be worn inside out with different styling/colors on each side.
wenden|Wendekreis|C2|47129|turning circle (vehicles); Tropic (geography)|радиус разворота; тропик (геогр.)|Wendekreisradius; Wendeschleife; Tropenkreis|Der Lkw hat einen sehr großen Wendekreis.|The truck has a very large turning circle.|У грузовика очень большой радиус разворота.|Der Lkw benötigt viel Platz zum Wenden.|Wendekreis des Krebses; Wendekreis des Steinbocks; ein kleiner Wendekreis|Masculine noun (der Wendekreis). Has two meanings: a geographic circle of latitude (Tropics) and the turning path diameter of a vehicle.
wenden|Wendel|B2|3020|spiral; helix; filament|спираль; виток; нить накала|Spirale; Helix; Windung|Die Glühlampe hat eine feine Wendel aus Wolfram.|The light bulb has a fine tungsten filament.|Лампа накаливания имеет тонкую вольфрамовую спираль.|Die Glühlampe hat eine feine Spirale aus Wolfram.|glühende Wendel; Wendel der DNA; Wendelstruktur|Can be feminine (die Wendel) or masculine (der Wendel). Often refers to electrical filaments or natural/architectural spirals (stairs, DNA structures).
wenden|Wendemanöver|C2|48219|turning maneuver|маневр разворота|Kehrtwende; Wenden|Das Schiff leitete ein riskantes Wendemanöver ein.|The ship initiated a risky turning maneuver.|Судно начало рискованный маневр разворота.|Das Schiff leitete eine riskante Kehrtwende ein.|ein Wendemanöver fliegen; ein Wendemanöver durchführen; abruptes Wendemanöver|Neuter noun (das Wendemanöver). Used mostly in technical and vehicular contexts (planes, boats, spacecraft, or cars).
wenden|Wendemantel|C2|187993|reversible coat|двустороннее пальто|Wendejacke|Im Winter trägt sie oft ihren warmen Wendemantel.|In winter she often wears her warm reversible coat.|Зимой она часто носит свое теплое двустороннее пальто.|Im Winter trägt sie oft ihre warme Wendejacke.|eleganter Wendemantel; zweiseitiger Wendemantel|Masculine noun (der Wendemantel). Equivalent to 'Wendejacke' but refers to a longer outer garment (a coat instead of a jacket).
wenden|Wendemarke|C2|95895|turning mark; buoy (sailing/racing)|поворотный знак; буй|Wendepunkt; Boje; Wendetonne|Die Segler müssen die Wendemarke umrunden.|The sailors must round the turning mark.|Яхтсмены должны обогнуть поворотный знак.|Die Segler müssen die Boje umrunden.|die Wendemarke passieren; an der Wendemarke wenden; erste Wendemarke|Feminine noun (die Wendemarke). Principally used in water sports or track sports to designate where competitors must loop around.
