word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
stimmen|stimmen|B1|731|to vote; to tune; to be correct|голосовать; настраивать (инструмент); соответствовать действительности|votieren; wählen; einstellen; zutreffen|Deine Antwort auf diese Frage stimmt leider nicht.|Your answer to this question is unfortunately not correct.|Твой ответ на этот вопрос, к сожалению, неверен.|Deine Antwort auf diese Frage trifft leider nicht zu.|mit jemandem übereinstimmen; ein Instrument stimmen; das stimmt so|Stimmen is highly versatile. Intransitively, 'es stimmt' means 'it is correct'. Transitively, it means 'to tune' an instrument. Historically connected to 'die Stimme' (voice, vote).
stimmen|Stimmgabel|C2|66191|tuning fork|камертон|Tonmesser|Der Klavierstimmer benutzt eine Stimmgabel, um den richtigen Ton zu finden.|The piano tuner uses a tuning fork to find the correct pitch.|Настройщик пианино использует камертон, чтобы найти правильный тон.|Der Klavierstimmer benutzt einen Tonmesser, um den richtigen Ton zu finden.|eine Stimmgabel anschlagen; eine Stimmgabel benutzen|Die Stimmgabel (f.) is a compound of Stimme (tuning/voice) and Gabel (fork). Used almost exclusively in music and physics contexts.
stimmen|Stimmpfeife|C2|244794|pitch pipe|настроечный свисток|Tonpfeife|Der Chorleiter verwendet eine Stimmpfeife, um den Sängern den Anfangston anzugeben.|The choir director uses a pitch pipe to give the singers the starting note.|Руководитель хора использует настроечный свисток, чтобы дать певцам начальную ноту.|Der Chorleiter verwendet eine Tonpfeife, um den Sängern den Anfangston anzugeben.|die Stimmpfeife blasen; eine Stimmpfeife benutzen|Die Stimmpfeife (f.) is a small wind instrument used to provide a reference pitch, especially in choral singing.
stimmen|Stimmabgabe|C2|211935|voting; casting of votes|голосование; подача голосов|Votierung; Abstimmung|Nach der Stimmabgabe wurden die Wahlurnen versiegelt.|After the casting of votes, the ballot boxes were sealed.|После голосования избирательные урны были запечатаны.|Nach der Votierung wurden die Wahlurnen versiegelt.|die persönliche Stimmabgabe; zur Stimmabgabe berechtigt sein|Die Stimmabgabe (f.) is a formal administrative term referring specifically to the act of submitting a vote in an election.
stimmen|Stimmzettel|C2|188824|ballot paper|избирательный бюллетень|Wahlzettel|Bitte falten Sie den Stimmzettel, bevor Sie ihn in die Urne werfen.|Please fold the ballot paper before putting it in the ballot box.|Пожалуйста, сложите избирательный бюллетень перед тем, как опустить его в урну.|Bitte falten Sie den Wahlzettel, bevor Sie ihn in die Urne werfen.|einen Stimmzettel ausfüllen; den Stimmzettel abgeben|Der Stimmzettel (m.) is the physical paper sheet used for voting. Standard administrative term.
stimmen|stimmberechtigt|C2|258966|eligible to vote|имеющий право голоса|wahlberechtigt|Nur stimmberechtigte Mitglieder dürfen an der Abstimmung teilnehmen.|Only members eligible to vote are allowed to participate in the vote.|Только члены, имеющие право голоса, могут принимать участие в голосовании.|Nur wahlberechtigte Mitglieder dürfen an der Abstimmung teilnehmen.|stimmberechtigte Bürger; aktiv stimmberechtigt sein|Stimmberechtigt is an adjective describing someone who holds the legal or organizational right to vote.
stimmen|Stimmung|B2|1374|mood; atmosphere; tuning|настроение; атмосфера; настройка|Laune; Atmosphäre; Gemütszustand|Auf dem Fest herrschte eine ausgelassene Stimmung.|There was a lively atmosphere at the festival.|На празднике царила оживленная атмосфера.|Auf dem Fest herrschte eine ausgelassene Atmosphäre.|gute Stimmung; in gedrückter Stimmung sein; die Stimmung heben|Die Stimmung (f.) refers to either human mood/emotions, the atmosphere of a place/event, or the tuning of a musical instrument.
stimmen|abstimmen|B2|3045|to vote; to coordinate; to tune|голосовать; согласовывать; настраивать|wählen; koordinieren; abgleichen|Wir müssen die Termine für das Treffen genau abstimmen.|We need to coordinate the dates for the meeting precisely.|Нам нужно точно согласовать даты встречи.|Wir müssen die Termine für das Treffen genau koordinieren.|über einen Antrag abstimmen; sich mit jemandem abstimmen|Abstimmen is a separable verb. 'Über etwas abstimmen' means to vote on a proposal, while 'etwas abstimmen' or 'sich abstimmen' means to coordinate.
stimmen|beistimmen|C2|127863|to agree with; to assent|соглашаться; разделять мнение|zustimmen; beipflichten|Ich kann deiner Meinung in diesem Punkt nur beistimmen.|I can only agree with your opinion on this point.|Я могу только согласиться с твоим мнением в этом вопросе.|Ich kann deiner Meinung in diesem Punkt nur zustimmen.|jemandem uneingeschränkt beistimmen; einer Ansicht beistimmen|Beistimmen is a formal and somewhat literary separable verb that takes the dative case. Modern daily usage strongly prefers 'zustimmen'.
stimmen|bestimmen|B2|1009|to determine; to define; to decide|определять; устанавливать; решать|festlegen; definieren; beschließen|Die Eltern wollten über die Zukunft ihres Kindes bestimmen.|The parents wanted to decide on their child's future.|Родители хотели определять будущее своего ребенка.|Die Eltern wollten die Zukunft ihres Kindes festlegen.|den Kurs bestimmen; den Preis bestimmen; das Gesetz bestimmt|Bestimmen is an inseparable verb. It can mean defining, deciding, or exerting a dominating influence on someone or something.
