word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
klären|klärlich|C2|208395|obvious, clear, evident|очевидный, явный, ясный|offensichtlich; deutlich; augenscheinlich; klar|Es ist klärlich, dass er die Wahrheit sagt.|It is clearly obvious that he is telling the truth.|Очевидно, что он говорит правду.|Es ist offensichtlich, dass er die Wahrheit sagt.|klärlich vor Augen liegen; klärlich beweisen|This is an extremely rare, archaic, or elevated adverb/adjective. In modern German, words like 'offensichtlich' or 'eindeutig' are used almost exclusively instead.
klären|Klärung|B2|7596|clarification, resolution, clearing up|прояснение, выяснение, разъяснение|Aufklärung; Bereinigung; Lösung; Erläuterung|Wir warten auf die Klärung der offenen Fragen.|We are waiting for the clarification of the open questions.|Мы ждем прояснения открытых вопросов.|Wir warten auf die Aufklärung der offenen Fragen.|zur Klärung beitragen; eine Klärung herbeiführen; eine Klärung der Situation|A noun derived from the verb 'klären'. It is frequently used in professional, legal, and academic contexts with a genitive attribute or 'von'.
klären|Kläranlage|B2|9151|sewage treatment plant, wastewater treatment plant|очистное сооружение, очистная станция|Abwasserreinigungsanlage; Klärwerk|Das Abwasser wird in der städtischen Kläranlage gereinigt.|The wastewater is treated in the municipal sewage treatment plant.|Сточные воды очищаются на городской очистной станции.|Das Abwasser wird im städtischen Klärwerk gereinigt.|eine kommunale Kläranlage; Abwasser in die Kläranlage leiten; moderne Kläranlage|A common environmental and technical compound noun. It refers to the overall plant complex where wastewater is cleaned.
klären|Klärbecken|C2|92690|settling tank, clarifier, sedimentation basin|отстойник, очистной бассейн|Absetzbecken; Klärteich|Im ersten Klärbecken setzen sich die schweren Partikel ab.|In the first settling tank, the heavy particles settle down.|В первом отстойнике оседают тяжелые частицы.|Im ersten Absetzbecken setzen sich die schweren Partikel ab.|mechanisches Klärbecken; in das Klärbecken leiten; Schlamm im Klärbecken|Refers specifically to the concrete pool or basin within a water treatment plant where mechanical sedimentation takes place.
klären|Klärgas|C2|122971|sewage gas, digester gas|канализационный газ, биогаз очистных сооружений|Faulgas; Biogas|Die Energie für das Klärwerk wird teilweise aus Klärgas gewonnen.|Part of the energy for the wastewater plant is obtained from sewage gas.|Энергия для очистной станции частично вырабатывается из канализационного газа.|Die Energie für das Klärwerk wird teilweise aus Faulgas gewonnen.|Klärgas nutzen; Gewinnung von Klärgas; Klärgas in Strom umwandeln|A technical term referring to the methane-rich gas produced during the anaerobic digestion of sewage sludge.
klären|Klärgrube|C2|79793|cesspool, septic tank|выгребная яма, септик|Senkgrube; Jauchegrube; Abwassergrube|Das Haus ist nicht an die Kanalisation angeschlossen, sondern hat eine Klärgrube.|The house is not connected to the sewer system but has a septic tank.|Дом не подключен к канализации, а имеет выгребную яму.|Das Haus ist nicht an die Kanalisation angeschlossen, sondern hat eine Senkgrube.|eine Klärgrube entleeren; alte Klärgrube; Klärgrube für Abwasser|Commonly used for older, rural, or non-centralized underground wastewater storage and treatment tanks.
klären|Klärmittel|C2|208394|clarifying agent, fining agent|осветлитель, очищающее вещество|Klärhilfsmittel; Schönungsmittel|Winzer benutzen oft ein natürliches Klärmittel, um den Wein zu filtern.|Winemakers often use a natural clarifying agent to filter the wine.|Виноделы часто используют натуральный осветлитель для фильтрации вина.|Winzer benutzen oft ein natürliches Schönungsmittel, um den Wein zu filtern.|chemisches Klärmittel; Klärmittel für Wein; Klärmittel einsetzen|A chemical or physical agent used in industrial processes (especially brewing, winemaking, and chemistry) to precipitate impurities.
klären|Klärschlamm|C2|30113|sewage sludge, biosolid|осадок сточных вод, ил очистных сооружений|Abwasserschlamm; Faulschlamm|Der Klärschlamm muss fachgerecht entsorgt werden.|The sewage sludge must be disposed of properly.|Осадок сточных вод должен быть утилизирован надлежащим образом.|Der Abwasserschlamm muss fachgerecht entsorgt werden.|Klärschlamm verbrennen; Klärschlamm als Dünger; Entsorgung von Klärschlamm|Refers to the residual, semi-solid material left from industrial or municipal wastewater treatment processes.
klären|Klärteich|C2|113805|settling pond, clarifying pond, lagoon|пруд-отстойник, очистной пруд|Absetzteich; Abwasserteich|Am Stadtrand wurde ein künstlicher Klärteich angelegt.|An artificial settling pond was created on the outskirts of the city.|На окраине города был обустроен искусственный пруд-отстойник.|Am Stadtrand wurde ein künstlicher Absetzteich angelegt.|natürlicher Klärteich; Klärteich für Industrieabwasser|An ecological or low-tech alternative to mechanical settling basins, usually a shallow pond utilizing natural biological filtration processes.
klären|Klärwerk|C2|24730|sewage treatment plant, wastewater plant|очистное сооружение, очистная станция|Kläranlage; Abwasserreinigungsanlage|Das Klärwerk reinigt täglich Millionen Liter Wasser.|The sewage treatment plant cleans millions of liters of water daily.|Очистная станция ежедневно очищает миллионы литров воды.|Die Kläranlage reinigt täglich Millionen Liter Wasser.|städtisches Klärwerk; Betrieb eines Klärwerks; Klärwerk modernisieren|Almost entirely synonymous with 'Kläranlage', but 'Klärwerk' sounds slightly more industrial, emphasizing the facility as a factory or processing plant.
