word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
rollen|rollen|B1|3341|to roll; to rumble|катить; катиться; грохотать|kullern; walzen; drehen; rotieren|Ein kleiner Ball rollte unter das Sofa.|A small ball rolled under the sofa.|Маленький мяч закатился под диван.|Ein kleiner Ball kullerte unter das Sofa.|den Ball rollen; die Tränen rollen; der Donner rollt; der Zug rollt|Can be used transitively (with 'haben', e.g., 'sie hat den Teig gerollt') or intransitively indicating movement (with 'sein', e.g., 'der Ball ist gerollt'). Also used to describe low, deep sounds like thunder.
rollen|Geröll|C2|30536|scree; boulders; debris|галька; осыпь; щебень; валуны|Gesteinsbrocken; Schutt; Gerölle; Steinhaufen|Auf dem steilen Pfad rutschte viel Geröll ab.|A lot of scree slid down the steep path.|На крутой тропе осыпалось много щебня.|Auf dem steilen Pfad rutschten viele Gesteinsbrocken ab.|loses Geröll; im Geröll wandern; das Geröll rutscht ab|A neuter collective noun ('das Geröll'). It refers to an accumulation of loose rocks or pebbles, very common in mountain hiking and geological contexts.
rollen|Rollbahn|C2|53909|runway; taxiway|взлетно-посадочная полоса; рулежная дорожка|Startbahn; Landebahn; Piste|Das Flugzeug landete sicher auf der Rollbahn.|The plane landed safely on the runway.|Самолет благополучно приземлился на взлетно-посадочную полосу.|Das Flugzeug landete sicher auf der Startbahn.|auf der Rollbahn stehen; die Rollbahn blockieren; die Rollbahn freigeben|Historically used in military logistics for supply roads, but in modern German, it almost exclusively refers to airport runways or taxiways.
rollen|Rollball|C2|207604|rollball (sport); rolling ball|роллбол; катящийся мяч|Ballspiel; rollender Ball|Die Schüler lernten im Sportunterricht Rollball spielen.|The students learned to play rollball in PE class.|Ученики учились играть в роллбол на уроке физкультуры.|Die Schüler lernten im Sportunterricht ein neues Ballspiel spielen.|Rollball spielen; Rollball-Turnier|Can denote the specific sport of rollball (played on roller skates) or literally any heavy rolling ball in sports or therapeutic contexts.
rollen|Rollband|C2|111211|moving walkway; conveyor belt|движущаяся дорожка; транспортерная лента|Laufband; Förderband; Fahrband|Am Flughafen erleichtert das Rollband den Weg mit schwerem Gepäck.|At the airport, the moving walkway makes walking with heavy luggage easier.|В аэропорту движущаяся дорожка облегчает путь с тяжелым багажом.|Am Flughafen erleichtert das Laufband den Weg mit schwerem Gepäck.|auf dem Rollband stehen; automatisches Rollband|Often refers to flat moving pavements for pedestrians in airports or large train stations, but can also refer to physical tape measures or indicator bands.
rollen|Rollbett|C2|149061|trundle bed; roll-away bed|кровать на колесиках; выдвижная кровать|Schiebebett; Ausziehbett; Gästebett|Für den Gast schoben sie das praktische Rollbett aus der Nische.|They rolled the handy trundle bed out of the alcove for the guest.|Для гостя они выдвинули из ниши удобную кровать на колесиках.|Für den Gast schoben sie das praktische Ausziehbett aus der Nische.|ein praktisches Rollbett; das Rollbett ausziehen|A compound noun denoting a bed on casters or wheels, often designed to slide under a main bed to save space.
rollen|Rollbild|C2|119327|hanging scroll (art); roll picture|свиток (с картиной или текстом)|Hängerolle; Kakemono; Wandbild|An der Wand hing ein traditionelles japanisches Rollbild.|A traditional Japanese hanging scroll hung on the wall.|На стене висел традиционный японский свиток.|An der Wand hing eine traditionelle japanische Hängerolle.|japanisches Rollbild; ein Rollbild aufhängen|Typically used in the context of Asian art (specifically Japanese 'Kakemono' or Chinese scrolls) which are rolled up for storage and unrolled to hang.
rollen|Rollblatt|C2|241842|wrapper (cigar); rolled leaf|покровный лист (сигары); свернутый лист|Deckblatt; Umblatt; gerolltes Blatt|Der Zigarrenmacher wickelt das Rollblatt vorsichtig um den Tabak.|The cigar maker carefully wraps the wrapper leaf around the tobacco.|Сигарный мастер осторожно оборачивает покровный лист вокруг табака.|Der Zigarrenmacher wickelt das Deckblatt vorsichtig um den Tabak.|feines Rollblatt; das Rollblatt einer Zigarre|A botanical term for a naturally curled leaf or a technical term in cigar manufacturing. In the cigar industry, 'Deckblatt' is much more common.
rollen|Rollbraten|C2|238807|rolled roast|мясной рулет; рулет из мяса|Fleischrolle; gefüllter Braten|Am Sonntag gab es einen saftigen Rollbraten mit Knödeln.|On Sunday there was a juicy rolled roast with dumplings.|В воскресенье был сочный мясной рулет с кнедликами.|Am Sonntag gab es eine saftige Fleischrolle mit Knödeln.|Schweine-Rollbraten; gefüllter Rollbraten; Rollbraten zubereiten|A culinary term referring to a flat piece of seasoned meat (usually pork or beef) that is rolled up, tied with kitchen string, and roasted.
rollen|Rollbrücke|C2|249852|retractable bridge; roll bridge|откатной (разводной) мост; мост на роликах|Schiebebrücke; bewegliche Brücke|Die historische Rollbrücke wurde über den Kanal geschoben.|The historical retractable bridge was rolled across the canal.|Исторический откатной мост был выдвинут через канал.|Die historische Schiebebrücke wurde über den Kanal geschoben.|alte Rollbrücke; eine Rollbrücke überqueren|A rare structural term for a type of movable bridge that retracts horizontally by rolling on wheels or tracks.
