word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
scheiden|scheiden|B1|4174|to separate; to divorce|разделять; разводить (о браке)|trennen; auseinandergehen; scheiden lassen|Das Ehepaar ließ sich nach zehn Jahren scheiden.|The married couple got divorced after ten years.|Супружеская пара развелась спустя десять лет.|Das Ehepaar hat sich nach zehn Jahren trennen lassen.|sich scheiden lassen; die Geister scheiden sich; im Frieden scheiden|Often used reflexively with 'lassen' ('sich scheiden lassen') to mean getting divorced. The transitive 'scheiden' (to separate) is mostly used in elevated register or fixed idioms like 'die Geister scheiden sich' (opinions differ).
scheiden|halbscheidig|C2|203909|divided in half; semi-divided|разделенный пополам; половинный|hälftig; halbiert; geteilt|Der Besitz wurde laut Vertrag halbscheidig aufgeteilt.|The property was split in half according to the contract.|Имущество было разделено пополам согласно договору.|Der Besitz wurde laut Vertrag hälftig aufgeteilt.|halbscheidig teilen; halbscheidiger Besitz|A highly rare, archaic, or regional legal term meaning to divide equally into two halves. In modern German, 'hälftig' is much more common.
scheiden|geschieden|C2|258752|divorced|разведенный|getrennt; voneinander geschieden|Er ist seit zwei Jahren geschieden.|He has been divorced for two years.|Он разведен уже два года.|Er lebt seit zwei Jahren getrennt von seiner Frau.|geschieden sein; geschiedene Eheleute; frisch geschieden|Used primarily as an adjective denoting legal marital status. It contrasts with 'verheiratet' (married), 'ledig' (single), and 'verwitwet' (widowed).
scheiden|Gescheide|C2|185167|entrails (of big game)|внутренности (дичи)|Eingeweide; Innereien; Gedärm|Der Jäger entfernte das Gescheide des erlegten Hirsches.|The hunter removed the entrails of the hunted deer.|Охотник удалил внутренности добытого оленя.|Der Jäger entfernte die Eingeweide des erlegten Hirsches.|das Gescheide ausbrechen; Gescheide vom Rotwild|A highly specialized jargon term from hunting terminology (Jägersprache), referring specifically to the viscera and innards of cloven-hoofed game.
scheiden|Scheidebrief|C2|170608|bill of divorce; letter of separation|разводное письмо; свидетельство о разводе|Scheidungsurkunde; Abschiedsbrief|Er reichte ihr den Scheidebrief und verließ das Haus.|He handed her the bill of divorce and left the house.|Он вручил ей разводное письмо и покинул дом.|Er reichte ihr die Scheidungsurkunde und verließ das Haus.|einen Scheidebrief ausstellen; den Scheidebrief erhalten|An archaic or biblical term for a formal document of divorce. Modern civil status documents use 'Scheidungsurkunde'.
scheiden|Scheidekunde|C2|246934|chemistry (archaic)|химия (уст.)|Chemie; Scheidekunst|Im 18. Jahrhundert nannte man die Chemie oft Scheidekunde.|In the 18th century, chemistry was often called 'Scheidekunde'.|В 18 веке химию часто называли Scheidekunde.|Im 18. Jahrhundert nannte man die Chemie oft Scheidekunst.|historische Scheidekunde; die Lehre der Scheidekunde|Highly archaic term. It dates back to the time when chemistry was seen as the art of separating metals and substances. Use 'Chemie' in modern contexts.
scheiden|Scheidelinie|C2|122652|dividing line; borderline|линия раздела; демаркационная линия|Trennlinie; Demarkationslinie; Grenze|Der Fluss bildet die natürliche Scheidelinie zwischen den Ländern.|The river forms the natural dividing line between the countries.|Река образует естественную линию раздела между странами.|Der Fluss bildet die natürliche Grenze zwischen den Ländern.|eine klare Scheidelinie ziehen; die Scheidelinie überschreiten|Used both literally for borders and figuratively when separating distinct ideas, eras, or opinions. Comparable to 'Trennlinie'.
scheiden|Scheidemünze|C2|148682|fractional coin; token coin|разменная монета|Kleingeld; Münzgeld|Scheidemünzen besitzen einen geringeren Metallwert als ihren Nennwert.|Fractional coins have a lower metal value than their face value.|Разменные монеты имеют ценность металла ниже их номинала.|Kleingeld besitzt einen geringeren Metallwert als seinen Nennwert.|Scheidemünzen prägen; Umlauf von Scheidemünzen|A technical term in currency history and numismatics for coins whose legal tender value exceeds their actual metal value.
scheiden|Scheidetrichter|C2|223509|separatory funnel|делительная воронка|Trenntrichter|Im Labor trennt man Flüssigkeiten mit einem Scheidetrichter.|In the laboratory, liquids are separated using a separatory funnel.|В лаборатории жидкости разделяют с помощью делительной воронки.|Im Labor trennt man Flüssigkeiten mit einem Trenntrichter.|Flüssigkeit in den Scheidetrichter füllen; den Scheidetrichter schütteln|A specific laboratory glassware apparatus used to partition immiscible liquids.
scheiden|Scheidewand|C2|117998|partition wall; septum (anatomy)|перегородка|Trennwand; Zwischenwand; Septum|Die Nasenscheidewand ist bei ihm leicht verkrümmt.|His nasal septum is slightly deviated.|Носовая перегородка у него слегка искривлена.|Die Nasentrennwand ist bei ihm leicht verkrümmt.|eine dünne Scheidewand; Nasenscheidewand; die Scheidewand korrigieren|Can refer to structural walls (usually 'Trennwand') or biological membranes/structures, most commonly 'Nasenscheidewand' (nasal septum).
