word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
stoßen|stoßen|B1|1437|to push; to bump; to encounter (with auf)|толкать; ударять; наталкиваться (с auf)|schubsen; prallen; treffen; stoßen auf|Ich bin versehentlich gegen den Tisch gestoßen.|I accidentally bumped into the table.|Я случайно ударился о стол.|Ich bin versehentlich gegen den Tisch geprallt.|auf ein Problem stoßen; an seine Grenzen stoßen; mit dem Fuß stoßen|Highly versatile verb. 'Stoßen gegen' (+ Accusative) means to physically bump into something. 'Stoßen auf' (+ Accusative) means to encounter, find, or discover (e.g., resources, problems). Conjugation: stößt, stieß, hat/ist gestoßen.
stoßen|abstoßen|C1|18430|to repel; to reject; to sell off|отталкивать; отвергать; распродавать|zurückweisen; verkaufen; wegstoßen|Gleiche Magnetpole stoßen einander ab.|Similar magnetic poles repel each other.|Одинаковые магнитные полюса отталкивают друг друга.|Gleiche Magnetpole drücken einander weg.|Aktien abstoßen; jemanden abstoßen; Waren abstoßen|Separable verb. Can mean physical repelling (magnets), biological rejection (transplants), financial selling of assets (Aktien abstoßen), or social/emotional repulsion ('seine Art stößt mich ab').
stoßen|anstoßen|B2|9053|to toast (clink glasses); to initiate; to nudge|чокаться; инициировать; подталкивать|initiieren; anregen; zuprosten|Wir sollten auf deinen Erfolg anstoßen!|We should toast to your success!|Нам нужно чокнуться за твой успех!|Wir sollten auf deinen Erfolg zuprosten und trinken!|auf das Wohl anstoßen; ein Projekt anstoßen; eine Diskussion anstoßen|Separable verb. Commonly used figuratively for initiating projects or reforms ('eine Reform anstoßen') and literally for clinking glasses ('auf jemanden anstoßen' using 'auf' + Accusative).
stoßen|aufstoßen|C2|25209|to belch; to push open; to leave a bad taste (figuratively)|отрыгивать; распахивать; вызывать неприятное чувство (перен.)|rülpsen; aufdrücken; missfallen|Seine arrogante Art ist mir sauer aufgestoßen.|His arrogant manner left a bitter taste in my mouth.|Его высокомерное поведение вызвало у меня неприятный осадок.|Seine arrogante Art hat mir missfallen.|sauer aufstoßen; die Tür aufstoßen|Separable verb. 'Sauer aufstoßen' is a common idiom meaning to cause resentment or distaste, originating from acid reflux/belching. Literally, it can also mean to kick or push open (a door).
stoßen|ausstoßen|C1|21599|to emit; to expel; to utter (a sound)|выбрасывать; испускать; изгонять; издавать (звук)|emittieren; ausschließen; von sich geben|Die Fabrik stößt täglich Tonnen von CO2 aus.|The factory emits tons of CO2 daily.|Фабрика ежедневно выбрасывает тонны углекислого газа.|Die Fabrik emittiert täglich Tonnen von CO2.|Schadstoffe ausstoßen; einen Schrei ausstoßen; jemanden aus der Gemeinschaft ausstoßen|Separable verb. Used in environmental contexts for emissions (emittieren), in social contexts for exiling/excluding someone, and in expression for crying out (einen Schrei ausstoßen).
stoßen|durchstoßen|C2|53568|to pierce; to break through|прокалывать; пробивать; прорывать|durchbohren; durchbrechen; penetrieren|Das Flugzeug durchstieß die Wolkendecke.|The airplane broke through the cloud cover.|Самолет пробил облачный покров.|Das Flugzeug durchbrach die Wolkendecke.|die Schallmauer durchstoßen; eine Linie durchstoßen|Can be separable (literally pushing something through) or inseparable (piercing/breaking through - e.g., 'die Schallmauer durchstoßen' which is inseparable: durchstieß, hat durchstoßen).
stoßen|einstoßen|C2|174777|to smash in; to bash in; to push down|выбивать; проламывать; вбивать|einschlagen; eindrücken; zertrümmern|Die Einbrecher stießen die Holztür ein.|The burglars bashed in the wooden door.|Взломщики выбили деревянную дверь.|Die Einbrecher schlugen die Holztür ein.|eine Tür einstoßen; ein Fenster einstoßen; Barrieren einstoßen|Separable verb. Implies using physical force to break open or destroy inward (like kicking a door or wall down). Often used metaphorically for breaking down barriers.
stoßen|herabstoßen|C2|169886|to push down; to cast down; to plunge down|сбрасывать вниз; низвергать|hinunterwerfen; herabstürzen; hinabstoßen|Der Adler stieß aus der Luft herab, um seine Beute zu greifen.|The eagle swooped down from the air to grab its prey.|Орел ринулся вниз из воздуха, чтобы схватить добычу.|Der Adler stürzte sich aus der Luft hinab, um seine Beute zu greifen.|von der Klippe herabstoßen; aus der Luft herabstoßen|Separable verb. Indicates a downward pushing motion from the perspective of someone looking from below (herab-) or describing a sudden downward movement (like a bird of prey).
stoßen|herumstoßen|C2|142441|to push around; to boss around|толкать туда-сюда; помыкать (кем-то)|herumschubsen; schikanieren; dirigieren|Er lässt sich von seinem Chef nicht länger herumstoßen.|He is no longer letting his boss push him around.|Он больше не позволяет своему начальнику помыкать собой.|Er lässt sich von seinem Chef nicht länger herumschubsen.|jemanden herumstoßen; sich herumstoßen lassen|Separable verb, highly colloquial in figurative sense. Means treating someone roughly or ordering them around. Often used in passive constructions ('sich herumstoßen lassen').
stoßen|hinabstoßen|C2|144496|to push down; to cast down (away from speaker)|сталкивать вниз; низвергать (от говорящего)|hinunterstoßen; hinabwerfen; hinabstürzen|Der Wächter stieß den Verräter in den Abgrund hinab.|The guard pushed the traitor down into the abyss.|Стражник столкнул предателя вниз в бездну.|Der Wächter warf den Verräter in den Abgrund hinunter.|in die Tiefe hinabstoßen; in den Abgrund hinabstoßen|Separable verb. Focuses on pushing something downward, away from the observer or speaker's current level. Typically found in dramatic or literary registers.
