word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
trinken|trinken|A1|7319|to drink|пить|Schlucke nehmen; konsumieren; saufen|Er trinkt morgens immer ein Glas Wasser.|He always drinks a glass of water in the morning.|Он всегда пьет стакан воды по утрам.|Er nimmt morgens immer ein Glas Wasser zu sich.|Wasser trinken; Alkohol trinken; Kaffee trinken; gerne trinken|A basic verb used transitively or intransitively. In everyday contexts, it means consuming any liquid, but it can also euphemistically mean 'to consume alcohol' depending on context.
trinken|trinkbar|C2|54331|drinkable; potable|питьевой; годный для питья|genießbar; konsumierbar|Das Leitungswasser in dieser Region ist trinkbar.|The tap water in this region is drinkable.|Водопроводная вода в этом регионе пригодна для питья.|Das Leitungswasser in diesem Gebiet ist genießbar.|trinkbares Wasser; bedingt trinkbar; gut trinkbar|Formed with the suffix '-bar' (able). It often refers to water safety or, in the culinary world, to the acceptable quality of a wine.
trinken|trinkfertig|C2|118655|ready to drink; ready-to-serve|готовый к употреблению (о напитках)|verzehrfertig; konsumbereit|Der Saft wird in trinkfertiger Form geliefert.|The juice is delivered in a ready-to-drink form.|Сок поставляется в готовом к употреблению виде.|Der Saft wird in verzehrsfertiger Form geliefert.|trinkfertige Nahrung; trinkfertige Mischung; trinkfertig zubereiten|Commonly used in packaging, baby formula, or retail mixtures that do not require any mixing, heating, or dilution before consumption.
trinken|trinkfest|C2|62089|able to carry one's liquor; hardy (drinker)|устойчивый к алкоголю; умеющий много пить|alkoholresistent; gut im Vertragen|Mein Onkel ist äußerst trinkfest.|My uncle can really hold his liquor.|Мой дядя на редкость устойчив к алкоголю.|Mein Onkel verträgt sehr viel Alkohol.|ein trinkfester Mann; als trinkfest gelten; trinkfest sein|Informal but very common. Describes a person who can consume a substantial amount of alcohol without showing strong signs of intoxication.
trinken|trinkfreudig|C2|78249|fond of drinking; convivial|любящий выпить|trinklustig; gesellig|Die trinkfreudige Gesellschaft blieb bis spät in die Nacht.|The drinking-loving company stayed until late into the night.|Любящая выпить компания оставалась до поздней ночи.|Die trinklustige Gesellschaft blieb bis spät in die Nacht.|eine trinkfreudige Runde; trinkfreudige Gäste; sich trinkfreudig zeigen|Often used in positive or lighthearted social contexts to describe people who enthusiastically drink (usually alcohol) in a social setting.
trinken|trunken|C2|48025|drunk; intoxicated|пьяный; опьяненный|betrunken; berauscht; alkoholisiert|Er war trunken vor Glück.|He was drunk with happiness.|Он был пьян от счастья.|Er war berauscht vor Glück.|trunken vor Freude; trunken vor Glück; schlaftrunken|Elevated, literary, or poetic alternative to 'betrunken'. Most frequently used in metaphorical combinations (e.g., drunk on joy, power, or sleep).
trinken|Getränk|B1|2562|drink; beverage|напиток|Trunk; Flüssigkeit|Möchten Sie ein kaltes Getränk?|Would you like a cold drink?|Хотите холодный напиток?|Möchten Sie einen kalten Trunk?|alkoholfreies Getränk; alkoholisches Getränk; kühles Getränk; heiße Getränke|The standard, most common noun for any liquid substance that is fit for drinking.
trinken|Trank|C1|21359|potion; draft; drink|зелье; снадобье; напиток|Zaubertrank; Elixier; Gebräu|Die Hexe braute einen magischen Trank.|The witch brewed a magical potion.|Ведьма сварила волшебное зелье.|Die Hexe braute ein magisches Elixier.|magischer Trank; bitterer Trank; giftiger Trank; Zaubertrank|Elevated, historical, or literary term. Often associated with magic potions (Zaubertrank) or ancient/medieval drinks, and occasionally used metaphorically ('bitterer Trank' - bitter pill).
trinken|Tränke|C1|43820|watering place; trough|водопой; поилка|Viehtränke; Wasserstelle|Die Kühe versammelten sich an der Tränke.|The cows gathered at the watering trough.|Коровы собрались у водопоя.|Die Kühe versammelten sich an der Wasserstelle.|die Tiere zur Tränke führen; automatische Tränke; Viehtränke|A noun denoting a place where animals (wildlife or livestock) drink water. It is almost exclusively agricultural or nature-related.
trinken|Trinkbecher|C2|66710|drinking cup; beaker|стаканчик для питья; поильник|Becher; Trinkgefäß|Das Kleinkind lernt, aus einem Trinkbecher zu trinken.|The toddler is learning to drink from a drinking cup.|Малыш учится пить из поильника.|Das Kleinkind lernt, aus einem Trinkgefäß zu trinken.|Trinkbecher aus Plastik; Trinkbecher für Kinder; Mehrweg-Trinkbecher|Specifically refers to cups designed for drinking, often used for toddler training cups, outdoor picnics, or portable travel cups.
