word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
wissen|wissen|A1|1428|to know (a fact, information)|знать|kennen; erfahren sein; Bescheid wissen|Ich weiß, wo er wohnt.|I know where he lives.|Я знаю, где он живет.|Ich habe Bescheid, wo er wohnt.|genau wissen; Bescheid wissen; von etwas wissen; nichts wissen|'wissen' is used for facts, information, or cognitive knowledge, often followed by a subordinate clause (e.g., 'dass', 'wo', 'wie'). Contrast with 'kennen', which means to be acquainted with people, places, or things.
wissen|Mitwisser|C2|46992|confidant; accomplice; person in the know|соучастник (знающий о тайне); посвященный (в тайну)|Eingeweihter; Zeuge; Mitverschworener|Er brauchte keine Mitwisser für seinen Plan.|He did not need any confidants for his plan.|Ему не нужны были соучастники для его плана.|Er brauchte keine Eingeweihten für seinen Plan.|einen Mitwisser haben; keine Mitwisser dulden; ein unfreiwilliger Mitwisser sein|'Mitwisser' (noun, masculine) denotes someone who shares knowledge of a secret, often of a dubious, illegal, or highly private nature. It carries a slightly conspiratorial or negative connotation compared to a general 'Eingeweihter'.
wissen|Wissbegier|C2|261321|thirst for knowledge; curiosity|любознательность; жажда знаний|Wissbegierde; Neugier; Wissensdurst|Seine Wissbegier trieb ihn dazu, viele Bücher zu lesen.|His thirst for knowledge drove him to read many books.|Его любознательность побуждала его читать много книг.|Sein Wissensdurst trieb ihn dazu, viele Bücher zu lesen.|jugendliche Wissbegier; die Wissbegier stillen; große Wissbegier zeigen|'Wissbegier' (noun, feminine) is a high-level, slightly poetic or formal synonym of 'Wissbegierde'. It is used to describe an active, positive desire to learn, unlike simple 'Neugier' (curiosity) which can be nosy.
wissen|Wissbegierde|C2|239574|thirst for knowledge; eagerness to learn|любознательность; жажда знаний|Wissbegier; Wissensdurst; Lerneifer|Die Wissbegierde der Kinder ist unerschöpflich.|Children's eagerness to learn is inexhaustible.|Любознательность детей неисчерпаема.|Der Wissensdurst der Kinder ist unerschöpflich.|unstillbare Wissbegierde; die Wissbegierde wecken; voller Wissbegierde sein|'Wissbegierde' (noun, feminine) is slightly more common than 'Wissbegier' and refers to a deep, positive intellectual curiosity or eager desire to acquire knowledge.
wissen|allwissend|C2|40700|omniscient; all-knowing|всеведущий; всезнающий|weise; allklug; unfehlbar|Gott wird oft als allwissend dargestellt.|God is often depicted as omniscient.|Бога часто изображают всеведущим.|Gott wird oft als alles wissend dargestellt.|ein allwissender Erzähler; sich allwissend gebärden; der allwissende Gott|'allwissend' (adjective) is primarily used in religious, philosophical, or literary contexts (e.g., 'allwissender Erzähler' - omniscient narrator). Informally, it can be used pejoratively to describe a know-it-all (similar to Besserwisser).
wissen|bewusst|B2|1246|conscious; deliberate; aware|сознательный; осознанный; намеренный|absichtlich; gewollt; klar; überlegt|Er traf eine bewusste Entscheidung gegen das Auto.|He made a conscious decision against the car.|Он принял осознанное решение отказаться от машины.|Er traf eine absichtliche Entscheidung gegen das Auto.|sich einer Sache bewusst sein; vollkommen bewusst; eine bewusste Entscheidung; bewusst handeln|'bewusst' can be an adjective (conscious/deliberate) or an adverb (deliberately). The construction 'sich (Dat.) einer Sache (Gen.) bewusst sein' means to be aware of something.
wissen|unwissend|C2|254670|ignorant; uneducated; unaware|невежественный; неосведомленный; незнающий|ungebildet; ahnungslos; uninformiert|Sie ließen mich über ihre Pläne völlig unwissend.|They left me completely ignorant of their plans.|Они оставили меня в полном неведении относительно своих планов.|Sie ließen mich über ihre Pläne völlig ahnungslos.|völlig unwissend; unwissende Menschen; sich unwissend stellen|'unwissend' (adjective) can mean lacking general education (ignorant) or specifically unaware of a certain fact. It is quite formal and can sometimes sound mildly derogatory.
wissen|weiterwissen|C2|85822|to know what to do next; to know how to proceed|знать, что делать дальше; находить выход|eine Lösung wissen; sich zu helfen wissen; einen Ausweg wissen|Wenn Sie nicht mehr weiterwissen, fragen Sie den Arzt.|If you don't know what to do next, ask the doctor.|Если вы больше не знаете, что делать дальше, спросите врача.|Wenn Sie keinen Ausweg mehr wissen, fragen Sie den Arzt.|nicht mehr weiterwissen; in einer Krise weiterwissen; ratlos sein und nicht weiterwissen|'weiterwissen' (verb, colloquial/standard) is commonly used in the negative form 'nicht mehr weiterwissen' (to be at one's wit's end, not knowing how to proceed or what to do next).
wissen|wissbegierig|C2|251697|eager to learn; inquisitive; curious|любознательный; жаждущий знаний|wissensdurstig; neugierig; lerneifrig|Das Kind ist sehr wissbegierig und stellt viele Fragen.|The child is very eager to learn and asks many questions.|Ребенок очень любознателен и задает много вопросов.|Das Kind ist sehr neugierig und stellt viele Fragen.|ein wissbegieriger Schüler; wissbegierig Fragen stellen; äußerst wissbegierig sein|'wissbegierig' (adjective) corresponds to the nouns 'Wissbegierde' and 'Wissbegier'. It has a strongly positive connotation of active intellectual curiosity, unlike 'neugierig', which can mean simply prying or nosey.
wissen|wissentlich|C2|25374|knowingly; deliberately; on purpose|заведомо; сознательно; намеренно|bewusst; absichtlich; vorsätzlich|Er hat die Unwahrheit wissentlich verbreitet.|He knowingly spread the untruth.|Он заведомо распространял неправду.|Er hat die Unwahrheit absichtlich verbreitet.|wissentlich lügen; etwas wissentlich tun; wissentlich verschweigen|'wissentlich' (adverb, occasionally adjective) is used to express that an action (often a negative or illicit one) was done with full awareness of its consequences or falsity. It is common in legal or formal contexts.
