word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
reiten|reiten|B1|10434|to ride (a horse), to go horseback riding|ездить верхом, скакать|traben; galoppieren; aufsitzen|Ich lerne seit drei Jahren reiten.|I have been learning to ride for three years.|Я учусь ездить верхом уже три года.|Ich lerne seit drei Jahren, auf einem Pferd zu sitzen.|ein Pferd reiten; im Galopp reiten; ausreiten gehen|Usually takes 'sein' as auxiliary verb (e.g., 'Ich bin geritten') when indicating movement to a destination or a change of location, but 'haben' is used when expressing a transitive action (e.g., 'Ich habe ein Pferd geritten').
reiten|Reitanzug|C2|204410|riding suit, riding outfit|костюм для верховой езды|Reitbekleidung; Reitkleidung; Reitkostüm|Er kaufte sich einen neuen Reitanzug für das Turnier.|He bought himself a new riding suit for the tournament.|Он купил себе новый костюм для верховой езды на турнир.|Er kaufte sich eine neue Reitbekleidung für das Turnier.|einen Reitanzug anziehen; maßgeschneiderter Reitanzug|A complete outfit specifically designed for horse riding. Often includes a jacket and matching breeches. Declination: der Reitanzug, des Reitanzug(e)s, die Reitanzüge.
reiten|Reitbahn|C2|80338|riding arena, riding track|манеж, дорожка для верховой езды|Reitplatz; Reithalle; Manege|Die Pferde drehten ihre Runden in der Reitbahn.|The horses did their rounds in the riding arena.|Лошади ходили по кругу на манеже.|Die Pferde drehten ihre Runden auf dem Reitplatz.|die Reitbahn benutzen; eine Sand-Reitbahn; die Pferde in die Reitbahn führen|Refers to the physical track or demarcated area (often outdoors but can be indoors) where horses are trained or ridden.
reiten|Reitbursche|C2|233184|stable boy, groom, young rider|конюх, молодой наездник, стремянной|Stallbursche; Reitknecht; Pferdepfleger|Der Reitbursche führte den Hengst zurück in den Stall.|The groom led the stallion back to the stable.|Конюх отвел жеребца обратно в стойло.|Der Stallbursche führte den Hengst zurück in den Stall.|ein fleißiger Reitbursche; den Reitburschen rufen|A somewhat historical or traditional term for a young male worker in charge of riding horses or assisting riders. Weak masculine noun (n-declination: des Reitburschen).
reiten|Reiter|B2|4207|rider, equestrian|всадник, наездник|Pferdesportler; Jockey|Der Reiter sprang elegant über das Hindernis.|The rider jumped elegantly over the obstacle.|Всадник элегантно перепрыгнул через препятствие.|Der Pferdesportler sprang elegant über das Hindernis.|ein erfahrener Reiter; Reiter und Pferd; abgeworfener Reiter|Gender-specific (masculine) but historically used as the generic term. Declination: der Reiter, des Reiters, die Reiter.
reiten|Reiterin|C1|21168|female rider, equestrienne|всадница, наездница|Amazone|Die Reiterin beruhigte das nervöse Pferd.|The rider calmed the nervous horse.|Всадница успокоила нервную лошадь.|Die Amazone beruhigte das nervöse Pferd.|eine talentierte Reiterin; die Reiterin des Jahres|Feminine form of 'Reiter'. Plural: die Reiterinnen.
reiten|Reitgerte|C2|129410|riding crop, whip|хлыст для верховой езды, стек|Gerte; Reitpeitsche; Peitsche|Sie hielt die Reitgerte locker in der Hand.|She held the riding crop loosely in her hand.|Она свободно держала хлыст в руке.|Sie hielt die Gerte locker in der Hand.|eine Reitgerte benutzen; die Reitgerte schwingen|A short, flexible whip used by riders to give signals to the horse. It is meant for refinement of aids, not for punishment.
reiten|Reithalle|C1|15215|indoor riding arena|крытый манеж|Reitbahn; Reitarena|Im Winter trainieren wir meistens in der Reithalle.|In winter we mostly train in the indoor riding arena.|Зимой мы в основном тренируемся в крытом манеже.|Im Winter trainieren wir meistens in der Reitarena.|eine beheizte Reithalle; in der Reithalle trainieren|Specifically refers to an indoor structure, allowing riding lessons and training during bad weather or winter. Declination: die Reithalle, die Reithallen.
reiten|Reithose|C2|98902|riding breeches, jodhpurs|бриджи для верховой езды|Jodhpurhose|Sie zog ihre neue Reithose an.|She put on her new riding breeches.|Она надела свои новые бриджи для верховой езды.|Sie zog ihre neue Jodhpurhose an.|eine elastische Reithose; Reithose mit Vollbesatz|Tight-fitting trousers designed specifically for horse riding to prevent chafing, often reinforced with leather or silicone grip (called 'Besatz').
reiten|Reitjagd|C2|138335|fox hunt (on horseback), equestrian hunt|парфорсная охота, конная охота|Schleppjagd; Parforcejagd|Die jährliche Reitjagd zog viele Zuschauer an.|The annual equestrian hunt attracted many spectators.|Ежегодная конная охота привлекла множество зрителей.|Die jährliche Schleppjagd zog viele Zuschauer an.|an einer Reitjagd teilnehmen; die traditionelle Reitjagd|Nowadays mostly organized as mock-hunts (Schleppjagd) where riders follow a scent trail rather than actual animals, due to strict animal welfare laws in Germany.
