word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
löschen|löschen|B1|2400|to delete; to extinguish; to quench (thirst)|удалять; тушить; утолять (жажду)|entfernen; tilgen; ausmachen; stillen|Der Feuerwehrmann konnte den Brand schnell löschen.|The firefighter was able to extinguish the fire quickly.|Пожарный смог быстро потушить пожар.|Der Feuerwehrmann konnte das Feuer schnell ausmachen.|ein Feuer löschen; Daten löschen; den Durst löschen; ein Konto löschen|A highly versatile verb. In IT, it means 'to delete'. In firefighting, 'to extinguish' (often interchangeable with 'ausmachen'). With thirst ('Durst'), it means 'to quench' (often interchangeable with 'stillen'). It takes a direct accusative object and requires no preposition.
löschen|durstlöschend|C2|140762|thirst-quenching|утоляющий жажду|erfrischend; durststillend|An heißen Tagen ist kaltes Wasser sehr durstlöschend.|On hot days, cold water is very thirst-quenching.|В жаркие дни холодная вода отлично утоляет жажду.|An heißen Tagen ist kaltes Wasser sehr durststillend.|ein durstlöschendes Getränk; durstlöschende Wirkung; kalt und durstlöschend|Present participle of the phrase 'Durst löschen' used as an adjective. Frequently found in advertisement copy for soft drinks, mineral water, or beer. The synonym 'durststillend' is equally common.
löschen|löschbar|C2|104568|erasable; deletable; extinguishable|стираемый; удаляемый; подлежащий удалению|entfernen; tilgbar; auslöschbar|Diese Tinte ist mit einem Spezialstift leicht löschbar.|This ink is easily erasable with a special pen.|Эти чернила легко стираются специальной ручкой.|Diese Tinte ist mit einem Spezialstift leicht entfernbar.|leicht löschbare Daten; nicht löschbar; löschbare Tinte|Adjective formed with the suffix '-bar' (equivalent to English '-able'). Mostly used in IT settings referring to files or digital storage, or in stationery referring to pens with erasable ink.
löschen|Löscher|C2|31031|extinguisher; eraser; blotter|огнетушитель; стиратель; промокашка|Feuerlöscher; Tintenlöscher; Radiergummi|Er griff sofort nach dem Löscher, um die Flammen zu bekämpfen.|He immediately reached for the extinguisher to fight the flames.|Он сразу же потянулся за огнетушителем, чтобы справиться с пламенем.|Er griff sofort nach dem Feuerlöscher, um die Flammen zu bekämpfen.|handlicher Löscher; den Löscher benutzen; Löscher für Tinte|An agent noun (der Löscher). In everyday language, it is often a shorthand for 'Feuerlöscher' (fire extinguisher) or 'Tintenlöscher' (ink eraser), depending entirely on the context.
löschen|Löschung|C1|10040|deletion; cancellation; erasure; extinguishing|удаление; аннулирование; гашение; тушение|Beseitigung; Tilgung; Annullierung; Löschen|Die Löschung der Daten erfolgt automatisch nach dreißig Tagen.|The deletion of the data occurs automatically after thirty days.|Удаление данных происходит автоматически через тридцать дней.|Die Beseitigung der Daten erfolgt automatisch nach dreißig Tagen.|die Löschung eines Kontos; die Löschung im Handelsregister; die Löschung von Daten|Noun with the suffix '-ung'. It is highly formal and commonly used in legal, bureaucratic, and technical contexts, such as deleting entries in the commercial register ('Handelsregister') or erasing database records.
löschen|ablöschen|C2|23882|to deglaze (cooking); to douse; to slake (lime)|деглазировать (кулинария); гасить (известь); тушить|aufgießen; abgießen; löschen|Man sollte den Bratensatz mit etwas Rotwein ablöschen.|One should deglaze the pan drippings with some red wine.|Следует деглазировать мясной сок на сковороде небольшим количеством красного вина.|Man sollte den Bratensatz mit etwas Rotwein aufgießen.|mit Wein ablöschen; die Pfanne ablöschen; Kalk ablöschen|A separable verb. It is most frequently encountered in culinary recipes where it means 'to deglaze' a pan. In construction or chemistry, it is used for 'Kalk ablöschen' (to slake lime).
löschen|auslöschen|C1|17484|to extinguish; to wipe out; to obliterate; to eradicate|уничтожать; истреблять; гасить; стирать из памяти|vernichten; tilgen; ausradieren; eliminieren|Der Krieg drohte die gesamte Kultur des Landes auszulöschen.|The war threatened to wipe out the country's entire culture.|Война грозила уничтожить всю культуру страны.|Der Krieg drohte die gesamte Kultur des Landes zu vernichten.|eine Existenz auslöschen; Erinnerungen auslöschen; Spuren auslöschen; ein Volk auslöschen|Separable verb. It is much stronger and more dramatic than the simple 'löschen'. It implies total destruction, obliteration, or wiping something out completely (e.g., civilizations, memories, or lives).
löschen|erlöschen|C1|10925|to expire; to go out (fire/light); to die out|угасать; прекращаться; терять силу (о договоре)|ausgehen; enden; ungültig werden; schwinden|Nach zehn Jahren wird das Patent für diese Erfindung erlöschen.|After ten years, the patent for this invention will expire.|Через десять лет патент на это изобретение прекратит свое действие.|Nach zehn Jahren wird das Patent für diese Erfindung ungültig werden.|ein Patent erlischt; das Feuer erlischt; die Liebe erlischt; ein Anspruch erlischt|An irregular, intransitive verb (erlischt, erlosch, ist erloschen). It is used for lights/fires going out naturally, and very commonly in legal contexts for rights, claims, or contracts expiring or becoming void.
löschen|verlöschen|C2|56541|to die down; to fade away; to go out (poetic/literary)|угасать; затухать (поэтич.)|erlöschen; vergehen; ersterben; verglimmen|Langsam sah er das letzte Licht im Fenster verlöschen.|Slowly he saw the last light in the window fade out.|Медленно он смотрел, как гаснет последний свет в окне.|Langsam sah er das letzte Licht im Fenster erlöschen.|die Kerze verlischt; das Bewusstsein verlischt; eine Stimme verlischt|An irregular, intransitive verb (verlischt, verlosch, ist verloschen). It is a highly poetic and literary sibling of 'erlöschen', usually applied to lights, stars, life, or voices gently dying away.
löschen|weglöschen|C2|145837|to delete; to erase (completely/quickly)|стереть; быстро удалить|entfernen; löschen; herausschneiden|Er hat die peinlichen Fotos sofort vom Handy weggelöscht.|He immediately deleted the embarrassing photos from his phone.|Он сразу же удалил позорные фотографии с телефона.|Er hat die peinlichen Fotos sofort vom Handy entfernt.|versehentlich weglöschen; Dateien weglöschen; alles weglöschen|A separable, colloquial verb. The prefix 'weg-' emphasizes the action of getting rid of something completely and quickly. It is commonly used in casual digital and computing contexts.
