word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
schießen|schießen|B1|9641|to shoot; to kick (a ball)|стрелять; пинать (мяч)|ballern; feuern; ein Tor erzielen|Er schoss den Ball direkt ins Tor.|He shot the ball directly into the goal.|Он забил мяч прямо в ворота.|Er beförderte den Ball direkt ins Tor.|ein Tor schießen; auf ein Ziel schießen; mit einer Waffe schießen|A fundamental verb. Can describe firing a gun (mit einer Waffe schießen), playing/kicking a ball in sports (ein Tor schießen), or growing extremely fast (ins Kraut schießen). Conjugated with 'haben' for shooting actions, but with 'sein' for rapid movement (wie ein Blitz herbeischießen).
schießen|abschießen|C1|12861|to shoot down; to launch (a rocket)|сбивать; запускать (ракету)|herunterschießen; eliminieren; starten|Die Jäger schossen eine Wildente ab.|The hunters shot down a wild duck.|Охотники подстрелили дикую утку.|Die Jäger erlegten eine Wildente.|ein Flugzeug abschießen; eine Rakete abschießen; den Vogel abschießen|Used primarily for shooting down targets (planes, animals) or launching rockets. The idiomatic phrase 'den Vogel abschießen' means to take the cake or to do something exceptionally well (or poorly, depending on context).
schießen|anschießen|C2|24678|to wound by shooting|ранить (выстрелом)|verletzen; verwunden; anknipsen|Der Jäger hat das Reh nur angeschossen, nicht getötet.|The hunter only wounded the deer by shooting, didn't kill it.|Охотник только ранил оленя, но не убил его.|Der Jäger hat das Reh nur verwundet, nicht getötet.|leicht angeschossen sein; ein Tier anschießen|Used when a shot inflicts a wound but isn't immediately fatal. Colloquially, 'angeschossen kommen' means to rush in extremely quickly.
schießen|aufschießen|C2|116326|to shoot up (grow); to coil (a rope)|быстро расти; сматывать бухтой (канат)|emporwachsen; schnell wachsen; aufwickeln|Die Blumen schießen im Frühling schnell auf.|The flowers shoot up quickly in spring.|Цветы весной быстро идут в рост.|Die Blumen wachsen im Frühling schnell empor.|in die Höhe aufschießen; ein Seil aufschießen|Has two main meanings: to grow rapidly (of plants or children, using auxiliary 'sein'), or to coil a rope in maritime/sailing contexts (using auxiliary 'haben').
schießen|ausschießen|C2|103727|to decide by a shooting match; to empty (by shooting)|разыгрывать в стрельбе; расстреливать полностью (патроны)|ausspielen; leer schießen|Die Schützen schossen den Vereinsmeister aus.|The marksmen determined the club champion by a shooting contest.|Стрелки разыграли первенство клуба на соревновании по стрельбе.|Die Schützen ermittelten den Vereinsmeister im Schießen.|einen Pokal ausschießen; den Meister ausschießen|Frequently used in traditional German shooting clubs (Schützenvereine) to determine a winner. Can also mean to completely empty a gun of ammunition.
schießen|beischießen|C2|205078|to contribute (money)|вносить (долю), содействовать финансово|beisteuern; hinzuzahlen; beitragen|Der Staat muss erhebliche Summen beischießen.|The state has to contribute substantial sums.|Государству приходится вносить значительные суммы.|Der Staat muss erhebliche Summen beisteuern.|Geld beischießen; Kapital beischießen|A formal, administrative, or slightly dated term for contributing funds to cover a deficit or a share of expenses. Commonly replaced by 'beisteuern' or 'zuschießen'.
schießen|beschießen|C1|14594|to bombard; to shell|обстреливать; бомбардировать|bombardieren; unter Feuer nehmen; bewerfen|Die Truppen beschossen die Festung die ganze Nacht.|The troops bombarded the fortress all night.|Войска обстреливали крепость всю ночь.|Die Truppen bombardierten die Festung die ganze Nacht.|eine Stadt beschießen; mit Fragen beschießen; eine Festung beschießen|Transitive verb. Implies targeting someone or something with ongoing gunfire, shells, or missiles. Figuratively used for bombardment with questions or arguments.
schießen|danebenschießen|C2|136598|to miss the target|промахнуться|vorbeischießen; verfehlen|Er wollte die Zielscheibe treffen, schoss aber daneben.|He wanted to hit the target but missed.|Он хотел попасть в мишень, но промахнулся.|Er wollte die Zielscheibe treffen, verfehlte sie aber.|weit danebenschießen; beim Elfmeter danebenschießen|Intransitive. Literally used for missing a shot with a gun or ball. Figuratively, it can mean to guess completely wrong.
schießen|davonschießen|C2|185658|to dash away; to rush off|умчаться; броситься наутек|davonrasen; wegeilen; davoneilen|Das verschreckte Pferd schoss davon.|The frightened horse dashed away.|Испуганная лошадь умчалась прочь.|Das verschreckte Pferd raste davon.|pfeilschnell davonschießen; mit dem Auto davonschießen|Intransitive, always takes auxiliary 'sein'. Emphasizes extremely sudden and rapid movement away from a place, similar to an arrow leaving a bow.
schießen|drauflosschießen|C2|205768|to fire away; to start speaking without hesitation|палить без разбору; заговорить без колебаний|losballern; unbesorgt anfangen; drauflosreden|Als das Signal ertönte, schossen die Soldaten drauflos.|When the signal sounded, the soldiers fired away.|Когда прозвучал сигнал, солдаты начали палить без разбору.|Als das Signal ertönte, ballerten die Soldaten einfach los.|blind drauflosschießen; einfach drauflosschießen|Colloquial. Describes starting to fire weapons continuously without precise aiming, or figuratively speaking or asking questions without thinking twice.
schießen|durchschießen|C2|114684|to shoot through; to interleave (pages)|прострелить насквозь; прокладывать (листы бумаги)|durchlöchern; durchbohren; durchsetzen|Eine Kugel hat die Fensterscheibe durchschossen.|A bullet shot through the window pane.|Пуля пробила оконное стекло насквозь.|Eine Kugel hat die Fensterscheibe durchlöchert.|ein Bein durchschießen; mit leeren Blättern durchschießen|Can be separable ('schoss durch', aux. 'sein') for moving through at lightning speed, or inseparable ('durchschoss', aux. 'haben') for piercing with a shot or interleaving book pages.
schießen|einschießen|C2|23790|to score (a goal); to zero in (a weapon); (refl.) to practice shooting|забить (гол); пристреливать (оружие); пристреливаться|einspielen; sich einspielen; erzielen|Der Stürmer schoss den Ball eiskalt ein.|The striker coolly scored the ball.|Нападающий хладнокровно забил мяч.|Der Stürmer erzielte eiskalt das Tor.|ein Tor einschießen; ein Gewehr einschießen; sich auf ein Thema einschießen|Commonly used in sports for scoring. In reflexive usage 'sich einschießen auf' means to target or fixate on someone or something, often in a negative or critical way.
schießen|emporschießen|C2|121013|to shoot up; to grow rapidly|стремительно расти вверх; взмывать|hochschießen; emporkommen; aufschießen|Neue Hochhäuser schossen überall empor.|New skyscrapers shot up everywhere.|Новые небоскребы стремительно росли повсюду.|Neue Hochhäuser wuchsen überall schnell in die Höhe.|wie Pilze aus dem Boden emporschießen; Flammen schießen empor|Expressive, literary term for rapid vertical growth or rise. Always conjugated with 'sein'.
schießen|erschießen|B2|4427|to shoot dead|застрелить; расстрелять|töten; hinrichten|Der Attentäter versuchte, den Politiker zu erschießen.|The assassin tried to shoot the politician.|Покушавшийся пытался застрелить политика.|Der Attentäter versuchte, den Politiker durch einen Schuss zu töten.|jemanden kaltblütig erschießen; sich selbst erschießen|Inseparable verb. Always signifies a fatal shooting. Highly common in news, police, and historical contexts.
schießen|fehlschießen|C2|216118|to miss the target|промахнуться|danebenschießen; vorbeischießen; verfehlen|Er zielte sorgfältig, schoss aber dennoch fehl.|He aimed carefully but still missed.|Он целился тщательно, но все равно промахнулся.|Er zielte sorgfältig, verfehlte aber dennoch das Ziel.|beim entscheidenden Versuch fehlschießen|Less frequent and more formal than 'vorbeischießen' or 'danebenschießen'. Mainly literal.
schießen|fortschießen|C2|224078|to shoot away; to rush away|отстрелить; умчаться|wegschießen; davoneilen; wegspritzen|Der Spieler schoss den Ball weit fort.|The player shot the ball far away.|Игрок забил мяч далеко вперед.|Der Spieler beförderte den Ball weit weg.|den Ball fortschießen; schnell fortschießen|Separable verb. Can mean hitting or shooting an object away from its current position (aux. 'haben'), or moving away at extreme speed (aux. 'sein').
schießen|freischießen|C2|113959|to clear by shooting; to liberate|расчистить путь стрельбой; освободить|freikämpfen; befreien|Die Soldaten mussten den Weg freischießen.|The soldiers had to clear the path by shooting.|Солдатам пришлось расчищать путь огнем.|Die Soldaten mussten den Weg freikämpfen.|sich den Weg freischießen; eine Geisel freischießen|Commonly reflexive: 'sich (Dativ) den Weg freischießen' (to shoot one's way through). Can also mean liberating captives/hostages via gunfire.
schießen|heraufschießen|C2|219721|to shoot up (towards speaker); to grow rapidly|устремляться вверх (к говорящему); быстро расти|hochschnellen; emporwachsen|Das Wasser schoss plötzlich aus dem Loch herauf.|The water suddenly shot up out of the hole.|Вода внезапно хлынула вверх из отверстия.|Das Wasser schoss plötzlich aus dem Loch empor.|aus der Tiefe heraufschießen; empor heraufschießen|Combines 'herauf' (upwards to speaker) and 'schießen'. Used for fast-gushing liquids, rapid growth, or projectiles heading upward towards the observer.
schießen|herausschießen|C2|59640|to gush out; to shoot out|хлынуть; вылететь пулей; выстрелить наружу|herausspritzen; herausströmen; hervorquellen|Das Blut schoss aus der Wunde heraus.|The blood gushed out of the wound.|Кровь хлынула из раны.|Das Blut spritzte aus der Wunde heraus.|aus der Kurve herausschießen; aus dem Tor herausschießen|Describes a sudden, explosive exit. Often used for liquids under pressure (blood, oil, water) or vehicles exiting a curve or gate at extreme speed.
schießen|herumschießen|C2|144113|to spin around quickly; to shoot around|резко повернуться; палить во все стороны|sich schnell umdrehen; wild umherballern|Der Polizist hörte ein Geräusch und schoss herum.|The police officer heard a noise and spun around quickly.|Полицейский услышал шум и резко повернулся.|Der Polizist hörte ein Geräusch und drehte sich blitzschnell um.|im Kreis herumschießen; sich blitzschnell herumschießen|'Sich herumschießen' or just 'herumschießen' is used to denote an extremely fast rotation of the body (spinning around), or literally shooting in different directions without a clear target.
schießen|herunterschießen|C2|141419|to shoot down (from above)|сбить выстрелом вниз; обстреливать сверху вниз|herabballern; abschießen|Sie wollten den Apfel vom Baum herunterschießen.|They wanted to shoot the apple down from the tree.|Они хотели сбить яблоко с дерева выстрелом.|Sie wollten den Apfel vom Baum herabwerfen.|ein Flugzeug herunterschießen; Früchte herunterschießen|Literally describes shooting something from a higher position down to a lower one. 'Herunter-' implies downwards towards the speaker.
schießen|hervorschießen|C2|137949|to dart out; to burst forth|выскочить; устремиться вперед; внезапно появиться|hervorspringen; hervorbrechen; herausschießen|Eine Katze schoss plötzlich unter dem Auto hervor.|A cat suddenly darted out from under the car.|Из-под машины внезапно выскочила кошка.|Eine Katze sprang plötzlich unter dem Auto hervor.|aus dem Versteck hervorschießen; wie ein Blitz hervorschießen|Always takes auxiliary 'sein'. Used when animals, people, or objects suddenly and rapidly move out of a hiding place or cover.
schießen|hinaufschießen|C2|172977|to shoot up (away from speaker); to skyrocket|устремляться вверх (от говорящего); взлетать (о ценах)|hochjagen; hinaufstürmen|Die Preise schossen im letzten Monat hinauf.|Prices shot up last month.|Цены взлетели вверх в прошлом месяце.|Die Preise stiegen im letzten Monat rasant an.|steil hinaufschießen; in die Höhe hinaufschießen|Indicates rapid movement upwards, away from the observer. Very commonly used for statistics, temperatures, or financial values skyrocketing.
schießen|hinausschießen|C2|39559|to overshoot; to shoot out|превысить; выстрелить наружу; промахнуться|hindexfeuern; überschreiten; übertreffen|Er schoss weit über das Ziel hinaus.|He shot far beyond the target.|Он выстрелил далеко за пределы цели.|Er übertraf das eigentliche Ziel bei weitem.|über das Ziel hinausschießen; ins All hinausschießen|The figurative phrase 'über das Ziel hinausschießen' is extremely common, meaning to go too far, overcompensate, or overdo something.
schießen|hineinschießen|C2|134472|to shoot into; to dart in|выстрелить внутрь; забить внутрь; внезапно промелькнуть|hineinballern; hineinfahren|Er schoss den Ball direkt in den Winkel hinein.|He shot the ball right into the corner.|Он забил мяч прямо в девятку.|Er beförderte den Ball direkt in den Winkel.|ein Tor hineinschießen; Gedanken schießen hinein|Combines 'hinein' (into) and 'schießen'. Can refer to a physical shot, or figuratively to ideas suddenly entering one's head ('ein Gedanke schoss mir hinein').
schießen|hinschießen|C2|143109|to rush to a place; to shoot towards a target|помчаться туда; выстрелить в том направлении|hinrasen; hileilen; hinfliegen|Sobald er den Knall hörte, schoss er dorthin.|As soon as he heard the bang, he rushed there.|Как только он услышал грохот, он помчался туда.|Sobald er den Knall hörte, raste er dorthin.|eilig hinschießen; blitzschnell hinschießen|Mainly used to describe extreme speed when traveling to a specific destination.
schießen|hinüberschießen|C2|213350|to shoot across; to rush over|выстрелить на ту сторону; быстро перебраться|herüberschießen; rüberspringen|Der Soldat schoss den Ball auf die andere Seite hinüber.|The soldier kicked the ball over to the other side.|Солдат перебросил мяч на другую сторону.|Der Soldat beförderte den Ball auf die andere Seite.|über die Grenze hinüberschießen; schnell hinüberschießen|Combines 'hinüber' (across, away from speaker) and 'schießen'. Can be used for shooting projectiles or moving oneself very quickly across a border/limit.
schießen|hinunterschießen|C2|175128|to rush down; to shoot downwards|стремительно нестись вниз; выстрелить вниз|hinabstürzen; herunterrasen|Die Skifahrer schossen den Steilhang hinunter.|The skiers rushed down the steep slope.|Лыжники стремительно неслись вниз по крутому склону.|Die Skifahrer rasten den Steilhang hinab.|den Berg hinunterschießen; mit hoher Geschwindigkeit hinunterschießen|Implies very fast movement downward, away from the observer (e.g., skiing, sledding, driving down a hill). Always takes 'sein' in this motion sense.
schießen|hochschießen|C2|90689|to shoot up; to soar; to grow fast|взлетать; стремительно расти|emporschnellen; aufschießen; stark steigen|Die Unkrautpflanzen schießen nach dem Regen hoch.|The weeds shoot up after the rain.|Сорняки стремительно растут после дождя.|Die Unkrautpflanzen wachsen nach dem Regen sehr schnell.|in die Luft hochschießen; die Flammen schießen hoch|A highly common colloquial and written verb for sudden upward growth or motion (prices, plants, fire).
schießen|krankschießen|C2|225206|to wound (game) by shooting|ранить (зверя на охоте)|anschießen; verwunden|Es ist unethisch, ein Wildtier nur krankzuschießen.|It is unethical to only wound a wild animal by shooting.|Неэтично просто ранить дикое животное на охоте.|Es ist unethisch, ein Wildtier nur anzuschießen.|ein Stück Wild krankschießen|A technical term used in hunting (Jägersprache) for wounding an animal without killing it instantly, causing it to suffer or run away injured.
schießen|losschießen|C2|138072|to shoot; to start talking/asking questions|палить; начать говорить; выкладывать|anfangen zu erzählen; loslegen; abfeuern|Schieß los! Ich bin ganz Ohr.|Shoot! I'm all ears.|Выкладывай! Я весь во внимании.|Fang an zu erzählen! Ich bin ganz Ohr.|einfach losschießen; mit Fragen losschießen|Highly common in spoken German as an imperative 'Schieß los!' meaning 'Go ahead and tell/ask me!'.
schießen|niederschießen|C2|48628|to shoot down (a person); to gun down|подстрелить; расстрелять; сразить выстрелом|erschießen; niederstrecken; über den Haufen schießen|Der Bankräuber versuchte, den Wachmann niederzuschießen.|The bank robber tried to shoot down the security guard.|Грабитель банка пытался подстрелить охранника.|Der Bankräuber versuchte, den Wachmann niederzustrecken.|kaltblütig niederschießen; auf offener Straße niederschießen|Refers to shooting a person so that they fall to the ground. It usually implies critical injury and potential death, but focuses on the physical fall.
schießen|querschießen|C2|125038|to thwart; to obstruct; to cross someone|вставлять палки в колеса; мешать; идти наперекор|dazwischenfunken; sabotieren; blockieren; opponieren|Er muss immer querschießen, wenn wir eine Entscheidung treffen wollen.|He always has to obstruct when we want to make a decision.|Он всегда должен вставлять палки в колеса, когда мы хотим принять решение.|Er muss immer dazwischenfunken, wenn wir eine Entscheidung treffen wollen.|bei Verhandlungen querschießen; immer querschießen|Used exclusively in a figurative sense to describe someone disrupting, sabotaging, or opposing plans, agreements, or processes.
schießen|totschießen|C2|111043|to shoot dead|застрелить насмерть|erschießen; töten|Er drohte, jeden totschießen zu lassen, der flieht.|He threatened to have anyone shot dead who flees.|Он угрожал приказать застрелить любого, кто побежит.|Er drohte, jeden erschießen zu lassen, der flieht.|jemanden kaltblütig totschießen|A blunt, raw, and sometimes colloquial synonym of 'erschießen'.
schießen|überschießen|C2|127902|to overshoot; to exceed; to be in excess|превышать; переваливать; перестреливать|hinausschießen über; überschreiten; überborden|Die Kosten für das Projekt schossen weit über.|The costs for the project exceeded the budget significantly.|Расходы на проект значительно превысили бюджет.|Die Kosten für das Projekt überschritten den Rahmen deutlich.|überschießende Reaktionen; überschießende Kosten|Can be used as a verb (often with 'über') or, very frequently, as a participle 'überschießend', meaning surplus, hyper-reactive, or excessive (e.g., in medicine or economics).
schießen|verschießen|C1|13412|to miss (a penalty/shot); to use up ammunition; (refl.) to fall in love|промахнуться; расстрелять (патроны); (refl.) влюбиться|verballern; verfehlen; sich verlieben|Der Spieler verschoss den entscheidenden Elfmeter.|The player missed the decisive penalty.|Игрок промахнулся с решающего пенальти.|Der Spieler verfehlte das Tor beim entscheidenden Elfmeter.|Munition verschießen; einen Elfmeter verschießen; sich in jemanden verschießen|In sports, it means missing a crucial shot. In the reflexive form 'sich verschießen in + Akk.', it is a highly common colloquial term for catching a crush on someone.
schießen|vorbeischießen|C2|63785|to miss the target; to flash past|промахнуться; промчаться мимо|verfehlen; vorbeirasen; danebenschießen|Der Pfeil schoss am Ziel vorbei.|The arrow shot past the target.|Стрела пролетела мимо цели.|Der Pfeil verfehlte das Ziel.|knapp vorbeischießen; am Tor vorbeischießen; im Auto vorbeischießen|Literal meaning is missing a target (using 'haben'). It can also describe a person or object passing by at incredible speed (using 'sein').
schießen|vorschießen|C2|83298|to advance (money); to dart forward|одолжить; выдать аванс; стремительно выдвинуться вперед|leihen; vorstrecken; nach vorne schnellen|Kannst du mir bitte das Geld für das Ticket vorschießen?|Can you please advance me the money for the ticket?|Можешь, пожалуйста, одолжить мне деньги на билет?|Kannst du mir bitte das Geld für das Ticket vorstrecken?|Geld vorschießen; bar vorschießen; nach vorn vorschießen|In daily life, this is almost exclusively used for lending or advancing money temporarily. Physically, it means shooting forward or darting ahead.
schießen|vorüberschießen|C2|223490|to flash past; to fly by|промчаться мимо|vorbeirasen; vorbeifliegen; vorbeieilen|Die Schnellzüge schossen an uns vorüber.|The express trains flashed past us.|Скорые поезда проносились мимо нас.|Die Schnellzüge rasten an uns vorbei.|wie ein Schatten vorüberschießen; an den Augen vorüberschießen|Elevated or literary style. Describes things passing by extremely quickly, like thoughts, trains, or birds. Conjugated with 'sein'.
schießen|wegschießen|C2|83226|to shoot away; to blow away; to clear (sports)|отстрелить; сдуть выстрелом; выбить (мяч)|wegpusten; wegbomben; abschießen|Der Wind schien die Wolken fast wegzuschießen.|The wind seemed to almost blow the clouds away.|Ветер, казалось, почти сдувал облака.|Der Wind schien die Wolken fast wegzupusten.|ein Ziel wegschießen; den Ball wegschießen|Can mean literally blowing or shooting something away. In sports like football or hockey, it means clearing the ball/puck away forcefully to defend.
schießen|weiterschießen|C2|153061|to continue shooting; to pass the ball further|продолжать стрелять; передавать мяч дальше|fortfahren zu schießen; weiterleiten|Trotz des Waffenstillstands schossen einige Soldaten weiter.|Despite the ceasefire, some soldiers continued shooting.|Несмотря на перемирие, некоторые солдаты продолжали стрелять.|Trotz des Waffenstillstands fuhren einige Soldaten mit dem Schießen fort.|einfach weiterschießen; den Ball direkt weiterschießen|Simple compound of 'weiter-' (further/continue) and 'schießen'. Usually used intransitively or in sports.
schießen|zerschießen|C2|36341|to shoot to pieces; to ruin (plans/code)|расстрелять; разнести вдребезги; испортить|zerstören; kaputtschießen; zerfetzen|Die Granaten zerschossen das Dach des Gebäudes.|The shells destroyed the roof of the building.|Снаряды разнесли крышу здания.|Die Granaten zerstörten das Dach des Gebäudes völlig.|ein Fenster zerschießen; die Hoffnungen zerschießen; den Reifen zerschießen|Inseparable verb. Literally means destroying or damaging something completely with gun/artillery fire. Figuratively, it is used for ruining plans or software (e.g., 'das Update hat mein System zerschossen').
schießen|zurückschießen|C2|73632|to shoot back; to return fire; to retort|стрелять в ответ; вести ответный огонь; парировать|das Feuer erwidern; antworten|Die Soldaten durften erst zurückschießen, als sie angegriffen wurden.|The soldiers were only allowed to return fire when they were attacked.|Солдатам разрешалось вести ответный огонь только при нападении.|Die Soldaten durften erst das Feuer erwidern, als sie angegriffen wurden.|sofort zurückschießen; mit Worten zurückschießen|Literally returning fire in combat. Figuratively, it is used for reacting extremely quickly and sharply with words or arguments in a debate.
schießen|zusammenschießen|C2|93794|to shoot down; to demolish; to pool money|разрушить обстрелом; расстрелять; объединить деньги|zertrümmern; ruinieren; zusammenlegen|Die Artillerie hat das ganze Dorf zusammengeschossen.|The artillery shot the entire village to pieces.|Артиллерия полностью разнесла всю деревню.|Die Artillerie hat das ganze Dorf völlig zerstört.|ein Gebäude zusammenschießen; Geld zusammenschießen|Usually means destroying structures completely by military fire. In colloquial Austrian/German dialects, it can also mean pooling money together for a joint purpose.
schießen|zuschießen|C2|34950|to contribute (money); to subsidize; to rush towards|добавлять (деньги); субсидировать; устремиться к|subventionieren; finanzieren; hinzuzahlen; herbeieilen|Die Großeltern mussten für den Autokauf einiges zuschießen.|The grandparents had to contribute quite a bit for the car purchase.|Бабушке с дедушкой пришлось изрядно доплатить за покупку машины.|Die Großeltern mussten für den Autokauf einiges dazuzahlen.|Geld zuschießen; staatliche Mittel zuschießen; auf jemanden zuschießen|Most frequently used to describe adding money to a fund or budget to cover costs. 'Auf jemanden zuschießen' can also mean rushing or running towards someone at high speed (aux. 'sein').
