word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
fragen|fragen|A1|406|to ask|спрашивать|sich erkundigen; anfragen; nachfragen|Er fragte mich nach dem Weg.|He asked me for directions.|Он спросил меня о дороге.|Er erkundigte sich bei mir nach dem Weg.|jemanden nach etwas fragen; um Rat fragen; höflich fragen|Weak verb taking accusative for the person being asked ('jemanden fragen') and the preposition 'nach' (+ dative) for the topic of the question.
fragen|fraglich|B2|4180|questionable; doubtful; in question|сомнительный; спорный; под вопросом|zweifelhaft; unsicher; strittig|Es ist noch fraglich, ob er morgen kommt.|It is still doubtful whether he will come tomorrow.|Еще сомнительно, придет ли он завтра.|Es ist noch unsicher, ob er morgen kommt.|höchst fraglich sein; ein fraglicher Punkt; es ist fraglich, ob...|Commonly used as an adjective or predicate. 'Es ist fraglich, ob...' is a standard construction. It can also refer to 'the item in question' ('die fragliche Person').
fragen|gefragt|C1|9894|in demand; popular; sought-after|пользующийся спросом; популярный; востребованный|beliebt; begehrt; gesucht|Ingenieure sind auf dem Arbeitsmarkt derzeit sehr gefragt.|Engineures are currently in high demand in the job market.|Инженеры сейчас очень востребованы на рынке труда.|Ingenieure sind auf dem Arbeitsmarkt derzeit sehr begehrt.|sehr gefragt sein; eine gefragte Person; ein gefragtes Produkt|Adjectival participle of 'fragen'. Frequently used with 'sein' ('gefragt sein') to indicate high demand or popularity. Contrast with 'beliebt' (liked/popular), 'gefragt' emphasizes necessity or demand.
fragen|Frage|A1|166|question; issue|вопрос|Problem; Angelegenheit; Anliegen|Haben Sie noch eine Frage zu diesem Thema?|Do you have another question about this topic?|У вас есть еще вопрос по этой теме?|Haben Sie noch ein Anliegen zu diesem Thema?|eine Frage stellen; außer Frage stehen; in Frage kommen|Feminine noun. 'Eine Frage stellen' (to ask a question) is the standard functional verb construction. Idioms: 'in Frage kommen' (to be eligible/an option), 'außer Frage stehen' (to be beyond question).
fragen|Fragebogen|B2|8687|questionnaire|анкета; опросный лист|Umfragebogen; Erhebungsbogen; Formular|Bitte füllen Sie diesen Fragebogen vollständig aus.|Please fill out this questionnaire completely.|Пожалуйста, заполните эту анкету полностью.|Bitte füllen Sie dieses Formular vollständig aus.|einen Fragebogen ausfüllen; standardisierter Fragebogen; Fragebogen auswerten|Masculine noun. Composed of 'Frage' (question) and 'Bogen' (sheet of paper/arc). Commonly paired with the verb 'ausfüllen' (to fill out) or 'auswerten' (to analyze/evaluate).
fragen|Frager|C2|68031|questioner; inquirer|спрашивающий; расспрашивающий|Fragesteller; Interrogator; Fragender|Der Frager wartete geduldig auf eine Antwort.|The questioner waited patiently for an answer.|Спрашивающий терпеливо ждал ответа.|Der Fragesteller wartete geduldig auf eine Antwort.|ein hartnäckiger Frager; der anonyme Frager|Masculine noun. Less common than 'Fragesteller', but refers directly to the person posing a question. Often used in journalistic or academic contexts.
fragen|abfragen|C1|11201|to test; to query; to retrieve (data)|опрашивать (проверять знания); запрашивать (данные)|prüfen; abhören; testen; abrufen|Der Lehrer wollte heute die Vokabeln abfragen.|The teacher wanted to test the vocabulary today.|Учитель хотел сегодня опросить слова.|Der Lehrer wollte heute die Vokabeln prüfen.|Vokabeln abfragen; Wissen abfragen; eine Datenbank abfragen|Separable verb. Specifically implies testing someone's knowledge (like vocabulary or facts) systematically, or executing a query on a database.
fragen|anfragen|C1|10083|to inquire; to request (information/offer)|запрашивать; делать запрос|anfordern; nachfragen; sich erkundigen|Wir haben bei mehreren Hotels wegen freier Zimmer angefragt.|We inquired at several hotels about vacant rooms.|Мы сделали запрос в несколько отелей насчет свободных номеров.|Wir haben uns bei mehreren Hotels nach freien Zimmern erkundigt.|ein Angebot anfragen; unverbindlich anfragen; bei einer Behörde anfragen|Separable verb. Commonly used in business and formal communications. Often constructed with 'bei' (+ dative, the person/institution asked) and 'wegen' (+ genitive/dative, the topic) or 'nach'.
fragen|ausfragen|C2|50092|to cross-examine; to interrogate; to pump for information|расспрашивать; выпытывать; допрашивать|verhören; aushorchen; befragen|Die Detektive wollten den Zeugen gründlich ausfragen.|The detectives wanted to interrogate the witness thoroughly.|Детективы хотели досконально расспросить свидетеля.|Die Detektive wollten den Zeugen gründlich aushorchen.|jemanden über ein Thema ausfragen; neugierig ausfragen; gründlich ausfragen|Separable verb. Implies asking many or persistent questions to extract information, sometimes in an intrusive or highly detailed manner. Grammatically: 'jemanden (Akk) über etwas (Akk) / nach etwas (Dat) ausfragen'.
fragen|befragen|B2|3950|to interview; to consult; to poll|опрашивать; интервьюировать; консультироваться|interviewen; vernehmen; befragen|Die Polizei befragte gestern die Nachbarn.|The police interviewed the neighbors yesterday.|Полиция вчера опросила соседей.|Die Polizei vernahm gestern die Nachbarn.|Experten befragen; Zeugen befragen; die Bevölkerung befragen|Inseparable verb. Typically used for structured or formal questioning (like polling, police questioning, or consulting experts). Takes a direct accusative object of the person questioned.
fragen|dazwischenfragen|C2|201171|to interrupt with a question; to interject a question|перебивать вопросом; вклиниваться с вопросом|unterbrechen; dazwischenrufen; einwerfen|Es ist unhöflich, ständig dazwischenzufragen, wenn jemand spricht.|It is rude to constantly interrupt with questions when someone is speaking.|Невежливо постоянно перебивать вопросами, когда кто-то говорит.|Es ist unhöflich, ständig zu unterbrechen, wenn jemand spricht.|einfach dazwischenfragen; ungefragt dazwischenfragen|Separable verb. Indicates interrupting a presentation, lecture, or conversation by asking a question. Often perceived as disruptive or rude.
fragen|durchfragen|C2|97401|to find one's way by asking; to ask around|расспрашивать дорогу; пробираться, расспрашивая людей|sich durchfragen|Da wir keine Karte hatten, mussten wir uns zum Bahnhof durchfragen.|Since we had no map, we had to find our way to the station by asking.|Так как у нас не было карты, нам пришлось расспрашивать дорогу до вокзала.|Da wir keinen Stadtplan hatten, mussten wir den Weg zum Bahnhof erfragen.|sich zum Ziel durchfragen; sich mühsam durchfragen|Separable reflexive verb ('sich durchfragen'). Used when navigating a place without a map or directions, relying solely on asking passersby for instructions.
fragen|erfragen|C1|10615|to inquire about; to ascertain by asking|разузнавать; осведомляться|in Erfahrung bringen; herausfinden; ermitteln|Sie können die genauen Termine im Sekretariat erfragen.|You can inquire about the exact dates in the office.|Вы можете узнать точные даты в секретариате.|Sie können die genauen Termine im Sekretariat in Erfahrung bringen.|Details erfragen; den Preis erfragen; telefonisch erfragen|Inseparable verb. Implies obtaining specific information or details as a result of asking. Usually takes a direct object (the information sought: 'Details erfragen').
fragen|gegenfragen|C2|144425|to counter-question; to ask a question in return|задавать встречный вопрос|zurückfragen; entgegnen|Anstatt zu antworten, pflegte er stets gegenzufragen.|Instead of answering, he always used to ask a counter-question.|Вместо ответа он всегда задавал встречный вопрос.|Anstatt zu antworten, pflegte er stets zurückzufragen.|misstrauisch gegenfragen; sofort gegenfragen|Separable verb, though rarely used in its conjugated verb forms, often appearing as an infinitive or as a noun ('die Gegenfrage'). It means responding to a question with another question.
