word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
bauen|bauen|B1|609|to build; to construct; to rely on|строить; сооружать; полагаться|errichten; konstruieren; herstellen; vertrauen|Wir wollen ein neues Haus bauen.|We want to build a new house.|Мы хотим построить новый дом.|Wir wollen ein neues Haus errichten.|ein Haus bauen; auf jemanden bauen; eine Straße bauen; eine Karriere bauen|The most general verb for constructing physical things like buildings, roads, or objects. Figuratively, it can be used with 'auf' + accusative to mean 'to rely on someone/something' (e.g., Ich baue auf deine Hilfe).
bauen|mauern|C1|24107|to lay bricks; to stonewall; to obstruct|класть кирпичную кладку; отмалчиваться; саботировать|Ziegel legen; blockieren; schweigen; ausweichen|Der Handwerker muss die Wand neu mauern.|The craftsman has to brick the wall again.|Мастер должен заново выложить стену из кирпича.|Der Handwerker muss die Wand neu errichten.|eine Wand mauern; Steine mauern; im Parlament mauern|Literally means to build with bricks or stone. Figuratively, in politics and negotiations, it means to 'stonewall', withhold information, or refuse to cooperate.
bauen|zimmern|C2|23521|to carpenter; to craft (from wood); to put together|плотничать; мастерить из дерева; сколачивать|schreinern; anfertigen; basteln; zusammenbauen|Er zimmerte ein kleines Vogelhaus aus Holz.|He carpentered a small birdhouse out of wood.|Он смастерил из дерева маленький скворечник.|Er schreinerte ein kleines Vogelhaus aus Holz.|ein Bett zimmern; eine Holzhütte zimmern; sich eine Karriere zimmern|Strictly refers to working with timber or wood (carpentry). Figuratively, it denotes making something in a rough, hands-on, or improvised manner (e.g., sich eine Theorie zimmern).
bauen|abbauen|B2|3394|to dismantle; to reduce; to mine; to degrade|разбирать; сокращать; добывать (ископаемые); снимать напряжение|demontieren; reduzieren; verringern; fördern; abbringen|Die Arbeiter müssen die Bühne nach dem Konzert abbauen.|The workers have to dismantle the stage after the concert.|Рабочие должны разобрать сцену после концерта.|Die Arbeiter müssen die Bühne nach dem Konzert demontieren.|Stress abbauen; Arbeitsplätze abbauen; Vorurteile abbauen; Kohle abbauen|Extremely versatile. Used for physical dismantling (opposite of aufbauen), mining ores/coal, or reducing abstract things like stress, prejudice, or staff size.
bauen|anbauen|B2|8229|to cultivate; to grow (crops); to build an annex|выращивать (растения); пристраивать (здание)|anpflanzen; kultivieren; anfügen; vergrößern|Der Bauer möchte dieses Jahr Bio-Gemüse anbauen.|The farmer wants to grow organic vegetables this year.|Фермер хочет выращивать органические овощи в этом году.|Der Bauer möchte dieses Jahr Bio-Gemüse anpflanzen.|Gemüse anbauen; Getreide anbauen; einen Flügel an das Haus anbauen|Has two main meanings: 1) agricultural cultivation of crops/plants, 2) architectural addition or structural extension to an existing building.
bauen|aufbauen|B2|1309|to build up; to establish; to assemble; to encourage|строить; основывать; монтировать; подбадривать|errichten; aufstellen; etablieren; gründen; ermutigen|Wir wollen ein neues Unternehmen aufbauen.|We want to build up a new company.|Мы хотим построить новую компанию.|Wir wollen ein neues Unternehmen gründen.|eine Existenz aufbauen; Vertrauen aufbauen; ein Zelt aufbauen; ein Argument aufbauen|Refers to assembling structures (like tents or exhibition stands) or establishing abstract entities (trust, a career, businesses). Reflexively or transitively, it can mean to support or encourage someone emotionally (jemanden wieder aufbauen).
bauen|ausbauen|B2|2130|to expand; to extend; to remove (a component)|расширять; развивать; демонтировать (деталь)|erweitern; vergrößern; entnehmen; demontieren|Die Regierung möchte das Radwegnetz weiter ausbauen.|The government wants to expand the bicycle path network further.|Правительство хочет дальше расширять сеть велосипедных дорожек.|Die Regierung möchte das Radwegnetz weiter erweitern.|eine Führung ausbauen; Kontakte ausbauen; den Dachboden ausbauen; einen Motor ausbauen|Used for upgrading, extending, or enlarging existing infrastructure or abstract positions (like a lead in points). In technical contexts, it means to dismantle and extract a component from a machine.
bauen|auseinanderbauen|C2|87675|to take apart; to disassemble|разбирать на части; демонтировать|zerlegen; demontieren; abbauen|Er musste das Fahrrad auseinanderbauen, um es zu reparieren.|He had to take the bicycle apart to repair it.|Ему пришлось разобрать велосипед, чтобы починить его.|Er musste das Fahrrad zerlegen, um es zu reparieren.|einen Motor auseinanderbauen; ein Regal auseinanderbauen; Möbel auseinanderbauen|A highly descriptive, colloquial to standard word for disassembling objects into their constituent parts. Direct opposite of zusammenbauen.
bauen|bebauen|C1|14897|to build on; to cultivate (land)|застраивать; возделывать (землю)|zubauen; besiedeln; kultivieren; bepflanzen|Das freie Grundstück soll bald bebaut werden.|The vacant plot is to be built on soon.|Свободный участок земли скоро должен быть застроен.|Auf dem freien Grundstück sollen bald Häuser errichtet werden.|ein Grundstück bebauen; ein Feld bebauen; dicht bebautes Gebiet|Transitive verb meaning to cover an area of land with buildings. Historically or agriculturally, it can also mean to cultivate/work a field.
bauen|einbauen|B2|3802|to install; to integrate; to incorporate|встраивать; устанавливать; интегрировать|installieren; integrieren; einfügen; einsetzen|Wir lassen eine neue Küche einbauen.|We are having a new kitchen installed.|Мы устанавливаем новую кухню.|Wir lassen eine neue Küche installieren.|ein Fenster einbauen; eine Heizung einbauen; Witze in eine Rede einbauen|Literally means to install a physical component into a larger structure (e.g., a window in a wall). Figuratively, it means to integrate elements into a speech, text, schedule, or concept.
bauen|erbauen|B2|9812|to erect; to build; to edify; to please|сооружать; воздвигать; назидать; радовать|errichten; konstruieren; erfreuen; erheben|Die Kirche wurde im 12. Jahrhundert erbaut.|The church was built in the 12th century.|Церковь была построена в XII веке.|Die Kirche wurde im 12. Jahrhundert errichtet.|ein Schloss erbauen; eine Stadt erbauen; sich an schöner Musik erbauen|Often used in an elevated or literary style when referring to magnificent or historic buildings. Reflexively ('sich erbauen an' + dative), it means to find spiritual, moral, or aesthetic uplift/pleasure in something.
bauen|hinbauen|C2|95341|to build there; to put up (a structure) somewhere|построить туда; пристроить; примостить|hinstellen; hinsetzen; errichten|Wer hat diese hässliche Garage dorthin gebaut?|Who built that ugly garage there?|Кто построил там этот уродливый гараж?|Wer hat diese hässliche Garage dorthin gesetzt?|einfach etwas hinbauen; ein Haus hinbauen|Mainly colloquial. Implies erecting a building or physical object at a specific location, often with an undertone of carelessness, suddenness, or lack of aesthetics.
bauen|nachbauen|C1|19219|to copy; to replicate; to build a model of|копировать; воссоздавать (по образцу); строить копию|kopieren; imitieren; nachbilden; rekonstruieren|Er hat das historische Schiff als Modell nachgebaut.|He replicated the historical ship as a model.|Он воссоздал исторический корабль в виде модели.|Er hat das historische Schiff als Modell nachgebildet.|ein Instrument nachbauen; ein Modell nachbauen; ein Rezept nachkochen|Refers to creating a replica or copying the physical layout of an existing design, structure, or mechanism.
bauen|rückbauen|C2|70261|to dismantle; to deconstruct; to restore to natural state|демонтировать; сносить (для рекультивации)|abbauen; demontieren; zurückbauen; renaturieren|Das alte Atomkraftwerk soll schrittweise rückgebaut werden.|The old nuclear power plant is to be dismantled step by step.|Старую атомную электростанцию планируется демонтировать шаг за шагом.|Das alte Atomkraftwerk soll schrittweise demontiert werden.|ein Kraftwerk rückbauen; Straßen rückbauen; Industrieanlagen rückbauen|A modern technical/administrative term used in civil engineering and environmental contexts. It describes dismantling structures with the goal of ecological restoration or simplification. Synonymous with 'zurückbauen'.
bauen|überbauen|C2|36603|to build over; to construct a superstructure; to cross boundary (construction)|застраивать сверху; перекрывать постройками|überdachen; bebauen; zubauen|Der Investor möchte den Parkplatz mit Wohnungen überbauen.|The investor wants to build apartments over the parking lot.|Инвестор хочет застроить парковку квартирами сверху.|Der Investor möchte den Parkplatz mit Wohnungen bebauen.|ein Grundstück überbauen; eine Grenze überbauen; Bahngleise überbauen|Refers to building on top of or across an area (e.g., covering tracks or streets with a bridge/building). In legal contexts, 'überbauen' can refer to a structure encroaching onto a neighbor's plot.
bauen|umbauen|B2|5187|to renovate; to remodel; to restructure|перестраивать; реконструировать; реорганизовать|renovieren; umgestalten; reformieren; modifizieren|Wir müssen das Dachgeschoss umbauen, um mehr Platz zu haben.|We need to remodel the attic to have more space.|Нам нужно перестроить чердак, чтобы освободить больше места.|Wir müssen das Dachgeschoss umgestalten, um mehr Platz zu haben.|ein Haus umbauen; das Kabinett umbauen; eine Struktur umbauen|Refers to modifying or rearranging an existing physical structure. Figuratively, it is often applied to political cabinets, corporate structures, or systems.
bauen|verbauen|B2|6628|to block (with buildings); to use up materials; to ruin (chances)|загораживать (постройками); использовать (стройматериалы); портить (шансы)|versperren; blockieren; verbrauchen; ruinieren|Ein neues Hochhaus würde uns die Sicht aufs Meer verbauen.|A new high-rise would block our view of the sea.|Новое высотное здание закрыло бы нам вид на море.|Ein neues Hochhaus würde uns die Sicht aufs Meer versperren.|die Sicht verbauen; sich die Zukunft verbauen; Materialien verbauen|Commonly used in two ways: 1) physically blocking an access or a view through construction, 2) figuratively spoiling opportunities ('sich den Weg verbauen'). It can also mean to incorporate raw materials into a building.
bauen|vorbauen|C2|74559|to take precautions; to construct a projection/extension|принимать меры предосторожности; делать выступ|vorbeugen; vorsorgen; absichern|Um für Notfälle vorzubauen, legt er Geld zurück.|To make provisions for emergencies, he sets money aside.|Чтобы застраховаться на случай чрезвычайных ситуаций, он откладывает деньги.|Um für Notfälle vorzubeugen, legt er Geld zurück.|für das Alter vorbauen; für Krisenzeiten vorbauen|Almost exclusively used in its figurative meaning: 'to take precautions' or 'make provisions for the future' (usually with 'für' + accusative). The literal meaning of adding a physical projection is rare.
bauen|weiterbauen|C2|41629|to continue building|продолжать строительство|fortfahren; fortsetzen|Nach der Winterpause konnten sie endlich an dem Haus weiterbauen.|After the winter break, they were finally able to continue building the house.|После зимнего перерыва они наконец смогли продолжить строительство дома.|Nach der Winterpause konnten sie endlich die Arbeiten am Haus fortsetzen.|an der Autobahn weiterbauen; ein Haus weiterbauen|A straightforward combination of 'weiter' (continue) and 'bauen'. Often takes the preposition 'an' + dative to refer to the ongoing project.
