word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
lenken|lenken|B1|3764|to steer; to guide; to direct|направлять; управлять; рулить|steuern; leiten; dirigieren; führen|Sie lenkt das Auto geschickt durch die engen Gassen.|She steers the car skillfully through the narrow alleys.|Она умело ведет машину по узким переулкам.|Sie steuert das Auto geschickt durch die engen Gassen.|das Auto lenken; den Blick auf etwas lenken; die Aufmerksamkeit lenken; das Schicksal lenken|lenken is used for physical steering (e.g., vehicles) and metaphorical directing (e.g., attention, focus, or thoughts). Grammatically, it is transitive, often taking a direct object or followed by prepositions like auf (+ Accusative) or in (+ Accusative).
lenken|lenkbar|C2|75793|steerable; manageable; docile|управляемый; послушный|steuerbar; kontrollierbar; lenksam|Die Hinterachse dieses Lastwagens ist lenkbar.|The rear axle of this truck is steerable.|Задняя ось этого грузовика является управляемой.|Die Hinterachse dieses Lastwagens ist steuerbar.|lenkbare Achse; lenkbares Fahrwerk; leicht lenkbar; schwer lenkbar|lenkbar refers to objects that can be steered mechanically (like axles, wheels, or balloons). It is rarely used for people unless describing their tractability in a technical or formal way (where lenksam or beeinflussbar is preferred).
lenken|lenksam|C2|210971|docile; manageable; tractable|послушный; податливый; покладистый|folgsam; fügsam; umgänglich; gefügig|Der Hund war sehr lenksam und gehorchte aufs Wort.|The dog was very docile and obeyed every word.|Собака была очень послушной и слушалась с полуслова.|Der Hund war sehr folgsam und gehorchte aufs Wort.|ein lenksames Kind; ein lenksames Tier; zahm und lenksam|lenksam is an administrative or elevated/literary term meaning easy to guide, manage, or influence. It is typically applied to people (children, pupils) or animals.
lenken|Lenker|C1|10672|handlebars (of a bicycle); driver; ruler|руль (велосипеда/мотоцикла); водитель; руководитель|Lenkstange; Fahrer; Führer; Steuermann|Er hielt sich fest am Lenker des Motorrads.|He held on tight to the handlebars of the motorcycle.|Он крепко держался за руль мотоцикла.|Er hielt sich fest an der Lenkstange des Motorrads.|den Lenker festhalten; Lenker des Staates; am Lenker sitzen; Fahrrad mit breitem Lenker|Lenker has two distinct meanings: 1) the physical handlebar of a bicycle, motorcycle, or scooter; 2) (formal/elevated) a leader or director of a state or destiny (e.g., Lenker des Staates). Do not use it for a car steering wheel (which is Lenkrad).
lenken|Lenkrad|B1|12317|steering wheel|руль (автомобиля)|Steuerrad; Steuer|Sie drehte das Lenkrad nach rechts, um dem Hindernis auszuweichen.|She turned the steering wheel to the right to avoid the obstacle.|Она повернула руль направо, чтобы избежать препятствия.|Sie drehte das Steuerrad nach rechts, um dem Hindernis auszuweichen.|das Lenkrad festhalten; am Lenkrad sitzen; das Lenkrad einschlagen; ein ledernes Lenkrad|Lenkrad is specifically the circular steering wheel of a car, bus, or truck. For bicycles or motorbikes, use Lenker. Steuer is a common synonym but can also mean the general control.
lenken|Lenksäule|C2|77512|steering column|рулевая колонка|Lenkradwelle; Steuersäule|Bei dem Unfall wurde die Lenksäule stark deformiert.|The steering column was severely deformed in the accident.|При аварии рулевая колонка была сильно деформирована.|Bei dem Unfall wurde die Steuersäule stark deformiert.|verstellbare Lenksäule; die Lenksäule bricht; Verkleidung der Lenksäule|Lenksäule is a technical, mechanical term referring to the shaft connecting the steering wheel to the steering mechanism. It is mainly used in automotive and engineering contexts.
lenken|Lenkstange|C2|83037|handlebar; steering rod|рулевая тяга; руль (велосипеда)|Lenker; Spurstange|Die Lenkstange seines Fahrrads war locker.|The handlebar of his bicycle was loose.|Руль его велосипеда разболтался.|Der Lenker seines Fahrrads war locker.|die Lenkstange verbiegen; Lenkstange des Rollers; verchromte Lenkstange|Lenkstange is used synonymously with Lenker for two-wheeled vehicles (bicycles, scooters) to describe the steering bar. In mechanical contexts, it can also refer to a tie rod or steering linkage.
lenken|Lenkung|C1|20586|steering; guidance; control|рулевое управление; управление; руководство|Steuerung; Leitung; Führung; Direktion|Die Lenkung des Fahrzeugs reagiert sehr präzise.|The vehicle's steering responds very precisely.|Рулевое управление автомобиля реагирует очень точно.|Die Steuerung des Fahrzeugs reagiert sehr präzise.|direkte Lenkung; automatische Lenkung; Lenkung der Wirtschaft; staatliche Lenkung|Lenkung can refer to the physical steering system of a vehicle (e.g., Servolenkung - power steering) or metaphorical guiding/planning of systems or resources (e.g., Lenkung der Flüchtlingsströme, Wirtschaftslenkung).
lenken|ablenken|B2|7367|to distract; to deflect; to divert|отвлекать; отклонять|abbringen; zerstreuen; abdrehen; ablenken (vom Thema)|Lass dich nicht von deiner Arbeit ablenken!|Do not let yourself be distracted from your work!|Не позволяй себе отвлекаться от работы!|Lass dich nicht von deiner Arbeit abbringen!|jemanden von der Arbeit ablenken; die Aufmerksamkeit ablenken; vom Thema ablenken; einen Verdacht ablenken|ablenken is a separable verb. It takes von + Dative for the thing one is distracted from (e.g., von der Arbeit ablenken). It can also mean to physically deflect light, waves, or projectiles.
lenken|auslenken|C2|160700|to deflect; to displace; to swing out|отклонять (от оси); выводить из равновесия|herausschwingen; ablenken; aus dem Gleichgewicht bringen|Das Pendel wird aus seiner Ruhelage ausgelenkt.|The pendulum is deflected from its position of rest.|Маятник отклоняется от своего положения покоя.|Das Pendel wird aus seiner Ruhelage gebracht.|ein Pendel auslenken; ein Zeiger lenkt aus; maximale Auslenkung|auslenken is a separable verb, mostly used in physics and technology to describe a physical displacement or deflection from a central or rest position.
lenken|einlenken|C2|28672|to yield; to relent; to steer into a turn|уступить; пойти на компромисс; повернуть (руль в поворот)|nachgeben; beigeben; nachlassen; einbiegen|Nach langem Streit lenkte der Chef schließlich ein.|After a long dispute, the boss finally relented.|После долгого спора шеф наконец уступил.|Nach langem Streit gab der Chef schließlich nach.|im Streit einlenken; schließlich einlenken; zum Einlenken bewegen; in eine Straße einlenken|einlenken is a separable verb. It physically means to steer into a street or turn, but is most commonly used metaphorically meaning to back down, yield, or agree to a compromise in a dispute.
lenken|fernlenken|C2|141949|to remote-control; to control from a distance|управлять на расстоянии; осуществлять телеуправление|fernsteuern|Man kann diese Drohne über eine App fernlenken.|You can remote-control this drone via an app.|Этим дроном можно управлять дистанционно через приложение.|Man kann diese Drohne über eine App fernsteuern.|ein ferngelenktes Auto; ein Boot fernlenken; Raketen fernlenken|fernlenken is a separable verb (though often used in the participle ferngelenkt as an adjective). The synonym fernsteuern is much more common in modern German.
lenken|gegenlenken|C2|94653|to counter-steer; to take counter-measures|подруливать в обратную сторону; принимать контрмеры|gegensteuern; gegenwirken; korrigieren|Wenn das Auto ausbricht, muss man sofort gegenlenken.|If the car skids, you must immediately counter-steer.|Если машину заносит, нужно немедленно рулить в противоположную сторону.|Wenn das Auto ausbricht, muss man sofort gegensteuern.|rechtzeitig gegenlenken; gegen ein Ausbrechen gegenlenken; politisch gegenlenken|gegenlenken is a separable verb. It is used physically for steering in the opposite direction to correct a skid, and metaphorically to take countermeasures against a bad development (e.g., inflation, crisis).
lenken|hinlenken|C2|110536|to direct towards; to steer there|направлять (туда); обращать (внимание на что-то)|hinführen; lenken; richten (auf)|Wir müssen das Gespräch auf das eigentliche Thema hinlenken.|We must steer the conversation towards the actual topic.|Мы должны направить разговор на настоящую тему.|Wir müssen das Gespräch auf das eigentliche Thema hinführen.|die Aufmerksamkeit auf sich hinlenken; den Verdacht hinlenken; Schritte dorthin hinlenken|hinlenken is a separable verb meaning to direct or guide attention, conversation, or steps towards a specific point (usually with auf + Accusative).
lenken|umlenken|C2|46963|to redirect; to divert; to reroute|перенаправлять; изменять направление|ableiten; umleiten; ablenken|Die Polizei musste den Verkehr wegen der Baustelle umlenken.|The police had to redirect the traffic because of the construction site.|Полиции пришлось направить движение в обход из-за стройки.|Die Polizei musste den Verkehr wegen der Baustelle umleiten.|den Verkehr umlenken; Gelder umlenken; Aufmerksamkeit umlenken; den Fluss umlenken|umlenken is a separable verb. It is used for changing the physical direction of traffic, financial flows, light, or attention. Often used interchangeably with umleiten.
lenken|weglenken|C2|123915|to steer away; to divert from|уводить; направлять в другую сторону|wegbringen; ablenken; abwenden|Sie versuchte, das Thema von sich wegzugelenken.|She tried to steer the topic away from herself.|Она попыталась увести тему от себя.|Sie versuchte, das Thema von sich abzuwenden.|den Blick weglenken; die Aufmerksamkeit weglenken; das Auto weglenken|weglenken is a separable verb, often used with von + Dative. It is used to steer something (like a vehicle or attention) away from a person, danger, or topic.
lenken|zurücklenken|C2|129571|to steer back; to direct back|направлять обратно; вести назад|zurückführen; zurücksteuern; zurückbringen|Er konnte das Boot sicher in den Hafen zurücklenken.|He was able to steer the boat safely back into the harbor.|Он смог благополучно вернуть лодку обратно в гавань.|Er konnte das Boot sicher in den Hafen zurücksteuern.|die Aufmerksamkeit zurücklenken; das Gespräch zurücklenken; das Fahrzeug zurücklenken|zurücklenken is a separable verb. It means physically steering a vehicle back to its starting point or metaphorically directing attention or conversation back to a previous topic (with auf + Accusative).
