word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
füllen|füllen|C1|1936|to fill; to stuff|наполнять; заполнять; начинять|anfüllen; befüllen; vollmachen; stopfen|Er füllte das Glas mit frischem Wasser.|He filled the glass with fresh water.|Он наполнил стакан свежей водой.|Er machte das Glas mit frischem Wasser voll.|ein Glas füllen; eine Lücke füllen; Formulare füllen; Gans füllen|"""füllen"" is a versatile verb. It can mean filling a container physically (mit + Dat.), stuffing food (e.g., ""Gans füllen""), or metaphorically filling a role or gap (""eine Lücke füllen""). Unlike ""befüllen"" (which emphasizes the container), ""füllen"" can focus on the content."
füllen|Füller|C2|33251|fountain pen; filler|авторучка; заполнитель; шпаклёвка|Füllfederhalter; Füllhalter; Spachtelmasse|Der Schüler schreibt am liebsten mit seinem neuen Füller.|The student prefers to write with his new fountain pen.|Ученик больше всего любит писать своей новой авторучкой.|Der Schüler schreibt am liebsten mit seinem neuen Füllfederhalter.|mit Füller schreiben; blauer Füller; Füller patzt|"""Füller"" is the common, everyday spoken term for a fountain pen (""Füllfederhalter""). In construction or DIY contexts, it can also refer to a filler or putty (""Spachtelmasse"")."
füllen|Füllfederhalter|C2|62430|fountain pen|авторучка; перьевая ручка|Füllhalter; Füller|Zur Konfirmation bekam er einen eleganten Füllfederhalter geschenkt.|For his confirmation, he was given an elegant fountain pen as a gift.|На конфирмацию ему подарили элегантную перьевую ручку.|Zur Konfirmation bekam er einen eleganten Füller geschenkt.|edler Füllfederhalter; Tinte für den Füllfederhalter|"This is the formal, full technical term for a fountain pen, consisting of ""Füll-"" (fill), ""Feder"" (nib/feather), and ""Halter"" (holder). In everyday life, Germans usually shorten this to ""Füller""."
füllen|Füllhalter|C2|254423|fountain pen|авторучка; перьевая ручка|Füllfederhalter; Füller|Bitte unterschreiben Sie den Vertrag mit einem Füllhalter.|Please sign the contract with a fountain pen.|Пожалуйста, подпишите договор авторучкой.|Bitte unterschreiben Sie den Vertrag mit einem Füllfederhalter.|klassischer Füllhalter; einen Füllhalter füllen|"""Füllhalter"" is a slightly shortened, formal version of ""Füllfederhalter"". It is less common in modern colloquial language than ""Füller"", but frequently appears in official documents or product catalogs."
füllen|Füllhorn|C2|41263|cornucopia; horn of plenty|рог изобилия|Überfluss; Reichtum|Die Natur schüttet im Herbst ihr Füllhorn über uns aus.|Nature pours out its cornucopia over us in autumn.|Осенью природа изливает на нас свой рог изобилия.|Die Natur schüttet im Herbst ihren reichen Überfluss über uns aus.|ein Füllhorn ausschütten; das Füllhorn des Segen; ein Füllhorn an Ideen|"A mythological term (""cornucopia"") used almost exclusively in literary or metaphorical contexts. The phrase ""ein Füllhorn über jemandem ausschütten"" (to pour a cornucopia over someone) is a common idiom meaning to shower someone with gifts or abundance."
füllen|Füllschriftverfahren|C2|255472|variable pitch recording; variable groove spacing|метод динамического шага записи (на виниле)|Füllschrift; Direktschnittverfahren|Das Füllschriftverfahren ermöglichte längere Spielzeiten auf Schallplatten.|The variable pitch recording technique enabled longer playing times on vinyl records.|Метод динамического шага записи позволил увеличить время воспроизведения на виниловых пластинках.|Die Füllschrifttechnik ermöglichte eine längere Spieldauer auf Schallplatten.|Füllschriftverfahren anwenden; Erfindung des Füllschriftverfahrens|A highly technical, historical term from audio and vinyl record engineering. It refers to adjusting groove spacing based on the volume of the audio signal to maximize recording capacity.
füllen|Füllsel|C2|131768|padding; filler; trivia|пустые слова; «вода» (в тексте); затычка|Füllwort; Flickwort; Ballast; Makulatur|Der Text enthält zu viele bedeutungslose Füllsel.|The text contains too many meaningless fillers.|Текст содержит слишком много бессмысленной «воды».|Der Text enthält zu viele bedeutungslose Flickwörter.|stilistische Füllsel; sprachliche Füllsel; unnötige Füllsel|"Often used disparagingly (pejorative) to refer to redundant words, phrases, or trivial content used solely to pad out a text or speech. Similar to ""Füllwort"" but carries a stronger negative connotation of low quality."
füllen|Füllsender|C2|260870|gap-filler transmitter; relay transmitter|ретранслятор (малой мощности); вспомогательный передатчик|Relaisstation; Hilfssender; Umsetzer|Ein neuer Füllsender soll das Funkloch im Tal schließen.|A new gap-filler transmitter is intended to close the dead zone in the valley.|Новый ретранслятор должен ликвидировать зону отсутствия связи в долине.|Eine neue Relaisstation soll das Funkloch im Tal schließen.|einen Füllsender installieren; Füllsender für Rundfunk|"A technical term from telecommunications and broadcasting. A ""Füllsender"" is a low-power auxiliary transmitter used to cover blind spots or ""shadow areas"" where the main transmitter's signal cannot reach."
füllen|Füllstand|C2|228194|filling level; fill level; liquid level|уровень заполнения; уровень жидкости|Pegelstand; Füllmenge; Standhöhe|Der Sensor misst kontinuierlich den Füllstand des Tanks.|The sensor continuously measures the fill level of the tank.|Датчик непрерывно измеряет уровень заполнения резервуара.|Der Sensor misst kontinuierlich die Standhöhe im Tank.|den Füllstand messen; Füllstand des Speichers; minimaler Füllstand|Extremely common in technical, industrial, and automotive contexts. It refers to how full a container (like a fuel tank, water reservoir, or bottle) currently is.
füllen|Füllstein|C2|243933|filler stone; backing stone; packing block|бутовый камень (для заполнения пустот); заполнитель|Füllziegel; Packstein|Beim Bau der Mauer wurden Füllsteine in die Zwischenräume gesetzt.|When building the wall, filler stones were placed in the gaps.|При строительстве стены в промежутки укладывали бутовые камни.|Beim Bau der Mauer wurden Packsteine in die Zwischenräume gesetzt.|Füllsteine verwenden; Wand mit Füllsteinen ausmauern|"A construction term. ""Füllstein"" refers to stones or bricks used to fill up space, support structures, or fill voids inside double-walled structures, rather than for aesthetic front-facing surfaces."
füllen|Füllstift|C2|226581|mechanical pencil; propelling pencil|механический карандаш; цанговый карандаш|Drehbleistift; Minenschreiber; Druckbleistift|Sie zeichnet feine Linien am liebsten mit einem Füllstift.|She prefers to draw fine lines with a mechanical pencil.|Она предпочитает проводить тонкие линии механическим карандашом.|Sie zeichnet feine Linien am liebsten mit einem Druckbleistift.|dünner Füllstift; Zeichnung mit Füllstift|"An older, classic, or regional term for a mechanical pencil (which is more commonly called ""Druckbleistift"" or ""Drehbleistift"" in modern standard German). It can occasionally refer to a corrective touch-up pen."
füllen|Füllstoff|C2|234890|filler; bulking agent; filling material|наполнитель; заполнитель|Füllmittel; Zusatzstoff; Trägerstoff|Die Tabletten enthalten neben dem Wirkstoff auch einen harmlosen Füllstoff.|In addition to the active ingredient, the tablets also contain a harmless filler.|Таблетки помимо действующего вещества содержат также безвредный наполнитель.|Die Tabletten enthalten neben dem Wirkstoff auch ein harmloses Füllmittel.|mineralischer Füllstoff; Füllstoff in Lebensmitteln; Füllstoffe beimischen|Used in pharmaceutical, chemistry, construction, and food processing contexts. It refers to substances added to products to increase volume or weight, or to improve consistency, without altering the active performance.
füllen|Füllung|C1|12760|filling; stuffing; panel|начинка; наполнение; пломба; филёнка|Plombe; Zahnfüllung; Einlage; Gehalt|Der Zahnarzt musste eine alte Füllung austauschen.|The dentist had to replace an old filling.|Стоматологу пришлось заменить старую пломбу.|Der Zahnarzt musste eine alte Plombe austauschen.|eine Füllung bekommen; süße Füllung; Füllung aus Amalgam; Tür mit Füllung|"A highly versatile noun: 1) Dental filling (officially ""Zahnfüllung"", colloquially ""Plombe""). 2) Culinary stuffing or filling (e.g., for pastries, turkey). 3) Structural/Architectural paneling (e.g., ""Türfüllung"" - door panel)."
füllen|Pausenfüller|C2|85146|stopgap; filler; intermission piece|заполнение паузы; затычка (для времени); номер для паузы|Lückenbüßer; Zeitvertreib; Zwischenspiel|Das kurze Lied diente im Radio nur als Pausenfüller.|The short song only served as a filler on the radio.|Короткая песня на радио служила лишь заполнением паузы.|Das kurze Lied diente im Radio nur als Lückenbüßer.|billiger Pausenfüller; als Pausenfüller dienen; musikalischer Pausenfüller|A figurative and slightly colloquial term. Originating from broadcasting (referring to short musical tracks played to fill unexpected gaps in program schedules), it is now used broadly for any activity, topic, or person used just to pass the time.
