word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
trocknen|trocknen|B2|8819|to dry|сушить; сохнуть|dörren; abtrocknen; austrocknen|Die Wäsche muss im Garten trocknen.|The laundry needs to dry in the garden.|Белье должно высохнуть в саду.|Die Wäsche muss im Garten abtrocknen.|Wäsche trocknen; Tränen trocknen; an der Luft trocknen|Can be used transitively (to dry something, e.g., 'die Wäsche trocknen') or intransitively (to become dry, e.g., 'die Wäsche trocknet'). In spoken language, 'abtrocknen' is often used for dishes or oneself, while 'austrocknen' means to dry out completely.
trocknen|Trockenboden|C2|138304|drying loft; attic for drying laundry|чердак для сушки белья|Dachboden; Wäscheboden|Früher hängte man die nasse Wäsche auf den Trockenboden.|In the past, people hung the wet laundry in the drying loft.|Раньше мокрое белье вешали на чердак для сушки.|Früher hängte man die nasse Wäsche auf den Dachboden zum Trocknen.|auf dem Trockenboden; den Trockenboden nutzen|A traditional term referring to an attic space in apartment buildings used specifically for air-drying laundry. Today, it is less common due to modern electric dryers, but still found in older architecture.
trocknen|Trockengestell|C2|185099|drying rack; clothes horse|сушилка для белья; стойка для сушки|Wäscheständer; Wäschegestell|Er stellt das klappbare Trockengestell auf den Balkon.|He puts the folding drying rack on the balcony.|Он ставит складную сушилку на балкон.|Er stellt den klappbaren Wäscheständer auf den Balkon.|klappbares Trockengestell; ein Trockengestell aufstellen|Generally refers to a frame or rack used for drying items, most commonly laundry ('Wäscheständer' is more colloquial for clothes, while 'Trockengestell' is slightly more formal or technical).
trocknen|Trockenhaube|C2|103687|hair dryer hood; hood dryer|сушуар; колпак для сушки волос|Haubentrockner; Friseurhaube|Beim Friseur saß die Dame eine halbe Stunde unter der Trockenhaube.|At the hairdresser's, the lady sat under the hood dryer for half an hour.|В парикмахерской дама полчаса сидела под сушуаром.|Beim Friseur saß die Dame eine halbe Stunde unter dem Haubentrockner.|unter der Trockenhaube sitzen; eine Trockenhaube benutzen|Mostly used in professional hairdressing contexts or referring to retro home hair dryers. Constructed as a compound of 'trocken' and 'Haube' (hood).
trocknen|Trockenofen|C2|158456|drying oven; kiln|сушильный шкаф; сушильная печь|Trockenschrank; Darrofen|Die Tonfiguren müssen vor dem Brennen in den Trockenofen.|The clay figures must go into the drying oven before firing.|Глиняные фигурки перед обжигом должны отправиться в сушильную печь.|Die Tonfiguren müssen vor dem Brennen in den Trockenschrank.|industrieller Trockenofen; im Trockenofen erhitzen|A technical term used in laboratory, industrial, or crafting contexts (such as pottery). It is not used for cooking food, where 'Backofen' is used.
trocknen|Trockenplatz|C2|146137|drying ground; drying area|сушильная площадка; место для сушки|Wäscheplatz; Trockenfläche|Die Wäsche wurde auf dem gemeinsamen Trockenplatz im Hinterhof aufgehängt.|The laundry was hung up on the shared drying area in the backyard.|Белье развесили на общей сушильной площадке на заднем дворе.|Die Wäsche wurde auf dem gemeinsamen Wäscheplatz im Hinterhof aufgehängt.|ein gemeinsamer Trockenplatz; Wäsche auf dem Trockenplatz aufhängen|Usually refers to an outdoor area designated for air-drying clothes, typical of older residential complexes or rural settings.
trocknen|Trockenpresse|C2|186065|dry press; drying press|сушильный пресс|Glättpresse; Entwässerungspresse|In der Papierfabrik wird das feuchte Papier durch eine Trockenpresse geführt.|In the paper mill, the wet paper is guided through a drying press.|На бумажной фабрике влажная бумага пропускается через сушильный пресс.|In der Papierfabrik wird das feuchte Papier durch eine Glättpresse geführt.|eine mechanische Trockenpresse; die Trockenpresse bedienen|Technical term. Historically also used in photography for drying and flattening photos.
trocknen|Trockenraum|C2|84423|drying room; laundry room|сушилка; сушильная комната|Trockenkammer; Waschküche|Im Keller des Mietshauses gibt es einen beheizten Trockenraum.|In the basement of the apartment building, there is a heated drying room.|В подвале многоквартирного дома есть отапливаемое сушильное помещение.|Im Keller des Mietshauses gibt es eine beheizte Trockenkammer.|den Trockenraum nutzen; Wäsche im Trockenraum aufhängen|Highly common in German apartment blocks ('Mietshäuser'), referring to a communal basement room designated for drying wet clothes.
trocknen|Trockner|C2|26820|dryer; tumble dryer|сушильная машина; сушилка|Wäschetrockner; Tumbler|Nach dem Waschen gebe ich die Handtücher immer in den Trockner.|After washing, I always put the towels in the dryer.|После стирки я всегда кладу полотенца в сушилку.|Nach dem Waschen gebe ich die Handtücher immer in den Wäschetrockner.|den Trockner einschalten; Wäsche in den Trockner tun|Short and highly common term for 'Wäschetrockner' (tumble dryer). In Switzerland, the term 'Tumbler' is also widely used.
trocknen|Trocknung|C2|40392|drying; dehydration|сушка; высушивание|Austrocknung; Entfeuchtung|Die schnelle Trocknung des Holzes verhindert Schimmelbildung.|The rapid drying of the wood prevents mold formation.|Быстрая сушка древесины предотвращает появление плесени.|Die schnelle Entfeuchtung des Holzes verhindert Schimmelbildung.|schonende Trocknung; die Trocknung beschleunigen; thermische Trocknung|A formal noun referring to the process of drying. Often used in industrial, agricultural, or technical contexts, as well as construction (e.g., drying out a building after water damage).
